Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000652313,-0.002614975,0.016433716,0,
00:00.0,0.000612259,-0.002649307,0.016427994,0,
00:00.0,0.000589371,-0.002649307,0.016399384,0,
00:00.0,0.000600815,-0.002626419,0.016387939,0,
00:00.0,0.000617981,-0.002609253,0.016433716,0,
00:00.0,0.000612259,-0.002626419,0.01644516,0,
00:00.0,0.000600815,-0.002643585,0.016439438,0,
00:00.0,0.000606537,-0.002637863,0.016422272,0,
00:00.0,0.000617981,-0.002632141,0.01641655,0,
00:00.0,0.000629425,-0.002626419,0.016422272,0,
00:00.0,0.000623703,-0.002637863,0.016450882,0,
00:00.0,0.000629425,-0.002632141,0.016433716,0,
00:00.0,0.000640869,-0.002637863,0.016410828,0,
00:00.1,0.000669479,-0.002643585,0.016410828,0,
00:00.1,0.000640869,-0.002620697,0.016399384,0,
00:00.1,0.000623703,-0.002620697,0.016468048,0,
00:00.1,0.000635147,-0.002637863,0.01647377,0,
00:00.1,0.000583649,-0.002637863,0.016450882,0,
00:00.1,0.000589371,-0.002637863,0.01644516,0,
00:00.1,0.000612259,-0.002632141,0.01644516,0,
00:00.1,0.000635147,-0.002637863,0.01644516,0,
00:00.1,0.000600815,-0.002660751,0.016450882,0,
00:00.1,0.000600815,-0.002574921,0.01644516,0,
00:00.1,0.000617981,-0.002620697,0.01644516,0,
00:00.1,0.000612259,-0.002626419,0.01644516,0,
00:00.1,0.000623703,-0.002637863,0.016462326,0,
00:00.1,0.000623703,-0.002649307,0.016427994,0,
00:00.1,0.000606537,-0.002637863,0.016439438,0,
00:00.1,0.000595093,-0.002637863,0.016479492,0,
00:00.1,0.000612259,-0.002620697,0.016468048,0,
00:00.1,0.000646591,-0.002614975,0.016462326,0,
00:00.1,0.000612259,-0.002649307,0.01644516,0,
00:00.1,0.000600815,-0.002649307,0.016450882,0,
00:00.1,0.000606537,-0.002637863,0.01647377,0,
00:00.1,0.000663757,-0.002609253,0.016456604,0,
00:00.1,0.000663757,-0.002637863,0.016450882,0,
00:00.1,0.000606537,-0.002637863,0.016439438,0,
00:00.1,0.000606537,-0.002632141,0.016439438,0,
00:00.2,0.000617981,-0.002637863,0.016479492,0,
00:00.2,0.000595093,-0.002620697,0.016490936,0,
00:00.2,0.000606537,-0.002620697,0.016490936,0,
00:00.2,0.000612259,-0.002649307,0.016456604,0,
00:00.2,0.000617981,-0.002643585,0.01647377,0,
00:00.2,0.000612259,-0.002649307,0.016485214,0,
00:00.2,0.000635147,-0.002626419,0.016485214,0,
00:00.2,0.000623703,-0.002609253,0.01647377,0,
00:00.2,0.000595093,-0.002632141,0.016490936,0,
00:00.2,0.000606537,-0.002632141,0.016468048,0,
00:00.2,0.000612259,-0.002655029,0.016456604,0,
00:00.2,0.000629425,-0.002643585,0.016479492,0,
00:00.2,0.000606537,-0.002637863,0.016490936,0,
00:00.2,0.000589371,-0.002632141,0.016508102,0,
00:00.2,0.000600815,-0.002632141,0.016490936,0,
00:00.2,0.000612259,-0.002649307,0.016479492,0,
00:00.2,0.000617981,-0.002643585,0.01647377,0,
00:00.2,0.000606537,-0.002649307,0.01650238,0,
00:00.2,0.000635147,-0.002649307,0.016490936,0,
00:00.2,0.000635147,-0.002637863,0.016456604,0,
00:00.2,0.000652313,-0.002614975,0.01647377,0,
00:00.2,0.000612259,-0.002643585,0.016490936,0,
00:00.2,0.000589371,-0.002655029,0.016530991,0,
00:00.2,0.000583649,-0.002666473,0.016519547,0,
00:00.2,0.000595093,-0.002637863,0.016513824,0,
00:00.3,0.000640869,-0.002655029,0.016508102,0,
00:00.3,0.000629425,-0.002626419,0.01647377,0,
00:00.3,0.000595093,-0.002609253,0.016479492,0,
00:00.3,0.000583649,-0.002626419,0.016530991,0,
00:00.3,0.000612259,-0.002643585,0.016513824,0,
00:00.3,0.000606537,-0.002649307,0.01650238,0,
00:00.3,0.000595093,-0.002660751,0.016519547,0,
00:00.3,0.000595093,-0.002660751,0.016525269,0,
00:00.3,0.000606537,-0.002649307,0.016508102,0,
00:00.3,0.000606537,-0.002655029,0.016525269,0,
00:00.3,0.000595093,-0.002666473,0.016513824,0,
00:00.3,0.000589371,-0.002643585,0.016525269,0,
00:00.3,0.000600815,-0.002643585,0.016525269,0,
00:00.3,0.000617981,-0.002637863,0.016530991,0,
00:00.3,0.000612259,-0.002632141,0.016519547,0,
00:00.3,0.000629425,-0.002643585,0.016519547,0,
00:00.3,0.000663757,-0.002643585,0.016519547,0,
00:00.3,0.000612259,-0.002643585,0.016508102,0,
00:00.3,0.000606537,-0.002666473,0.016490936,0,
00:00.3,0.000635147,-0.002649307,0.016536713,0,
00:00.3,0.000577927,-0.002643585,0.016525269,0,
00:00.3,0.000589371,-0.002660751,0.016536713,0,
00:00.3,0.000606537,-0.002649307,0.016519547,0,
00:00.3,0.000589371,-0.002632141,0.016548157,0,
00:00.3,0.000600815,-0.002637863,0.016530991,0,
00:00.4,0.000595093,-0.002643585,0.016553879,0,
00:00.4,0.000589371,-0.002649307,0.016542435,0,
00:00.4,0.000629425,-0.002660751,0.016530991,0,
00:00.4,0.000617981,-0.002655029,0.016508102,0,
00:00.4,0.000583649,-0.002649307,0.016553879,0,
00:00.4,0.000600815,-0.002649307,0.016548157,0,
00:00.4,0.000595093,-0.002637863,0.016548157,0,
00:00.4,0.000583649,-0.002649307,0.016553879,0,
00:00.4,0.000612259,-0.002626419,0.016525269,0,
00:00.4,0.000652313,-0.002637863,0.016536713,0,
00:00.4,0.000595093,-0.002666473,0.016559601,0,
00:00.4,0.000595093,-0.002643585,0.016513824,0,
00:00.4,0.000595093,-0.002637863,0.016530991,0,
00:00.4,0.000600815,-0.002643585,0.016582489,0,
00:00.4,0.000600815,-0.002655029,0.016565323,0,
00:00.4,0.000595093,-0.002637863,0.016559601,0,
00:00.4,0.000589371,-0.002637863,0.016553879,0,
00:00.4,0.000595093,-0.002649307,0.016548157,0,
00:00.4,0.000595093,-0.002655029,0.016542435,0,
00:00.4,0.000600815,-0.002643585,0.016542435,0,
00:00.4,0.000640869,-0.002626419,0.016542435,0,
00:00.4,0.000635147,-0.002626419,0.016553879,0,
00:00.4,0.000589371,-0.002643585,0.016559601,0,
00:00.4,0.000577927,-0.002660751,0.016530991,0,
00:00.4,0.000589371,-0.002643585,0.016525269,0,
00:00.5,0.000595093,-0.002643585,0.016559601,0,
00:00.5,0.000623703,-0.002643585,0.016571045,0,
00:00.5,0.000612259,-0.002643585,0.016576767,0,
00:00.5,0.000583649,-0.002649307,0.016559601,0,
00:00.5,0.000577927,-0.002643585,0.016553879,0,
00:00.5,0.000612259,-0.002632141,0.016553879,0,
00:00.5,0.000646591,-0.002643585,0.016519547,0,
00:00.5,0.000589371,-0.002643585,0.016508102,0,
00:00.5,0.000583649,-0.002649307,0.016593933,0,
00:00.5,0.000583649,-0.002637863,0.016571045,0,
00:00.5,0.000606537,-0.002632141,0.016588211,0,
00:00.5,0.000606537,-0.002637863,0.016582489,0,
00:00.5,0.000572205,-0.002643585,0.016553879,0,
00:00.5,0.000577927,-0.002660751,0.016559601,0,
00:00.5,0.000595093,-0.002649307,0.016565323,0,
00:00.5,0.000583649,-0.002637863,0.016559601,0,
00:00.5,0.000589371,-0.002614975,0.016559601,0,
00:00.5,0.000595093,-0.002643585,0.016571045,0,
00:00.5,0.000606537,-0.002649307,0.016565323,0,
00:00.5,0.000617981,-0.002637863,0.016559601,0,
00:00.5,0.000600815,-0.002637863,0.016565323,0,
00:00.5,0.000600815,-0.002660751,0.016530991,0,
00:00.5,0.000589371,-0.002643585,0.016553879,0,
00:00.5,0.000589371,-0.002614975,0.016576767,0,
00:00.5,0.000600815,-0.002637863,0.016576767,0,
00:00.6,0.000583649,-0.002637863,0.016582489,0,
00:00.6,0.000600815,-0.002643585,0.016553879,0,
00:00.6,0.000612259,-0.002632141,0.016530991,0,
00:00.6,0.000595093,-0.002632141,0.016593933,0,
00:00.6,0.000612259,-0.002660751,0.016593933,0,
00:00.6,0.000589371,-0.002655029,0.016576767,0,
00:00.6,0.000583649,-0.002649307,0.016576767,0,
00:00.6,0.000577927,-0.002643585,0.016542435,0,
00:00.6,0.000595093,-0.002632141,0.016571045,0,
00:00.6,0.000617981,-0.002637863,0.016559601,0,
00:00.6,0.000595093,-0.002672195,0.016582489,0,
00:00.6,0.000583649,-0.002614975,0.016571045,0,
00:00.6,0.000577927,-0.002614975,0.016582489,0,
00:00.6,0.000589371,-0.002643585,0.016582489,0,
00:00.6,0.000583649,-0.002643585,0.016582489,0,
00:00.6,0.000572205,-0.002655029,0.016582489,0,
00:00.6,0.000589371,-0.002649307,0.016576767,0,
00:00.6,0.000646591,-0.002632141,0.016576767,0,
00:00.6,0.000623703,-0.002637863,0.016548157,0,
00:00.6,0.000577927,-0.002632141,0.016536713,0,
00:00.6,0.00056076,-0.002614975,0.016571045,0,
00:00.6,0.000589371,-0.002632141,0.016593933,0,
00:00.6,0.000617981,-0.002643585,0.016542435,0,
00:00.6,0.000612259,-0.002649307,0.016565323,0,
00:00.6,0.000572205,-0.002655029,0.016599655,0,
00:00.7,0.000566483,-0.002632141,0.016593933,0,
00:00.7,0.000566483,-0.002626419,0.016571045,0,
00:00.7,0.000572205,-0.002643585,0.016576767,0,
00:00.7,0.000583649,-0.002637863,0.016582489,0,
00:00.7,0.000589371,-0.002655029,0.016571045,0,
00:00.7,0.000595093,-0.002660751,0.016599655,0,
00:00.7,0.000589371,-0.002649307,0.016588211,0,
00:00.7,0.000617981,-0.002632141,0.016588211,0,
00:00.7,0.000583649,-0.002626419,0.016582489,0,
00:00.7,0.000566483,-0.002632141,0.016582489,0,
00:00.7,0.000572205,-0.002637863,0.016576767,0,
00:00.7,0.000595093,-0.002620697,0.016571045,0,
00:00.7,0.000606537,-0.002637863,0.016576767,0,
00:00.7,0.000577927,-0.002649307,0.016582489,0,
00:00.7,0.000572205,-0.002649307,0.016588211,0,
00:00.7,0.000600815,-0.002632141,0.016571045,0,
00:00.7,0.000629425,-0.002620697,0.016553879,0,
00:00.7,0.000572205,-0.002637863,0.016542435,0,
00:00.7,0.000566483,-0.002655029,0.016605377,0,
00:00.7,0.000600815,-0.002655029,0.016536713,0,
00:00.7,0.000589371,-0.002655029,0.016576767,0,
00:00.7,0.000612259,-0.002609253,0.016593933,0,
00:00.7,0.000606537,-0.002609253,0.016588211,0,
00:00.7,0.000572205,-0.002637863,0.016605377,0,
00:00.7,0.000549316,-0.002677917,0.016593933,0,
00:00.8,0.00056076,-0.002637863,0.016593933,0,
00:00.8,0.000572205,-0.002626419,0.016593933,0,
00:00.8,0.000595093,-0.002637863,0.016576767,0,
00:00.8,0.000595093,-0.002643585,0.016571045,0,
00:00.8,0.000566483,-0.002643585,0.016582489,0,
00:00.8,0.00056076,-0.002643585,0.016576767,0,
00:00.8,0.000577927,-0.002632141,0.016565323,0,
00:00.8,0.000600815,-0.002632141,0.016582489,0,
00:00.8,0.000600815,-0.002643585,0.016588211,0,
00:00.8,0.000583649,-0.002660751,0.016588211,0,
00:00.8,0.000572205,-0.002632141,0.016559601,0,
00:00.8,0.000577927,-0.002637863,0.016559601,0,
00:00.8,0.000595093,-0.002632141,0.016571045,0,
00:00.8,0.000600815,-0.002632141,0.016513824,0,
00:00.8,0.000640869,-0.002632141,0.016576767,0,
00:00.8,0.000589371,-0.002655029,0.016628265,0,
00:00.8,0.000543594,-0.002660751,0.016628265,0,
00:00.8,0.000577927,-0.002637863,0.016605377,0,
00:00.8,0.000577927,-0.002649307,0.016576767,0,
00:00.8,0.000566483,-0.002655029,0.016582489,0,
00:00.8,0.000572205,-0.002649307,0.016582489,0,
00:00.8,0.000572205,-0.002614975,0.016588211,0,
00:00.8,0.000572205,-0.002620697,0.016588211,0,
00:00.8,0.000589371,-0.002649307,0.016582489,0,
00:00.8,0.000583649,-0.002637863,0.016576767,0,
00:00.9,0.000572205,-0.002637863,0.016588211,0,
00:00.9,0.000577927,-0.002637863,0.016593933,0,
00:00.9,0.000595093,-0.002632141,0.016588211,0,
00:00.9,0.000589371,-0.002643585,0.016576767,0,
00:00.9,0.000606537,-0.002637863,0.016582489,0,
00:00.9,0.000577927,-0.002643585,0.016599655,0,
00:00.9,0.000572205,-0.002643585,0.016582489,0,
00:00.9,0.000572205,-0.002614975,0.016582489,0,
00:00.9,0.000555038,-0.002643585,0.016548157,0,
00:00.9,0.000572205,-0.002649307,0.016576767,0,
00:00.9,0.000606537,-0.002637863,0.016611099,0,
00:00.9,0.000606537,-0.002643585,0.016559601,0,
00:00.9,0.000617981,-0.002660751,0.016565323,0,
00:00.9,0.00056076,-0.002660751,0.016593933,0,
00:00.9,0.000555038,-0.002614975,0.016622543,0,
00:00.9,0.00056076,-0.002614975,0.016599655,0,
00:00.9,0.000595093,-0.002620697,0.016599655,0,
00:00.9,0.000595093,-0.002626419,0.016582489,0,
00:00.9,0.000572205,-0.002655029,0.016576767,0,
00:00.9,0.000589371,-0.002666473,0.016599655,0,
00:00.9,0.000555038,-0.002632141,0.016599655,0,
00:00.9,0.000549316,-0.002626419,0.016605377,0,
00:00.9,0.000566483,-0.002649307,0.016599655,0,
00:00.9,0.000566483,-0.002626419,0.016593933,0,
00:00.9,0.000589371,-0.002643585,0.016565323,0,
00:01.0,0.000612259,-0.002649307,0.016582489,0,
00:01.0,0.000589371,-0.002643585,0.016611099,0,
00:01.0,0.000549316,-0.002637863,0.016571045,0,
00:01.0,0.000555038,-0.002649307,0.016588211,0,
00:01.0,0.000577927,-0.002643585,0.016605377,0,
00:01.0,0.000583649,-0.002643585,0.016599655,0,
00:01.0,0.000572205,-0.002649307,0.016548157,0,
00:01.0,0.000595093,-0.002620697,0.016553879,0,
00:01.0,0.00056076,-0.002637863,0.016616821,0,
00:01.0,0.000577927,-0.002626419,0.016588211,0,
00:01.0,0.000577927,-0.002637863,0.016588211,0,
00:01.0,0.00056076,-0.002632141,0.016588211,0,
00:00:01,0.000566483,-0.002649307,0.016593933,0,
00:01.0,0.000583649,-0.002666473,0.016593933,0,
00:01.0,0.000612259,-0.002655029,0.016588211,0,
00:01.0,0.000583649,-0.002666473,0.016588211,0,
00:01.0,0.000543594,-0.002649307,0.016542435,0,
00:01.0,0.000577927,-0.002643585,0.016582489,0,
00:01.0,0.000595093,-0.002637863,0.016616821,0,
00:01.0,0.000549316,-0.002643585,0.016588211,0,
00:01.0,0.000566483,-0.002655029,0.016582489,0,
00:01.0,0.000595093,-0.002643585,0.016559601,0,
00:01.0,0.000595093,-0.002643585,0.016565323,0,
00:01.0,0.000572205,-0.002637863,0.016599655,0,
00:01.0,0.00056076,-0.002643585,0.016605377,0,
00:01.1,0.000572205,-0.002666473,0.016593933,0,
00:01.1,0.000549316,-0.002655029,0.016599655,0,
00:01.1,0.000566483,-0.002649307,0.016576767,0,
00:01.1,0.000600815,-0.002620697,0.016565323,0,
00:01.1,0.000606537,-0.002643585,0.016576767,0,
00:01.1,0.000566483,-0.002649307,0.016565323,0,
00:01.1,0.000555038,-0.002649307,0.016542435,0,
00:01.1,0.000566483,-0.002649307,0.016611099,0,
00:01.1,0.000566483,-0.002666473,0.016611099,0,
00:01.1,0.000572205,-0.002649307,0.016593933,0,
00:01.1,0.000577927,-0.002660751,0.016576767,0,
00:01.1,0.000583649,-0.002637863,0.016576767,0,
00:01.1,0.000572205,-0.002643585,0.016588211,0,
00:01.1,0.000612259,-0.002637863,0.016565323,0,
00:01.1,0.000600815,-0.002637863,0.016582489,0,
00:01.1,0.000555038,-0.002649307,0.016582489,0,
00:01.1,0.000577927,-0.002660751,0.016530991,0,
00:01.1,0.000577927,-0.002649307,0.016553879,0,
00:01.1,0.00056076,-0.002626419,0.016611099,0,
00:01.1,0.000577927,-0.002637863,0.016582489,0,
00:01.1,0.000589371,-0.002655029,0.016571045,0,
00:01.1,0.000572205,-0.002666473,0.016593933,0,
00:01.1,0.000572205,-0.002649307,0.016565323,0,
00:01.1,0.000577927,-0.002620697,0.016553879,0,
00:01.1,0.000589371,-0.002643585,0.016571045,0,
00:01.2,0.000555038,-0.002660751,0.016576767,0,
00:01.2,0.000589371,-0.002643585,0.016559601,0,
00:01.2,0.000583649,-0.002643585,0.016530991,0,
