Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,6.87E-05,-0.003129959,0.017881393,0,
00:00.0,6.87E-05,-0.003135681,0.017881393,0,
00:00.0,7.44E-05,-0.003129959,0.017887115,0,
00:00.0,6.87E-05,-0.003135681,0.017887115,0,
00:00.0,6.29E-05,-0.003135681,0.017887115,0,
00:00.0,6.87E-05,-0.003135681,0.017887115,0,
00:00.0,6.87E-05,-0.003135681,0.017887115,0,
00:00.0,7.44E-05,-0.003129959,0.017892838,0,
00:00.0,6.87E-05,-0.003129959,0.017892838,0,
00:00.0,7.44E-05,-0.003129959,0.017892838,0,
00:00.0,7.44E-05,-0.003129959,0.017892838,0,
00:00.0,7.44E-05,-0.003129959,0.017892838,0,
00:00.0,6.87E-05,-0.003135681,0.017892838,0,
00:00.1,6.87E-05,-0.003141403,0.01789856,0,
00:00.1,6.87E-05,-0.003135681,0.01789856,0,
00:00.1,6.87E-05,-0.003129959,0.017892838,0,
00:00.1,7.44E-05,-0.003124237,0.017887115,0,
00:00.1,7.44E-05,-0.003129959,0.017892838,0,
00:00.1,7.44E-05,-0.003129959,0.01789856,0,
00:00.1,6.87E-05,-0.003135681,0.01789856,0,
00:00.1,6.87E-05,-0.003141403,0.017892838,0,
00:00.1,6.87E-05,-0.003141403,0.017887115,0,
00:00.1,6.87E-05,-0.003135681,0.01789856,0,
00:00.1,7.44E-05,-0.003124237,0.017904282,0,
00:00.1,7.44E-05,-0.003124237,0.01789856,0,
00:00.1,7.44E-05,-0.003129959,0.01789856,0,
00:00.1,8.01E-05,-0.003129959,0.017892838,0,
00:00.1,7.44E-05,-0.003129959,0.01789856,0,
00:00.1,7.44E-05,-0.003124237,0.01789856,0,
00:00.1,7.44E-05,-0.003124237,0.01789856,0,
00:00.1,7.44E-05,-0.003129959,0.017892838,0,
00:00.1,7.44E-05,-0.003129959,0.01789856,0,
00:00.1,7.44E-05,-0.003129959,0.01789856,0,
00:00.1,8.01E-05,-0.003129959,0.017904282,0,
00:00.1,7.44E-05,-0.003129959,0.017904282,0,
00:00.1,7.44E-05,-0.003129959,0.01789856,0,
00:00.1,7.44E-05,-0.003129959,0.01789856,0,
00:00.1,7.44E-05,-0.003129959,0.017904282,0,
00:00.2,8.01E-05,-0.003129959,0.017904282,0,
00:00.2,8.01E-05,-0.003129959,0.01789856,0,
00:00.2,7.44E-05,-0.003135681,0.017892838,0,
00:00.2,7.44E-05,-0.003135681,0.01789856,0,
00:00.2,7.44E-05,-0.003135681,0.01789856,0,
00:00.2,8.01E-05,-0.003129959,0.01789856,0,
00:00.2,8.01E-05,-0.003129959,0.01789856,0,
00:00.2,8.01E-05,-0.003141403,0.017904282,0,
00:00.2,7.44E-05,-0.003141403,0.01789856,0,
00:00.2,7.44E-05,-0.003135681,0.01789856,0,
00:00.2,8.58E-05,-0.003124237,0.017910004,0,
00:00.2,8.58E-05,-0.003124237,0.017904282,0,
