Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001905441,-0.007759094,0.002025604,0,
00:00.0,0.001888275,-0.00774765,0.002037048,0,
00:00.0,0.001888275,-0.007753372,0.00204277,0,
00:00.0,0.001893997,-0.007764816,0.00204277,0,
00:00.0,0.001888275,-0.007759094,0.002037048,0,
00:00.0,0.001899719,-0.007753372,0.00201416,0,
00:00.0,0.001893997,-0.00774765,0.00201416,0,
00:00.0,0.001893997,-0.00774765,0.002019882,0,
00:00.0,0.001905441,-0.007753372,0.00201416,0,
00:00.0,0.001893997,-0.007759094,0.00201416,0,
00:00.0,0.001899719,-0.007741928,0.002002716,0,
00:00.0,0.001899719,-0.00774765,0.00198555,0,
00:00.0,0.001899719,-0.007753372,0.001962662,0,
00:00.1,0.001905441,-0.00774765,0.001979828,0,
00:00.1,0.001905441,-0.007741928,0.001968384,0,
00:00.1,0.001905441,-0.007753372,0.001962662,0,
00:00.1,0.001899719,-0.007753372,0.001962662,0,
00:00.1,0.001899719,-0.007741928,0.001962662,0,
00:00.1,0.001899719,-0.007736206,0.00195694,0,
00:00.1,0.001888275,-0.00774765,0.001951218,0,
00:00.1,0.001893997,-0.00774765,0.00195694,0,
00:00.1,0.001905441,-0.00774765,0.001939774,0,
00:00.1,0.001893997,-0.00774765,0.001928329,0,
00:00.1,0.001888275,-0.00774765,0.001939774,0,
00:00.1,0.001899719,-0.00774765,0.001939774,0,
00:00.1,0.001888275,-0.00774765,0.001922607,0,
00:00.1,0.001888275,-0.00774765,0.001911163,0,
00:00.1,0.001905441,-0.00774765,0.001916885,0,
00:00.1,0.001893997,-0.007753372,0.001916885,0,
00:00.1,0.001888275,-0.007741928,0.001899719,0,
00:00.1,0.001888275,-0.00774765,0.001882553,0,
00:00.1,0.001876831,-0.007759094,0.001911163,0,
00:00.1,0.001882553,-0.00774765,0.001882553,0,
00:00.1,0.001893997,-0.007741928,0.001871109,0,
00:00.1,0.001876831,-0.007753372,0.001888275,0,
00:00.1,0.001888275,-0.007741928,0.001893997,0,
00:00.1,0.001888275,-0.007741928,0.001871109,0,
00:00.1,0.001888275,-0.007741928,0.001853943,0,
00:00.2,0.001893997,-0.007730484,0.001848221,0,
00:00.2,0.001888275,-0.007741928,0.001848221,0,
00:00.2,0.001876831,-0.00774765,0.001853943,0,
00:00.2,0.001888275,-0.007753372,0.001842499,0,
00:00.2,0.001888275,-0.00774765,0.001836777,0,
00:00.2,0.001882553,-0.007759094,0.001825333,0,
00:00.2,0.001893997,-0.007759094,0.001825333,0,
00:00.2,0.001871109,-0.007753372,0.001808167,0,
00:00.2,0.001871109,-0.007759094,0.001796722,0,
00:00.2,0.001876831,-0.007753372,0.001808167,0,
00:00.2,0.001876831,-0.007753372,0.001813889,0,
00:00.2,0.001888275,-0.007759094,0.001796722,0,
00:00.2,0.001882553,-0.007759094,0.001785278,0,
