Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.005945206,-0.010379791,0.010831833,0,
00:00.0,0.005950928,-0.010379791,0.010831833,0,
00:00.0,0.005945206,-0.010391235,0.010837555,0,
00:00.0,0.00592804,-0.010414124,0.010843277,0,
00:00.0,0.005945206,-0.010385513,0.010843277,0,
00:00.0,0.00595665,-0.010345459,0.010837555,0,
00:00.0,0.00595665,-0.010339737,0.010837555,0,
00:00.0,0.00595665,-0.010356903,0.010854721,0,
00:00.0,0.005950928,-0.010368347,0.010860443,0,
00:00.0,0.005968094,-0.010339737,0.010854721,0,
00:00.0,0.005945206,-0.010362625,0.010860443,0,
00:00.0,0.005939484,-0.010368347,0.010854721,0,
00:00.0,0.005945206,-0.010362625,0.010871887,0,
00:00.1,0.005945206,-0.010368347,0.010877609,0,
00:00.1,0.005933762,-0.010396957,0.010900497,0,
00:00.1,0.005933762,-0.010391235,0.010894775,0,
00:00.1,0.005950928,-0.010374069,0.010889053,0,
00:00.1,0.005945206,-0.010368347,0.010900497,0,
00:00.1,0.005950928,-0.010345459,0.010883331,0,
00:00.1,0.005945206,-0.010374069,0.010883331,0,
00:00.1,0.005939484,-0.010368347,0.010900497,0,
00:00.1,0.005945206,-0.010351181,0.010900497,0,
00:00.1,0.00595665,-0.010345459,0.010923386,0,
00:00.1,0.005945206,-0.010368347,0.010906219,0,
00:00.1,0.005939484,-0.010374069,0.010923386,0,
00:00.1,0.005945206,-0.010368347,0.01093483,0,
00:00.1,0.005945206,-0.010362625,0.010951996,0,
00:00.1,0.005945206,-0.010379791,0.010940552,0,
00:00.1,0.005945206,-0.010379791,0.010929108,0,
00:00.1,0.00592804,-0.010379791,0.010946274,0,
00:00.1,0.005933762,-0.010368347,0.010951996,0,
00:00.1,0.005939484,-0.010374069,0.010957718,0,
00:00.1,0.005939484,-0.010356903,0.010957718,0,
00:00.1,0.005939484,-0.010345459,0.01096344,0,
00:00.1,0.005939484,-0.010368347,0.01096344,0,
00:00.1,0.005939484,-0.010368347,0.010969162,0,
00:00.1,0.005933762,-0.010356903,0.010969162,0,
00:00.1,0.005945206,-0.010362625,0.010974884,0,
00:00.2,0.005950928,-0.010339737,0.010974884,0,
00:00.2,0.005945206,-0.010356903,0.010986328,0,
00:00.2,0.005945206,-0.010345459,0.010980606,0,
00:00.2,0.005962372,-0.010305405,0.01099205,0,
00:00.2,0.005939484,-0.010328293,0.010974884,0,
00:00.2,0.00592804,-0.010345459,0.010997772,0,
00:00.2,0.005922318,-0.010374069,0.011003494,0,
00:00.2,0.005922318,-0.010374069,0.011009216,0,
00:00.2,0.005950928,-0.010334015,0.010986328,0,
00:00.2,0.005916595,-0.010402679,0.010986328,0,
00:00.2,0.005905151,-0.010414124,0.011043549,0,
00:00.2,0.005939484,-0.010339737,0.011026382,0,
