Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.007644653,0.002975464,0.011793137,0,
00:00.0,0.007644653,0.002969742,0.011798859,0,
00:00.0,0.007638931,0.002958298,0.011787415,0,
00:00.0,0.007633209,0.002952576,0.011787415,0,
00:00.0,0.007650375,0.002946854,0.011787415,0,
00:00.0,0.007673264,0.002952576,0.011787415,0,
00:00.0,0.007610321,0.00296402,0.011798859,0,
00:00.0,0.007627487,0.002958298,0.011781693,0,
00:00.0,0.007633209,0.002952576,0.011781693,0,
00:00.0,0.007627487,0.002958298,0.01177597,0,
00:00.0,0.007627487,0.00293541,0.011764526,0,
00:00.0,0.007627487,0.002912521,0.011781693,0,
00:00.0,0.007610321,0.002929688,0.011781693,0,
00:00.1,0.007621765,0.002946854,0.01177597,0,
00:00.1,0.007627487,0.002969742,0.011781693,0,
00:00.1,0.007633209,0.002975464,0.01177597,0,
00:00.1,0.007627487,0.00296402,0.011793137,0,
00:00.1,0.007621765,0.002969742,0.011787415,0,
00:00.1,0.007627487,0.002975464,0.01177597,0,
00:00.1,0.007638931,0.002958298,0.01177597,0,
00:00.1,0.007616043,0.002952576,0.011793137,0,
00:00.1,0.007598877,0.002958298,0.011787415,0,
00:00.1,0.007610321,0.002952576,0.011787415,0,
00:00.1,0.007604599,0.002952576,0.011793137,0,
00:00.1,0.007604599,0.00296402,0.011781693,0,
00:00.1,0.007627487,0.00296402,0.01177597,0,
00:00.1,0.007616043,0.002969742,0.011787415,0,
00:00.1,0.007610321,0.00296402,0.011787415,0,
00:00.1,0.007598877,0.002952576,0.011781693,0,
00:00.1,0.007575989,0.002923965,0.011787415,0,
00:00.1,0.007587433,0.002912521,0.011781693,0,
00:00.1,0.007598877,0.002929688,0.011781693,0,
00:00.1,0.007593155,0.002958298,0.01177597,0,
00:00.1,0.007598877,0.002981186,0.011781693,0,
00:00.1,0.007621765,0.00296402,0.011798859,0,
00:00.1,0.007604599,0.00296402,0.011798859,0,
00:00.1,0.007575989,0.002958298,0.011781693,0,
00:00.1,0.007575989,0.00293541,0.011764526,0,
00:00.2,0.007581711,0.002941132,0.011758804,0,
00:00.2,0.007581711,0.002952576,0.011770248,0,
00:00.2,0.007587433,0.00296402,0.011764526,0,
00:00.2,0.007587433,0.002969742,0.01177597,0,
00:00.2,0.007587433,0.002969742,0.011810303,0,
00:00.2,0.007581711,0.00296402,0.011793137,0,
00:00.2,0.007581711,0.002958298,0.01177597,0,
00:00.2,0.007575989,0.002941132,0.011793137,0,
00:00.2,0.007575989,0.002958298,0.011770248,0,
00:00.2,0.007564545,0.00296402,0.011770248,0,
00:00.2,0.007570267,0.00296402,0.011793137,0,
00:00.2,0.007570267,0.002981186,0.011781693,0,
00:00.2,0.007593155,0.002986908,0.011787415,0,
00:00.2,0.007593155,0.002975464,0.011798859,0,
00:00.2,0.007587433,0.002969742,0.011787415,0,
00:00.2,0.007587433,0.002969742,0.011781693,0,
00:00.2,0.007593155,0.002952576,0.011781693,0,
00:00.2,0.007587433,0.002941132,0.011770248,0,
00:00.2,0.007570267,0.002952576,0.011770248,0,
00:00.2,0.007575989,0.002975464,0.011787415,0,
00:00.2,0.007587433,0.002969742,0.011781693,0,
00:00.2,0.007570267,0.002946854,0.011787415,0,
00:00.2,0.007587433,0.002941132,0.011798859,0,
00:00.2,0.007570267,0.00296402,0.011787415,0,
00:00.2,0.007575989,0.002981186,0.011793137,0,
00:00.3,0.007558823,0.002986908,0.011793137,0,
00:00.3,0.007575989,0.002969742,0.01177597,0,
00:00.3,0.007587433,0.002969742,0.011781693,0,
00:00.3,0.007564545,0.002975464,0.011798859,0,
00:00.3,0.007564545,0.00296402,0.011787415,0,
00:00.3,0.007547379,0.002952576,0.011770248,0,
00:00.3,0.007558823,0.002952576,0.011770248,0,
00:00.3,0.007581711,0.00296402,0.011798859,0,
00:00.3,0.007587433,0.002969742,0.011804581,0,
00:00.3,0.007598877,0.00299263,0.011793137,0,
00:00.3,0.007570267,0.003009796,0.011781693,0,
00:00.3,0.007570267,0.003004074,0.011770248,0,
00:00.3,0.007604599,0.002986908,0.011781693,0,
00:00.3,0.007587433,0.002969742,0.011781693,0,
00:00.3,0.007575989,0.002958298,0.011770248,0,
00:00.3,0.007587433,0.002958298,0.011793137,0,
00:00.3,0.007604599,0.002986908,0.011787415,0,
00:00.3,0.007587433,0.002998352,0.011787415,0,
00:00.3,0.007604599,0.002998352,0.011793137,0,
00:00.3,0.007587433,0.00299263,0.011793137,0,
00:00.3,0.007581711,0.00299263,0.011798859,0,
00:00.3,0.007570267,0.00296402,0.011798859,0,
00:00.3,0.007593155,0.002969742,0.011804581,0,
00:00.3,0.007598877,0.002986908,0.011787415,0,
00:00.3,0.007610321,0.003004074,0.01177597,0,
00:00.4,0.007633209,0.002998352,0.011798859,0,
00:00.4,0.007593155,0.002975464,0.011793137,0,
00:00.4,0.007593155,0.002986908,0.011798859,0,
00:00.4,0.007581711,0.002998352,0.011798859,0,
00:00.4,0.007598877,0.002986908,0.011793137,0,
00:00.4,0.007598877,0.002998352,0.011787415,0,
00:00.4,0.007633209,0.002986908,0.011804581,0,
00:00.4,0.007621765,0.002975464,0.011793137,0,
00:00.4,0.007593155,0.002986908,0.011793137,0,
00:00.4,0.007610321,0.003004074,0.011804581,0,
00:00.4,0.007633209,0.002998352,0.011810303,0,
00:00.4,0.007638931,0.00299263,0.011798859,0,
00:00.4,0.007616043,0.002998352,0.011804581,0,
00:00.4,0.007644653,0.003009796,0.011793137,0,
00:00.4,0.007644653,0.003032684,0.011793137,0,
00:00.4,0.007644653,0.00302124,0.011816025,0,
00:00.4,0.007644653,0.003004074,0.011798859,0,
00:00.4,0.007644653,0.00299263,0.011798859,0,
00:00.4,0.007638931,0.002981186,0.011793137,0,
00:00.4,0.007644653,0.003004074,0.011787415,0,
00:00.4,0.007650375,0.00302124,0.011804581,0,
00:00.4,0.007656097,0.003004074,0.011804581,0,
00:00.4,0.007667542,0.003015518,0.011810303,0,
00:00.4,0.007673264,0.00302124,0.011810303,0,
00:00.4,0.007661819,0.00302124,0.011810303,0,
00:00.5,0.007667542,0.003015518,0.011810303,0,
00:00.5,0.007661819,0.002986908,0.011804581,0,
00:00.5,0.007656097,0.002981186,0.011810303,0,
00:00.5,0.007656097,0.002986908,0.011798859,0,
00:00.5,0.007678986,0.003009796,0.011827469,0,
00:00.5,0.007713318,0.003044128,0.011827469,0,
00:00.5,0.007707596,0.00304985,0.011821747,0,
00:00.5,0.007684708,0.00304985,0.011827469,0,
00:00.5,0.007684708,0.003015518,0.011816025,0,
00:00.5,0.007707596,0.003004074,0.011816025,0,
00:00.5,0.007713318,0.003026962,0.011821747,0,
00:00.5,0.007707596,0.003044128,0.011844635,0,
00:00.5,0.007736206,0.003044128,0.011833191,0,
00:00.5,0.007724762,0.003032684,0.011833191,0,
00:00.5,0.007741928,0.003026962,0.011833191,0,
00:00.5,0.007736206,0.003038406,0.011833191,0,
00:00.5,0.007730484,0.003032684,0.011833191,0,
00:00.5,0.007741928,0.003032684,0.011844635,0,
00:00.5,0.00774765,0.00302124,0.011833191,0,
00:00.5,0.007730484,0.00302124,0.011838913,0,
00:00.5,0.007759094,0.003032684,0.011850357,0,
00:00.5,0.007753372,0.003026962,0.011844635,0,
00:00.5,0.007753372,0.003032684,0.011861801,0,
00:00.5,0.007770538,0.003055573,0.011861801,0,
00:00.5,0.007764816,0.003044128,0.011856079,0,
00:00.6,0.007764816,0.003032684,0.011850357,0,
00:00.6,0.00777626,0.003038406,0.011850357,0,
00:00.6,0.007781982,0.003067017,0.011861801,0,
00:00.6,0.007793427,0.003084183,0.011856079,0,
00:00.6,0.007804871,0.003072739,0.011861801,0,
00:00.6,0.007793427,0.003055573,0.011867523,0,
00:00.6,0.007781982,0.00304985,0.011867523,0,
00:00.6,0.007822037,0.003044128,0.011884689,0,
00:00.6,0.007810593,0.003044128,0.011884689,0,
00:00.6,0.007827759,0.003038406,0.011878967,0,
00:00.6,0.007833481,0.003055573,0.011890411,0,
00:00.6,0.007827759,0.003072739,0.011878967,0,
00:00.6,0.007844925,0.003084183,0.011873245,0,
00:00.6,0.007862091,0.003089905,0.011884689,0,
00:00.6,0.007839203,0.003061295,0.011890411,0,
00:00.6,0.007833481,0.003038406,0.011884689,0,
00:00.6,0.007827759,0.00304985,0.011890411,0,
00:00.6,0.007862091,0.003072739,0.011896133,0,
00:00.6,0.007890701,0.003084183,0.011896133,0,
00:00.6,0.007884979,0.003061295,0.011901855,0,
00:00.6,0.007890701,0.003044128,0.011896133,0,
00:00.6,0.007884979,0.003061295,0.011896133,0,
00:00.6,0.007896423,0.003084183,0.011901855,0,
00:00.6,0.007907867,0.003118515,0.011901855,0,
00:00.6,0.007925034,0.003112793,0.011896133,0,
00:00.7,0.007936478,0.003095627,0.0119133,0,
00:00.7,0.007907867,0.003084183,0.011924744,0,
00:00.7,0.007907867,0.003061295,0.011924744,0,
00:00.7,0.007907867,0.003032684,0.011919022,0,
00:00.7,0.007919312,0.003055573,0.0119133,0,
00:00.7,0.007919312,0.003107071,0.011919022,0,
00:00.7,0.007953644,0.003124237,0.011924744,0,
00:00.7,0.007965088,0.003101349,0.011924744,0,
00:00.7,0.007936478,0.003084183,0.01194191,0,
00:00.7,0.007965088,0.003101349,0.011947632,0,
00:00.7,0.007982254,0.003089905,0.011936188,0,
00:00.7,0.007982254,0.003084183,0.011936188,0,
00:00.7,0.007982254,0.003095627,0.011936188,0,
00:00.7,0.007993698,0.003101349,0.011959076,0,
00:00.7,0.008016586,0.003101349,0.011953354,0,
00:00.7,0.007987976,0.003101349,0.011936188,0,
00:00.7,0.007987976,0.003129959,0.011947632,0,
00:00.7,0.008016586,0.003118515,0.011953354,0,
00:00.7,0.008016586,0.003084183,0.011959076,0,
00:00.7,0.008010864,0.00304985,0.011959076,0,
00:00.7,0.008005142,0.003089905,0.011953354,0,
00:00.7,0.008039474,0.003164291,0.011947632,0,
00:00.7,0.008045197,0.003170013,0.011964798,0,
00:00.7,0.008056641,0.003135681,0.011981964,0,
00:00.7,0.008073807,0.003118515,0.011964798,0,
00:00.8,0.008068085,0.003112793,0.011953354,0,
00:00.8,0.008033752,0.003107071,0.011987686,0,
00:00.8,0.008056641,0.003107071,0.011987686,0,
00:00.8,0.008090973,0.003095627,0.011976242,0,
00:00.8,0.008068085,0.003107071,0.011976242,0,
00:00.8,0.008073807,0.003158569,0.01197052,0,
00:00.8,0.008119583,0.003175735,0.011976242,0,
00:00.8,0.008119583,0.003158569,0.011981964,0,
00:00.8,0.008108139,0.003141403,0.011981964,0,
00:00.8,0.008113861,0.003147125,0.011987686,0,
00:00.8,0.008131027,0.003147125,0.012004852,0,
00:00.8,0.008131027,0.003124237,0.01199913,0,
00:00.8,0.008113861,0.003124237,0.011993408,0,
00:00.8,0.008096695,0.003118515,0.011987686,0,
00:00.8,0.008148193,0.003135681,0.011993408,0,
00:00.8,0.008165359,0.003158569,0.011987686,0,
00:00.8,0.008165359,0.003175735,0.011993408,0,
00:00.8,0.008159637,0.003152847,0.012004852,0,
00:00.8,0.008165359,0.003147125,0.012010574,0,
00:00.8,0.008205414,0.003175735,0.012010574,0,
00:00.8,0.008165359,0.003175735,0.01199913,0,
00:00.8,0.008165359,0.003181458,0.011993408,0,
00:00.8,0.008171082,0.003164291,0.012010574,0,
00:00.8,0.008188248,0.003158569,0.012033463,0,
00:00.8,0.008188248,0.003141403,0.012016296,0,
00:00.9,0.008182526,0.003152847,0.01199913,0,
00:00.9,0.008199692,0.003175735,0.012010574,0,
00:00.9,0.008228302,0.003175735,0.01202774,0,
00:00.9,0.008228302,0.003175735,0.012016296,0,
00:00.9,0.00822258,0.003170013,0.012010574,0,
00:00.9,0.008228302,0.003181458,0.012010574,0,
00:00.9,0.008216858,0.003204346,0.012004852,0,
00:00.9,0.008234024,0.003198624,0.011993408,0,
00:00.9,0.008239746,0.003198624,0.01199913,0,
00:00.9,0.008256912,0.003198624,0.012016296,0,
00:00.9,0.008274078,0.003198624,0.012010574,0,
00:00.9,0.008256912,0.003198624,0.012010574,0,
00:00.9,0.00825119,0.003192902,0.012022018,0,
00:00.9,0.008268356,0.003181458,0.012016296,0,
00:00.9,0.008262634,0.003158569,0.012010574,0,
00:00.9,0.008268356,0.003175735,0.012010574,0,
00:00.9,0.00825119,0.003204346,0.012010574,0,
00:00.9,0.008285522,0.003227234,0.012022018,0,
00:00.9,0.008285522,0.003221512,0.01202774,0,
00:00.9,0.008302689,0.003210068,0.012022018,0,
00:00.9,0.008319855,0.00321579,0.012004852,0,
00:00.9,0.008296967,0.003198624,0.012022018,0,
00:00.9,0.008291245,0.003192902,0.012039185,0,
00:00.9,0.008308411,0.003204346,0.01202774,0,
00:00.9,0.008302689,0.00321579,0.012004852,0,
00:01.0,0.008337021,0.003204346,0.012010574,0,
00:01.0,0.008331299,0.003198624,0.012022018,0,
00:01.0,0.008319855,0.003221512,0.01202774,0,
00:01.0,0.008348465,0.0032444,0.01202774,0,
00:01.0,0.008342743,0.0032444,0.01202774,0,
00:01.0,0.008348465,0.003238678,0.012016296,0,
00:01.0,0.008348465,0.003227234,0.012022018,0,
00:01.0,0.008359909,0.003221512,0.01202774,0,
00:01.0,0.008348465,0.003238678,0.012039185,0,
00:01.0,0.008359909,0.0032444,0.012033463,0,
00:01.0,0.008354187,0.003227234,0.012033463,0,
00:01.0,0.008348465,0.003232956,0.012050629,0,
00:00:01,0.008365631,0.003221512,0.012056351,0,
00:01.0,0.008388519,0.00321579,0.012033463,0,
00:01.0,0.008377075,0.003232956,0.012044907,0,
00:01.0,0.008377075,0.003250122,0.012039185,0,
00:01.0,0.008394241,0.003255844,0.012044907,0,
00:01.0,0.008399963,0.003278732,0.012056351,0,
00:01.0,0.008399963,0.003267288,0.012056351,0,
00:01.0,0.00841713,0.00327301,0.012056351,0,
00:01.0,0.008394241,0.003267288,0.012044907,0,
00:01.0,0.008365631,0.003255844,0.012050629,0,
00:01.0,0.008382797,0.003232956,0.012050629,0,
00:01.0,0.008422852,0.003227234,0.012050629,0,
00:01.0,0.008434296,0.003250122,0.012039185,0,
00:01.1,0.008422852,0.00327301,0.012044907,0,
00:01.1,0.008440018,0.003290176,0.012044907,0,
00:01.1,0.008422852,0.00327301,0.012039185,0,
00:01.1,0.008422852,0.003261566,0.012039185,0,
00:01.1,0.008451462,0.003261566,0.012039185,0,
00:01.1,0.008457184,0.00327301,0.012033463,0,
00:01.1,0.008434296,0.003278732,0.012044907,0,
00:01.1,0.008434296,0.003255844,0.012039185,0,
00:01.1,0.008411407,0.003255844,0.01202774,0,
00:01.1,0.00844574,0.003284454,0.01202774,0,
00:01.1,0.008457184,0.003307343,0.012039185,0,
00:01.1,0.008451462,0.003295898,0.012039185,0,
00:01.1,0.008457184,0.003278732,0.012033463,0,
00:01.1,0.008462906,0.003284454,0.01202774,0,
00:01.1,0.008451462,0.003290176,0.012022018,0,
00:01.1,0.008451462,0.003290176,0.012033463,0,
00:01.1,0.008462906,0.003290176,0.012050629,0,
00:01.1,0.008468628,0.003295898,0.012039185,0,
00:01.1,0.00850296,0.003307343,0.01202774,0,
00:01.1,0.008491516,0.003307343,0.01202774,0,
00:01.1,0.008457184,0.00330162,0.012016296,0,
00:01.1,0.008457184,0.003307343,0.012022018,0,
00:01.1,0.008480072,0.00330162,0.01202774,0,
00:01.1,0.00847435,0.003261566,0.012039185,0,
00:01.1,0.008491516,0.003278732,0.012033463,0,
00:01.2,0.008508682,0.003313065,0.012022018,0,
00:01.2,0.008497238,0.003318787,0.012010574,0,
00:01.2,0.00850296,0.003307343,0.012016296,0,
00:01.2,0.008520126,0.00330162,0.012022018,0,
00:01.2,0.008514404,0.003290176,0.012010574,0,
00:01.2,0.008491516,0.003307343,0.012022018,0,
00:01.2,0.00853157,0.003318787,0.012004852,0,
00:01.2,0.008514404,0.003335953,0.011993408,0,
