Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,2.29E-05,-0.000680923,0.007959366,0,
00:00.0,1.72E-05,-0.000715256,0.007959366,0,
00:00.0,1.14E-05,-0.00069809,0.007959366,0,
00:00.0,1.14E-05,-0.000663757,0.007959366,0,
00:00.0,1.72E-05,-0.000663757,0.007959366,0,
00:00.0,1.72E-05,-0.000675201,0.007959366,0,
00:00.0,1.14E-05,-0.000709534,0.007959366,0,
00:00.0,1.72E-05,-0.000692368,0.007959366,0,
00:00.0,1.72E-05,-0.000658035,0.007959366,0,
00:00.0,1.72E-05,-0.000680923,0.007959366,0,
00:00.0,2.29E-05,-0.000680923,0.007953644,0,
00:00.0,1.14E-05,-0.000686646,0.007953644,0,
00:00.0,1.14E-05,-0.000686646,0.007959366,0,
00:00.1,2.29E-05,-0.000675201,0.007959366,0,
00:00.1,2.29E-05,-0.000669479,0.007959366,0,
00:00.1,2.29E-05,-0.000675201,0.007953644,0,
00:00.1,2.29E-05,-0.000675201,0.007953644,0,
00:00.1,1.72E-05,-0.000675201,0.007959366,0,
00:00.1,1.14E-05,-0.00069809,0.007959366,0,
00:00.1,1.14E-05,-0.000703812,0.007953644,0,
00:00.1,1.72E-05,-0.000692368,0.007953644,0,
00:00.1,2.29E-05,-0.000680923,0.007953644,0,
00:00.1,1.72E-05,-0.000675201,0.007953644,0,
00:00.1,1.72E-05,-0.000675201,0.007953644,0,
00:00.1,2.29E-05,-0.000686646,0.007953644,0,
00:00.1,1.72E-05,-0.000692368,0.007953644,0,
00:00.1,1.72E-05,-0.000675201,0.007953644,0,
00:00.1,1.72E-05,-0.000686646,0.007953644,0,
00:00.1,1.14E-05,-0.000720978,0.007947922,0,
00:00.1,5.72E-06,-0.000715256,0.007953644,0,
00:00.1,1.14E-05,-0.000652313,0.007953644,0,
00:00.1,2.86E-05,-0.000640869,0.007947922,0,
00:00.1,2.86E-05,-0.000669479,0.007947922,0,
00:00.1,2.29E-05,-0.000675201,0.007947922,0,
00:00.1,1.72E-05,-0.000692368,0.007947922,0,
00:00.1,1.14E-05,-0.000720978,0.007947922,0,
00:00.1,1.14E-05,-0.000703812,0.007947922,0,
00:00.1,2.86E-05,-0.000675201,0.007947922,0,
00:00.2,2.86E-05,-0.000663757,0.007947922,0,
00:00.2,2.29E-05,-0.000675201,0.007947922,0,
00:00.2,2.29E-05,-0.000680923,0.0079422,0,
00:00.2,2.29E-05,-0.000692368,0.007947922,0,
00:00.2,2.29E-05,-0.000686646,0.007947922,0,
00:00.2,2.29E-05,-0.000675201,0.0079422,0,
00:00.2,1.72E-05,-0.000669479,0.0079422,0,
00:00.2,2.86E-05,-0.000669479,0.0079422,0,
00:00.2,2.86E-05,-0.000675201,0.0079422,0,
00:00.2,1.72E-05,-0.00069809,0.0079422,0,
00:00.2,1.14E-05,-0.0007267,0.0079422,0,
00:00.2,1.14E-05,-0.000692368,0.0079422,0,
