Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.007249832,0.004302979,0.00769043,0,
00:00.0,0.007307053,0.004320145,0.007678986,0,
00:00.0,0.007238388,0.004297256,0.007713318,0,
00:00.0,0.007255554,0.00428009,0.00771904,0,
00:00.0,0.007278442,0.004268646,0.00769043,0,
00:00.0,0.007278442,0.004245758,0.007667542,0,
00:00.0,0.00727272,0.004297256,0.00769043,0,
00:00.0,0.00724411,0.004302979,0.00769043,0,
00:00.0,0.007238388,0.004314423,0.007701874,0,
00:00.0,0.00724411,0.004343033,0.007707596,0,
00:00.0,0.007226944,0.004308701,0.007707596,0,
00:00.0,0.007204056,0.004291534,0.007713318,0,
00:00.0,0.007209778,0.004291534,0.00771904,0,
00:00.1,0.007238388,0.004308701,0.00771904,0,
00:00.1,0.007198334,0.004285812,0.007678986,0,
00:00.1,0.007192612,0.004262924,0.007707596,0,
00:00.1,0.007249832,0.004291534,0.007701874,0,
00:00.1,0.007232666,0.00428009,0.007701874,0,
00:00.1,0.007255554,0.004285812,0.007707596,0,
00:00.1,0.007209778,0.00428009,0.00769043,0,
00:00.1,0.007204056,0.00428009,0.007713318,0,
00:00.1,0.007221222,0.004268646,0.007713318,0,
00:00.1,0.007181168,0.004228592,0.007707596,0,
00:00.1,0.007141113,0.00422287,0.007696152,0,
00:00.1,0.007232666,0.004320145,0.007673264,0,
00:00.1,0.007232666,0.004257202,0.00771904,0,
00:00.1,0.007226944,0.004268646,0.00771904,0,
00:00.1,0.007238388,0.004331589,0.007696152,0,
00:00.1,0.007221222,0.004297256,0.007701874,0,
00:00.1,0.007198334,0.00428009,0.007696152,0,
00:00.1,0.007198334,0.004245758,0.007696152,0,
00:00.1,0.007175446,0.004291534,0.007707596,0,
00:00.1,0.007164001,0.00428009,0.007724762,0,
00:00.1,0.007135391,0.004245758,0.007713318,0,
00:00.1,0.007129669,0.00428009,0.007707596,0,
00:00.1,0.007146835,0.00428009,0.007696152,0,
00:00.1,0.007266998,0.004297256,0.007684708,0,
00:00.1,0.007266998,0.004291534,0.00771904,0,
00:00.2,0.00724411,0.004268646,0.007678986,0,
00:00.2,0.0072155,0.004262924,0.007684708,0,
00:00.2,0.007141113,0.004240036,0.007701874,0,
00:00.2,0.007169724,0.00425148,0.00771904,0,
00:00.2,0.00718689,0.004257202,0.007701874,0,
00:00.2,0.007198334,0.004268646,0.00769043,0,
00:00.2,0.007181168,0.004257202,0.007713318,0,
00:00.2,0.007152557,0.004199982,0.007696152,0,
00:00.2,0.007175446,0.004240036,0.007678986,0,
00:00.2,0.007164001,0.004257202,0.007684708,0,
00:00.2,0.007141113,0.004257202,0.00771904,0,
00:00.2,0.007175446,0.004234314,0.007724762,0,
00:00.2,0.007164001,0.004217148,0.007701874,0,
00:00.2,0.007169724,0.004257202,0.007707596,0,
00:00.2,0.00718689,0.004262924,0.00771904,0,
00:00.2,0.007169724,0.004268646,0.007696152,0,
00:00.2,0.007164001,0.004268646,0.007701874,0,
00:00.2,0.007175446,0.004228592,0.007724762,0,
00:00.2,0.007152557,0.004268646,0.00771904,0,
00:00.2,0.007072449,0.004268646,0.007696152,0,
00:00.2,0.007066727,0.00422287,0.007713318,0,
00:00.2,0.007129669,0.004228592,0.007724762,0,
00:00.2,0.007169724,0.004274368,0.007707596,0,
00:00.2,0.007226944,0.00425148,0.00771904,0,
00:00.2,0.007209778,0.004228592,0.00769043,0,
00:00.3,0.007175446,0.004211426,0.007667542,0,
00:00.3,0.007146835,0.004205704,0.00769043,0,
00:00.3,0.007141113,0.004234314,0.007707596,0,
00:00.3,0.007123947,0.004217148,0.007707596,0,
00:00.3,0.007135391,0.00428009,0.007696152,0,
00:00.3,0.007146835,0.004285812,0.007701874,0,
00:00.3,0.007118225,0.00425148,0.007713318,0,
00:00.3,0.007078171,0.00425148,0.007724762,0,
00:00.3,0.007112503,0.004211426,0.007724762,0,
00:00.3,0.007164001,0.004257202,0.007701874,0,
00:00.3,0.007181168,0.004302979,0.00769043,0,
00:00.3,0.007118225,0.004217148,0.00771904,0,
00:00.3,0.007118225,0.004159927,0.007736206,0,
00:00.3,0.007152557,0.004217148,0.007730484,0,
00:00.3,0.007106781,0.004217148,0.007730484,0,
00:00.3,0.007101059,0.004171371,0.00771904,0,
00:00.3,0.007123947,0.004171371,0.00769043,0,
00:00.3,0.007101059,0.00425148,0.007701874,0,
00:00.3,0.007083893,0.00425148,0.007736206,0,
00:00.3,0.007118225,0.004205704,0.007736206,0,
00:00.3,0.007141113,0.00419426,0.007724762,0,
00:00.3,0.007123947,0.00419426,0.007724762,0,
00:00.3,0.007089615,0.004171371,0.00771904,0,
00:00.3,0.007095337,0.004274368,0.007707596,0,
00:00.3,0.007106781,0.004297256,0.007696152,0,
00:00.4,0.007101059,0.00425148,0.00771904,0,
00:00.4,0.007106781,0.00422287,0.00771904,0,
00:00.4,0.007095337,0.004205704,0.007730484,0,
00:00.4,0.007106781,0.004154205,0.007736206,0,
00:00.4,0.007123947,0.004211426,0.007713318,0,
00:00.4,0.007118225,0.00425148,0.007707596,0,
00:00.4,0.007129669,0.004228592,0.007713318,0,
00:00.4,0.007118225,0.004211426,0.007736206,0,
00:00.4,0.007089615,0.004205704,0.007736206,0,
00:00.4,0.007061005,0.004199982,0.007741928,0,
00:00.4,0.007061005,0.004217148,0.007736206,0,
00:00.4,0.007146835,0.004245758,0.00771904,0,
00:00.4,0.007106781,0.004240036,0.007696152,0,
00:00.4,0.007118225,0.004211426,0.007713318,0,
00:00.4,0.007072449,0.004159927,0.00774765,0,
00:00.4,0.007026672,0.004182816,0.007736206,0,
00:00.4,0.00702095,0.004199982,0.007753372,0,
00:00.4,0.007089615,0.004165649,0.007736206,0,
00:00.4,0.007101059,0.004119873,0.007713318,0,
00:00.4,0.007089615,0.004131317,0.00771904,0,
00:00.4,0.007078171,0.004211426,0.007730484,0,
00:00.4,0.007078171,0.00425148,0.007741928,0,
00:00.4,0.007072449,0.004234314,0.007753372,0,
00:00.4,0.007089615,0.004188538,0.007736206,0,
00:00.4,0.007043839,0.004188538,0.007730484,0,
00:00.5,0.007015228,0.004217148,0.007736206,0,
00:00.5,0.007043839,0.004165649,0.00774765,0,
00:00.5,0.007055283,0.004182816,0.00774765,0,
00:00.5,0.007106781,0.004211426,0.007724762,0,
00:00.5,0.007101059,0.004188538,0.007730484,0,
00:00.5,0.007066727,0.004211426,0.007713318,0,
00:00.5,0.007038116,0.00422287,0.007713318,0,
00:00.5,0.007061005,0.00422287,0.007730484,0,
00:00.5,0.007049561,0.004171371,0.007741928,0,
00:00.5,0.007038116,0.004159927,0.007753372,0,
00:00.5,0.007083893,0.004211426,0.007736206,0,
00:00.5,0.007078171,0.004188538,0.007741928,0,
00:00.5,0.007055283,0.004137039,0.00774765,0,
00:00.5,0.007043839,0.004108429,0.00771904,0,
00:00.5,0.007032394,0.004154205,0.00771904,0,
00:00.5,0.007015228,0.004188538,0.007764816,0,
00:00.5,0.007026672,0.004245758,0.007759094,0,
00:00.5,0.007066727,0.004228592,0.007741928,0,
00:00.5,0.007043839,0.004177094,0.007724762,0,
00:00.5,0.00702095,0.004165649,0.007713318,0,
00:00.5,0.007003784,0.004154205,0.007724762,0,
00:00.5,0.007015228,0.004171371,0.007736206,0,
00:00.5,0.007055283,0.004165649,0.007730484,0,
00:00.5,0.007026672,0.004142761,0.007724762,0,
00:00.5,0.00693512,0.004159927,0.007736206,0,
00:00.6,0.006986618,0.004171371,0.007741928,0,
00:00.6,0.007078171,0.004188538,0.007730484,0,
00:00.6,0.007078171,0.004148483,0.007730484,0,
00:00.6,0.007003784,0.004171371,0.007724762,0,
00:00.6,0.007061005,0.00419426,0.007730484,0,
00:00.6,0.007038116,0.004171371,0.007759094,0,
00:00.6,0.00702095,0.004142761,0.00774765,0,
00:00.6,0.00702095,0.004182816,0.007741928,0,
00:00.6,0.007003784,0.004182816,0.007724762,0,
00:00.6,0.007015228,0.004137039,0.00771904,0,
00:00.6,0.007015228,0.004085541,0.00771904,0,
00:00.6,0.007026672,0.004171371,0.007736206,0,
00:00.6,0.007003784,0.004142761,0.007736206,0,
00:00.6,0.007009506,0.004177094,0.007741928,0,
00:00.6,0.007015228,0.004217148,0.007741928,0,
00:00.6,0.007003784,0.004182816,0.00771904,0,
00:00.6,0.007009506,0.004114151,0.007736206,0,
00:00.6,0.006975174,0.004154205,0.007753372,0,
00:00.6,0.006986618,0.004177094,0.007764816,0,
00:00.6,0.006980896,0.004142761,0.007753372,0,
00:00.6,0.006998062,0.004171371,0.007759094,0,
00:00.6,0.00699234,0.004199982,0.007736206,0,
00:00.6,0.006969452,0.004177094,0.007730484,0,
00:00.6,0.00702095,0.004142761,0.00771904,0,
00:00.6,0.007009506,0.004131317,0.007741928,0,
00:00.7,0.007003784,0.004182816,0.007741928,0,
00:00.7,0.006980896,0.004177094,0.007736206,0,
00:00.7,0.006958008,0.004108429,0.00774765,0,
00:00.7,0.006969452,0.004096985,0.00777626,0,
00:00.7,0.007026672,0.004142761,0.007736206,0,
00:00.7,0.007038116,0.004137039,0.00769043,0,
00:00.7,0.007003784,0.004165649,0.007696152,0,
00:00.7,0.006980896,0.004177094,0.007741928,0,
00:00.7,0.006969452,0.004142761,0.007764816,0,
00:00.7,0.006946564,0.004137039,0.007770538,0,
00:00.7,0.006975174,0.004119873,0.00774765,0,
00:00.7,0.007009506,0.004148483,0.00774765,0,
00:00.7,0.006998062,0.004114151,0.007736206,0,
00:00.7,0.006975174,0.004142761,0.007730484,0,
00:00.7,0.006975174,0.00419426,0.007736206,0,
00:00.7,0.006946564,0.004182816,0.007730484,0,
00:00.7,0.006940842,0.004159927,0.007741928,0,
00:00.7,0.00699234,0.004148483,0.007741928,0,
00:00.7,0.006969452,0.004119873,0.007724762,0,
00:00.7,0.00696373,0.004142761,0.007730484,0,
00:00.7,0.00699234,0.004182816,0.007741928,0,
00:00.7,0.006969452,0.004154205,0.00774765,0,
00:00.7,0.006883621,0.004131317,0.007730484,0,
00:00.7,0.006923676,0.004137039,0.007741928,0,
00:00.7,0.00696373,0.004079819,0.007730484,0,
00:00.8,0.006906509,0.004016876,0.007759094,0,
00:00.8,0.006958008,0.004137039,0.007753372,0,
00:00.8,0.007061005,0.004217148,0.007701874,0,
00:00.8,0.006969452,0.004159927,0.007741928,0,
00:00.8,0.006969452,0.004177094,0.007736206,0,
00:00.8,0.006958008,0.004119873,0.007741928,0,
00:00.8,0.00696373,0.004108429,0.007736206,0,
00:00.8,0.006980896,0.004108429,0.007753372,0,
00:00.8,0.006952286,0.004125595,0.00774765,0,
00:00.8,0.006952286,0.004119873,0.007741928,0,
00:00.8,0.006946564,0.004119873,0.007713318,0,
00:00.8,0.006940842,0.004096985,0.007741928,0,
00:00.8,0.006940842,0.004119873,0.007741928,0,
00:00.8,0.006946564,0.004171371,0.007736206,0,
00:00.8,0.00693512,0.004154205,0.007730484,0,
00:00.8,0.006952286,0.004096985,0.00774765,0,
00:00.8,0.006940842,0.004062653,0.007730484,0,
00:00.8,0.006929398,0.004108429,0.007741928,0,
00:00.8,0.006917953,0.004125595,0.007753372,0,
00:00.8,0.006917953,0.004119873,0.007759094,0,
00:00.8,0.006923676,0.004131317,0.007759094,0,
00:00.8,0.006969452,0.004165649,0.007736206,0,
00:00.8,0.006940842,0.004102707,0.007741928,0,
00:00.8,0.006889343,0.004062653,0.00774765,0,
00:00.8,0.006832123,0.004074097,0.007764816,0,
00:00.9,0.006969452,0.004119873,0.007736206,0,
00:00.9,0.007032394,0.004165649,0.007713318,0,
00:00.9,0.006958008,0.004165649,0.007736206,0,
00:00.9,0.006923676,0.004142761,0.007764816,0,
00:00.9,0.006946564,0.004108429,0.00774765,0,
00:00.9,0.006940842,0.004119873,0.007753372,0,
00:00.9,0.006855011,0.004096985,0.007741928,0,
00:00.9,0.006866455,0.004079819,0.00774765,0,
00:00.9,0.00693512,0.004108429,0.007753372,0,
00:00.9,0.006940842,0.004096985,0.007736206,0,
00:00.9,0.006923676,0.004091263,0.007736206,0,
00:00.9,0.006929398,0.004074097,0.007741928,0,
00:00.9,0.006906509,0.004131317,0.007753372,0,
00:00.9,0.006929398,0.004119873,0.007753372,0,
00:00.9,0.00693512,0.004102707,0.007759094,0,
00:00.9,0.006900787,0.004085541,0.007770538,0,
00:00.9,0.006917953,0.004062653,0.00774765,0,
00:00.9,0.006940842,0.004034042,0.007736206,0,
00:00.9,0.00693512,0.004142761,0.007730484,0,
