Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.006906509,0.001813889,0.016279221,0,
00:00.0,0.006855011,0.001808167,0.016296387,0,
00:00.0,0.006849289,0.001802444,0.016302109,0,
00:00.0,0.006889343,0.001796722,0.016319275,0,
00:00.0,0.006849289,0.001791,0.016336441,0,
00:00.0,0.006849289,0.001796722,0.016313553,0,
00:00.0,0.006860733,0.001802444,0.016313553,0,
00:00.0,0.006866455,0.001802444,0.016336441,0,
00:00.0,0.006849289,0.001796722,0.016324997,0,
00:00.0,0.006849289,0.001791,0.016319275,0,
00:00.0,0.006877899,0.001796722,0.016319275,0,
00:00.0,0.006872177,0.001796722,0.016307831,0,
00:00.0,0.006872177,0.001796722,0.016307831,0,
00:00.1,0.006872177,0.001791,0.016302109,0,
00:00.1,0.006883621,0.001802444,0.016290665,0,
00:00.1,0.006872177,0.001785278,0.01625061,0,
00:00.1,0.006843567,0.00176239,0.01625061,0,
00:00.1,0.006866455,0.00176239,0.016307831,0,
00:00.1,0.006849289,0.001768112,0.016336441,0,
00:00.1,0.006860733,0.001773834,0.016342163,0,
00:00.1,0.006843567,0.001779556,0.016342163,0,
00:00.1,0.006855011,0.001785278,0.016324997,0,
00:00.1,0.006866455,0.001785278,0.016347885,0,
00:00.1,0.006855011,0.001773834,0.016330719,0,
00:00.1,0.006866455,0.001773834,0.016313553,0,
00:00.1,0.006872177,0.001773834,0.016307831,0,
00:00.1,0.006855011,0.001768112,0.016307831,0,
00:00.1,0.006855011,0.001773834,0.016319275,0,
00:00.1,0.006860733,0.001785278,0.016307831,0,
00:00.1,0.006843567,0.001773834,0.016290665,0,
00:00.1,0.006866455,0.00176239,0.016296387,0,
00:00.1,0.006866455,0.001768112,0.016284943,0,
00:00.1,0.006855011,0.001773834,0.016279221,0,
00:00.1,0.006849289,0.001768112,0.016284943,0,
00:00.1,0.006860733,0.001756668,0.016307831,0,
00:00.1,0.006895065,0.001768112,0.016330719,0,
00:00.1,0.006889343,0.001768112,0.016324997,0,
00:00.1,0.006843567,0.001779556,0.016307831,0,
00:00.2,0.006832123,0.001756668,0.016313553,0,
00:00.2,0.006866455,0.001779556,0.016319275,0,
00:00.2,0.006877899,0.001773834,0.016324997,0,
00:00.2,0.006837845,0.00176239,0.016307831,0,
00:00.2,0.006849289,0.001768112,0.016307831,0,
00:00.2,0.006855011,0.00176239,0.016313553,0,
00:00.2,0.006832123,0.001756668,0.016302109,0,
00:00.2,0.006837845,0.00176239,0.016307831,0,
00:00.2,0.006860733,0.001768112,0.016307831,0,
00:00.2,0.006860733,0.001745224,0.016290665,0,
00:00.2,0.006832123,0.001750946,0.016290665,0,
00:00.2,0.006877899,0.00176239,0.016296387,0,
00:00.2,0.006866455,0.00176239,0.016267776,0,
