Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.004337311,0.001808167,0.018339157,0,
00:00.0,0.004354477,0.001853943,0.018316269,0,
00:00.0,0.004371643,0.001888275,0.018293381,0,
00:00.0,0.004343033,0.001825333,0.018304825,0,
00:00.0,0.004343033,0.001791,0.018344879,0,
00:00.0,0.004343033,0.001779556,0.018327713,0,
00:00.0,0.004348755,0.001773834,0.018321991,0,
00:00.0,0.004348755,0.001802444,0.018333435,0,
00:00.0,0.004337311,0.001785278,0.018316269,0,
00:00.0,0.004348755,0.001796722,0.018310547,0,
00:00.0,0.004354477,0.001813889,0.018304825,0,
00:00.0,0.004343033,0.001791,0.018304825,0,
00:00.0,0.004337311,0.001779556,0.018293381,0,
00:00.1,0.004331589,0.001779556,0.018310547,0,
00:00.1,0.004348755,0.001825333,0.018304825,0,
00:00.1,0.004348755,0.001813889,0.018293381,0,
00:00.1,0.004331589,0.001773834,0.018299103,0,
00:00.1,0.004320145,0.001802444,0.018281937,0,
00:00.1,0.004325867,0.001773834,0.018287659,0,
00:00.1,0.004337311,0.001779556,0.018299103,0,
00:00.1,0.004325867,0.001819611,0.018299103,0,
00:00.1,0.004325867,0.001836777,0.018276215,0,
00:00.1,0.004320145,0.001756668,0.018281937,0,
00:00.1,0.004320145,0.001773834,0.018299103,0,
00:00.1,0.004337311,0.001825333,0.018293381,0,
00:00.1,0.004337311,0.001773834,0.018281937,0,
00:00.1,0.004314423,0.001813889,0.018281937,0,
00:00.1,0.004325867,0.001819611,0.018259048,0,
00:00.1,0.004325867,0.001796722,0.018259048,0,
00:00.1,0.004331589,0.001802444,0.018259048,0,
00:00.1,0.004331589,0.001808167,0.018270493,0,
00:00.1,0.004343033,0.001853943,0.018264771,0,
00:00.1,0.004337311,0.001808167,0.018270493,0,
00:00.1,0.004331589,0.001796722,0.018276215,0,
00:00.1,0.004331589,0.001773834,0.018264771,0,
00:00.1,0.004343033,0.001819611,0.018247604,0,
00:00.1,0.004348755,0.001813889,0.018247604,0,
00:00.1,0.004331589,0.001791,0.018259048,0,
00:00.2,0.004331589,0.001796722,0.018253326,0,
00:00.2,0.004343033,0.001813889,0.018264771,0,
00:00.2,0.004331589,0.001802444,0.018259048,0,
