Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.007661819,0.003479004,0.008611679,0,
00:00.0,0.007730484,0.00352478,0.008611679,0,
00:00.0,0.007713318,0.003513336,0.008588791,0,
00:00.0,0.007593155,0.003507614,0.008611679,0,
00:00.0,0.00771904,0.003473282,0.008623123,0,
00:00.0,0.007713318,0.00346756,0.008565903,0,
00:00.0,0.007753372,0.003513336,0.008571625,0,
00:00.0,0.007736206,0.003541946,0.008623123,0,
00:00.0,0.007753372,0.003582001,0.008623123,0,
00:00.0,0.00774765,0.003559113,0.008605957,0,
00:00.0,0.007724762,0.003501892,0.008571625,0,
00:00.0,0.007724762,0.003444672,0.008594513,0,
00:00.0,0.007587433,0.003450394,0.008634567,0,
00:00.1,0.007604599,0.003513336,0.008611679,0,
00:00.1,0.007810593,0.003604889,0.008554459,0,
00:00.1,0.007862091,0.003582001,0.008611679,0,
00:00.1,0.00769043,0.003507614,0.008623123,0,
00:00.1,0.007724762,0.003519058,0.008594513,0,
00:00.1,0.007793427,0.003513336,0.008588791,0,
00:00.1,0.007764816,0.00352478,0.008577347,0,
00:00.1,0.007724762,0.003536224,0.008605957,0,
00:00.1,0.00771904,0.003530502,0.008617401,0,
00:00.1,0.007724762,0.003479004,0.008588791,0,
00:00.1,0.007787704,0.003479004,0.008588791,0,
00:00.1,0.007804871,0.003519058,0.008594513,0,
00:00.1,0.007816315,0.003587723,0.008600235,0,
00:00.1,0.007793427,0.003587723,0.008554459,0,
00:00.1,0.007724762,0.003570557,0.008605957,0,
00:00.1,0.007799149,0.003559113,0.008623123,0,
00:00.1,0.00777626,0.00352478,0.008588791,0,
00:00.1,0.00774765,0.003507614,0.008594513,0,
00:00.1,0.00774765,0.003490448,0.008594513,0,
00:00.1,0.007764816,0.003484726,0.008600235,0,
00:00.1,0.007701874,0.003490448,0.008600235,0,
00:00.1,0.007713318,0.003536224,0.008588791,0,
00:00.1,0.007862091,0.003627777,0.008554459,0,
00:00.1,0.007867813,0.003599167,0.008548737,0,
00:00.1,0.007822037,0.003593445,0.008571625,0,
00:00.2,0.007799149,0.003570557,0.008588791,0,
00:00.2,0.007770538,0.003501892,0.008577347,0,
00:00.2,0.007816315,0.003433228,0.008560181,0,
00:00.2,0.007850647,0.003501892,0.008560181,0,
00:00.2,0.007816315,0.003582001,0.008577347,0,
00:00.2,0.007816315,0.003627777,0.008583069,0,
00:00.2,0.007827759,0.003639221,0.008588791,0,
00:00.2,0.007804871,0.003616333,0.008577347,0,
00:00.2,0.007827759,0.003570557,0.008583069,0,
00:00.2,0.007936478,0.003547668,0.00853157,0,
00:00.2,0.007862091,0.003530502,0.008565903,0,
00:00.2,0.007753372,0.003559113,0.008594513,0,
00:00.2,0.007799149,0.003593445,0.008565903,0,
