Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000137329,-0.002820969,0.005596161,0,
00:00.0,0.000125885,-0.002906799,0.005590439,0,
00:00.0,0.000183105,-0.002906799,0.005590439,0,
00:00.0,0.000205994,-0.002780914,0.005641937,0,
00:00.0,0.000183105,-0.002809525,0.005573273,0,
00:00.0,0.000120163,-0.002826691,0.005601883,0,
00:00.0,0.000131607,-0.002815247,0.005578995,0,
00:00.0,0.000160217,-0.002838135,0.005561829,0,
00:00.0,0.000160217,-0.002775192,0.005584717,0,
00:00.0,8.58E-05,-0.002826691,0.005550385,0,
00:00.0,0.000165939,-0.002832413,0.005630493,0,
00:00.0,0.000200272,-0.002838135,0.005636215,0,
00:00.0,0.000160217,-0.002775192,0.005607605,0,
00:00.1,0.000102997,-0.002809525,0.005561829,0,
00:00.1,0.000154495,-0.002786636,0.005550385,0,
00:00.1,0.000148773,-0.002855301,0.005556107,0,
00:00.1,0.000183105,-0.002918243,0.005413055,0,
00:00.1,0.000263214,-0.00279808,0.005504608,0,
00:00.1,0.000125885,-0.002729416,0.005739212,0,
00:00.1,9.73E-05,-0.002815247,0.005630493,0,
00:00.1,0.000154495,-0.002838135,0.005550385,0,
00:00.1,0.000188828,-0.002855301,0.005527496,0,
00:00.1,0.000188828,-0.002901077,0.005601883,0,
00:00.1,0.00019455,-0.002820969,0.005664825,0,
00:00.1,0.000131607,-0.002826691,0.005641937,0,
00:00.1,0.000114441,-0.002820969,0.005613327,0,
00:00.1,9.16E-05,-0.002832413,0.005584717,0,
00:00.1,0.000171661,-0.002803802,0.005544662,0,
00:00.1,0.000263214,-0.002878189,0.005573273,0,
00:00.1,0.000160217,-0.002843857,0.005561829,0,
00:00.1,9.73E-05,-0.00276947,0.005601883,0,
00:00.1,0.000148773,-0.002752304,0.005601883,0,
00:00.1,0.000200272,-0.00276947,0.005619049,0,
00:00.1,0.000211716,-0.002803802,0.005487442,0,
00:00.1,0.000171661,-0.002820969,0.005521774,0,
00:00.1,0.000125885,-0.002820969,0.005573273,0,
