Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000268936,-0.002901077,0.005493164,0,
00:00.0,-0.000263214,-0.002901077,0.005498886,0,
00:00.0,-0.000257492,-0.002895355,0.005493164,0,
00:00.0,-0.00025177,-0.002878189,0.005487442,0,
00:00.0,-0.000257492,-0.002883911,0.005493164,0,
00:00.0,-0.000268936,-0.002906799,0.005493164,0,
00:00.0,-0.000263214,-0.002912521,0.005493164,0,
00:00.0,-0.00025177,-0.002906799,0.005493164,0,
00:00.0,-0.000268936,-0.002901077,0.00551033,0,
00:00.0,-0.000263214,-0.002889633,0.005498886,0,
00:00.0,-0.000257492,-0.002906799,0.005487442,0,
00:00.0,-0.00028038,-0.002918243,0.005498886,0,
00:00.0,-0.00028038,-0.002906799,0.005493164,0,
00:00.1,-0.000274658,-0.002889633,0.005498886,0,
00:00.1,-0.000268936,-0.002883911,0.005504608,0,
00:00.1,-0.000268936,-0.002883911,0.005504608,0,
00:00.1,-0.000263214,-0.002872467,0.005504608,0,
00:00.1,-0.00025177,-0.002901077,0.00548172,0,
00:00.1,-0.00025177,-0.002906799,0.00548172,0,
00:00.1,-0.000274658,-0.002906799,0.005521774,0,
00:00.1,-0.000263214,-0.002901077,0.005527496,0,
00:00.1,-0.000263214,-0.002895355,0.005504608,0,
00:00.1,-0.000291824,-0.002883911,0.005516052,0,
00:00.1,-0.000257492,-0.002895355,0.005516052,0,
00:00.1,-0.00025177,-0.002906799,0.005504608,0,
00:00.1,-0.000234604,-0.002895355,0.005498886,0,
00:00.1,-0.000263214,-0.002901077,0.005498886,0,
00:00.1,-0.000257492,-0.002895355,0.005521774,0,
00:00.1,-0.000257492,-0.002895355,0.005516052,0,
00:00.1,-0.00025177,-0.002901077,0.00551033,0,
00:00.1,-0.00025177,-0.002889633,0.005504608,0,
00:00.1,-0.000257492,-0.002872467,0.00551033,0,
00:00.1,-0.00025177,-0.002878189,0.005516052,0,
00:00.1,-0.000257492,-0.002901077,0.005516052,0,
00:00.1,-0.00025177,-0.002883911,0.005504608,0,
00:00.1,-0.000263214,-0.002878189,0.005504608,0,
00:00.1,-0.000274658,-0.002895355,0.005521774,0,
00:00.1,-0.000263214,-0.002889633,0.005498886,0,
