Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000228882,-0.003101349,0.005664825,0,
00:00.0,0.000228882,-0.003089905,0.005664825,0,
00:00.0,0.000234604,-0.003072739,0.005659103,0,
00:00.0,0.000234604,-0.003067017,0.005664825,0,
00:00.0,0.000234604,-0.003067017,0.005670547,0,
00:00.0,0.000228882,-0.003078461,0.005670547,0,
00:00.0,0.000234604,-0.003084183,0.005664825,0,
00:00.0,0.000228882,-0.003089905,0.005664825,0,
00:00.0,0.000228882,-0.003095627,0.005670547,0,
00:00.0,0.000228882,-0.003095627,0.005670547,0,
00:00.0,0.000228882,-0.003095627,0.005670547,0,
00:00.0,0.000228882,-0.003101349,0.005664825,0,
00:00.0,0.000228882,-0.003095627,0.005664825,0,
00:00.1,0.000228882,-0.003084183,0.005670547,0,
00:00.1,0.000228882,-0.003089905,0.00567627,0,
00:00.1,0.000234604,-0.003084183,0.00567627,0,
00:00.1,0.000234604,-0.003067017,0.005670547,0,
00:00.1,0.000228882,-0.003072739,0.005664825,0,
00:00.1,0.000228882,-0.003072739,0.005670547,0,
00:00.1,0.000228882,-0.003072739,0.00567627,0,
00:00.1,0.000228882,-0.003072739,0.005670547,0,
00:00.1,0.000228882,-0.003084183,0.005670547,0,
00:00.1,0.000228882,-0.003089905,0.005670547,0,
00:00.1,0.000228882,-0.003084183,0.005670547,0,
00:00.1,0.000234604,-0.003078461,0.00567627,0,
00:00.1,0.000228882,-0.003078461,0.00567627,0,
00:00.1,0.000228882,-0.003072739,0.005670547,0,
00:00.1,0.000228882,-0.003084183,0.005670547,0,
00:00.1,0.000228882,-0.003095627,0.005670547,0,
00:00.1,0.000228882,-0.003095627,0.00567627,0,
00:00.1,0.000228882,-0.003089905,0.00567627,0,
00:00.1,0.000228882,-0.003089905,0.005670547,0,
00:00.1,0.000228882,-0.003089905,0.005670547,0,
00:00.1,0.000234604,-0.003078461,0.005670547,0,
00:00.1,0.000234604,-0.003072739,0.00567627,0,
00:00.1,0.000228882,-0.003078461,0.005670547,0,
00:00.1,0.000228882,-0.003084183,0.005670547,0,
00:00.1,0.000234604,-0.003089905,0.005664825,0,
00:00.2,0.000234604,-0.003095627,0.005670547,0,
00:00.2,0.000228882,-0.003078461,0.005670547,0,
