Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.00047493,-0.002592087,0.005802155,0,
00:00.0,-0.000492096,-0.002609253,0.005819321,0,
00:00.0,-0.000423431,-0.002603531,0.005813599,0,
00:00.0,-0.000429153,-0.002603531,0.005819321,0,
00:00.0,-0.000480652,-0.002603531,0.005807877,0,
00:00.0,-0.000423431,-0.002580643,0.005813599,0,
00:00.0,-0.000394821,-0.002557755,0.005807877,0,
00:00.0,-0.000400543,-0.002569199,0.005813599,0,
00:00.0,-0.000406265,-0.002580643,0.005819321,0,
00:00.0,-0.000429153,-0.002609253,0.005813599,0,
00:00.0,-0.000440598,-0.002626419,0.005802155,0,
00:00.0,-0.000434875,-0.002597809,0.005813599,0,
00:00.0,-0.000434875,-0.002580643,0.005819321,0,
00:00.1,-0.00044632,-0.002592087,0.005802155,0,
00:00.1,-0.000452042,-0.002603531,0.005802155,0,
00:00.1,-0.00044632,-0.002609253,0.005813599,0,
00:00.1,-0.000429153,-0.002580643,0.005813599,0,
00:00.1,-0.000434875,-0.002563477,0.005807877,0,
00:00.1,-0.00044632,-0.002592087,0.005825043,0,
00:00.1,-0.000463486,-0.002626419,0.005847931,0,
00:00.1,-0.000469208,-0.002603531,0.005836487,0,
00:00.1,-0.00050354,-0.002592087,0.005802155,0,
00:00.1,-0.000497818,-0.002609253,0.005807877,0,
00:00.1,-0.000417709,-0.002614975,0.005813599,0,
00:00.1,-0.000434875,-0.002609253,0.005825043,0,
00:00.1,-0.000394821,-0.002580643,0.005819321,0,
00:00.1,-0.000429153,-0.002574921,0.005813599,0,
00:00.1,-0.000423431,-0.002574921,0.005802155,0,
00:00.1,-0.000440598,-0.002592087,0.005807877,0,
00:00.1,-0.000452042,-0.002609253,0.005813599,0,
00:00.1,-0.00050354,-0.002609253,0.005819321,0,
00:00.1,-0.000457764,-0.002580643,0.005813599,0,
00:00.1,-0.000406265,-0.002574921,0.005802155,0,
00:00.1,-0.000440598,-0.002597809,0.005813599,0,
00:00.1,-0.00044632,-0.002603531,0.005802155,0,
00:00.1,-0.000440598,-0.002597809,0.005819321,0,
00:00.1,-0.000463486,-0.002592087,0.005819321,0,
00:00.1,-0.000463486,-0.002592087,0.005825043,0,
00:00.2,-0.000452042,-0.002586365,0.005813599,0,
00:00.2,-0.000452042,-0.002592087,0.005802155,0,
00:00.2,-0.00050354,-0.002597809,0.005807877,0,
00:00.2,-0.000555038,-0.002614975,0.005830765,0,
00:00.2,-0.000417709,-0.002609253,0.005813599,0,
00:00.2,-0.000423431,-0.002586365,0.005813599,0,
00:00.2,-0.000452042,-0.002580643,0.005813599,0,
00:00.2,-0.000463486,-0.002597809,0.005819321,0,
00:00.2,-0.000463486,-0.002614975,0.005819321,0,
00:00.2,-0.000509262,-0.002620697,0.005819321,0,
00:00.2,-0.000514984,-0.002632141,0.005842209,0,
00:00.2,-0.000457764,-0.002603531,0.005819321,0,
00:00.2,-0.000411987,-0.002569199,0.00579071,0,
00:00.2,-0.000417709,-0.002557755,0.00579071,0,
00:00.2,-0.000434875,-0.002574921,0.005796432,0,
00:00.2,-0.000452042,-0.002592087,0.005807877,0,
00:00.2,-0.000469208,-0.002597809,0.005819321,0,
00:00.2,-0.000463486,-0.002597809,0.005825043,0,
00:00.2,-0.000469208,-0.002614975,0.005819321,0,
00:00.2,-0.000480652,-0.002632141,0.005819321,0,
00:00.2,-0.00047493,-0.002626419,0.005819321,0,
00:00.2,-0.000463486,-0.002614975,0.005819321,0,
00:00.2,-0.000457764,-0.002597809,0.00579071,0,
00:00.2,-0.000452042,-0.002597809,0.005807877,0,
00:00.2,-0.00047493,-0.002614975,0.005830765,0,
00:00.3,-0.000480652,-0.002580643,0.005813599,0,
00:00.3,-0.000463486,-0.002569199,0.005802155,0,
00:00.3,-0.000486374,-0.002592087,0.005802155,0,
00:00.3,-0.000486374,-0.002597809,0.005813599,0,
00:00.3,-0.00050354,-0.002603531,0.005819321,0,
00:00.3,-0.000520706,-0.002597809,0.005807877,0,
00:00.3,-0.000463486,-0.002597809,0.005807877,0,
00:00.3,-0.000509262,-0.002609253,0.005825043,0,
00:00.3,-0.000514984,-0.002609253,0.005813599,0,
00:00.3,-0.000457764,-0.002592087,0.005807877,0,
00:00.3,-0.000457764,-0.002609253,0.005813599,0,
00:00.3,-0.000440598,-0.002620697,0.005819321,0,
00:00.3,-0.00044632,-0.002592087,0.005807877,0,
00:00.3,-0.000452042,-0.002592087,0.005813599,0,
00:00.3,-0.000469208,-0.002603531,0.005813599,0,
00:00.3,-0.000463486,-0.002603531,0.005819321,0,
00:00.3,-0.000463486,-0.002609253,0.005802155,0,
00:00.3,-0.00047493,-0.002620697,0.005802155,0,
00:00.3,-0.000469208,-0.002637863,0.005819321,0,
00:00.3,-0.000463486,-0.002614975,0.00579071,0,
00:00.3,-0.000480652,-0.002569199,0.005784988,0,
00:00.3,-0.000469208,-0.002574921,0.005802155,0,
00:00.3,-0.000480652,-0.002603531,0.005802155,0,
00:00.3,-0.000480652,-0.002586365,0.005813599,0,
00:00.3,-0.000486374,-0.002586365,0.005813599,0,
00:00.4,-0.00050354,-0.002586365,0.005802155,0,
00:00.4,-0.00050354,-0.002603531,0.005802155,0,
