Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000314713,-0.00279808,0.005378723,0,
00:00.0,-0.00030899,-0.00279808,0.005361557,0,
00:00.0,-0.000314713,-0.002792358,0.005361557,0,
00:00.0,-0.00030899,-0.002786636,0.005350113,0,
00:00.0,-0.000314713,-0.00279808,0.005344391,0,
00:00.0,-0.000314713,-0.00279808,0.005355835,0,
00:00.0,-0.00030899,-0.002775192,0.005344391,0,
00:00.0,-0.000314713,-0.002780914,0.005321503,0,
00:00.0,-0.000320435,-0.002786636,0.005344391,0,
00:00.0,-0.000326157,-0.002780914,0.005350113,0,
00:00.0,-0.000326157,-0.002786636,0.005344391,0,
00:00.0,-0.000303268,-0.00279808,0.005350113,0,
00:00.0,-0.000331879,-0.002820969,0.005373001,0,
00:00.1,-0.000320435,-0.002843857,0.005361557,0,
00:00.1,-0.000326157,-0.002809525,0.005338669,0,
00:00.1,-0.000337601,-0.00279808,0.005344391,0,
00:00.1,-0.000366211,-0.002809525,0.005378723,0,
00:00.1,-0.000326157,-0.002809525,0.005367279,0,
00:00.1,-0.00030899,-0.002820969,0.005367279,0,
00:00.1,-0.000326157,-0.002809525,0.005367279,0,
00:00.1,-0.000343323,-0.002820969,0.005355835,0,
00:00.1,-0.000331879,-0.002786636,0.005355835,0,
00:00.1,-0.000331879,-0.002780914,0.005350113,0,
00:00.1,-0.000331879,-0.002809525,0.005361557,0,
00:00.1,-0.000326157,-0.002815247,0.005361557,0,
00:00.1,-0.000337601,-0.002838135,0.005378723,0,
00:00.1,-0.000337601,-0.002815247,0.005373001,0,
00:00.1,-0.000320435,-0.002786636,0.005361557,0,
00:00.1,-0.000349045,-0.002792358,0.005355835,0,
00:00.1,-0.000343323,-0.002809525,0.005378723,0,
00:00.1,-0.000326157,-0.002838135,0.005361557,0,
00:00.1,-0.000337601,-0.002815247,0.005355835,0,
00:00.1,-0.000326157,-0.00279808,0.005373001,0,
00:00.1,-0.000331879,-0.002815247,0.005367279,0,
00:00.1,-0.000337601,-0.002820969,0.005373001,0,
00:00.1,-0.000303268,-0.002803802,0.005350113,0,
00:00.1,-0.000303268,-0.002809525,0.005344391,0,
00:00.1,-0.000377655,-0.002815247,0.005373001,0,
00:00.2,-0.000371933,-0.002809525,0.005373001,0,
00:00.2,-0.000360489,-0.002820969,0.005361557,0,
00:00.2,-0.000326157,-0.002792358,0.005344391,0,
00:00.2,-0.000343323,-0.00279808,0.005355835,0,
00:00.2,-0.000337601,-0.002809525,0.005361557,0,
00:00.2,-0.000331879,-0.002838135,0.005373001,0,
00:00.2,-0.000354767,-0.002843857,0.005367279,0,
00:00.2,-0.000349045,-0.002832413,0.005390167,0,
00:00.2,-0.000314713,-0.002820969,0.005384445,0,
00:00.2,-0.000326157,-0.002826691,0.005378723,0,
00:00.2,-0.000337601,-0.002832413,0.005367279,0,
00:00.2,-0.000343323,-0.002832413,0.005373001,0,
00:00.2,-0.000354767,-0.002849579,0.005367279,0,
00:00.2,-0.000349045,-0.002849579,0.005373001,0,
00:00.2,-0.000343323,-0.002820969,0.005384445,0,
00:00.2,-0.000337601,-0.002803802,0.005395889,0,
00:00.2,-0.000349045,-0.002826691,0.005378723,0,
00:00.2,-0.000354767,-0.002843857,0.005367279,0,
00:00.2,-0.000349045,-0.002832413,0.005361557,0,
00:00.2,-0.000343323,-0.002838135,0.005378723,0,
00:00.2,-0.000354767,-0.002843857,0.005378723,0,
00:00.2,-0.000360489,-0.002815247,0.005367279,0,
00:00.2,-0.000360489,-0.002809525,0.005350113,0,
00:00.2,-0.000360489,-0.002861023,0.005361557,0,
00:00.2,-0.000337601,-0.002843857,0.005355835,0,
00:00.3,-0.000360489,-0.002832413,0.005384445,0,
00:00.3,-0.000331879,-0.002832413,0.005384445,0,
00:00.3,-0.000337601,-0.002843857,0.005350113,0,
00:00.3,-0.000360489,-0.002826691,0.005350113,0,
00:00.3,-0.000337601,-0.002815247,0.005373001,0,
00:00.3,-0.000360489,-0.002832413,0.005355835,0,
00:00.3,-0.000343323,-0.002838135,0.005355835,0,
00:00.3,-0.000320435,-0.002838135,0.005367279,0,
00:00.3,-0.000331879,-0.002832413,0.005378723,0,
00:00.3,-0.000331879,-0.002832413,0.005378723,0,
00:00.3,-0.000343323,-0.002855301,0.005384445,0,
00:00.3,-0.000383377,-0.002866745,0.005390167,0,
00:00.3,-0.000371933,-0.002855301,0.005401611,0,
00:00.3,-0.000354767,-0.002843857,0.005384445,0,
00:00.3,-0.000349045,-0.002832413,0.005384445,0,
00:00.3,-0.000366211,-0.002838135,0.005373001,0,
00:00.3,-0.000360489,-0.002832413,0.005378723,0,
00:00.3,-0.000366211,-0.002843857,0.005355835,0,
00:00.3,-0.000354767,-0.002838135,0.005373001,0,
00:00.3,-0.000354767,-0.002832413,0.005378723,0,
00:00.3,-0.000371933,-0.002855301,0.005378723,0,
00:00.3,-0.000377655,-0.002855301,0.005338669,0,
00:00.3,-0.000366211,-0.002855301,0.005355835,0,
00:00.3,-0.000377655,-0.002866745,0.005390167,0,
00:00.3,-0.000366211,-0.002843857,0.005390167,0,
00:00.4,-0.000354767,-0.002832413,0.005395889,0,
00:00.4,-0.000360489,-0.002832413,0.005378723,0,
00:00.4,-0.000354767,-0.002826691,0.005367279,0,
00:00.4,-0.000371933,-0.002849579,0.005373001,0,
00:00.4,-0.000377655,-0.002855301,0.005373001,0,
00:00.4,-0.000320435,-0.002843857,0.005378723,0,
00:00.4,-0.000343323,-0.002838135,0.005395889,0,
00:00.4,-0.000383377,-0.002849579,0.005390167,0,
00:00.4,-0.000377655,-0.002849579,0.005384445,0,
00:00.4,-0.000366211,-0.002838135,0.005378723,0,
00:00.4,-0.000371933,-0.002849579,0.005378723,0,
00:00.4,-0.000400543,-0.002872467,0.005401611,0,
00:00.4,-0.000394821,-0.002872467,0.005407333,0,
00:00.4,-0.000354767,-0.002855301,0.005390167,0,
00:00.4,-0.000366211,-0.002861023,0.005407333,0,
00:00.4,-0.000360489,-0.002855301,0.005395889,0,
00:00.4,-0.000360489,-0.002849579,0.005390167,0,
00:00.4,-0.000377655,-0.002849579,0.005390167,0,
00:00.4,-0.000377655,-0.002843857,0.005401611,0,
00:00.4,-0.000389099,-0.002838135,0.005390167,0,
00:00.4,-0.000354767,-0.002826691,0.005361557,0,
00:00.4,-0.000366211,-0.002866745,0.005401611,0,
