Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000240326,-0.003015518,0.005567551,0,
00:00.0,-0.00022316,-0.00296402,0.005550385,0,
00:00.0,-0.000274658,-0.002969742,0.005544662,0,
00:00.0,-0.00028038,-0.003004074,0.005544662,0,
00:00.0,-0.000211716,-0.002986908,0.005533218,0,
00:00.0,-0.000228882,-0.003004074,0.00551033,0,
00:00.0,-0.00025177,-0.002998352,0.005578995,0,
00:00.0,-0.000286102,-0.003055573,0.005584717,0,
00:00.0,-0.00025177,-0.00304985,0.005567551,0,
00:00.0,-0.000234604,-0.00302124,0.005567551,0,
00:00.0,-0.00022316,-0.003015518,0.005561829,0,
00:00.0,-0.000211716,-0.002958298,0.005544662,0,
00:00.0,-0.00022316,-0.003009796,0.005533218,0,
00:00.1,-0.000274658,-0.003095627,0.005550385,0,
00:00.1,-0.000274658,-0.003038406,0.005567551,0,
00:00.1,-0.000234604,-0.003032684,0.005573273,0,
00:00.1,-0.000246048,-0.00302124,0.005561829,0,
00:00.1,-0.000246048,-0.003004074,0.005567551,0,
00:00.1,-0.000228882,-0.00302124,0.005550385,0,
00:00.1,-0.000211716,-0.00299263,0.005550385,0,
00:00.1,-0.000263214,-0.003026962,0.005578995,0,
00:00.1,-0.000303268,-0.003078461,0.005578995,0,
00:00.1,-0.000263214,-0.00304985,0.005578995,0,
00:00.1,-0.000234604,-0.003004074,0.005561829,0,
00:00.1,-0.000257492,-0.00302124,0.005556107,0,
00:00.1,-0.000246048,-0.003032684,0.005561829,0,
00:00.1,-0.000257492,-0.00302124,0.005561829,0,
00:00.1,-0.000268936,-0.003044128,0.005550385,0,
00:00.1,-0.00028038,-0.003038406,0.005544662,0,
00:00.1,-0.000246048,-0.003004074,0.005578995,0,
00:00.1,-0.000234604,-0.002998352,0.005561829,0,
00:00.1,-0.000257492,-0.003026962,0.005556107,0,
00:00.1,-0.000263214,-0.003061295,0.005567551,0,
00:00.1,-0.000257492,-0.003084183,0.005561829,0,
00:00.1,-0.000263214,-0.00304985,0.005561829,0,
00:00.1,-0.000274658,-0.00302124,0.005573273,0,
00:00.1,-0.000257492,-0.003004074,0.005561829,0,
00:00.1,-0.000234604,-0.003004074,0.005550385,0,
00:00.2,-0.000268936,-0.003038406,0.005550385,0,
00:00.2,-0.000291824,-0.003015518,0.005550385,0,
00:00.2,-0.000257492,-0.00302124,0.005556107,0,
00:00.2,-0.000240326,-0.003055573,0.005567551,0,
00:00.2,-0.000263214,-0.003078461,0.005584717,0,
00:00.2,-0.000268936,-0.003095627,0.005584717,0,
00:00.2,-0.000263214,-0.003055573,0.005573273,0,
00:00.2,-0.000263214,-0.003038406,0.005567551,0,
00:00.2,-0.000263214,-0.003044128,0.005550385,0,
00:00.2,-0.000257492,-0.002998352,0.005550385,0,
00:00.2,-0.00025177,-0.002986908,0.005556107,0,
