Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000423431,-0.002643585,0.004932404,0,
00:00.0,-0.00044632,-0.002649307,0.004926682,0,
00:00.0,-0.000469208,-0.002660751,0.004898071,0,
00:00.0,-0.000463486,-0.002655029,0.004903793,0,
00:00.0,-0.00044632,-0.002626419,0.004943848,0,
00:00.0,-0.000434875,-0.002643585,0.004955292,0,
00:00.0,-0.000440598,-0.002649307,0.004915237,0,
00:00.0,-0.000480652,-0.002655029,0.004943848,0,
00:00.0,-0.000469208,-0.002649307,0.004943848,0,
00:00.0,-0.000411987,-0.002649307,0.004938126,0,
00:00.0,-0.000452042,-0.002660751,0.004943848,0,
00:00.0,-0.000480652,-0.002660751,0.004938126,0,
00:00.0,-0.000394821,-0.002649307,0.004920959,0,
00:00.1,-0.000383377,-0.002609253,0.004920959,0,
00:00.1,-0.000434875,-0.002620697,0.004920959,0,
00:00.1,-0.000423431,-0.002637863,0.004898071,0,
00:00.1,-0.000366211,-0.002655029,0.004915237,0,
00:00.1,-0.00044632,-0.002672195,0.004961014,0,
00:00.1,-0.000452042,-0.002660751,0.00494957,0,
00:00.1,-0.000452042,-0.002649307,0.004932404,0,
00:00.1,-0.00044632,-0.002620697,0.004920959,0,
00:00.1,-0.000429153,-0.002609253,0.004903793,0,
00:00.1,-0.000411987,-0.002632141,0.004898071,0,
00:00.1,-0.000434875,-0.002643585,0.004898071,0,
00:00.1,-0.000469208,-0.002655029,0.004943848,0,
00:00.1,-0.00044632,-0.002649307,0.004961014,0,
00:00.1,-0.00044632,-0.002643585,0.004961014,0,
00:00.1,-0.00044632,-0.002643585,0.004955292,0,
00:00.1,-0.000457764,-0.002637863,0.004938126,0,
00:00.1,-0.000457764,-0.002655029,0.004926682,0,
00:00.1,-0.000452042,-0.002643585,0.004926682,0,
00:00.1,-0.000463486,-0.002649307,0.004926682,0,
00:00.1,-0.000452042,-0.002655029,0.004943848,0,
00:00.1,-0.000486374,-0.002655029,0.004932404,0,
00:00.1,-0.000423431,-0.002672195,0.004926682,0,
00:00.1,-0.000354767,-0.002632141,0.004915237,0,
00:00.1,-0.00044632,-0.002643585,0.004932404,0,
