Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.001768112,0.004898071,0.004171371,0,
00:00.0,-0.001773834,0.004898071,0.004171371,0,
00:00.0,-0.001768112,0.004892349,0.004182816,0,
00:00.0,-0.001773834,0.004875183,0.004188538,0,
00:00.0,-0.001779556,0.004875183,0.004177094,0,
00:00.0,-0.001773834,0.004886627,0.004171371,0,
00:00.0,-0.001768112,0.004903793,0.004165649,0,
00:00.0,-0.001756668,0.004903793,0.004171371,0,
00:00.0,-0.00176239,0.004880905,0.004177094,0,
00:00.0,-0.001773834,0.004886627,0.004171371,0,
00:00.0,-0.00176239,0.004909515,0.004159927,0,
00:00.0,-0.001756668,0.004903793,0.004165649,0,
00:00.0,-0.001779556,0.004886627,0.004171371,0,
00:00.1,-0.001785278,0.004869461,0.004165649,0,
00:00.1,-0.001768112,0.004858017,0.004159927,0,
00:00.1,-0.001773834,0.004880905,0.004148483,0,
00:00.1,-0.001750946,0.004886627,0.004142761,0,
00:00.1,-0.001756668,0.004863739,0.004154205,0,
00:00.1,-0.001779556,0.004880905,0.004154205,0,
00:00.1,-0.001768112,0.004892349,0.004142761,0,
00:00.1,-0.001768112,0.004869461,0.004137039,0,
00:00.1,-0.001768112,0.004875183,0.004137039,0,
00:00.1,-0.00176239,0.004869461,0.004142761,0,
00:00.1,-0.001768112,0.004869461,0.004142761,0,
00:00.1,-0.001768112,0.004869461,0.004137039,0,
00:00.1,-0.001768112,0.004858017,0.004125595,0,
00:00.1,-0.00176239,0.004858017,0.004125595,0,
00:00.1,-0.001756668,0.004880905,0.004131317,0,
00:00.1,-0.001768112,0.004875183,0.004131317,0,
00:00.1,-0.001768112,0.004863739,0.004125595,0,
00:00.1,-0.001773834,0.004840851,0.004119873,0,
00:00.1,-0.001773834,0.004840851,0.004114151,0,
00:00.1,-0.001756668,0.004858017,0.004114151,0,
00:00.1,-0.001750946,0.004880905,0.004119873,0,
00:00.1,-0.001750946,0.004880905,0.004119873,0,
00:00.1,-0.001756668,0.004858017,0.004114151,0,
00:00.1,-0.00176239,0.004835129,0.004114151,0,
00:00.1,-0.001785278,0.004835129,0.004119873,0,
00:00.2,-0.001785278,0.004835129,0.004119873,0,
00:00.2,-0.001779556,0.004846573,0.004119873,0,
00:00.2,-0.001768112,0.004852295,0.004108429,0,
00:00.2,-0.001756668,0.004858017,0.004108429,0,
00:00.2,-0.001768112,0.004858017,0.004119873,0,
00:00.2,-0.001779556,0.004852295,0.004119873,0,
00:00.2,-0.001773834,0.004840851,0.004114151,0,
00:00.2,-0.001773834,0.004840851,0.004108429,0,
00:00.2,-0.001785278,0.004835129,0.004102707,0,
00:00.2,-0.001791,0.004817963,0.004108429,0,
00:00.2,-0.001796722,0.004812241,0.004114151,0,
00:00.2,-0.001785278,0.004829407,0.004108429,0,
00:00.2,-0.001779556,0.004840851,0.004102707,0,
00:00.2,-0.00176239,0.004846573,0.004102707,0,
00:00.2,-0.001768112,0.004835129,0.004102707,0,
00:00.2,-0.00176239,0.004840851,0.004108429,0,
