Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000766754,-0.000743866,-0.000108719,0,
00:00.0,-0.000766754,-0.000732422,-0.000125885,0,
00:00.0,-0.000778198,-0.000749588,-0.000114441,0,
00:00.0,-0.000766754,-0.0007267,-0.000102997,0,
00:00.0,-0.00075531,-0.000692368,-9.73E-05,0,
00:00.0,-0.000772476,-0.000709534,-0.000102997,0,
00:00.0,-0.000766754,-0.000732422,-9.73E-05,0,
00:00.0,-0.000766754,-0.0007267,-9.73E-05,0,
00:00.0,-0.000778198,-0.000738144,-8.01E-05,0,
00:00.0,-0.00075531,-0.000692368,-8.01E-05,0,
00:00.0,-0.000778198,-0.000703812,-8.58E-05,0,
00:00.0,-0.000789642,-0.000743866,-7.44E-05,0,
00:00.0,-0.000772476,-0.000703812,-6.87E-05,0,
00:00.1,-0.000778198,-0.000680923,-6.87E-05,0,
00:00.1,-0.00078392,-0.00069809,-6.29E-05,0,
00:00.1,-0.000761032,-0.000669479,-6.87E-05,0,
00:00.1,-0.000761032,-0.000675201,-7.44E-05,0,
00:00.1,-0.00078392,-0.000703812,-5.72E-05,0,
00:00.1,-0.00078392,-0.000692368,-5.72E-05,0,
00:00.1,-0.00078392,-0.000680923,-5.15E-05,0,
00:00.1,-0.00078392,-0.000675201,-5.72E-05,0,
00:00.1,-0.000789642,-0.000686646,-5.15E-05,0,
00:00.1,-0.000789642,-0.000686646,-5.15E-05,0,
00:00.1,-0.00078392,-0.000692368,-4.01E-05,0,
00:00.1,-0.000778198,-0.000675201,-4.01E-05,0,
00:00.1,-0.000778198,-0.000675201,-5.72E-05,0,
00:00.1,-0.000789642,-0.000675201,-5.15E-05,0,
00:00.1,-0.000795364,-0.000686646,-2.86E-05,0,
00:00.1,-0.000789642,-0.000675201,-1.72E-05,0,
00:00.1,-0.000795364,-0.000652313,-2.29E-05,0,
00:00.1,-0.000789642,-0.000646591,-2.86E-05,0,
00:00.1,-0.000778198,-0.000646591,-2.86E-05,0,
00:00.1,-0.000789642,-0.000675201,-3.43E-05,0,
00:00.1,-0.000801086,-0.000686646,-2.29E-05,0,
00:00.1,-0.000789642,-0.000669479,-1.14E-05,0,
00:00.1,-0.000766754,-0.000640869,-5.72E-06,0,
00:00.1,-0.000766754,-0.000646591,-5.72E-06,0,
00:00.1,-0.000789642,-0.000635147,-1.14E-05,0,
00:00.2,-0.000818253,-0.000652313,0,0,
00:00.2,-0.000801086,-0.000658035,1.14E-05,0,
00:00.2,-0.000766754,-0.000629425,1.72E-05,0,
