Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.001350403,-0.006551743,-0.003204346,0,
00:00.0,-0.001344681,-0.006546021,-0.003181458,0,
00:00.0,-0.001361847,-0.006563187,-0.00318718,0,
00:00.0,-0.001350403,-0.006568909,-0.00318718,0,
00:00.0,-0.001350403,-0.006574631,-0.003192902,0,
00:00.0,-0.001344681,-0.006557465,-0.003204346,0,
00:00.0,-0.001338959,-0.006534576,-0.003210068,0,
00:00.0,-0.001344681,-0.006551743,-0.003198624,0,
00:00.0,-0.001344681,-0.006568909,-0.003210068,0,
00:00.0,-0.001344681,-0.006591797,-0.00318718,0,
00:00.0,-0.001333237,-0.006563187,-0.003192902,0,
00:00.0,-0.001333237,-0.006534576,-0.003232956,0,
00:00.0,-0.001333237,-0.00651741,-0.003227234,0,
00:00.1,-0.001344681,-0.006557465,-0.003198624,0,
00:00.1,-0.001350403,-0.006574631,-0.003198624,0,
00:00.1,-0.001316071,-0.006551743,-0.003232956,0,
00:00.1,-0.001333237,-0.006591797,-0.00321579,0,
00:00.1,-0.001356125,-0.006568909,-0.003181458,0,
00:00.1,-0.001356125,-0.006540298,-0.003198624,0,
00:00.1,-0.001327515,-0.006534576,-0.003210068,0,
00:00.1,-0.001338959,-0.006534576,-0.003210068,0,
00:00.1,-0.001367569,-0.006574631,-0.003181458,0,
00:00.1,-0.001356125,-0.006568909,-0.00321579,0,
00:00.1,-0.001327515,-0.006540298,-0.003210068,0,
00:00.1,-0.001350403,-0.006568909,-0.003198624,0,
00:00.1,-0.001356125,-0.006597519,-0.00321579,0,
00:00.1,-0.001361847,-0.006586075,-0.003227234,0,
00:00.1,-0.001338959,-0.006551743,-0.003210068,0,
00:00.1,-0.001298904,-0.006505966,-0.003227234,0,
00:00.1,-0.001338959,-0.006540298,-0.003227234,0,
00:00.1,-0.001361847,-0.006540298,-0.00321579,0,
00:00.1,-0.001373291,-0.006574631,-0.00321579,0,
00:00.1,-0.001338959,-0.006528854,-0.003210068,0,
00:00.1,-0.001344681,-0.006540298,-0.003227234,0,
00:00.1,-0.001304626,-0.00651741,-0.003210068,0,
00:00.1,-0.001350403,-0.006597519,-0.00321579,0,
00:00.1,-0.001379013,-0.006603241,-0.00321579,0,
00:00.1,-0.001367569,-0.006586075,-0.003238678,0,
00:00.2,-0.001356125,-0.006557465,-0.003221512,0,
00:00.2,-0.001338959,-0.006540298,-0.003221512,0,
00:00.2,-0.001350403,-0.006580353,-0.00321579,0,
00:00.2,-0.001361847,-0.006568909,-0.003198624,0,
00:00.2,-0.001356125,-0.006568909,-0.003232956,0,
00:00.2,-0.001344681,-0.006546021,-0.003232956,0,
00:00.2,-0.001333237,-0.00651741,-0.003267288,0,
00:00.2,-0.001344681,-0.006551743,-0.003250122,0,
00:00.2,-0.001379013,-0.006620407,-0.003198624,0,
00:00.2,-0.001367569,-0.006580353,-0.00321579,0,
00:00.2,-0.001350403,-0.006546021,-0.003227234,0,
00:00.2,-0.001356125,-0.006551743,-0.003238678,0,
00:00.2,-0.001350403,-0.006551743,-0.003261566,0,
00:00.2,-0.001373291,-0.006586075,-0.003284454,0,
00:00.2,-0.001356125,-0.006546021,-0.003238678,0,
00:00.2,-0.001338959,-0.006523132,-0.0032444,0,
00:00.2,-0.001350403,-0.006551743,-0.003267288,0,
00:00.2,-0.001367569,-0.006563187,-0.003255844,0,
00:00.2,-0.001344681,-0.006534576,-0.003267288,0,
00:00.2,-0.001356125,-0.006563187,-0.003284454,0,
00:00.2,-0.001356125,-0.006568909,-0.003238678,0,
00:00.2,-0.001350403,-0.006551743,-0.003238678,0,
00:00.2,-0.001361847,-0.006568909,-0.003267288,0,
00:00.2,-0.001356125,-0.006551743,-0.0032444,0,
00:00.2,-0.001356125,-0.006563187,-0.003267288,0,
00:00.3,-0.001361847,-0.006563187,-0.003255844,0,
00:00.3,-0.001361847,-0.006574631,-0.003261566,0,
00:00.3,-0.001367569,-0.006580353,-0.003250122,0,
00:00.3,-0.001361847,-0.006586075,-0.003250122,0,
00:00.3,-0.001361847,-0.006563187,-0.003255844,0,
00:00.3,-0.001356125,-0.006546021,-0.003267288,0,
00:00.3,-0.001356125,-0.006557465,-0.00327301,0,
00:00.3,-0.001361847,-0.006546021,-0.003250122,0,
00:00.3,-0.001367569,-0.006557465,-0.003255844,0,
00:00.3,-0.001361847,-0.006546021,-0.003261566,0,
00:00.3,-0.001356125,-0.006540298,-0.003278732,0,
00:00.3,-0.001361847,-0.006563187,-0.003267288,0,
00:00.3,-0.001356125,-0.006546021,-0.003261566,0,
00:00.3,-0.001356125,-0.006528854,-0.003278732,0,
00:00.3,-0.001344681,-0.006528854,-0.003295898,0,
00:00.3,-0.001356125,-0.006551743,-0.00327301,0,
00:00.3,-0.001373291,-0.006574631,-0.0032444,0,
00:00.3,-0.001361847,-0.006563187,-0.00327301,0,
00:00.3,-0.001361847,-0.006563187,-0.003267288,0,
00:00.3,-0.001338959,-0.00651741,-0.00327301,0,
00:00.3,-0.001361847,-0.006568909,-0.00327301,0,
00:00.3,-0.001379013,-0.006603241,-0.003255844,0,
00:00.3,-0.001373291,-0.006586075,-0.003250122,0,
00:00.3,-0.001344681,-0.006534576,-0.003284454,0,
00:00.3,-0.001356125,-0.006546021,-0.003284454,0,
00:00.4,-0.001367569,-0.006557465,-0.003261566,0,
00:00.4,-0.001361847,-0.006551743,-0.003261566,0,
00:00.4,-0.001367569,-0.006574631,-0.00327301,0,
00:00.4,-0.001350403,-0.006563187,-0.003250122,0,
00:00.4,-0.001350403,-0.006557465,-0.003267288,0,
00:00.4,-0.001350403,-0.006534576,-0.003284454,0,
00:00.4,-0.001373291,-0.006580353,-0.003267288,0,
00:00.4,-0.001367569,-0.006574631,-0.00327301,0,
00:00.4,-0.001367569,-0.006534576,-0.003261566,0,
00:00.4,-0.001361847,-0.006523132,-0.003255844,0,
00:00.4,-0.001367569,-0.006551743,-0.00327301,0,
00:00.4,-0.001356125,-0.006546021,-0.003267288,0,
00:00.4,-0.001356125,-0.006557465,-0.0032444,0,
00:00.4,-0.001356125,-0.006540298,-0.003261566,0,
00:00.4,-0.001350403,-0.006528854,-0.003284454,0,
00:00.4,-0.001367569,-0.006563187,-0.003261566,0,
00:00.4,-0.001373291,-0.006568909,-0.00327301,0,
00:00.4,-0.001361847,-0.006551743,-0.003278732,0,
00:00.4,-0.001333237,-0.006500244,-0.00327301,0,
00:00.4,-0.001344681,-0.00651741,-0.003290176,0,
00:00.4,-0.001379013,-0.006597519,-0.003250122,0,
00:00.4,-0.001361847,-0.006568909,-0.003250122,0,
00:00.4,-0.001367569,-0.006563187,-0.003250122,0,
00:00.4,-0.001367569,-0.006557465,-0.00327301,0,
00:00.4,-0.001373291,-0.006546021,-0.003278732,0,
00:00.5,-0.001367569,-0.006546021,-0.003278732,0,
00:00.5,-0.001361847,-0.006551743,-0.003267288,0,
00:00.5,-0.001350403,-0.006528854,-0.003267288,0,
00:00.5,-0.001384735,-0.006557465,-0.00327301,0,
00:00.5,-0.001361847,-0.006546021,-0.00327301,0,
00:00.5,-0.001361847,-0.006551743,-0.003278732,0,
00:00.5,-0.001361847,-0.006551743,-0.003295898,0,
00:00.5,-0.001316071,-0.006448746,-0.003295898,0,
00:00.5,-0.001361847,-0.006534576,-0.003290176,0,
00:00.5,-0.001396179,-0.006620407,-0.003284454,0,
00:00.5,-0.001356125,-0.006563187,-0.003290176,0,
00:00.5,-0.001361847,-0.006591797,-0.00330162,0,
00:00.5,-0.001379013,-0.006574631,-0.003284454,0,
00:00.5,-0.001384735,-0.006557465,-0.00330162,0,
00:00.5,-0.001390457,-0.006568909,-0.003318787,0,
00:00.5,-0.001373291,-0.006551743,-0.003307343,0,
00:00.5,-0.001356125,-0.006540298,-0.003278732,0,
00:00.5,-0.001379013,-0.006574631,-0.003313065,0,
00:00.5,-0.001367569,-0.006557465,-0.003295898,0,
00:00.5,-0.001367569,-0.006551743,-0.003313065,0,
00:00.5,-0.001367569,-0.006528854,-0.003387451,0,
00:00.5,-0.001361847,-0.006528854,-0.003307343,0,
00:00.5,-0.001356125,-0.006546021,-0.003278732,0,
00:00.5,-0.001350403,-0.006511688,-0.003295898,0,
00:00.5,-0.001327515,-0.006465912,-0.003335953,0,
00:00.6,-0.001373291,-0.006563187,-0.003341675,0,
00:00.6,-0.001373291,-0.006591797,-0.003295898,0,
00:00.6,-0.001373291,-0.006551743,-0.003318787,0,
00:00.6,-0.001367569,-0.006534576,-0.003353119,0,
00:00.6,-0.001367569,-0.006568909,-0.003353119,0,
00:00.6,-0.001361847,-0.006528854,-0.003307343,0,
00:00.6,-0.001379013,-0.006540298,-0.003335953,0,
00:00.6,-0.001373291,-0.006574631,-0.003335953,0,
00:00.6,-0.001356125,-0.006540298,-0.003364563,0,
00:00.6,-0.001396179,-0.006591797,-0.003341675,0,
00:00.6,-0.001390457,-0.006591797,-0.003353119,0,
00:00.6,-0.001379013,-0.006568909,-0.003330231,0,
00:00.6,-0.001373291,-0.006528854,-0.003341675,0,
00:00.6,-0.001350403,-0.006483078,-0.003353119,0,
00:00.6,-0.001390457,-0.006557465,-0.003341675,0,
00:00.6,-0.001384735,-0.006568909,-0.003330231,0,
00:00.6,-0.001373291,-0.006551743,-0.003353119,0,
00:00.6,-0.001373291,-0.006534576,-0.003341675,0,
00:00.6,-0.001367569,-0.006534576,-0.003347397,0,
00:00.6,-0.001373291,-0.006534576,-0.003347397,0,
00:00.6,-0.001361847,-0.006528854,-0.003358841,0,
00:00.6,-0.001361847,-0.006546021,-0.003353119,0,
00:00.6,-0.001373291,-0.006551743,-0.003347397,0,
00:00.6,-0.001373291,-0.006546021,-0.003358841,0,
00:00.6,-0.001379013,-0.006528854,-0.003376007,0,
00:00.7,-0.001361847,-0.006494522,-0.003376007,0,
00:00.7,-0.001373291,-0.006540298,-0.003381729,0,
00:00.7,-0.001379013,-0.006574631,-0.003347397,0,
00:00.7,-0.001379013,-0.006546021,-0.003341675,0,
00:00.7,-0.001384735,-0.006568909,-0.003358841,0,
00:00.7,-0.001367569,-0.00651741,-0.003364563,0,
00:00.7,-0.001379013,-0.006528854,-0.003376007,0,
00:00.7,-0.001373291,-0.00651741,-0.003387451,0,
00:00.7,-0.001379013,-0.006534576,-0.003364563,0,
00:00.7,-0.001413345,-0.006586075,-0.003370285,0,
00:00.7,-0.001379013,-0.006546021,-0.003347397,0,
00:00.7,-0.001361847,-0.006523132,-0.003335953,0,
00:00.7,-0.001373291,-0.00651741,-0.003341675,0,
00:00.7,-0.001361847,-0.006471634,-0.003387451,0,
00:00.7,-0.001390457,-0.006546021,-0.003393173,0,
00:00.7,-0.001396179,-0.006591797,-0.003341675,0,
00:00.7,-0.001373291,-0.006574631,-0.003347397,0,
00:00.7,-0.001361847,-0.00651741,-0.003353119,0,
00:00.7,-0.001367569,-0.006528854,-0.003358841,0,
00:00.7,-0.001390457,-0.006540298,-0.003353119,0,
00:00.7,-0.001384735,-0.006523132,-0.003358841,0,
00:00.7,-0.001356125,-0.006540298,-0.003358841,0,
00:00.7,-0.001373291,-0.006505966,-0.003376007,0,
00:00.7,-0.001367569,-0.0064888,-0.003381729,0,
00:00.7,-0.001396179,-0.006540298,-0.003370285,0,
00:00.8,-0.001401901,-0.006557465,-0.003353119,0,
00:00.8,-0.001384735,-0.006540298,-0.003358841,0,
00:00.8,-0.001373291,-0.006523132,-0.003358841,0,
00:00.8,-0.001379013,-0.006534576,-0.003358841,0,
00:00.8,-0.001373291,-0.006528854,-0.003376007,0,
00:00.8,-0.001373291,-0.006557465,-0.003381729,0,
00:00.8,-0.001356125,-0.006494522,-0.003381729,0,
00:00.8,-0.001384735,-0.00651741,-0.003398895,0,
00:00.8,-0.001396179,-0.006551743,-0.003376007,0,
00:00.8,-0.001390457,-0.006580353,-0.003364563,0,
00:00.8,-0.001390457,-0.006568909,-0.003381729,0,
00:00.8,-0.001384735,-0.006523132,-0.003358841,0,
00:00.8,-0.001384735,-0.006523132,-0.003353119,0,
00:00.8,-0.001373291,-0.006523132,-0.003376007,0,
00:00.8,-0.001379013,-0.006540298,-0.003376007,0,
00:00.8,-0.001356125,-0.006523132,-0.003364563,0,
00:00.8,-0.001350403,-0.006494522,-0.003387451,0,
00:00.8,-0.001390457,-0.006551743,-0.003398895,0,
00:00.8,-0.001396179,-0.006534576,-0.003410339,0,
00:00.8,-0.001401901,-0.006540298,-0.003410339,0,
00:00.8,-0.001401901,-0.006534576,-0.003358841,0,
00:00.8,-0.001390457,-0.006523132,-0.003341675,0,
00:00.8,-0.001384735,-0.006528854,-0.003353119,0,
00:00.8,-0.001384735,-0.006540298,-0.003370285,0,
00:00.8,-0.001384735,-0.006540298,-0.003376007,0,
00:00.9,-0.001379013,-0.006534576,-0.003381729,0,
00:00.9,-0.001379013,-0.006528854,-0.003376007,0,
00:00.9,-0.001379013,-0.006540298,-0.003376007,0,
00:00.9,-0.001373291,-0.006528854,-0.003381729,0,
00:00.9,-0.001367569,-0.006483078,-0.003410339,0,
00:00.9,-0.001350403,-0.006465912,-0.003433228,0,
00:00.9,-0.001390457,-0.006540298,-0.003416061,0,
00:00.9,-0.001407623,-0.006597519,-0.003341675,0,
00:00.9,-0.001390457,-0.006563187,-0.003353119,0,
00:00.9,-0.001390457,-0.006563187,-0.003370285,0,
00:00.9,-0.001390457,-0.006551743,-0.003387451,0,
00:00.9,-0.001384735,-0.006540298,-0.003376007,0,
00:00.9,-0.001379013,-0.006540298,-0.003370285,0,
00:00.9,-0.001384735,-0.006540298,-0.003387451,0,
00:00.9,-0.001384735,-0.006563187,-0.003393173,0,
00:00.9,-0.001384735,-0.006563187,-0.003393173,0,
00:00.9,-0.001367569,-0.0064888,-0.003404617,0,
00:00.9,-0.001356125,-0.006471634,-0.003404617,0,
00:00.9,-0.001367569,-0.0064888,-0.003393173,0,
00:00.9,-0.001390457,-0.006540298,-0.003421783,0,
00:00.9,-0.001390457,-0.006591797,-0.003387451,0,
00:00.9,-0.001390457,-0.006591797,-0.003364563,0,
00:00.9,-0.001390457,-0.006568909,-0.003358841,0,
00:00.9,-0.001390457,-0.006563187,-0.003381729,0,
00:00.9,-0.001384735,-0.006546021,-0.003376007,0,
00:01.0,-0.001379013,-0.006540298,-0.003381729,0,
00:01.0,-0.001373291,-0.006534576,-0.003376007,0,
00:01.0,-0.001379013,-0.006528854,-0.003370285,0,
00:01.0,-0.001361847,-0.006494522,-0.003381729,0,
00:01.0,-0.001379013,-0.00651741,-0.003393173,0,
00:01.0,-0.001390457,-0.006534576,-0.003398895,0,
00:01.0,-0.001384735,-0.006568909,-0.003416061,0,
00:01.0,-0.001390457,-0.006557465,-0.003376007,0,
00:01.0,-0.001379013,-0.006540298,-0.003381729,0,
00:01.0,-0.001367569,-0.0064888,-0.003398895,0,
00:01.0,-0.001390457,-0.006551743,-0.003387451,0,
00:01.0,-0.001396179,-0.006557465,-0.003358841,0,
00:00:01,-0.001390457,-0.006551743,-0.003370285,0,
00:01.0,-0.001384735,-0.006546021,-0.003376007,0,
00:01.0,-0.001373291,-0.006528854,-0.003376007,0,
00:01.0,-0.001356125,-0.006500244,-0.003393173,0,
00:01.0,-0.001327515,-0.00646019,-0.003398895,0,
00:01.0,-0.001390457,-0.006568909,-0.003387451,0,
00:01.0,-0.001430511,-0.006631851,-0.003381729,0,
00:01.0,-0.001396179,-0.006557465,-0.003376007,0,
00:01.0,-0.001379013,-0.006534576,-0.003381729,0,
00:01.0,-0.001373291,-0.006523132,-0.003393173,0,
00:01.0,-0.001344681,-0.006483078,-0.003410339,0,
00:01.0,-0.001384735,-0.006540298,-0.003416061,0,
00:01.0,-0.001390457,-0.006574631,-0.003387451,0,
00:01.1,-0.001384735,-0.006551743,-0.003393173,0,
00:01.1,-0.001379013,-0.00651741,-0.003393173,0,
00:01.1,-0.001373291,-0.006511688,-0.003381729,0,
00:01.1,-0.001367569,-0.006511688,-0.003381729,0,
00:01.1,-0.001396179,-0.006574631,-0.003381729,0,
00:01.1,-0.001384735,-0.006557465,-0.003370285,0,
00:01.1,-0.001390457,-0.006557465,-0.003381729,0,
00:01.1,-0.001384735,-0.006546021,-0.003393173,0,
00:01.1,-0.001373291,-0.006505966,-0.003404617,0,
00:01.1,-0.001356125,-0.006494522,-0.003416061,0,
00:01.1,-0.001356125,-0.006505966,-0.003416061,0,
00:01.1,-0.001396179,-0.006574631,-0.003416061,0,
00:01.1,-0.001419067,-0.006614685,-0.003398895,0,
00:01.1,-0.001396179,-0.006568909,-0.003381729,0,
00:01.1,-0.001356125,-0.00651741,-0.003410339,0,
00:01.1,-0.001367569,-0.006523132,-0.003404617,0,
00:01.1,-0.001401901,-0.006563187,-0.003410339,0,
00:01.1,-0.001401901,-0.006563187,-0.003404617,0,
00:01.1,-0.001390457,-0.006534576,-0.003416061,0,
00:01.1,-0.001384735,-0.00651741,-0.003410339,0,
00:01.1,-0.001373291,-0.006505966,-0.003404617,0,
00:01.1,-0.001396179,-0.006563187,-0.003416061,0,
00:01.1,-0.001396179,-0.006574631,-0.003410339,0,
00:01.1,-0.001384735,-0.006528854,-0.003404617,0,
00:01.1,-0.001379013,-0.00651741,-0.003427505,0,
00:01.2,-0.001384735,-0.006528854,-0.003421783,0,
00:01.2,-0.001390457,-0.006540298,-0.003421783,0,
00:01.2,-0.001379013,-0.006534576,-0.003404617,0,
00:01.2,-0.001361847,-0.00651741,-0.003421783,0,
00:01.2,-0.001384735,-0.006563187,-0.003450394,0,
00:01.2,-0.001396179,-0.006546021,-0.003433228,0,
00:01.2,-0.001384735,-0.006534576,-0.003421783,0,
00:01.2,-0.001384735,-0.006534576,-0.003427505,0,
00:01.2,-0.001379013,-0.006523132,-0.003427505,0,
00:01.2,-0.001384735,-0.006528854,-0.003433228,0,
00:01.2,-0.001367569,-0.006523132,-0.003433228,0,
00:01.2,-0.001367569,-0.006551743,-0.00343895,0,
00:01.2,-0.001379013,-0.00651741,-0.003444672,0,
00:01.2,-0.001407623,-0.006574631,-0.003398895,0,
00:01.2,-0.001413345,-0.006586075,-0.003404617,0,
00:01.2,-0.001396179,-0.006551743,-0.003410339,0,
00:01.2,-0.001390457,-0.006534576,-0.003410339,0,
00:01.2,-0.001384735,-0.006534576,-0.003416061,0,
00:01.2,-0.001384735,-0.006546021,-0.003427505,0,
00:01.2,-0.001384735,-0.006546021,-0.003427505,0,
00:01.2,-0.001379013,-0.006540298,-0.003421783,0,
00:01.2,-0.001384735,-0.006534576,-0.00343895,0,
00:01.2,-0.001384735,-0.006528854,-0.003427505,0,
00:01.2,-0.001379013,-0.006511688,-0.003433228,0,
00:01.2,-0.001373291,-0.006534576,-0.003450394,0,
00:01.3,-0.001384735,-0.006563187,-0.003461838,0,
00:01.3,-0.001384735,-0.006557465,-0.003404617,0,
00:01.3,-0.001379013,-0.006563187,-0.003398895,0,
00:01.3,-0.001384735,-0.006523132,-0.003416061,0,
00:01.3,-0.001379013,-0.006494522,-0.003456116,0,
00:01.3,-0.001379013,-0.006511688,-0.00343895,0,
00:01.3,-0.001390457,-0.006528854,-0.003479004,0,
00:01.3,-0.001390457,-0.006557465,-0.003427505,0,
00:01.3,-0.001390457,-0.006551743,-0.003421783,0,
00:01.3,-0.001384735,-0.006523132,-0.003427505,0,
00:01.3,-0.001367569,-0.006511688,-0.003421783,0,
00:01.3,-0.001401901,-0.006557465,-0.003444672,0,
00:01.3,-0.001396179,-0.006551743,-0.003461838,0,
00:01.3,-0.001390457,-0.006534576,-0.003456116,0,
00:01.3,-0.001390457,-0.006551743,-0.003387451,0,
00:01.3,-0.001384735,-0.006540298,-0.003404617,0,
00:01.3,-0.001373291,-0.006523132,-0.003421783,0,
00:01.3,-0.001367569,-0.006528854,-0.003444672,0,
00:01.3,-0.001401901,-0.006591797,-0.00343895,0,
00:01.3,-0.001390457,-0.006557465,-0.003410339,0,
00:01.3,-0.001379013,-0.00651741,-0.003427505,0,
00:01.3,-0.001384735,-0.00651741,-0.003444672,0,
00:01.3,-0.001390457,-0.00651741,-0.003461838,0,
