Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.002094269,-0.010110855,-0.00176239,0,
00:00.0,-0.002140045,-0.010110855,-0.001745224,0,
00:00.0,-0.002162933,-0.010122299,-0.001728058,0,
00:00.0,-0.002151489,-0.010122299,-0.001722336,0,
00:00.0,-0.002162933,-0.010099411,-0.00170517,0,
00:00.0,-0.002145767,-0.010087967,-0.001688004,0,
00:00.0,-0.002122879,-0.010099411,-0.001773834,0,
00:00.0,-0.002128601,-0.010105133,-0.001728058,0,
00:00.0,-0.002128601,-0.010105133,-0.001722336,0,
00:00.0,-0.002134323,-0.010099411,-0.001710892,0,
00:00.0,-0.002105713,-0.010110855,-0.00173378,0,
00:00.0,-0.002134323,-0.010110855,-0.001710892,0,
00:00.0,-0.002140045,-0.010110855,-0.001682281,0,
00:00.1,-0.002134323,-0.010099411,-0.001716614,0,
00:00.1,-0.002134323,-0.010105133,-0.001728058,0,
00:00.1,-0.002128601,-0.010105133,-0.001728058,0,
00:00.1,-0.002140045,-0.010105133,-0.001716614,0,
00:00.1,-0.002145767,-0.010105133,-0.001710892,0,
00:00.1,-0.002140045,-0.010099411,-0.00170517,0,
00:00.1,-0.002122879,-0.010110855,-0.001699448,0,
00:00.1,-0.002128601,-0.010116577,-0.001693726,0,
00:00.1,-0.002151489,-0.010105133,-0.001688004,0,
00:00.1,-0.002134323,-0.010099411,-0.001722336,0,
00:00.1,-0.002145767,-0.010093689,-0.001699448,0,
00:00.1,-0.002128601,-0.010087967,-0.00170517,0,
00:00.1,-0.002151489,-0.010105133,-0.001693726,0,
00:00.1,-0.002140045,-0.010105133,-0.001710892,0,
00:00.1,-0.002117157,-0.010105133,-0.001699448,0,
00:00.1,-0.002157211,-0.010099411,-0.00170517,0,
00:00.1,-0.002140045,-0.010087967,-0.001699448,0,
00:00.1,-0.002134323,-0.010099411,-0.001722336,0,
00:00.1,-0.002134323,-0.010110855,-0.001728058,0,
00:00.1,-0.002151489,-0.010105133,-0.001710892,0,
00:00.1,-0.002151489,-0.010110855,-0.001710892,0,
00:00.1,-0.002145767,-0.010105133,-0.001710892,0,
00:00.1,-0.002140045,-0.010105133,-0.001716614,0,
00:00.1,-0.002128601,-0.010099411,-0.001699448,0,
00:00.1,-0.002140045,-0.010105133,-0.001688004,0,
00:00.2,-0.002151489,-0.010093689,-0.001688004,0,
00:00.2,-0.002140045,-0.010087967,-0.001722336,0,
00:00.2,-0.002128601,-0.010110855,-0.001693726,0,
00:00.2,-0.002134323,-0.010099411,-0.001682281,0,
00:00.2,-0.002140045,-0.010093689,-0.001682281,0,
00:00.2,-0.002134323,-0.010093689,-0.001710892,0,
00:00.2,-0.002128601,-0.010105133,-0.00170517,0,
00:00.2,-0.002134323,-0.010099411,-0.001699448,0,
00:00.2,-0.002128601,-0.010093689,-0.001693726,0,
00:00.2,-0.002134323,-0.010082245,-0.001665115,0,
00:00.2,-0.002128601,-0.010087967,-0.001647949,0,
00:00.2,-0.002140045,-0.010105133,-0.001728058,0,
00:00.2,-0.002117157,-0.010099411,-0.001710892,0,
00:00.2,-0.002145767,-0.010105133,-0.001699448,0,
00:00.2,-0.002145767,-0.010116577,-0.001676559,0,
00:00.2,-0.002145767,-0.010116577,-0.001699448,0,
00:00.2,-0.002140045,-0.010110855,-0.00170517,0,
00:00.2,-0.002140045,-0.010105133,-0.001688004,0,
00:00.2,-0.002134323,-0.010105133,-0.001688004,0,
00:00.2,-0.002140045,-0.010099411,-0.001676559,0,
00:00.2,-0.002151489,-0.010093689,-0.001665115,0,
00:00.2,-0.002145767,-0.010082245,-0.001630783,0,
00:00.2,-0.002122879,-0.010087967,-0.001688004,0,
00:00.2,-0.002111435,-0.010093689,-0.001745224,0,
00:00.2,-0.002134323,-0.010110855,-0.001693726,0,
00:00.3,-0.002140045,-0.010116577,-0.001682281,0,
00:00.3,-0.002134323,-0.010116577,-0.001699448,0,
00:00.3,-0.002128601,-0.010110855,-0.001688004,0,
00:00.3,-0.002134323,-0.010110855,-0.001670837,0,
00:00.3,-0.002145767,-0.010116577,-0.001670837,0,
00:00.3,-0.002145767,-0.010099411,-0.001653671,0,
00:00.3,-0.002122879,-0.010082245,-0.001676559,0,
00:00.3,-0.002157211,-0.010082245,-0.001670837,0,
00:00.3,-0.002099991,-0.010105133,-0.00170517,0,
00:00.3,-0.002134323,-0.010110855,-0.001682281,0,
00:00.3,-0.002134323,-0.010122299,-0.00170517,0,
00:00.3,-0.002145767,-0.010128021,-0.001688004,0,
00:00.3,-0.002140045,-0.010110855,-0.001688004,0,
00:00.3,-0.002145767,-0.010105133,-0.001653671,0,
00:00.3,-0.002145767,-0.010099411,-0.001636505,0,
00:00.3,-0.002162933,-0.010087967,-0.001636505,0,
00:00.3,-0.002094269,-0.010099411,-0.001682281,0,
00:00.3,-0.002122879,-0.010105133,-0.001722336,0,
00:00.3,-0.002122879,-0.010105133,-0.001688004,0,
00:00.3,-0.002134323,-0.010116577,-0.001665115,0,
00:00.3,-0.002151489,-0.010110855,-0.001653671,0,
00:00.3,-0.002134323,-0.010105133,-0.001682281,0,
00:00.3,-0.002134323,-0.010105133,-0.001670837,0,
00:00.3,-0.002140045,-0.010105133,-0.001670837,0,
00:00.3,-0.002140045,-0.010105133,-0.001653671,0,
00:00.4,-0.002134323,-0.010099411,-0.001642227,0,
00:00.4,-0.002128601,-0.010087967,-0.001653671,0,
