Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000600815,-0.007266998,0.003679276,0,
00:00.0,-0.000577927,-0.007255554,0.00369072,0,
00:00.0,-0.000566483,-0.007255554,0.003656387,0,
00:00.0,-0.000577927,-0.007261276,0.003650665,0,
00:00.0,-0.000583649,-0.007255554,0.003725052,0,
00:00.0,-0.000572205,-0.007249832,0.003696442,0,
00:00.0,-0.000577927,-0.007249832,0.003633499,0,
00:00.0,-0.000555038,-0.007255554,0.003725052,0,
00:00.0,-0.000612259,-0.007255554,0.003736496,0,
00:00.0,-0.000595093,-0.007238388,0.00371933,0,
00:00.0,-0.000572205,-0.00724411,0.003713608,0,
00:00.0,-0.000583649,-0.007255554,0.003696442,0,
00:00.0,-0.000572205,-0.007261276,0.003662109,0,
00:00.1,-0.000577927,-0.007261276,0.003667831,0,
00:00.1,-0.000577927,-0.007261276,0.003679276,0,
00:00.1,-0.000566483,-0.00727272,0.00369072,0,
00:00.1,-0.000566483,-0.007295609,0.003673553,0,
00:00.1,-0.000577927,-0.007266998,0.003673553,0,
00:00.1,-0.000572205,-0.00724411,0.003650665,0,
00:00.1,-0.000572205,-0.007255554,0.00369072,0,
00:00.1,-0.000583649,-0.00727272,0.00371933,0,
00:00.1,-0.000589371,-0.007278442,0.003662109,0,
00:00.1,-0.000583649,-0.007278442,0.003702164,0,
00:00.1,-0.000572205,-0.007266998,0.003707886,0,
00:00.1,-0.000577927,-0.007255554,0.00369072,0,
00:00.1,-0.000589371,-0.007255554,0.003673553,0,
00:00.1,-0.000577927,-0.007266998,0.003673553,0,
00:00.1,-0.000577927,-0.007266998,0.003679276,0,
00:00.1,-0.000589371,-0.007255554,0.003673553,0,
00:00.1,-0.000572205,-0.007261276,0.003673553,0,
00:00.1,-0.000583649,-0.007261276,0.003667831,0,
00:00.1,-0.000600815,-0.007266998,0.003673553,0,
00:00.1,-0.000595093,-0.007284164,0.003662109,0,
00:00.1,-0.000577927,-0.00727272,0.003696442,0,
00:00.1,-0.000577927,-0.007255554,0.00371933,0,
00:00.1,-0.00056076,-0.007255554,0.003707886,0,
00:00.1,-0.000595093,-0.007278442,0.003622055,0,
00:00.1,-0.000629425,-0.007289886,0.003639221,0,
00:00.2,-0.000612259,-0.007266998,0.003753662,0,
00:00.2,-0.000595093,-0.007266998,0.003702164,0,
00:00.2,-0.000589371,-0.00727272,0.003667831,0,
00:00.2,-0.000595093,-0.007266998,0.003662109,0,
00:00.2,-0.000612259,-0.007266998,0.003707886,0,
00:00.2,-0.000589371,-0.007284164,0.003725052,0,
00:00.2,-0.000589371,-0.007278442,0.00369072,0,
00:00.2,-0.000589371,-0.007261276,0.003679276,0,
00:00.2,-0.000600815,-0.007261276,0.003684998,0,
00:00.2,-0.000583649,-0.007278442,0.003679276,0,
00:00.2,-0.000589371,-0.007295609,0.003679276,0,
00:00.2,-0.000583649,-0.007278442,0.00369072,0,
00:00.2,-0.000600815,-0.007278442,0.003702164,0,
00:00.2,-0.000606537,-0.007278442,0.003673553,0,
00:00.2,-0.000600815,-0.007266998,0.003679276,0,
00:00.2,-0.000583649,-0.007278442,0.003667831,0,
00:00.2,-0.000577927,-0.007284164,0.003639221,0,
00:00.2,-0.000595093,-0.007284164,0.003662109,0,
00:00.2,-0.000606537,-0.007289886,0.003742218,0,
00:00.2,-0.000589371,-0.007284164,0.003707886,0,
00:00.2,-0.000577927,-0.007261276,0.003673553,0,
00:00.2,-0.000617981,-0.007261276,0.003610611,0,
00:00.2,-0.000629425,-0.007266998,0.003702164,0,
00:00.2,-0.000600815,-0.007266998,0.003730774,0,
00:00.2,-0.000595093,-0.007289886,0.003696442,0,
00:00.3,-0.000577927,-0.007301331,0.003679276,0,
00:00.3,-0.000612259,-0.007284164,0.003696442,0,
00:00.3,-0.000612259,-0.007266998,0.00371933,0,
00:00.3,-0.000595093,-0.007255554,0.003673553,0,
00:00.3,-0.000595093,-0.007249832,0.003656387,0,
00:00.3,-0.000595093,-0.007266998,0.003673553,0,
00:00.3,-0.000600815,-0.007266998,0.003679276,0,
00:00.3,-0.000589371,-0.007261276,0.003667831,0,
00:00.3,-0.000589371,-0.007266998,0.003662109,0,
00:00.3,-0.000617981,-0.007278442,0.003679276,0,
00:00.3,-0.000606537,-0.007261276,0.00371933,0,
00:00.3,-0.000606537,-0.007249832,0.00371933,0,
00:00.3,-0.000600815,-0.007249832,0.003662109,0,
00:00.3,-0.000583649,-0.007255554,0.003650665,0,
00:00.3,-0.000617981,-0.007255554,0.003673553,0,
00:00.3,-0.000612259,-0.007266998,0.003702164,0,
00:00.3,-0.000583649,-0.007255554,0.003730774,0,
00:00.3,-0.000612259,-0.007249832,0.003644943,0,
00:00.3,-0.000606537,-0.007261276,0.003650665,0,
00:00.3,-0.000595093,-0.007266998,0.00369072,0,
00:00.3,-0.000606537,-0.00727272,0.003707886,0,
00:00.3,-0.000600815,-0.007278442,0.00369072,0,
00:00.3,-0.000617981,-0.007261276,0.003684998,0,
00:00.3,-0.000612259,-0.007238388,0.003662109,0,
00:00.3,-0.000612259,-0.007238388,0.003673553,0,
00:00.4,-0.000577927,-0.007238388,0.003684998,0,
00:00.4,-0.000595093,-0.007255554,0.003684998,0,
00:00.4,-0.000606537,-0.007261276,0.003673553,0,
00:00.4,-0.000606537,-0.00727272,0.003673553,0,
00:00.4,-0.000606537,-0.00727272,0.00369072,0,
00:00.4,-0.000595093,-0.00727272,0.003702164,0,
00:00.4,-0.000600815,-0.007249832,0.003684998,0,
00:00.4,-0.000612259,-0.007232666,0.003684998,0,
00:00.4,-0.000583649,-0.007226944,0.003679276,0,
00:00.4,-0.000600815,-0.00724411,0.003673553,0,
00:00.4,-0.000612259,-0.007255554,0.003679276,0,
00:00.4,-0.000629425,-0.007249832,0.003633499,0,
00:00.4,-0.000635147,-0.007238388,0.003679276,0,
00:00.4,-0.000612259,-0.007238388,0.00369072,0,
00:00.4,-0.000583649,-0.00724411,0.003656387,0,
00:00.4,-0.000595093,-0.00724411,0.003684998,0,
00:00.4,-0.000612259,-0.007255554,0.003684998,0,
00:00.4,-0.000640869,-0.007238388,0.003765106,0,
00:00.4,-0.000646591,-0.00724411,0.003707886,0,
00:00.4,-0.000589371,-0.007249832,0.003650665,0,
00:00.4,-0.000583649,-0.007249832,0.003633499,0,
