Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.004571915,0.00030899,0.016965866,0,
00:00.0,0.004571915,0.00030899,0.016983032,0,
00:00.0,0.004549026,0.00030899,0.016971588,0,
00:00.0,0.004560471,0.000314713,0.016971588,0,
00:00.0,0.004566193,0.000326157,0.01697731,0,
00:00.0,0.004566193,0.000320435,0.016983032,0,
00:00.0,0.004571915,0.000314713,0.016971588,0,
00:00.0,0.004560471,0.000314713,0.016983032,0,
00:00.0,0.004554749,0.000331879,0.01697731,0,
00:00.0,0.004571915,0.000331879,0.016983032,0,
00:00.0,0.004566193,0.000314713,0.016971588,0,
00:00.0,0.004543304,0.00030899,0.016983032,0,
00:00.0,0.004549026,0.000326157,0.016983032,0,
00:00.1,0.004554749,0.000331879,0.016988754,0,
00:00.1,0.004560471,0.000326157,0.016994476,0,
00:00.1,0.004560471,0.000320435,0.016983032,0,
00:00.1,0.004549026,0.000314713,0.016994476,0,
00:00.1,0.004554749,0.000331879,0.017000198,0,
00:00.1,0.004577637,0.000326157,0.017000198,0,
00:00.1,0.004566193,0.000331879,0.01700592,0,
00:00.1,0.004554749,0.000326157,0.016994476,0,
00:00.1,0.004560471,0.000320435,0.016994476,0,
00:00.1,0.004560471,0.000320435,0.01700592,0,
00:00.1,0.004583359,0.000326157,0.017000198,0,
00:00.1,0.004566193,0.000331879,0.017000198,0,
00:00.1,0.004543304,0.000331879,0.01700592,0,
00:00.1,0.004549026,0.000326157,0.017011642,0,
00:00.1,0.004566193,0.000331879,0.017000198,0,
00:00.1,0.004571915,0.000337601,0.016994476,0,
00:00.1,0.004554749,0.000331879,0.016994476,0,
00:00.1,0.004560471,0.000337601,0.017023087,0,
00:00.1,0.004554749,0.000343323,0.017011642,0,
00:00.1,0.004543304,0.000320435,0.017011642,0,
00:00.1,0.004554749,0.000337601,0.017017365,0,
00:00.1,0.004566193,0.000343323,0.017017365,0,
00:00.1,0.004560471,0.000337601,0.017017365,0,
00:00.1,0.004549026,0.000337601,0.017028809,0,
00:00.1,0.004560471,0.000337601,0.017028809,0,
00:00.2,0.004571915,0.000337601,0.017023087,0,
00:00.2,0.004566193,0.000337601,0.017028809,0,
00:00.2,0.004549026,0.000343323,0.017028809,0,
00:00.2,0.004560471,0.000337601,0.017028809,0,
00:00.2,0.004560471,0.000343323,0.017023087,0,
00:00.2,0.004560471,0.000349045,0.017017365,0,
00:00.2,0.004560471,0.000349045,0.017034531,0,
00:00.2,0.004566193,0.000343323,0.017040253,0,
00:00.2,0.004571915,0.000349045,0.017040253,0,
00:00.2,0.004571915,0.000360489,0.017028809,0,
00:00.2,0.004566193,0.000349045,0.017034531,0,
00:00.2,0.004554749,0.000343323,0.017034531,0,
00:00.2,0.004566193,0.000337601,0.017040253,0,
00:00.2,0.004560471,0.000360489,0.017040253,0,
00:00.2,0.004560471,0.000354767,0.017040253,0,
00:00.2,0.004577637,0.000354767,0.017034531,0,
