Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.004245758,0.00047493,0.013458252,0,
00:00.0,0.004205704,0.000469208,0.013458252,0,
00:00.0,0.00419426,0.000469208,0.013469696,0,
00:00.0,0.00425148,0.000463486,0.013458252,0,
00:00.0,0.004291534,0.000486374,0.013435364,0,
00:00.0,0.004268646,0.00050354,0.013458252,0,
00:00.0,0.00425148,0.000497818,0.013463974,0,
00:00.0,0.004245758,0.000463486,0.013486862,0,
00:00.0,0.004217148,0.000423431,0.01350975,0,
00:00.0,0.004234314,0.000440598,0.01350975,0,
00:00.0,0.004268646,0.000463486,0.013515472,0,
00:00.0,0.004205704,0.00047493,0.013515472,0,
00:00.0,0.004245758,0.000492096,0.01350975,0,
00:00.1,0.004268646,0.000480652,0.013498306,0,
00:00.1,0.004228592,0.000480652,0.013538361,0,
00:00.1,0.004217148,0.00047493,0.013526917,0,
00:00.1,0.004274368,0.000463486,0.01350975,0,
00:00.1,0.004245758,0.000463486,0.01350975,0,
00:00.1,0.004262924,0.000492096,0.013544083,0,
00:00.1,0.00425148,0.000486374,0.013538361,0,
00:00.1,0.004240036,0.000463486,0.013538361,0,
00:00.1,0.004211426,0.000417709,0.013549805,0,
00:00.1,0.00422287,0.000469208,0.013566971,0,
00:00.1,0.00425148,0.000492096,0.013572693,0,
00:00.1,0.00425148,0.000480652,0.013578415,0,
00:00.1,0.00425148,0.000463486,0.013555527,0,
00:00.1,0.004217148,0.00047493,0.013561249,0,
00:00.1,0.004228592,0.00050354,0.013584137,0,
00:00.1,0.004262924,0.00047493,0.013589859,0,
00:00.1,0.004274368,0.00047493,0.013578415,0,
00:00.1,0.00425148,0.000492096,0.013584137,0,
00:00.1,0.00422287,0.000514984,0.013601303,0,
00:00.1,0.00425148,0.00047493,0.013601303,0,
00:00.1,0.004240036,0.000463486,0.013612747,0,
00:00.1,0.004240036,0.000480652,0.013612747,0,
00:00.1,0.004262924,0.000469208,0.013607025,0,
00:00.1,0.004257202,0.000469208,0.013601303,0,
00:00.1,0.004228592,0.000452042,0.013607025,0,
00:00.2,0.004274368,0.00047493,0.013635635,0,
00:00.2,0.00428009,0.000486374,0.013612747,0,
00:00.2,0.004245758,0.000492096,0.013641357,0,
00:00.2,0.004234314,0.000497818,0.013641357,0,
00:00.2,0.004240036,0.00047493,0.013652802,0,
00:00.2,0.004188538,0.00047493,0.013669968,0,
00:00.2,0.00425148,0.000486374,0.013664246,0,
00:00.2,0.00428009,0.00047493,0.013635635,0,
00:00.2,0.004268646,0.00047493,0.01367569,0,
00:00.2,0.004262924,0.000480652,0.01367569,0,
00:00.2,0.004262924,0.000492096,0.013687134,0,
00:00.2,0.004228592,0.000469208,0.01367569,0,
00:00.2,0.00419426,0.000463486,0.013687134,0,
00:00.2,0.004240036,0.000480652,0.0137043,0,
00:00.2,0.004245758,0.000492096,0.013692856,0,
00:00.2,0.004262924,0.000480652,0.013710022,0,
00:00.2,0.004245758,0.00047493,0.013692856,0,
00:00.2,0.004262924,0.000492096,0.013715744,0,
00:00.2,0.004268646,0.000497818,0.013710022,0,
00:00.2,0.004228592,0.000457764,0.013710022,0,
00:00.2,0.004234314,0.000463486,0.013715744,0,
00:00.2,0.00425148,0.000452042,0.01373291,0,
00:00.2,0.004262924,0.000492096,0.013721466,0,
00:00.2,0.004262924,0.000492096,0.013750076,0,
00:00.2,0.004274368,0.000497818,0.013750076,0,
00:00.3,0.004268646,0.000514984,0.01373291,0,
00:00.3,0.004234314,0.000492096,0.013738632,0,
00:00.3,0.004240036,0.000480652,0.013755798,0,
00:00.3,0.004245758,0.000497818,0.013744354,0,
00:00.3,0.00425148,0.000486374,0.013750076,0,
00:00.3,0.004257202,0.000463486,0.013772964,0,
00:00.3,0.004262924,0.000463486,0.013795853,0,
00:00.3,0.004257202,0.000492096,0.013795853,0,
00:00.3,0.004199982,0.000509262,0.013801575,0,
00:00.3,0.004165649,0.00050354,0.013790131,0,
00:00.3,0.00425148,0.000497818,0.013818741,0,
00:00.3,0.004274368,0.000463486,0.013813019,0,
00:00.3,0.004274368,0.000480652,0.013807297,0,
00:00.3,0.004268646,0.000486374,0.013818741,0,
00:00.3,0.004262924,0.000463486,0.013813019,0,
00:00.3,0.004257202,0.000492096,0.013801575,0,
00:00.3,0.004274368,0.000497818,0.013818741,0,
00:00.3,0.004262924,0.000486374,0.013830185,0,
00:00.3,0.004257202,0.000492096,0.013824463,0,
00:00.3,0.004257202,0.000486374,0.013847351,0,
00:00.3,0.004240036,0.000480652,0.013830185,0,
00:00.3,0.004245758,0.000509262,0.013841629,0,
00:00.3,0.00425148,0.000497818,0.013841629,0,
00:00.3,0.004262924,0.000486374,0.013875961,0,
00:00.3,0.004228592,0.000492096,0.013864517,0,
00:00.4,0.00422287,0.000457764,0.013858795,0,
00:00.4,0.00428009,0.000480652,0.013875961,0,
00:00.4,0.00425148,0.000497818,0.013864517,0,
00:00.4,0.004257202,0.000509262,0.013881683,0,
00:00.4,0.004234314,0.000514984,0.013875961,0,
00:00.4,0.004234314,0.00047493,0.013887405,0,
00:00.4,0.004257202,0.000452042,0.013875961,0,
00:00.4,0.004257202,0.000480652,0.013904572,0,
00:00.4,0.004268646,0.000509262,0.013898849,0,
00:00.4,0.00425148,0.000509262,0.013887405,0,
00:00.4,0.004245758,0.000480652,0.013887405,0,
00:00.4,0.004205704,0.000486374,0.013875961,0,
00:00.4,0.004262924,0.00050354,0.013921738,0,
00:00.4,0.004257202,0.000497818,0.013938904,0,
00:00.4,0.004171371,0.000497818,0.01392746,0,
00:00.4,0.004217148,0.000497818,0.013898849,0,
00:00.4,0.004308701,0.000497818,0.013910294,0,
00:00.4,0.004297256,0.00050354,0.01392746,0,
00:00.4,0.00428009,0.000509262,0.013944626,0,
00:00.4,0.00425148,0.00050354,0.013938904,0,
00:00.4,0.004240036,0.00050354,0.013938904,0,
00:00.4,0.00425148,0.000486374,0.013944626,0,
00:00.4,0.004257202,0.000480652,0.01395607,0,
00:00.4,0.004257202,0.000463486,0.013973236,0,
00:00.4,0.00425148,0.000452042,0.013967514,0,
00:00.5,0.00425148,0.00050354,0.013973236,0,
00:00.5,0.004262924,0.000514984,0.013978958,0,
00:00.5,0.004199982,0.000497818,0.013978958,0,
00:00.5,0.004217148,0.00050354,0.013961792,0,
00:00.5,0.004325867,0.000492096,0.013973236,0,
00:00.5,0.004268646,0.000497818,0.013978958,0,
00:00.5,0.004274368,0.00050354,0.01395607,0,
00:00.5,0.004274368,0.00050354,0.014001846,0,
00:00.5,0.004285812,0.000497818,0.014007568,0,
00:00.5,0.004262924,0.000492096,0.014001846,0,
00:00.5,0.00425148,0.000486374,0.014001846,0,
00:00.5,0.004257202,0.000492096,0.01398468,0,
00:00.5,0.004245758,0.00047493,0.014007568,0,
00:00.5,0.004262924,0.000492096,0.01401329,0,
00:00.5,0.004257202,0.00053215,0.013973236,0,
00:00.5,0.004205704,0.000543594,0.01398468,0,
00:00.5,0.004257202,0.000497818,0.014053345,0,
00:00.5,0.004228592,0.000480652,0.014076233,0,
00:00.5,0.004285812,0.000486374,0.014053345,0,
00:00.5,0.004268646,0.000469208,0.014041901,0,
00:00.5,0.004257202,0.000480652,0.014059067,0,
00:00.5,0.004257202,0.000486374,0.014059067,0,
00:00.5,0.004262924,0.000486374,0.014047623,0,
00:00.5,0.004257202,0.000486374,0.014053345,0,
00:00.5,0.004234314,0.00047493,0.014041901,0,
00:00.6,0.00419426,0.00053215,0.014024734,0,
00:00.6,0.004234314,0.00056076,0.013990402,0,
00:00.6,0.004343033,0.000543594,0.014047623,0,
00:00.6,0.004314423,0.000520706,0.014036179,0,
00:00.6,0.004245758,0.000480652,0.014064789,0,
00:00.6,0.004245758,0.000463486,0.014144897,0,
00:00.6,0.00425148,0.000469208,0.01415062,0,
00:00.6,0.004245758,0.00047493,0.014122009,0,
00:00.6,0.004245758,0.00047493,0.014099121,0,
00:00.6,0.004257202,0.000486374,0.014104843,0,
00:00.6,0.004262924,0.000497818,0.014087677,0,
00:00.6,0.004257202,0.00050354,0.014093399,0,
00:00.6,0.004240036,0.000509262,0.014093399,0,
00:00.6,0.004245758,0.00050354,0.014087677,0,
00:00.6,0.004285812,0.000566483,0.014076233,0,
00:00.6,0.00428009,0.000595093,0.014070511,0,
00:00.6,0.00425148,0.000509262,0.014133453,0,
00:00.6,0.004245758,0.000469208,0.014144897,0,
00:00.6,0.00428009,0.00047493,0.014162064,0,
00:00.6,0.00425148,0.000480652,0.014167786,0,
00:00.6,0.004240036,0.000480652,0.014167786,0,
00:00.6,0.004240036,0.000463486,0.014167786,0,
00:00.6,0.00425148,0.000452042,0.014162064,0,
00:00.6,0.004217148,0.000497818,0.01415062,0,
00:00.6,0.00428009,0.000514984,0.014122009,0,
00:00.7,0.00428009,0.000543594,0.014139175,0,
00:00.7,0.004262924,0.000555038,0.014156342,0,
00:00.7,0.004268646,0.000520706,0.014139175,0,
00:00.7,0.004257202,0.000509262,0.01415062,0,
00:00.7,0.004240036,0.00050354,0.014196396,0,
00:00.7,0.004240036,0.000486374,0.014196396,0,
00:00.7,0.004257202,0.00047493,0.014219284,0,
00:00.7,0.004257202,0.00047493,0.014230728,0,
00:00.7,0.004262924,0.000480652,0.014225006,0,
00:00.7,0.00428009,0.000514984,0.01420784,0,
00:00.7,0.00425148,0.000497818,0.014202118,0,
00:00.7,0.00422287,0.000492096,0.014213562,0,
00:00.7,0.00425148,0.000497818,0.01420784,0,
00:00.7,0.004240036,0.000509262,0.014196396,0,
00:00.7,0.004308701,0.000520706,0.01417923,0,
00:00.7,0.004325867,0.000555038,0.014190674,0,
00:00.7,0.004308701,0.000526428,0.014184952,0,
00:00.7,0.004274368,0.000457764,0.014242172,0,
00:00.7,0.004268646,0.00047493,0.014270782,0,
00:00.7,0.004274368,0.000514984,0.014259338,0,
00:00.7,0.004245758,0.000514984,0.01423645,0,
00:00.7,0.004257202,0.00050354,0.014276505,0,
00:00.7,0.00428009,0.000480652,0.014270782,0,
00:00.7,0.004268646,0.00050354,0.014270782,0,
00:00.7,0.004274368,0.00053215,0.014270782,0,
00:00.8,0.004262924,0.000526428,0.014282227,0,
00:00.8,0.004302979,0.00050354,0.014282227,0,
00:00.8,0.004314423,0.000509262,0.014293671,0,
00:00.8,0.004257202,0.000526428,0.014282227,0,
00:00.8,0.004240036,0.000520706,0.014305115,0,
00:00.8,0.004297256,0.000509262,0.014293671,0,
00:00.8,0.004285812,0.000497818,0.014316559,0,
00:00.8,0.004308701,0.000509262,0.014316559,0,
00:00.8,0.004308701,0.000514984,0.014299393,0,
00:00.8,0.00428009,0.000492096,0.014328003,0,
00:00.8,0.004262924,0.000469208,0.014322281,0,
00:00.8,0.004291534,0.00050354,0.014310837,0,
00:00.8,0.004348755,0.000526428,0.014299393,0,
00:00.8,0.004291534,0.00053215,0.014333725,0,
00:00.8,0.004320145,0.000509262,0.014356613,0,
00:00.8,0.004314423,0.000497818,0.014385223,0,
00:00.8,0.004302979,0.000497818,0.014362335,0,
00:00.8,0.004308701,0.000509262,0.014356613,0,
00:00.8,0.004308701,0.000492096,0.014373779,0,
00:00.8,0.004285812,0.00047493,0.014373779,0,
00:00.8,0.004274368,0.000514984,0.014368057,0,
00:00.8,0.004325867,0.000526428,0.014379501,0,
00:00.8,0.004325867,0.00053215,0.014356613,0,
00:00.8,0.004343033,0.000526428,0.014373779,0,
00:00.8,0.004348755,0.000526428,0.014373779,0,
00:00.9,0.004325867,0.00050354,0.014368057,0,
00:00.9,0.00428009,0.000469208,0.014408112,0,
00:00.9,0.004291534,0.000469208,0.014436722,0,
00:00.9,0.004331589,0.00050354,0.014419556,0,
00:00.9,0.004325867,0.000537872,0.014385223,0,
00:00.9,0.004348755,0.000549316,0.014408112,0,
00:00.9,0.004314423,0.000520706,0.014419556,0,
00:00.9,0.004343033,0.000486374,0.014431,0,
00:00.9,0.00425148,0.000486374,0.014448166,0,
00:00.9,0.004337311,0.000497818,0.014425278,0,
00:00.9,0.004348755,0.000514984,0.014431,0,
00:00.9,0.004405975,0.000514984,0.014431,0,
00:00.9,0.004354477,0.000480652,0.014425278,0,
00:00.9,0.004314423,0.000492096,0.014436722,0,
00:00.9,0.004337311,0.000486374,0.014453888,0,
00:00.9,0.004343033,0.000514984,0.01445961,0,
00:00.9,0.004383087,0.000526428,0.014453888,0,
00:00.9,0.004331589,0.000514984,0.014453888,0,
00:00.9,0.004343033,0.00050354,0.01445961,0,
00:00.9,0.004371643,0.000526428,0.014442444,0,
00:00.9,0.004360199,0.000514984,0.014465332,0,
00:00.9,0.004371643,0.000514984,0.01448822,0,
00:00.9,0.004365921,0.00050354,0.014471054,0,
00:00.9,0.004394531,0.000509262,0.014442444,0,
00:00.9,0.004394531,0.000520706,0.014453888,0,
00:01.0,0.004365921,0.000492096,0.014471054,0,
00:01.0,0.004371643,0.000486374,0.014511108,0,
00:01.0,0.004331589,0.00050354,0.014505386,0,
00:01.0,0.004320145,0.000509262,0.014493942,0,
00:01.0,0.004383087,0.00050354,0.014499664,0,
00:01.0,0.004417419,0.00050354,0.014528275,0,
00:01.0,0.004371643,0.000514984,0.014528275,0,
