Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.003925323,0.000452042,0.013057709,0,
00:00.0,0.004011154,0.00047493,0.013114929,0,
00:00.0,0.004011154,0.000463486,0.013114929,0,
00:00.0,0.00399971,0.000457764,0.013097763,0,
00:00.0,0.003982544,0.000457764,0.013137817,0,
00:00.0,0.003988266,0.000463486,0.013114929,0,
00:00.0,0.003976822,0.000457764,0.013103485,0,
00:00.0,0.003976822,0.000463486,0.013132095,0,
00:00.0,0.003965378,0.000457764,0.013126373,0,
00:00.0,0.003965378,0.000463486,0.013114929,0,
00:00.0,0.003959656,0.000480652,0.013120651,0,
00:00.0,0.003959656,0.000463486,0.013109207,0,
00:00.0,0.003982544,0.00047493,0.013126373,0,
00:00.1,0.003988266,0.000452042,0.013154984,0,
00:00.1,0.003993988,0.000463486,0.013160706,0,
00:00.1,0.00399971,0.000457764,0.013132095,0,
00:00.1,0.004005432,0.000463486,0.013137817,0,
00:00.1,0.003931046,0.00044632,0.013149261,0,
00:00.1,0.003936768,0.000457764,0.013143539,0,
00:00.1,0.004005432,0.000469208,0.013149261,0,
00:00.1,0.003993988,0.000463486,0.013177872,0,
00:00.1,0.003976822,0.000457764,0.01317215,0,
00:00.1,0.003976822,0.000457764,0.013166428,0,
00:00.1,0.003982544,0.00047493,0.01317215,0,
00:00.1,0.003976822,0.00047493,0.013160706,0,
00:00.1,0.003976822,0.000469208,0.013166428,0,
00:00.1,0.003965378,0.000469208,0.013149261,0,
00:00.1,0.003931046,0.000452042,0.013166428,0,
00:00.1,0.0039711,0.000469208,0.01317215,0,
00:00.1,0.003965378,0.000452042,0.013189316,0,
00:00.1,0.003976822,0.000469208,0.013206482,0,
00:00.1,0.00399971,0.000469208,0.013212204,0,
00:00.1,0.003982544,0.000463486,0.013189316,0,
00:00.1,0.0039711,0.000457764,0.013183594,0,
00:00.1,0.004005432,0.00047493,0.01317215,0,
00:00.1,0.0039711,0.00047493,0.01317215,0,
00:00.1,0.003948212,0.000480652,0.013217926,0,
00:00.1,0.003953934,0.00044632,0.013223648,0,
00:00.2,0.004005432,0.000469208,0.01320076,0,
00:00.2,0.003982544,0.00044632,0.013206482,0,
00:00.2,0.0039711,0.000457764,0.01320076,0,
00:00.2,0.003976822,0.00047493,0.013223648,0,
00:00.2,0.0039711,0.000469208,0.013223648,0,
00:00.2,0.003959656,0.000469208,0.01322937,0,
00:00.2,0.003959656,0.000469208,0.01322937,0,
00:00.2,0.003931046,0.000463486,0.013217926,0,
00:00.2,0.0039711,0.000469208,0.013240814,0,
00:00.2,0.004005432,0.000469208,0.013235092,0,
