Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.004514694,0.000743866,0.012908936,0,
00:00.0,0.00453186,0.0007267,0.012926102,0,
00:00.0,0.004508972,0.000715256,0.0129776,0,
00:00.0,0.004537582,0.000738144,0.012989044,0,
00:00.0,0.00450325,0.0007267,0.01294899,0,
00:00.0,0.004497528,0.000732422,0.012966156,0,
00:00.0,0.004514694,0.000738144,0.01294899,0,
00:00.0,0.004486084,0.000743866,0.012971878,0,
00:00.0,0.004549026,0.000715256,0.0129776,0,
00:00.0,0.004514694,0.000709534,0.012954712,0,
00:00.0,0.004514694,0.000715256,0.01300621,0,
00:00.0,0.00447464,0.0007267,0.013011932,0,
00:00.0,0.004520416,0.000720978,0.012971878,0,
00:00.1,0.004549026,0.000743866,0.012954712,0,
00:00.1,0.004543304,0.000749588,0.012926102,0,
00:00.1,0.004486084,0.000720978,0.012989044,0,
00:00.1,0.004508972,0.000720978,0.013000488,0,
00:00.1,0.004537582,0.000743866,0.012994766,0,
00:00.1,0.004520416,0.000720978,0.013017654,0,
00:00.1,0.00444603,0.000720978,0.01300621,0,
00:00.1,0.004411697,0.000715256,0.013017654,0,
00:00.1,0.004566193,0.0007267,0.013011932,0,
00:00.1,0.004554749,0.000738144,0.012983322,0,
00:00.1,0.004514694,0.0007267,0.013023376,0,
00:00.1,0.004514694,0.000732422,0.01300621,0,
00:00.1,0.004508972,0.000720978,0.013017654,0,
00:00.1,0.004508972,0.0007267,0.013029099,0,
00:00.1,0.004497528,0.0007267,0.013011932,0,
00:00.1,0.004468918,0.0007267,0.013017654,0,
00:00.1,0.004514694,0.0007267,0.013034821,0,
00:00.1,0.004514694,0.0007267,0.013023376,0,
00:00.1,0.00450325,0.0007267,0.013040543,0,
00:00.1,0.00453186,0.000738144,0.013046265,0,
00:00.1,0.004520416,0.000732422,0.013046265,0,
00:00.1,0.004480362,0.0007267,0.013040543,0,
00:00.1,0.004440308,0.000732422,0.013051987,0,
00:00.1,0.004497528,0.0007267,0.013057709,0,
00:00.1,0.004526138,0.000732422,0.013057709,0,
00:00.2,0.004520416,0.000732422,0.013046265,0,
00:00.2,0.004537582,0.0007267,0.013051987,0,
00:00.2,0.004514694,0.000732422,0.013057709,0,
00:00.2,0.004497528,0.0007267,0.013046265,0,
00:00.2,0.00450325,0.000732422,0.013069153,0,
00:00.2,0.004508972,0.000732422,0.013109207,0,
00:00.2,0.00450325,0.000732422,0.013080597,0,
00:00.2,0.004497528,0.000715256,0.013051987,0,
00:00.2,0.004491806,0.000720978,0.013074875,0,
00:00.2,0.004451752,0.0007267,0.013097763,0,
00:00.2,0.004514694,0.000743866,0.013092041,0,
00:00.2,0.004526138,0.000743866,0.013092041,0,
00:00.2,0.00447464,0.000720978,0.013114929,0,
00:00.2,0.004468918,0.000715256,0.013109207,0,
00:00.2,0.004497528,0.000732422,0.013120651,0,
00:00.2,0.004520416,0.0007267,0.013109207,0,
00:00.2,0.004514694,0.0007267,0.013120651,0,
00:00.2,0.004468918,0.000738144,0.013097763,0,
00:00.2,0.00453186,0.000738144,0.013126373,0,
00:00.2,0.004520416,0.0007267,0.013120651,0,
00:00.2,0.004508972,0.000715256,0.013109207,0,
00:00.2,0.004508972,0.0007267,0.013160706,0,
00:00.2,0.004480362,0.000715256,0.013160706,0,
00:00.2,0.004457474,0.000720978,0.013132095,0,
00:00.2,0.004497528,0.0007267,0.013120651,0,
00:00.3,0.00453186,0.000738144,0.013166428,0,
00:00.3,0.004491806,0.0007267,0.013166428,0,
00:00.3,0.00450325,0.000743866,0.013149261,0,
00:00.3,0.004497528,0.0007267,0.013137817,0,
00:00.3,0.004520416,0.000743866,0.013126373,0,
00:00.3,0.004514694,0.000749588,0.013160706,0,
00:00.3,0.004486084,0.000732422,0.013183594,0,
00:00.3,0.00447464,0.000715256,0.013212204,0,
00:00.3,0.004457474,0.000709534,0.013183594,0,
00:00.3,0.004486084,0.000715256,0.013166428,0,
00:00.3,0.004526138,0.0007267,0.01317215,0,
00:00.3,0.004508972,0.00075531,0.01317215,0,
00:00.3,0.004526138,0.000720978,0.013149261,0,
00:00.3,0.004468918,0.000715256,0.013149261,0,
00:00.3,0.00447464,0.000732422,0.01320076,0,
00:00.3,0.00447464,0.000738144,0.013195038,0,
00:00.3,0.00444603,0.000743866,0.013195038,0,
