Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.004606247,0.000778198,0.015146255,0,
00:00.0,0.004600525,0.000772476,0.015174866,0,
00:00.0,0.004589081,0.000766754,0.015197754,0,
00:00.0,0.004589081,0.00075531,0.015197754,0,
00:00.0,0.004583359,0.000772476,0.015192032,0,
00:00.0,0.004606247,0.000795364,0.015197754,0,
00:00.0,0.004640579,0.000801086,0.015169144,0,
00:00.0,0.004594803,0.000749588,0.015180588,0,
00:00.0,0.004589081,0.000761032,0.015174866,0,
00:00.0,0.004611969,0.000789642,0.01518631,0,
00:00.0,0.004634857,0.000818253,0.015163422,0,
00:00.0,0.004634857,0.000818253,0.015163422,0,
00:00.0,0.004594803,0.00075531,0.01518631,0,
00:00.1,0.004611969,0.000778198,0.015174866,0,
00:00.1,0.004611969,0.000795364,0.015192032,0,
00:00.1,0.004594803,0.000795364,0.015192032,0,
00:00.1,0.004600525,0.000749588,0.01518631,0,
00:00.1,0.004606247,0.000778198,0.015174866,0,
00:00.1,0.004606247,0.000795364,0.015146255,0,
00:00.1,0.004594803,0.000778198,0.015180588,0,
00:00.1,0.004600525,0.000766754,0.015209198,0,
00:00.1,0.004623413,0.000778198,0.01518631,0,
00:00.1,0.004600525,0.000761032,0.0151577,0,
00:00.1,0.004583359,0.000772476,0.01518631,0,
00:00.1,0.004571915,0.000772476,0.015203476,0,
00:00.1,0.004611969,0.000766754,0.015192032,0,
00:00.1,0.004623413,0.000795364,0.015180588,0,
00:00.1,0.004594803,0.00078392,0.015197754,0,
00:00.1,0.004623413,0.000778198,0.015180588,0,
00:00.1,0.004634857,0.00078392,0.015169144,0,
00:00.1,0.004634857,0.000841141,0.015192032,0,
00:00.1,0.004589081,0.000761032,0.015197754,0,
00:00.1,0.004566193,0.000761032,0.015180588,0,
00:00.1,0.004589081,0.000766754,0.01518631,0,
00:00.1,0.004623413,0.000761032,0.015180588,0,
00:00.1,0.004634857,0.000795364,0.015192032,0,
00:00.1,0.004611969,0.000806808,0.01518631,0,
00:00.1,0.004611969,0.000789642,0.015180588,0,
00:00.2,0.004583359,0.00075531,0.015226364,0,
00:00.2,0.004589081,0.000766754,0.01521492,0,
00:00.2,0.004594803,0.000743866,0.01518631,0,
00:00.2,0.004606247,0.000778198,0.015209198,0,
00:00.2,0.004611969,0.000806808,0.015197754,0,
00:00.2,0.004594803,0.00075531,0.015180588,0,
00:00.2,0.004600525,0.000778198,0.015192032,0,
00:00.2,0.004611969,0.000772476,0.015220642,0,
00:00.2,0.004606247,0.000801086,0.015203476,0,
00:00.2,0.004611969,0.00078392,0.015180588,0,
00:00.2,0.004589081,0.000795364,0.015203476,0,
00:00.2,0.004594803,0.000761032,0.015197754,0,
00:00.2,0.004600525,0.000761032,0.015192032,0,
00:00.2,0.004634857,0.000823975,0.015197754,0,
00:00.2,0.004594803,0.000772476,0.015197754,0,
00:00.2,0.004589081,0.000766754,0.015192032,0,
00:00.2,0.004629135,0.000789642,0.01518631,0,
00:00.2,0.004600525,0.000772476,0.015203476,0,
00:00.2,0.004606247,0.000801086,0.015209198,0,
00:00.2,0.004594803,0.00078392,0.015197754,0,
00:00.2,0.004606247,0.000778198,0.015197754,0,
00:00.2,0.004634857,0.000818253,0.015174866,0,
00:00.2,0.004583359,0.000720978,0.015232086,0,
00:00.2,0.004600525,0.000801086,0.01524353,0,
00:00.2,0.004617691,0.00078392,0.015203476,0,
00:00.3,0.004606247,0.00078392,0.015203476,0,
00:00.3,0.004640579,0.000812531,0.015192032,0,
00:00.3,0.004600525,0.000772476,0.015232086,0,
00:00.3,0.004577637,0.000795364,0.015237808,0,
00:00.3,0.004566193,0.000761032,0.015174866,0,
00:00.3,0.004566193,0.000743866,0.015203476,0,
00:00.3,0.004577637,0.00075531,0.015197754,0,
00:00.3,0.004617691,0.000801086,0.015209198,0,
00:00.3,0.004611969,0.000778198,0.015220642,0,
00:00.3,0.004589081,0.000778198,0.015226364,0,
00:00.3,0.004594803,0.000778198,0.015226364,0,
00:00.3,0.004600525,0.000766754,0.01521492,0,
00:00.3,0.004617691,0.00078392,0.015226364,0,
00:00.3,0.004640579,0.000829697,0.015220642,0,
00:00.3,0.004623413,0.000835419,0.015203476,0,
00:00.3,0.004600525,0.00078392,0.015220642,0,
00:00.3,0.004589081,0.000720978,0.015249252,0,
00:00.3,0.004594803,0.000749588,0.01521492,0,
00:00.3,0.004617691,0.000823975,0.01518631,0,
00:00.3,0.004594803,0.000795364,0.015254974,0,
00:00.3,0.004606247,0.000801086,0.015232086,0,
00:00.3,0.004583359,0.00075531,0.01524353,0,
00:00.3,0.004617691,0.00078392,0.015260696,0,
00:00.3,0.004600525,0.000772476,0.01521492,0,
00:00.3,0.004571915,0.000789642,0.015209198,0,
00:00.4,0.004554749,0.00078392,0.015254974,0,
00:00.4,0.004629135,0.000801086,0.015220642,0,
00:00.4,0.004623413,0.000778198,0.01524353,0,
00:00.4,0.004594803,0.000761032,0.015254974,0,
00:00.4,0.004629135,0.000823975,0.015226364,0,
00:00.4,0.004623413,0.000801086,0.015192032,0,
00:00.4,0.004589081,0.000743866,0.015220642,0,
00:00.4,0.004589081,0.000766754,0.015289307,0,
00:00.4,0.004589081,0.000761032,0.015283585,0,
00:00.4,0.004577637,0.000772476,0.015249252,0,
00:00.4,0.004600525,0.000818253,0.015232086,0,
00:00.4,0.004594803,0.000772476,0.015192032,0,
00:00.4,0.004594803,0.000743866,0.015220642,0,
