Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.004640579,0.00019455,0.010562897,0,
00:00.0,0.004720688,0.000211716,0.010540009,0,
00:00.0,0.004669189,0.000177383,0.010505676,0,
00:00.0,0.004674911,0.000188828,0.010482788,0,
00:00.0,0.004703522,0.000200272,0.010465622,0,
00:00.0,0.004629135,0.000131607,0.010505676,0,
00:00.0,0.004640579,0.000137329,0.010499954,0,
00:00.0,0.004692078,0.000177383,0.010471344,0,
00:00.0,0.004669189,0.000177383,0.01043129,0,
00:00.0,0.004703522,0.000160217,0.010437012,0,
00:00.0,0.004703522,0.000188828,0.010425568,0,
00:00.0,0.004674911,0.000165939,0.010442734,0,
00:00.0,0.004680634,0.000143051,0.010477066,0,
00:00.1,0.004680634,0.000154495,0.010465622,0,
00:00.1,0.004640579,0.000148773,0.010448456,0,
00:00.1,0.004692078,0.000143051,0.010425568,0,
00:00.1,0.004674911,0.000171661,0.010396957,0,
00:00.1,0.0046978,0.000171661,0.010408401,0,
00:00.1,0.004692078,0.000177383,0.010391235,0,
00:00.1,0.004657745,0.000183105,0.010328293,0,
00:00.1,0.004669189,0.000177383,0.010374069,0,
00:00.1,0.0046978,0.000165939,0.010362625,0,
00:00.1,0.004714966,0.000148773,0.010396957,0,
00:00.1,0.004629135,0.000131607,0.010379791,0,
00:00.1,0.004606247,0.000125885,0.010374069,0,
00:00.1,0.004629135,0.000165939,0.010351181,0,
00:00.1,0.004594803,0.00019455,0.010322571,0,
00:00.1,0.004720688,0.000200272,0.010305405,0,
00:00.1,0.004714966,0.000177383,0.010293961,0,
00:00.1,0.004646301,0.000171661,0.010305405,0,
00:00.1,0.004686356,0.000171661,0.010345459,0,
00:00.1,0.004709244,0.000183105,0.010316849,0,
00:00.1,0.004663467,0.000177383,0.010322571,0,
00:00.1,0.004652023,0.00019455,0.010271072,0,
00:00.1,0.004663467,0.000183105,0.010231018,0,
00:00.1,0.004657745,0.000165939,0.010253906,0,
00:00.1,0.0046978,0.000205994,0.010231018,0,
00:00.1,0.004646301,0.000177383,0.010271072,0,
00:00.2,0.004634857,0.000137329,0.010305405,0,
00:00.2,0.004577637,0.000143051,0.010242462,0,
00:00.2,0.004663467,0.000148773,0.01023674,0,
00:00.2,0.004634857,0.000171661,0.01023674,0,
00:00.2,0.004674911,0.000188828,0.010231018,0,
00:00.2,0.004606247,0.000171661,0.010242462,0,
00:00.2,0.004606247,0.000154495,0.010202408,0,
00:00.2,0.004623413,0.000154495,0.01017952,0,
00:00.2,0.004669189,0.000171661,0.010219574,0,
00:00.2,0.004611969,0.000177383,0.010202408,0,
00:00.2,0.004600525,0.000154495,0.010156631,0,
00:00.2,0.004589081,0.000120163,0.010162354,0,
00:00.2,0.004663467,0.000120163,0.010162354,0,
00:00.2,0.004634857,0.000143051,0.010150909,0,
00:00.2,0.004652023,0.000200272,0.010122299,0,
00:00.2,0.004629135,0.000211716,0.010122299,0,
00:00.2,0.004634857,0.000211716,0.010093689,0,
00:00.2,0.004589081,0.000200272,0.010116577,0,
00:00.2,0.004583359,0.000143051,0.010128021,0,
00:00.2,0.004629135,0.000160217,0.010122299,0,
00:00.2,0.004629135,0.00019455,0.010110855,0,
00:00.2,0.004629135,0.000211716,0.010099411,0,
00:00.2,0.004589081,0.000205994,0.010082245,0,
00:00.2,0.004611969,0.000177383,0.010070801,0,
00:00.2,0.004629135,0.000148773,0.010036469,0,
00:00.3,0.004629135,0.000137329,0.010036469,0,
00:00.3,0.004497528,0.000183105,0.010093689,0,
00:00.3,0.004611969,0.000217438,0.010070801,0,
00:00.3,0.004646301,0.000177383,0.010059357,0,
00:00.3,0.004663467,0.000165939,0.010047913,0,
00:00.3,0.004623413,0.000165939,0.010042191,0,
00:00.3,0.004514694,0.000131607,0.010036469,0,
00:00.3,0.004549026,0.000177383,0.010019302,0,
00:00.3,0.004663467,0.00025177,0.009990692,0,
00:00.3,0.004674911,0.00025177,0.009962082,0,
00:00.3,0.004617691,0.000200272,0.00998497,0,
00:00.3,0.004560471,0.000160217,0.00998497,0,
00:00.3,0.004497528,0.000148773,0.009990692,0,
00:00.3,0.004577637,0.000160217,0.009979248,0,
00:00.3,0.004634857,0.000188828,0.00995636,0,
00:00.3,0.004566193,0.000165939,0.009939194,0,
00:00.3,0.004583359,0.000125885,0.009944916,0,
00:00.3,0.004566193,0.000154495,0.009904861,0,
00:00.3,0.004583359,0.000217438,0.009904861,0,
00:00.3,0.004611969,0.000228882,0.00992775,0,
00:00.3,0.004566193,0.000177383,0.009893417,0,
00:00.3,0.004583359,0.000183105,0.009887695,0,
00:00.3,0.004566193,0.000183105,0.009870529,0,
00:00.3,0.004417419,0.000171661,0.009887695,0,
00:00.3,0.004508972,0.000165939,0.009847641,0,
00:00.4,0.004606247,0.000171661,0.009853363,0,
00:00.4,0.004589081,0.000183105,0.009830475,0,
00:00.4,0.004560471,0.000200272,0.009836197,0,
00:00.4,0.004486084,0.000183105,0.009841919,0,
00:00.4,0.004549026,0.000171661,0.009813309,0,
00:00.4,0.004526138,0.000160217,0.009807587,0,
00:00.4,0.004514694,0.000177383,0.009824753,0,
00:00.4,0.004543304,0.000188828,0.009796143,0,
00:00.4,0.004526138,0.000171661,0.009767532,0,
00:00.4,0.004526138,0.000188828,0.009801865,0,
00:00.4,0.004543304,0.000240326,0.009773254,0,
00:00.4,0.00453186,0.000228882,0.009738922,0,
00:00.4,0.004520416,0.000183105,0.009767532,0,
00:00.4,0.004514694,0.000148773,0.009750366,0,
00:00.4,0.004508972,0.000131607,0.009750366,0,
00:00.4,0.004457474,0.000143051,0.009727478,0,
00:00.4,0.004537582,0.000211716,0.00970459,0,
00:00.4,0.004554749,0.000268936,0.009698868,0,
00:00.4,0.004543304,0.000263214,0.00970459,0,
00:00.4,0.004537582,0.000211716,0.009687424,0,
00:00.4,0.004400253,0.000160217,0.009710312,0,
00:00.4,0.00450325,0.000183105,0.009698868,0,
00:00.4,0.00453186,0.00019455,0.009658813,0,
00:00.4,0.004486084,0.000160217,0.009641647,0,
00:00.4,0.004468918,0.000160217,0.009647369,0,
00:00.5,0.00447464,0.000183105,0.009693146,0,
00:00.5,0.004497528,0.000177383,0.009681702,0,
00:00.5,0.004520416,0.000183105,0.009653091,0,
00:00.5,0.004451752,0.000200272,0.009647369,0,
00:00.5,0.004537582,0.000240326,0.009653091,0,
00:00.5,0.004468918,0.000165939,0.009601593,0,
00:00.5,0.004428864,0.000143051,0.009618759,0,
00:00.5,0.004451752,0.00019455,0.009618759,0,
00:00.5,0.004497528,0.000171661,0.009584427,0,
00:00.5,0.004468918,0.000171661,0.009595871,0,
00:00.5,0.004423141,0.00022316,0.009595871,0,
00:00.5,0.004514694,0.000234604,0.009590149,0,
00:00.5,0.004520416,0.000217438,0.009595871,0,
00:00.5,0.00444603,0.000160217,0.009595871,0,
00:00.5,0.004423141,0.000120163,0.009572983,0,
00:00.5,0.004434586,0.000143051,0.009550095,0,
00:00.5,0.004514694,0.000143051,0.009550095,0,
00:00.5,0.004486084,0.000154495,0.009578705,0,
00:00.5,0.00447464,0.00019455,0.009555817,0,
00:00.5,0.004463196,0.00019455,0.009590149,0,
00:00.5,0.004486084,0.000200272,0.009550095,0,
00:00.5,0.004457474,0.000154495,0.009561539,0,
00:00.5,0.004417419,0.000154495,0.009532928,0,
00:00.5,0.004434586,0.000137329,0.009538651,0,
00:00.5,0.004411697,0.000143051,0.009527206,0,
00:00.6,0.004417419,0.000183105,0.009504318,0,
00:00.6,0.00450325,0.000205994,0.009487152,0,
00:00.6,0.004411697,0.000205994,0.009538651,0,
00:00.6,0.004417419,0.000143051,0.009515762,0,
00:00.6,0.004411697,0.000114441,0.009504318,0,
00:00.6,0.004423141,0.000154495,0.009492874,0,
00:00.6,0.004411697,0.000183105,0.00948143,0,
00:00.6,0.00447464,0.000165939,0.009492874,0,
00:00.6,0.004491806,0.000125885,0.009504318,0,
00:00.6,0.004463196,0.000165939,0.009469986,0,
00:00.6,0.004434586,0.000188828,0.009492874,0,
00:00.6,0.004377365,0.000160217,0.009475708,0,
00:00.6,0.004423141,0.000154495,0.00945282,0,
00:00.6,0.004480362,0.000154495,0.00945282,0,
00:00.6,0.004434586,0.000137329,0.009458542,0,
00:00.6,0.004377365,0.000120163,0.009458542,0,
00:00.6,0.004423141,0.000165939,0.009469986,0,
00:00.6,0.004468918,0.000188828,0.009458542,0,
00:00.6,0.004434586,0.000171661,0.009441376,0,
00:00.6,0.004428864,0.000148773,0.009458542,0,
00:00.6,0.004423141,0.000137329,0.009447098,0,
00:00.6,0.004417419,0.000171661,0.009429932,0,
00:00.6,0.004434586,0.000228882,0.009401321,0,
00:00.6,0.004451752,0.00022316,0.009441376,0,
00:00.6,0.004423141,0.000177383,0.009441376,0,
00:00.7,0.004434586,0.000120163,0.009429932,0,
00:00.7,0.004411697,0.000143051,0.009407043,0,
00:00.7,0.004411697,0.000154495,0.009401321,0,
00:00.7,0.004400253,0.000154495,0.009395599,0,
00:00.7,0.004411697,0.000131607,0.009418488,0,
00:00.7,0.004451752,0.000160217,0.009429932,0,
00:00.7,0.004411697,0.000165939,0.009418488,0,
00:00.7,0.004423141,0.000131607,0.009412766,0,
00:00.7,0.004405975,0.000148773,0.009401321,0,
00:00.7,0.004434586,0.000177383,0.009389877,0,
00:00.7,0.004337311,0.000125885,0.009389877,0,
00:00.7,0.004337311,0.000120163,0.009366989,0,
00:00.7,0.004417419,0.000188828,0.009355545,0,
00:00.7,0.004434586,0.000240326,0.009389877,0,
00:00.7,0.004417419,0.000183105,0.009407043,0,
00:00.7,0.004411697,0.000131607,0.00942421,0,
00:00.7,0.004383087,0.000143051,0.009395599,0,
00:00.7,0.004360199,0.00019455,0.009349823,0,
00:00.7,0.004343033,0.00019455,0.009361267,0,
00:00.7,0.004423141,0.000165939,0.009384155,0,
00:00.7,0.004405975,0.000148773,0.009407043,0,
00:00.7,0.004394531,0.000177383,0.009407043,0,
00:00.7,0.004394531,0.000177383,0.009366989,0,
00:00.7,0.004394531,0.000177383,0.009349823,0,
00:00.7,0.004417419,0.000183105,0.009366989,0,
00:00.8,0.004411697,0.000183105,0.009372711,0,
