Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001064301,-0.007753372,0.008050919,0,
00:00.0,0.001058578,-0.00774765,0.008022308,0,
00:00.0,0.001041412,-0.00774765,0.008045197,0,
00:00.0,0.001064301,-0.007730484,0.008039474,0,
00:00.0,0.001029968,-0.007753372,0.00802803,0,
00:00.0,0.001058578,-0.007759094,0.008016586,0,
00:00.0,0.001058578,-0.007759094,0.008022308,0,
00:00.0,0.001070023,-0.00774765,0.008033752,0,
00:00.0,0.001052856,-0.007753372,0.008033752,0,
00:00.0,0.001047134,-0.007753372,0.008056641,0,
00:00.0,0.001041412,-0.007736206,0.008045197,0,
00:00.0,0.001052856,-0.007730484,0.008016586,0,
00:00.0,0.001058578,-0.007730484,0.00802803,0,
00:00.1,0.00103569,-0.00774765,0.008079529,0,
00:00.1,0.00103569,-0.00774765,0.008062363,0,
00:00.1,0.001070023,-0.007753372,0.008033752,0,
00:00.1,0.001064301,-0.007730484,0.008056641,0,
00:00.1,0.001047134,-0.007741928,0.008056641,0,
00:00.1,0.001041412,-0.007741928,0.008039474,0,
00:00.1,0.001041412,-0.00774765,0.008039474,0,
00:00.1,0.001058578,-0.007736206,0.008056641,0,
00:00.1,0.001041412,-0.007730484,0.008045197,0,
00:00.1,0.001018524,-0.007730484,0.008039474,0,
00:00.1,0.001052856,-0.007741928,0.008045197,0,
00:00.1,0.001052856,-0.00774765,0.008062363,0,
00:00.1,0.001070023,-0.007730484,0.008045197,0,
00:00.1,0.001064301,-0.007741928,0.008033752,0,
00:00.1,0.00103569,-0.007736206,0.008062363,0,
00:00.1,0.001024246,-0.007730484,0.008050919,0,
00:00.1,0.001029968,-0.007741928,0.008033752,0,
00:00.1,0.001058578,-0.007753372,0.008068085,0,
00:00.1,0.001087189,-0.007741928,0.008056641,0,
00:00.1,0.001052856,-0.00774765,0.008045197,0,
00:00.1,0.00103569,-0.007741928,0.008022308,0,
00:00.1,0.001029968,-0.007736206,0.008073807,0,
00:00.1,0.00103569,-0.007736206,0.008068085,0,
00:00.1,0.001058578,-0.007730484,0.008068085,0,
00:00.1,0.001047134,-0.007736206,0.008056641,0,
00:00.2,0.001052856,-0.007724762,0.008062363,0,
00:00.2,0.001047134,-0.00771904,0.008079529,0,
00:00.2,0.001070023,-0.007730484,0.008050919,0,
00:00.2,0.001064301,-0.007741928,0.008045197,0,
00:00.2,0.001047134,-0.00774765,0.008050919,0,
00:00.2,0.00103569,-0.007730484,0.008056641,0,
00:00.2,0.001058578,-0.007724762,0.008073807,0,
00:00.2,0.001075745,-0.007730484,0.008045197,0,
00:00.2,0.001041412,-0.007730484,0.008062363,0,
00:00.2,0.001041412,-0.007730484,0.008050919,0,
00:00.2,0.001064301,-0.00771904,0.008062363,0,
00:00.2,0.001058578,-0.007736206,0.008056641,0,
00:00.2,0.00103569,-0.007741928,0.008079529,0,
00:00.2,0.001052856,-0.007730484,0.008062363,0,
00:00.2,0.001064301,-0.007736206,0.008033752,0,
00:00.2,0.001070023,-0.007736206,0.00802803,0,
00:00.2,0.001075745,-0.007741928,0.008068085,0,
00:00.2,0.001052856,-0.007736206,0.008085251,0,
00:00.2,0.001064301,-0.007730484,0.008096695,0,
00:00.2,0.001058578,-0.007730484,0.008050919,0,
00:00.2,0.001047134,-0.007736206,0.008039474,0,
00:00.2,0.001058578,-0.007736206,0.008045197,0,
00:00.2,0.001087189,-0.00771904,0.008068085,0,
00:00.2,0.001070023,-0.007736206,0.008073807,0,
00:00.2,0.001058578,-0.007741928,0.008056641,0,
00:00.3,0.001070023,-0.007724762,0.008045197,0,
00:00.3,0.001075745,-0.00771904,0.008056641,0,
00:00.3,0.001087189,-0.007736206,0.008073807,0,
00:00.3,0.001070023,-0.007741928,0.008073807,0,
00:00.3,0.001047134,-0.007736206,0.008062363,0,
00:00.3,0.001075745,-0.007730484,0.008068085,0,
00:00.3,0.001081467,-0.007724762,0.008068085,0,
00:00.3,0.001052856,-0.00771904,0.008045197,0,
00:00.3,0.001087189,-0.007730484,0.008039474,0,
00:00.3,0.001110077,-0.007736206,0.008085251,0,
00:00.3,0.001081467,-0.007736206,0.008090973,0,
00:00.3,0.00103569,-0.00774765,0.008039474,0,
00:00.3,0.001098633,-0.007730484,0.008062363,0,
00:00.3,0.001098633,-0.007724762,0.008073807,0,
00:00.3,0.001070023,-0.007724762,0.008062363,0,
00:00.3,0.001098633,-0.007724762,0.008056641,0,
00:00.3,0.001110077,-0.007724762,0.008073807,0,
