Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002311707,-0.003816605,0.010379791,0,
00:00.0,0.002305984,-0.003822327,0.010374069,0,
00:00.0,0.002311707,-0.003816605,0.010414124,0,
00:00.0,0.002311707,-0.003816605,0.010414124,0,
00:00.0,0.002311707,-0.003810883,0.010408401,0,
00:00.0,0.002305984,-0.003816605,0.010396957,0,
00:00.0,0.002300262,-0.003816605,0.010402679,0,
00:00.0,0.00229454,-0.003816605,0.010419846,0,
00:00.0,0.002311707,-0.003810883,0.010402679,0,
00:00.0,0.002317429,-0.003805161,0.010402679,0,
00:00.0,0.002317429,-0.003816605,0.010414124,0,
00:00.0,0.002311707,-0.003810883,0.010419846,0,
00:00.0,0.002305984,-0.003810883,0.010402679,0,
00:00.1,0.002305984,-0.003805161,0.010408401,0,
00:00.1,0.002305984,-0.003799438,0.010402679,0,
00:00.1,0.002305984,-0.003810883,0.010414124,0,
00:00.1,0.002305984,-0.003816605,0.010414124,0,
00:00.1,0.002305984,-0.003810883,0.010414124,0,
00:00.1,0.002311707,-0.003799438,0.010419846,0,
00:00.1,0.002300262,-0.003816605,0.010425568,0,
00:00.1,0.002305984,-0.003816605,0.010419846,0,
00:00.1,0.002311707,-0.003793716,0.010408401,0,
00:00.1,0.002311707,-0.003799438,0.010414124,0,
00:00.1,0.002305984,-0.003822327,0.01043129,0,
00:00.1,0.002300262,-0.003799438,0.010419846,0,
00:00.1,0.002300262,-0.003799438,0.010419846,0,
00:00.1,0.002288818,-0.003810883,0.010437012,0,
00:00.1,0.002300262,-0.003805161,0.01043129,0,
00:00.1,0.002305984,-0.003805161,0.010419846,0,
00:00.1,0.002311707,-0.003799438,0.010419846,0,
00:00.1,0.002305984,-0.003793716,0.010448456,0,
00:00.1,0.002300262,-0.003810883,0.010442734,0,
00:00.1,0.002311707,-0.003805161,0.010408401,0,
00:00.1,0.002300262,-0.003799438,0.010419846,0,
00:00.1,0.002305984,-0.003793716,0.010419846,0,
00:00.1,0.00229454,-0.003793716,0.010419846,0,
00:00.1,0.00229454,-0.003793716,0.010419846,0,
00:00.1,0.002311707,-0.003787994,0.010419846,0,
00:00.2,0.002300262,-0.003793716,0.010419846,0,
00:00.2,0.00229454,-0.003799438,0.010425568,0,
00:00.2,0.002305984,-0.003799438,0.010437012,0,
00:00.2,0.002305984,-0.003799438,0.01043129,0,
00:00.2,0.002300262,-0.003793716,0.010414124,0,
00:00.2,0.00229454,-0.003799438,0.010442734,0,
00:00.2,0.00229454,-0.003793716,0.010442734,0,
00:00.2,0.00229454,-0.003793716,0.010437012,0,
00:00.2,0.002288818,-0.003787994,0.010425568,0,
00:00.2,0.002288818,-0.003787994,0.01043129,0,
