Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000411987,-0.008045197,0.007164001,0,
00:00.0,-0.000411987,-0.008045197,0.007152557,0,
00:00.0,-0.000411987,-0.008033752,0.007164001,0,
00:00.0,-0.000406265,-0.008033752,0.007169724,0,
00:00.0,-0.000406265,-0.008039474,0.007175446,0,
00:00.0,-0.000406265,-0.008033752,0.007175446,0,
00:00.0,-0.000406265,-0.008033752,0.007169724,0,
00:00.0,-0.000406265,-0.008033752,0.007158279,0,
00:00.0,-0.000400543,-0.008022308,0.00718689,0,
00:00.0,-0.000417709,-0.008033752,0.007192612,0,
00:00.0,-0.000406265,-0.008033752,0.00718689,0,
00:00.0,-0.000383377,-0.00802803,0.007175446,0,
00:00.0,-0.000389099,-0.00802803,0.007175446,0,
00:00.1,-0.000389099,-0.00802803,0.007181168,0,
00:00.1,-0.000389099,-0.008022308,0.007198334,0,
00:00.1,-0.000389099,-0.008022308,0.007181168,0,
00:00.1,-0.000389099,-0.008022308,0.007175446,0,
00:00.1,-0.000389099,-0.00802803,0.00718689,0,
00:00.1,-0.000389099,-0.00802803,0.007192612,0,
00:00.1,-0.000394821,-0.008022308,0.007192612,0,
00:00.1,-0.000383377,-0.008022308,0.007192612,0,
00:00.1,-0.000383377,-0.008033752,0.00718689,0,
00:00.1,-0.000377655,-0.00802803,0.007192612,0,
00:00.1,-0.000371933,-0.008016586,0.007198334,0,
00:00.1,-0.000371933,-0.008022308,0.007209778,0,
00:00.1,-0.000371933,-0.008022308,0.0072155,0,
00:00.1,-0.000366211,-0.008016586,0.007204056,0,
00:00.1,-0.000371933,-0.008022308,0.007204056,0,
00:00.1,-0.000371933,-0.00802803,0.007209778,0,
00:00.1,-0.000371933,-0.00802803,0.0072155,0,
00:00.1,-0.000371933,-0.008022308,0.007221222,0,
00:00.1,-0.000366211,-0.008010864,0.0072155,0,
00:00.1,-0.000360489,-0.008016586,0.007209778,0,
00:00.1,-0.000371933,-0.008010864,0.007226944,0,
00:00.1,-0.000366211,-0.008005142,0.007238388,0,
00:00.1,-0.000349045,-0.008010864,0.007198334,0,
00:00.1,-0.000354767,-0.008010864,0.0072155,0,
00:00.1,-0.000360489,-0.008010864,0.0072155,0,
00:00.2,-0.000360489,-0.008010864,0.007221222,0,
00:00.2,-0.000366211,-0.008016586,0.007232666,0,
00:00.2,-0.000360489,-0.008010864,0.007221222,0,
00:00.2,-0.000354767,-0.008010864,0.007221222,0,
00:00.2,-0.000354767,-0.008010864,0.007232666,0,
00:00.2,-0.000354767,-0.008010864,0.007226944,0,
00:00.2,-0.000354767,-0.008005142,0.007226944,0,
00:00.2,-0.000349045,-0.008005142,0.007226944,0,
00:00.2,-0.000349045,-0.00799942,0.007232666,0,
00:00.2,-0.000349045,-0.008005142,0.007226944,0,
00:00.2,-0.000343323,-0.008005142,0.00724411,0,
00:00.2,-0.000337601,-0.008005142,0.007226944,0,
00:00.2,-0.000343323,-0.008005142,0.007232666,0,
00:00.2,-0.000343323,-0.008005142,0.007238388,0,
00:00.2,-0.000337601,-0.00799942,0.00724411,0,
00:00.2,-0.000337601,-0.008005142,0.00724411,0,
00:00.2,-0.000337601,-0.008010864,0.00724411,0,
00:00.2,-0.000337601,-0.00799942,0.007249832,0,
