Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001853943,-0.006225586,0.00771904,0,
00:00.0,0.001779556,-0.00623703,0.007724762,0,
00:00.0,0.001791,-0.00626564,0.007736206,0,
00:00.0,0.001922607,-0.00623703,0.007701874,0,
00:00.0,0.001876831,-0.006248474,0.007701874,0,
00:00.0,0.001853943,-0.006254196,0.007730484,0,
00:00.0,0.001859665,-0.006271362,0.007713318,0,
00:00.0,0.001853943,-0.006248474,0.007701874,0,
00:00.0,0.001859665,-0.006219864,0.007753372,0,
00:00.0,0.001842499,-0.006242752,0.007764816,0,
00:00.0,0.001842499,-0.006259918,0.007701874,0,
00:00.0,0.001819611,-0.00626564,0.007724762,0,
00:00.0,0.001865387,-0.00626564,0.007724762,0,
00:00.1,0.001859665,-0.00623703,0.00771904,0,
00:00.1,0.001836777,-0.00623703,0.007741928,0,
00:00.1,0.001831055,-0.006231308,0.007713318,0,
00:00.1,0.001865387,-0.006231308,0.00774765,0,
00:00.1,0.001865387,-0.006248474,0.00771904,0,
00:00.1,0.001836777,-0.006254196,0.007696152,0,
00:00.1,0.001831055,-0.00626564,0.007713318,0,
00:00.1,0.001813889,-0.006271362,0.007730484,0,
00:00.1,0.001836777,-0.006259918,0.007736206,0,
00:00.1,0.001836777,-0.006231308,0.00774765,0,
00:00.1,0.001808167,-0.00623703,0.007781982,0,
00:00.1,0.001888275,-0.006225586,0.007667542,0,
00:00.1,0.001836777,-0.006248474,0.007696152,0,
00:00.1,0.001825333,-0.006271362,0.007730484,0,
00:00.1,0.001865387,-0.006259918,0.007707596,0,
00:00.1,0.001819611,-0.006254196,0.007701874,0,
00:00.1,0.00176239,-0.006282806,0.007787704,0,
00:00.1,0.001893997,-0.006254196,0.007673264,0,
00:00.1,0.001893997,-0.006225586,0.007678986,0,
00:00.1,0.001865387,-0.006225586,0.007696152,0,
00:00.1,0.001853943,-0.00623703,0.007730484,0,
00:00.1,0.001842499,-0.00623703,0.007707596,0,
00:00.1,0.001842499,-0.006259918,0.007724762,0,
00:00.1,0.001842499,-0.006282806,0.007724762,0,
00:00.1,0.001819611,-0.006259918,0.007724762,0,
00:00.2,0.001813889,-0.006225586,0.007730484,0,
00:00.2,0.001842499,-0.006225586,0.007713318,0,
00:00.2,0.001848221,-0.006248474,0.007741928,0,
00:00.2,0.001842499,-0.00623703,0.007724762,0,
00:00.2,0.001819611,-0.006259918,0.007696152,0,
00:00.2,0.001831055,-0.006248474,0.00774765,0,
00:00.2,0.001836777,-0.006254196,0.007839203,0,
00:00.2,0.001836777,-0.006242752,0.007684708,0,
00:00.2,0.001813889,-0.00623703,0.007656097,0,
00:00.2,0.001865387,-0.006248474,0.007678986,0,
00:00.2,0.001882553,-0.006259918,0.007627487,0,
00:00.2,0.001859665,-0.006248474,0.007684708,0,
00:00.2,0.001842499,-0.006271362,0.007730484,0,
00:00.2,0.001831055,-0.00623703,0.007707596,0,
00:00.2,0.001848221,-0.006254196,0.00769043,0,
00:00.2,0.001848221,-0.006254196,0.007724762,0,
00:00.2,0.001848221,-0.006242752,0.00771904,0,
00:00.2,0.001842499,-0.006231308,0.007684708,0,
00:00.2,0.001831055,-0.006259918,0.007707596,0,
00:00.2,0.001825333,-0.006259918,0.007741928,0,
00:00.2,0.001808167,-0.006271362,0.00771904,0,
00:00.2,0.001808167,-0.00626564,0.007753372,0,
00:00.2,0.001876831,-0.006242752,0.007684708,0,
00:00.2,0.001836777,-0.006242752,0.007701874,0,
00:00.2,0.001813889,-0.006231308,0.007764816,0,
00:00.3,0.001836777,-0.00626564,0.007759094,0,
00:00.3,0.001825333,-0.00626564,0.007724762,0,
00:00.3,0.001848221,-0.006282806,0.007673264,0,
00:00.3,0.001871109,-0.006259918,0.007656097,0,
00:00.3,0.001848221,-0.006248474,0.00769043,0,
00:00.3,0.001842499,-0.006231308,0.007696152,0,
00:00.3,0.001842499,-0.006271362,0.007713318,0,
00:00.3,0.001848221,-0.006242752,0.007707596,0,
00:00.3,0.001848221,-0.00623703,0.007696152,0,
00:00.3,0.001853943,-0.006231308,0.007713318,0,
00:00.3,0.001831055,-0.006231308,0.00771904,0,
00:00.3,0.001802444,-0.006259918,0.007713318,0,
00:00.3,0.001836777,-0.006282806,0.007673264,0,
00:00.3,0.001853943,-0.006248474,0.007701874,0,
