Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001470566,-0.005756378,0.009183884,0,
00:00.0,0.001459122,-0.005756378,0.009178162,0,
00:00.0,0.001464844,-0.005750656,0.009183884,0,
00:00.0,0.001430511,-0.005750656,0.009189606,0,
00:00.0,0.001447678,-0.005767822,0.00920105,0,
00:00.0,0.001493454,-0.005756378,0.009195328,0,
00:00.0,0.001493454,-0.005750656,0.009183884,0,
00:00.0,0.001487732,-0.005756378,0.009195328,0,
00:00.0,0.001470566,-0.0057621,0.009195328,0,
00:00.0,0.001464844,-0.005750656,0.009189606,0,
00:00.0,0.001470566,-0.005756378,0.009195328,0,
00:00.0,0.001464844,-0.0057621,0.009189606,0,
00:00.0,0.001464844,-0.005750656,0.009183884,0,
00:00.1,0.001464844,-0.005750656,0.009189606,0,
00:00.1,0.001464844,-0.005750656,0.00920105,0,
00:00.1,0.001476288,-0.005750656,0.009160995,0,
00:00.1,0.00148201,-0.005750656,0.009195328,0,
00:00.1,0.001470566,-0.005750656,0.009195328,0,
00:00.1,0.001464844,-0.0057621,0.009189606,0,
00:00.1,0.001470566,-0.005756378,0.009206772,0,
00:00.1,0.001470566,-0.005756378,0.00920105,0,
00:00.1,0.001464844,-0.005756378,0.009195328,0,
00:00.1,0.001464844,-0.005756378,0.009195328,0,
00:00.1,0.00148201,-0.005750656,0.009183884,0,
00:00.1,0.00148201,-0.005744934,0.009183884,0,
00:00.1,0.001464844,-0.005756378,0.009206772,0,
00:00.1,0.001441956,-0.005750656,0.009183884,0,
00:00.1,0.001447678,-0.005750656,0.00920105,0,
00:00.1,0.001487732,-0.005750656,0.009206772,0,
00:00.1,0.00148201,-0.005756378,0.009183884,0,
00:00.1,0.001470566,-0.0057621,0.009189606,0,
00:00.1,0.00148201,-0.005756378,0.009189606,0,
00:00.1,0.001476288,-0.005750656,0.009212494,0,
00:00.1,0.001476288,-0.005756378,0.00920105,0,
00:00.1,0.00148201,-0.005756378,0.009183884,0,
00:00.1,0.001487732,-0.005744934,0.009195328,0,
00:00.1,0.001470566,-0.005744934,0.009195328,0,
00:00.1,0.001476288,-0.005756378,0.009183884,0,
00:00.2,0.001476288,-0.005750656,0.009195328,0,
00:00.2,0.001464844,-0.005744934,0.009206772,0,
00:00.2,0.001487732,-0.005750656,0.009206772,0,
00:00.2,0.00148201,-0.005750656,0.009195328,0,
00:00.2,0.00148201,-0.005744934,0.009195328,0,
00:00.2,0.00148201,-0.005750656,0.009195328,0,
00:00.2,0.001470566,-0.005756378,0.009195328,0,
00:00.2,0.001464844,-0.005756378,0.009206772,0,
00:00.2,0.001476288,-0.005744934,0.009206772,0,
00:00.2,0.001464844,-0.005756378,0.00920105,0,
00:00.2,0.001487732,-0.005744934,0.009178162,0,
00:00.2,0.001487732,-0.005744934,0.009195328,0,
00:00.2,0.001476288,-0.005750656,0.00920105,0,
00:00.2,0.001470566,-0.005750656,0.009195328,0,
00:00.2,0.00148201,-0.005744934,0.00920105,0,
00:00.2,0.0014534,-0.005744934,0.009189606,0,
00:00.2,0.001459122,-0.005750656,0.009206772,0,
00:00.2,0.001493454,-0.005744934,0.00920105,0,
00:00.2,0.001493454,-0.005750656,0.009195328,0,
00:00.2,0.001487732,-0.005744934,0.009189606,0,
00:00.2,0.001487732,-0.005750656,0.009195328,0,
00:00.2,0.00148201,-0.005750656,0.009195328,0,
00:00.2,0.001459122,-0.005756378,0.00920105,0,
00:00.2,0.001470566,-0.005750656,0.00920105,0,
00:00.2,0.001476288,-0.005744934,0.00920105,0,
00:00.3,0.00148201,-0.005744934,0.009189606,0,
00:00.3,0.00148201,-0.005739212,0.009195328,0,
00:00.3,0.00148201,-0.005744934,0.009195328,0,
00:00.3,0.001476288,-0.005744934,0.009195328,0,
00:00.3,0.001476288,-0.005744934,0.009195328,0,
00:00.3,0.00148201,-0.00573349,0.009183884,0,
00:00.3,0.00148201,-0.005739212,0.009189606,0,
00:00.3,0.001470566,-0.005744934,0.009183884,0,
00:00.3,0.00148201,-0.005744934,0.009206772,0,
00:00.3,0.001470566,-0.005739212,0.009206772,0,
00:00.3,0.001476288,-0.005744934,0.009206772,0,
00:00.3,0.001476288,-0.005750656,0.009195328,0,
00:00.3,0.001464844,-0.005744934,0.00920105,0,
00:00.3,0.001487732,-0.005744934,0.00920105,0,
00:00.3,0.00148201,-0.005744934,0.009183884,0,
00:00.3,0.001470566,-0.005744934,0.009189606,0,
00:00.3,0.001470566,-0.005750656,0.009195328,0,
00:00.3,0.001459122,-0.005739212,0.00920105,0,
00:00.3,0.001464844,-0.005739212,0.009218216,0,
00:00.3,0.001459122,-0.005744934,0.009166718,0,
00:00.3,0.001499176,-0.005739212,0.009178162,0,
00:00.3,0.001504898,-0.00573349,0.009189606,0,
00:00.3,0.00148201,-0.005739212,0.00920105,0,
00:00.3,0.001476288,-0.005744934,0.009206772,0,
00:00.3,0.001493454,-0.005739212,0.009206772,0,
00:00.4,0.001476288,-0.005739212,0.009189606,0,
00:00.4,0.001464844,-0.005744934,0.00920105,0,
00:00.4,0.001470566,-0.005744934,0.00920105,0,
00:00.4,0.001493454,-0.005750656,0.009195328,0,
00:00.4,0.001476288,-0.005744934,0.00920105,0,
00:00.4,0.00148201,-0.005744934,0.009195328,0,
00:00.4,0.001476288,-0.005739212,0.009183884,0,
00:00.4,0.00148201,-0.005744934,0.009189606,0,
00:00.4,0.00148201,-0.00573349,0.009195328,0,
00:00.4,0.00148201,-0.00573349,0.009206772,0,
00:00.4,0.001464844,-0.00573349,0.009178162,0,
00:00.4,0.001470566,-0.005744934,0.00917244,0,
00:00.4,0.001493454,-0.005744934,0.00920105,0,
00:00.4,0.001487732,-0.005739212,0.009189606,0,
00:00.4,0.001470566,-0.005744934,0.009212494,0,
00:00.4,0.00148201,-0.005744934,0.00920105,0,
00:00.4,0.001464844,-0.005744934,0.009212494,0,
00:00.4,0.00148201,-0.005744934,0.009206772,0,
00:00.4,0.001476288,-0.005744934,0.009195328,0,
00:00.4,0.001470566,-0.005750656,0.00920105,0,
00:00.4,0.001493454,-0.00573349,0.009189606,0,
00:00.4,0.001476288,-0.00573349,0.009195328,0,
00:00.4,0.001476288,-0.005739212,0.009189606,0,
00:00.4,0.001476288,-0.005739212,0.00920105,0,
00:00.4,0.001476288,-0.005739212,0.00920105,0,
00:00.5,0.001493454,-0.00573349,0.009183884,0,
00:00.5,0.001487732,-0.005739212,0.009189606,0,
00:00.5,0.001493454,-0.005744934,0.00920105,0,
00:00.5,0.001470566,-0.005739212,0.00920105,0,
00:00.5,0.001464844,-0.005739212,0.009195328,0,
00:00.5,0.001459122,-0.005739212,0.009195328,0,
