Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000932693,-0.006786346,0.008451462,0,
00:00.0,0.000938416,-0.006780624,0.008451462,0,
00:00.0,0.000938416,-0.006774902,0.008451462,0,
00:00.0,0.000938416,-0.006774902,0.008440018,0,
00:00.0,0.00094986,-0.006792068,0.008422852,0,
00:00.0,0.001018524,-0.006637573,0.008405685,0,
00:00.0,0.001029968,-0.006597519,0.008422852,0,
00:00.0,0.000938416,-0.006774902,0.008440018,0,
00:00.0,0.000915527,-0.006814957,0.008480072,0,
00:00.0,0.000904083,-0.006837845,0.008440018,0,
00:00.0,0.000932693,-0.006774902,0.008457184,0,
00:00.0,0.000938416,-0.006780624,0.008468628,0,
00:00.0,0.000938416,-0.006774902,0.00844574,0,
00:00.1,0.000961304,-0.006752014,0.008394241,0,
00:00.1,0.000955582,-0.006746292,0.008422852,0,
00:00.1,0.000955582,-0.00676918,0.008491516,0,
00:00.1,0.000984192,-0.006700516,0.008451462,0,
00:00.1,0.000944138,-0.00674057,0.00847435,0,
00:00.1,0.000926971,-0.006786346,0.00844574,0,
00:00.1,0.000932693,-0.006803513,0.00844574,0,
00:00.1,0.000932693,-0.006786346,0.008457184,0,
00:00.1,0.000932693,-0.006774902,0.008440018,0,
00:00.1,0.000944138,-0.006763458,0.008434296,0,
00:00.1,0.000961304,-0.006729126,0.008462906,0,
00:00.1,0.000961304,-0.006729126,0.008434296,0,
00:00.1,0.000955582,-0.006752014,0.00844574,0,
00:00.1,0.000938416,-0.006837845,0.008457184,0,
00:00.1,0.000961304,-0.006746292,0.008457184,0,
00:00.1,0.001001358,-0.006614685,0.008428574,0,
00:00.1,0.00094986,-0.006752014,0.008451462,0,
00:00.1,0.000926971,-0.006814957,0.00847435,0,
00:00.1,0.000944138,-0.006797791,0.008440018,0,
00:00.1,0.000926971,-0.006814957,0.008451462,0,
00:00.1,0.000932693,-0.006752014,0.008440018,0,
00:00.1,0.000944138,-0.006729126,0.008491516,0,
00:00.1,0.000967026,-0.006717682,0.008508682,0,
00:00.1,0.000955582,-0.00671196,0.008468628,0,
00:00.1,0.000961304,-0.00674057,0.008434296,0,
00:00.2,0.00097847,-0.006694794,0.008451462,0,
00:00.2,0.000944138,-0.006774902,0.00847435,0,
00:00.2,0.000944138,-0.006786346,0.008440018,0,
00:00.2,0.000955582,-0.006763458,0.008485794,0,
00:00.2,0.000944138,-0.006763458,0.008428574,0,
00:00.2,0.00094986,-0.00676918,0.008468628,0,
00:00.2,0.000961304,-0.006763458,0.008514404,0,
00:00.2,0.000972748,-0.006700516,0.008485794,0,
00:00.2,0.000921249,-0.006746292,0.008485794,0,
00:00.2,0.000944138,-0.006752014,0.00847435,0,
00:00.2,0.000967026,-0.006700516,0.00844574,0,
00:00.2,0.000938416,-0.006757736,0.00847435,0,
00:00.2,0.000955582,-0.006763458,0.008468628,0,
00:00.2,0.00094986,-0.006780624,0.008462906,0,
00:00.2,0.000967026,-0.006729126,0.008491516,0,
00:00.2,0.000972748,-0.006700516,0.008497238,0,
00:00.2,0.000955582,-0.006734848,0.008462906,0,
00:00.2,0.000944138,-0.006780624,0.00847435,0,
