Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001390457,-0.008388519,0.007455826,0,
00:00.0,0.001390457,-0.008377075,0.007535934,0,
00:00.0,0.001396179,-0.008388519,0.007541656,0,
00:00.0,0.001379013,-0.008382797,0.007518768,0,
00:00.0,0.001367569,-0.008394241,0.007507324,0,
00:00.0,0.001361847,-0.008399963,0.007490158,0,
00:00.0,0.001379013,-0.008388519,0.007513046,0,
00:00.0,0.001430511,-0.008371353,0.007501602,0,
00:00.0,0.001384735,-0.008382797,0.007478714,0,
00:00.0,0.001373291,-0.008377075,0.007478714,0,
00:00.0,0.001413345,-0.008388519,0.007478714,0,
00:00.0,0.001390457,-0.008382797,0.00749588,0,
00:00.0,0.001401901,-0.008382797,0.007501602,0,
00:00.1,0.001384735,-0.008382797,0.007484436,0,
00:00.1,0.001379013,-0.008382797,0.007513046,0,
00:00.1,0.001430511,-0.008382797,0.007541656,0,
00:00.1,0.001396179,-0.008394241,0.007484436,0,
00:00.1,0.001396179,-0.008388519,0.00749588,0,
00:00.1,0.001384735,-0.008382797,0.00749588,0,
00:00.1,0.001350403,-0.008388519,0.007513046,0,
00:00.1,0.001401901,-0.008371353,0.007472992,0,
00:00.1,0.0014534,-0.008388519,0.007478714,0,
00:00.1,0.001413345,-0.008394241,0.007530212,0,
00:00.1,0.001379013,-0.008377075,0.00746727,0,
00:00.1,0.001379013,-0.008382797,0.007478714,0,
00:00.1,0.001407623,-0.008388519,0.00752449,0,
00:00.1,0.001401901,-0.008388519,0.007518768,0,
00:00.1,0.001407623,-0.008388519,0.007513046,0,
00:00.1,0.001396179,-0.008382797,0.007507324,0,
00:00.1,0.001384735,-0.008388519,0.007501602,0,
00:00.1,0.001361847,-0.008382797,0.007518768,0,
00:00.1,0.001367569,-0.008377075,0.00752449,0,
00:00.1,0.001436234,-0.008354187,0.007455826,0,
00:00.1,0.001384735,-0.008377075,0.007410049,0,
00:00.1,0.001413345,-0.008382797,0.007472992,0,
00:00.1,0.0014534,-0.008377075,0.007558823,0,
00:00.1,0.001424789,-0.008382797,0.00752449,0,
00:00.1,0.001390457,-0.008394241,0.00752449,0,
00:00.2,0.001396179,-0.008394241,0.00749588,0,
00:00.2,0.001413345,-0.008382797,0.007490158,0,
00:00.2,0.001401901,-0.008382797,0.007513046,0,
00:00.2,0.001379013,-0.008382797,0.007501602,0,
00:00.2,0.001356125,-0.008377075,0.007518768,0,
00:00.2,0.001459122,-0.008371353,0.007501602,0,
00:00.2,0.001436234,-0.008382797,0.007461548,0,
00:00.2,0.001430511,-0.008388519,0.007484436,0,
