Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000944138,-0.003347397,0.009778976,0,
00:00.0,0.000938416,-0.003364563,0.009778976,0,
00:00.0,0.000938416,-0.003376007,0.009767532,0,
00:00.0,0.000938416,-0.003353119,0.009756088,0,
00:00.0,0.000932693,-0.003358841,0.00976181,0,
00:00.0,0.000938416,-0.003358841,0.00976181,0,
00:00.0,0.000932693,-0.003370285,0.0097332,0,
00:00.0,0.000944138,-0.003330231,0.009727478,0,
00:00.0,0.00094986,-0.00330162,0.009756088,0,
00:00.0,0.000938416,-0.003324509,0.009767532,0,
00:00.0,0.000915527,-0.003358841,0.00976181,0,
00:00.0,0.000921249,-0.003358841,0.009750366,0,
00:00.0,0.000932693,-0.003353119,0.009744644,0,
00:00.1,0.000932693,-0.003353119,0.009744644,0,
00:00.1,0.000921249,-0.003353119,0.009750366,0,
00:00.1,0.000921249,-0.003364563,0.009738922,0,
00:00.1,0.000926971,-0.003358841,0.009750366,0,
00:00.1,0.000921249,-0.003353119,0.009750366,0,
00:00.1,0.000921249,-0.003358841,0.0097332,0,
00:00.1,0.000932693,-0.003358841,0.009727478,0,
00:00.1,0.000926971,-0.003358841,0.009750366,0,
00:00.1,0.000921249,-0.003364563,0.009773254,0,
00:00.1,0.000926971,-0.003358841,0.009756088,0,
00:00.1,0.000926971,-0.003370285,0.009756088,0,
00:00.1,0.000915527,-0.003370285,0.00976181,0,
00:00.1,0.000921249,-0.003358841,0.009756088,0,
00:00.1,0.000921249,-0.003358841,0.009744644,0,
00:00.1,0.000926971,-0.003364563,0.0097332,0,
00:00.1,0.000926971,-0.003381729,0.009738922,0,
00:00.1,0.000921249,-0.003381729,0.009738922,0,
00:00.1,0.000932693,-0.003341675,0.009744644,0,
00:00.1,0.000926971,-0.003324509,0.009750366,0,
00:00.1,0.000921249,-0.003347397,0.009738922,0,
00:00.1,0.000921249,-0.003381729,0.009738922,0,
00:00.1,0.000932693,-0.003393173,0.009750366,0,
00:00.1,0.000932693,-0.003381729,0.0097332,0,
00:00.1,0.000909805,-0.003393173,0.009727478,0,
00:00.1,0.000915527,-0.003381729,0.0097332,0,
00:00.2,0.000915527,-0.003381729,0.009721756,0,
00:00.2,0.000926971,-0.003358841,0.009738922,0,
00:00.2,0.000938416,-0.003341675,0.0097332,0,
00:00.2,0.000932693,-0.003347397,0.009727478,0,
00:00.2,0.000915527,-0.003358841,0.009744644,0,
00:00.2,0.000909805,-0.003381729,0.009744644,0,
00:00.2,0.000909805,-0.003387451,0.009744644,0,
00:00.2,0.000909805,-0.003370285,0.009744644,0,
00:00.2,0.000926971,-0.003358841,0.009727478,0,
00:00.2,0.000921249,-0.003370285,0.009727478,0,
00:00.2,0.000921249,-0.003387451,0.009727478,0,
00:00.2,0.000915527,-0.003393173,0.0097332,0,
00:00.2,0.000915527,-0.003376007,0.009738922,0,
00:00.2,0.000915527,-0.003364563,0.009721756,0,
00:00.2,0.000915527,-0.003353119,0.009727478,0,
00:00.2,0.000915527,-0.003347397,0.009716034,0,
00:00.2,0.000921249,-0.003364563,0.009716034,0,
00:00.2,0.000926971,-0.003381729,0.00970459,0,
00:00.2,0.000904083,-0.003387451,0.009693146,0,
00:00.2,0.000904083,-0.003364563,0.009687424,0,
00:00.2,0.000915527,-0.003347397,0.009738922,0,
00:00.2,0.000921249,-0.003358841,0.009744644,0,
00:00.2,0.000921249,-0.003393173,0.0097332,0,
00:00.2,0.000909805,-0.003410339,0.009721756,0,
00:00.2,0.000915527,-0.003427505,0.009716034,0,
00:00.3,0.000904083,-0.003416061,0.009721756,0,
00:00.3,0.000898361,-0.003398895,0.009721756,0,
00:00.3,0.000898361,-0.003381729,0.009716034,0,
00:00.3,0.000904083,-0.003387451,0.009716034,0,
00:00.3,0.000892639,-0.003416061,0.00970459,0,
00:00.3,0.000898361,-0.003421783,0.00970459,0,
00:00.3,0.000909805,-0.003387451,0.009710312,0,
00:00.3,0.000921249,-0.003358841,0.00970459,0,
00:00.3,0.000915527,-0.003353119,0.009716034,0,
00:00.3,0.000909805,-0.003370285,0.00970459,0,
00:00.3,0.000909805,-0.003387451,0.009693146,0,
00:00.3,0.000904083,-0.003387451,0.009693146,0,
00:00.3,0.000909805,-0.003370285,0.009716034,0,
00:00.3,0.000892639,-0.003376007,0.009721756,0,
00:00.3,0.000898361,-0.003387451,0.009710312,0,
00:00.3,0.000904083,-0.003393173,0.009698868,0,
00:00.3,0.000909805,-0.003398895,0.009716034,0,
00:00.3,0.000915527,-0.003393173,0.009710312,0,
00:00.3,0.000909805,-0.003393173,0.009698868,0,
00:00.3,0.000904083,-0.003381729,0.009681702,0,
00:00.3,0.000898361,-0.003381729,0.00970459,0,
00:00.3,0.000898361,-0.003387451,0.009716034,0,
00:00.3,0.000886917,-0.003393173,0.009710312,0,
00:00.3,0.000898361,-0.003398895,0.00970459,0,
00:00.3,0.000904083,-0.003398895,0.009687424,0,
00:00.4,0.000904083,-0.003387451,0.009693146,0,
00:00.4,0.000904083,-0.003387451,0.00970459,0,
00:00.4,0.000892639,-0.003404617,0.009687424,0,
00:00.4,0.000898361,-0.003387451,0.009681702,0,
00:00.4,0.000909805,-0.003370285,0.00970459,0,
00:00.4,0.000909805,-0.003381729,0.009693146,0,
00:00.4,0.000898361,-0.003404617,0.009693146,0,
00:00.4,0.000892639,-0.003433228,0.009693146,0,
00:00.4,0.000892639,-0.003421783,0.009681702,0,
00:00.4,0.000898361,-0.003381729,0.00967598,0,
00:00.4,0.000904083,-0.003376007,0.009687424,0,
00:00.4,0.000904083,-0.003387451,0.009698868,0,
00:00.4,0.000886917,-0.003404617,0.009693146,0,
00:00.4,0.000886917,-0.003404617,0.009687424,0,
00:00.4,0.000881195,-0.003421783,0.009681702,0,
00:00.4,0.000881195,-0.003410339,0.009681702,0,
00:00.4,0.000892639,-0.003387451,0.009687424,0,
00:00.4,0.000904083,-0.003358841,0.009687424,0,
00:00.4,0.000904083,-0.003364563,0.009681702,0,
00:00.4,0.000892639,-0.003393173,0.009687424,0,
00:00.4,0.000886917,-0.003393173,0.009670258,0,
00:00.4,0.000892639,-0.003370285,0.009670258,0,
00:00.4,0.000892639,-0.003376007,0.009681702,0,
00:00.4,0.000881195,-0.003393173,0.009698868,0,
00:00.4,0.000881195,-0.003393173,0.009693146,0,
00:00.5,0.000892639,-0.003398895,0.009681702,0,
00:00.5,0.000892639,-0.003381729,0.009687424,0,
00:00.5,0.000898361,-0.003381729,0.009687424,0,
00:00.5,0.000892639,-0.003381729,0.00967598,0,
00:00.5,0.000886917,-0.003376007,0.009658813,0,
00:00.5,0.000898361,-0.003387451,0.009664536,0,
00:00.5,0.000904083,-0.003387451,0.009698868,0,
00:00.5,0.000886917,-0.003393173,0.009693146,0,
00:00.5,0.000869751,-0.003416061,0.00967598,0,
00:00.5,0.000875473,-0.003416061,0.009670258,0,
00:00.5,0.000886917,-0.003381729,0.009647369,0,
00:00.5,0.000898361,-0.003358841,0.009670258,0,
00:00.5,0.000898361,-0.003358841,0.009687424,0,
00:00.5,0.000904083,-0.003381729,0.009687424,0,
00:00.5,0.000898361,-0.003404617,0.009670258,0,
00:00.5,0.000881195,-0.003416061,0.009658813,0,
00:00.5,0.000875473,-0.003398895,0.00967598,0,
00:00.5,0.000892639,-0.003376007,0.00967598,0,
00:00.5,0.000898361,-0.003376007,0.009670258,0,
00:00.5,0.000898361,-0.003387451,0.009664536,0,
00:00.5,0.000892639,-0.003381729,0.009670258,0,
00:00.5,0.000881195,-0.003376007,0.009670258,0,
00:00.5,0.000886917,-0.003376007,0.009658813,0,
00:00.5,0.000892639,-0.003364563,0.009658813,0,
00:00.5,0.000898361,-0.003364563,0.009658813,0,
00:00.6,0.000892639,-0.003393173,0.009664536,0,
00:00.6,0.000886917,-0.003410339,0.009670258,0,
00:00.6,0.000881195,-0.003398895,0.009664536,0,
00:00.6,0.000875473,-0.003398895,0.009653091,0,
00:00.6,0.000886917,-0.003387451,0.009641647,0,
00:00.6,0.000892639,-0.003376007,0.009658813,0,
00:00.6,0.000892639,-0.003381729,0.009664536,0,
