Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000640869,-0.004686356,0.011701584,0,
00:00.0,0.000640869,-0.004692078,0.011695862,0,
00:00.0,0.000663757,-0.004669189,0.011695862,0,
00:00.0,0.000675201,-0.004629135,0.011695862,0,
00:00.0,0.000675201,-0.004623413,0.011695862,0,
00:00.0,0.000675201,-0.004634857,0.011678696,0,
00:00.0,0.000680923,-0.004617691,0.011678696,0,
00:00.0,0.000692368,-0.004623413,0.011678696,0,
00:00.0,0.000686646,-0.004629135,0.011672974,0,
00:00.0,0.000686646,-0.004629135,0.011672974,0,
00:00.0,0.000692368,-0.004611969,0.01166153,0,
00:00.0,0.000709534,-0.004600525,0.011644363,0,
00:00.0,0.000709534,-0.004600525,0.011667252,0,
00:00.1,0.000703812,-0.004594803,0.011655807,0,
00:00.1,0.000715256,-0.004571915,0.011644363,0,
00:00.1,0.000709534,-0.004583359,0.011632919,0,
00:00.1,0.000715256,-0.004589081,0.011627197,0,
00:00.1,0.000720978,-0.004589081,0.011627197,0,
00:00.1,0.0007267,-0.004583359,0.011627197,0,
00:00.1,0.000720978,-0.004583359,0.011627197,0,
00:00.1,0.0007267,-0.004566193,0.011621475,0,
00:00.1,0.0007267,-0.004566193,0.011610031,0,
00:00.1,0.000720978,-0.004560471,0.011604309,0,
00:00.1,0.000732422,-0.004543304,0.011604309,0,
00:00.1,0.000732422,-0.004520416,0.011598587,0,
00:00.1,0.000743866,-0.004508972,0.011581421,0,
00:00.1,0.000738144,-0.004526138,0.011569977,0,
00:00.1,0.000720978,-0.004543304,0.011564255,0,
00:00.1,0.0007267,-0.004537582,0.011558533,0,
00:00.1,0.000732422,-0.00453186,0.011547089,0,
00:00.1,0.000720978,-0.00453186,0.011535645,0,
00:00.1,0.000732422,-0.004526138,0.0115242,0,
00:00.1,0.000738144,-0.00450325,0.011512756,0,
00:00.1,0.000738144,-0.004486084,0.011512756,0,
00:00.1,0.000738144,-0.004497528,0.01149559,0,
00:00.1,0.0007267,-0.004520416,0.01149559,0,
00:00.1,0.0007267,-0.004520416,0.011484146,0,
00:00.1,0.000732422,-0.00450325,0.011472702,0,
00:00.2,0.0007267,-0.004508972,0.01146698,0,
00:00.2,0.0007267,-0.004514694,0.011449814,0,
00:00.2,0.0007267,-0.00450325,0.01143837,0,
00:00.2,0.000720978,-0.00450325,0.011426926,0,
00:00.2,0.000709534,-0.004514694,0.011432648,0,
00:00.2,0.000715256,-0.004497528,0.011415482,0,
00:00.2,0.0007267,-0.004463196,0.01140976,0,
00:00.2,0.000720978,-0.004468918,0.011381149,0,
00:00.2,0.000715256,-0.004463196,0.011369705,0,
00:00.2,0.0007267,-0.004468918,0.011363983,0,
00:00.2,0.000715256,-0.004497528,0.011352539,0,
00:00.2,0.00069809,-0.004491806,0.011335373,0,
00:00.2,0.000703812,-0.004463196,0.011323929,0,
00:00.2,0.000703812,-0.00444603,0.011318207,0,
00:00.2,0.000703812,-0.004457474,0.011312485,0,
00:00.2,0.00069809,-0.004468918,0.011306763,0,
00:00.2,0.000686646,-0.004480362,0.011278152,0,
00:00.2,0.000686646,-0.00447464,0.011260986,0,
00:00.2,0.000692368,-0.004463196,0.011249542,0,
00:00.2,0.000686646,-0.00447464,0.011255264,0,
00:00.2,0.000680923,-0.00447464,0.011238098,0,
00:00.2,0.000680923,-0.004457474,0.011232376,0,
00:00.2,0.000675201,-0.004451752,0.011209488,0,
00:00.2,0.000669479,-0.004451752,0.011203766,0,
00:00.2,0.000652313,-0.004468918,0.011198044,0,
00:00.3,0.000658035,-0.004457474,0.011198044,0,
00:00.3,0.000652313,-0.004451752,0.0111866,0,
00:00.3,0.000658035,-0.004451752,0.01115799,0,
00:00.3,0.000646591,-0.00444603,0.01115799,0,
00:00.3,0.000652313,-0.004434586,0.011140823,0,
00:00.3,0.000652313,-0.00444603,0.011129379,0,
00:00.3,0.000646591,-0.004451752,0.011117935,0,
00:00.3,0.000640869,-0.004451752,0.011106491,0,
00:00.3,0.000646591,-0.00444603,0.011095047,0,
00:00.3,0.000646591,-0.004428864,0.011089325,0,
00:00.3,0.000652313,-0.004428864,0.011077881,0,
00:00.3,0.000646591,-0.004434586,0.011066437,0,
00:00.3,0.000635147,-0.00444603,0.011049271,0,
00:00.3,0.000640869,-0.004434586,0.011032104,0,
00:00.3,0.000646591,-0.004428864,0.011032104,0,
00:00.3,0.000635147,-0.004434586,0.011026382,0,
00:00.3,0.000646591,-0.004411697,0.011009216,0,
00:00.3,0.000646591,-0.004411697,0.010986328,0,
00:00.3,0.000635147,-0.004417419,0.010974884,0,
00:00.3,0.000635147,-0.004411697,0.01096344,0,
00:00.3,0.000646591,-0.004411697,0.01096344,0,
00:00.3,0.000652313,-0.004394531,0.010946274,0,
00:00.3,0.000652313,-0.004360199,0.010929108,0,
00:00.3,0.000658035,-0.004354477,0.010911942,0,
00:00.3,0.000646591,-0.004377365,0.010900497,0,
00:00.4,0.000640869,-0.004383087,0.010900497,0,
00:00.4,0.000640869,-0.004377365,0.010883331,0,
00:00.4,0.000640869,-0.004377365,0.010866165,0,
00:00.4,0.000652313,-0.004377365,0.010848999,0,
00:00.4,0.000646591,-0.004360199,0.010837555,0,
00:00.4,0.000640869,-0.004348755,0.010820389,0,
00:00.4,0.000646591,-0.004348755,0.010814667,0,
00:00.4,0.000646591,-0.004337311,0.010803223,0,
00:00.4,0.000640869,-0.004337311,0.010786057,0,
00:00.4,0.000635147,-0.004343033,0.010780334,0,
00:00.4,0.000640869,-0.004343033,0.010780334,0,
00:00.4,0.000640869,-0.004337311,0.010763168,0,
00:00.4,0.000640869,-0.004331589,0.010746002,0,
00:00.4,0.000640869,-0.004337311,0.010734558,0,
00:00.4,0.000635147,-0.004354477,0.010728836,0,
00:00.4,0.000635147,-0.004354477,0.010728836,0,
00:00.4,0.000629425,-0.004343033,0.010717392,0,
00:00.4,0.000635147,-0.004348755,0.010694504,0,
00:00.4,0.000629425,-0.004348755,0.010665894,0,
00:00.4,0.000629425,-0.004331589,0.010671616,0,
00:00.4,0.000617981,-0.004331589,0.010677338,0,
00:00.4,0.000629425,-0.004325867,0.010654449,0,
00:00.4,0.000623703,-0.004320145,0.010637283,0,
00:00.4,0.000629425,-0.004325867,0.010643005,0,
00:00.4,0.000623703,-0.004331589,0.010625839,0,
00:00.5,0.000606537,-0.004331589,0.010625839,0,
00:00.5,0.000612259,-0.004308701,0.010620117,0,
00:00.5,0.000617981,-0.004291534,0.010602951,0,
00:00.5,0.000623703,-0.004285812,0.010585785,0,
00:00.5,0.000617981,-0.004297256,0.010580063,0,
00:00.5,0.000612259,-0.004291534,0.010580063,0,
00:00.5,0.000606537,-0.004291534,0.010568619,0,
00:00.5,0.000595093,-0.004302979,0.010545731,0,
00:00.5,0.000600815,-0.004297256,0.010545731,0,
00:00.5,0.000612259,-0.004285812,0.010545731,0,
00:00.5,0.000606537,-0.004291534,0.010545731,0,
00:00.5,0.000595093,-0.004302979,0.010534286,0,
00:00.5,0.000595093,-0.004285812,0.010528564,0,
00:00.5,0.000595093,-0.004274368,0.01051712,0,
00:00.5,0.000600815,-0.004262924,0.010522842,0,
00:00.5,0.000595093,-0.004257202,0.010528564,0,
00:00.5,0.000595093,-0.004257202,0.01051712,0,
00:00.5,0.000595093,-0.004257202,0.010494232,0,
00:00.5,0.000589371,-0.004262924,0.010482788,0,
00:00.5,0.000589371,-0.004245758,0.010494232,0,
00:00.5,0.000595093,-0.004228592,0.010505676,0,
00:00.5,0.000600815,-0.004228592,0.010494232,0,
00:00.5,0.000595093,-0.004245758,0.010482788,0,
00:00.5,0.000589371,-0.00425148,0.010482788,0,
00:00.5,0.000589371,-0.004245758,0.010477066,0,
00:00.6,0.000589371,-0.004234314,0.0104599,0,
00:00.6,0.000583649,-0.004245758,0.010465622,0,
00:00.6,0.000589371,-0.004257202,0.0104599,0,
00:00.6,0.000595093,-0.00425148,0.010454178,0,
00:00.6,0.000595093,-0.004228592,0.010442734,0,
00:00.6,0.000589371,-0.00422287,0.010454178,0,
00:00.6,0.000595093,-0.004240036,0.010442734,0,
00:00.6,0.000600815,-0.00425148,0.010437012,0,
00:00.6,0.000595093,-0.00425148,0.01043129,0,
00:00.6,0.000583649,-0.004262924,0.010437012,0,
00:00.6,0.000583649,-0.004257202,0.010437012,0,
00:00.6,0.000595093,-0.00422287,0.01043129,0,
00:00.6,0.000606537,-0.004199982,0.010414124,0,
00:00.6,0.000600815,-0.00422287,0.010396957,0,
00:00.6,0.000600815,-0.00422287,0.010402679,0,
00:00.6,0.000600815,-0.00422287,0.010408401,0,
