Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000577927,-0.002946854,0.007352829,0,
00:00.0,0.000577927,-0.00293541,0.007358551,0,
00:00.0,0.00056076,-0.002952576,0.007318497,0,
00:00.0,0.00056076,-0.002946854,0.007335663,0,
00:00.0,0.000566483,-0.002952576,0.007341385,0,
00:00.0,0.000566483,-0.002952576,0.007335663,0,
00:00.0,0.00056076,-0.002952576,0.007335663,0,
00:00.0,0.000572205,-0.002958298,0.007347107,0,
00:00.0,0.000583649,-0.002941132,0.007347107,0,
00:00.0,0.000566483,-0.00293541,0.007318497,0,
00:00.0,0.000577927,-0.00293541,0.007324219,0,
00:00.0,0.00056076,-0.002958298,0.007341385,0,
00:00.0,0.000549316,-0.00296402,0.007347107,0,
00:00.1,0.000566483,-0.002952576,0.007358551,0,
00:00.1,0.00056076,-0.00293541,0.007341385,0,
00:00.1,0.000566483,-0.002923965,0.007329941,0,
00:00.1,0.000572205,-0.00293541,0.007318497,0,
00:00.1,0.000566483,-0.002941132,0.007324219,0,
00:00.1,0.000566483,-0.002941132,0.007341385,0,
00:00.1,0.000572205,-0.002958298,0.007341385,0,
00:00.1,0.000572205,-0.002958298,0.007329941,0,
00:00.1,0.000572205,-0.002941132,0.007324219,0,
00:00.1,0.000583649,-0.002946854,0.007341385,0,
00:00.1,0.000566483,-0.002941132,0.007341385,0,
00:00.1,0.000566483,-0.002929688,0.007329941,0,
00:00.1,0.000566483,-0.00293541,0.007318497,0,
00:00.1,0.000577927,-0.00293541,0.007329941,0,
00:00.1,0.000566483,-0.002941132,0.007358551,0,
00:00.1,0.00056076,-0.002941132,0.007324219,0,
00:00.1,0.000555038,-0.002958298,0.007324219,0,
00:00.1,0.00056076,-0.002958298,0.007324219,0,
00:00.1,0.000566483,-0.002946854,0.007324219,0,
00:00.1,0.000577927,-0.002941132,0.007335663,0,
00:00.1,0.00056076,-0.002946854,0.007329941,0,
00:00.1,0.000555038,-0.002969742,0.007329941,0,
00:00.1,0.00056076,-0.002952576,0.007318497,0,
00:00.1,0.00056076,-0.002946854,0.007318497,0,
00:00.1,0.000572205,-0.002952576,0.007324219,0,
00:00.2,0.000566483,-0.00293541,0.007329941,0,
00:00.2,0.000566483,-0.002941132,0.007329941,0,
00:00.2,0.000566483,-0.002952576,0.007329941,0,
00:00.2,0.000572205,-0.002952576,0.007318497,0,
00:00.2,0.000577927,-0.002923965,0.007335663,0,
00:00.2,0.000572205,-0.002958298,0.007329941,0,
00:00.2,0.000566483,-0.002958298,0.007329941,0,
00:00.2,0.000589371,-0.002941132,0.007318497,0,
00:00.2,0.000566483,-0.002923965,0.007318497,0,
00:00.2,0.000566483,-0.002946854,0.007324219,0,
00:00.2,0.000572205,-0.002946854,0.007335663,0,
00:00.2,0.000572205,-0.002941132,0.007318497,0,
00:00.2,0.000577927,-0.002941132,0.007318497,0,
00:00.2,0.000572205,-0.002958298,0.007312775,0,
00:00.2,0.000577927,-0.002946854,0.007312775,0,
00:00.2,0.000566483,-0.002941132,0.007312775,0,
00:00.2,0.000583649,-0.002929688,0.007307053,0,
00:00.2,0.00056076,-0.002941132,0.007301331,0,
00:00.2,0.000555038,-0.002969742,0.007307053,0,
00:00.2,0.000589371,-0.002946854,0.007312775,0,
00:00.2,0.000589371,-0.002929688,0.007301331,0,
00:00.2,0.000577927,-0.002952576,0.007312775,0,
00:00.2,0.000577927,-0.002952576,0.007301331,0,
00:00.2,0.000583649,-0.002941132,0.007289886,0,
00:00.2,0.000577927,-0.002941132,0.007307053,0,
00:00.3,0.000577927,-0.002952576,0.007312775,0,
00:00.3,0.000566483,-0.00296402,0.007301331,0,
00:00.3,0.000577927,-0.002946854,0.007307053,0,
00:00.3,0.000583649,-0.002946854,0.007307053,0,
00:00.3,0.000583649,-0.002952576,0.007312775,0,
00:00.3,0.000577927,-0.002952576,0.007318497,0,
00:00.3,0.000583649,-0.002952576,0.007307053,0,
00:00.3,0.000583649,-0.00293541,0.007295609,0,
00:00.3,0.000577927,-0.002946854,0.007301331,0,
00:00.3,0.000583649,-0.00296402,0.007295609,0,
00:00.3,0.000583649,-0.002958298,0.007295609,0,
00:00.3,0.000595093,-0.002946854,0.007295609,0,
00:00.3,0.000589371,-0.002946854,0.007295609,0,
00:00.3,0.000566483,-0.002946854,0.007289886,0,
