Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001659393,-0.002248764,0.006076813,0,
00:00.0,0.001659393,-0.00223732,0.006071091,0,
00:00.0,0.001665115,-0.002225876,0.006076813,0,
00:00.0,0.001653671,-0.002248764,0.006076813,0,
00:00.0,0.001653671,-0.002254486,0.006065369,0,
00:00.0,0.001653671,-0.002260208,0.006071091,0,
00:00.0,0.001659393,-0.002254486,0.006065369,0,
00:00.0,0.001653671,-0.002254486,0.006065369,0,
00:00.0,0.001659393,-0.002260208,0.006082535,0,
00:00.0,0.001659393,-0.002254486,0.006071091,0,
00:00.0,0.001670837,-0.002248764,0.006071091,0,
00:00.0,0.001670837,-0.002225876,0.006071091,0,
00:00.0,0.001665115,-0.002220154,0.006065369,0,
00:00.1,0.001647949,-0.002248764,0.006053925,0,
00:00.1,0.001647949,-0.00223732,0.006065369,0,
00:00.1,0.001670837,-0.002225876,0.006071091,0,
00:00.1,0.001670837,-0.002231598,0.006065369,0,
00:00.1,0.001670837,-0.002214432,0.006059647,0,
00:00.1,0.001642227,-0.002243042,0.006065369,0,
00:00.1,0.001642227,-0.002254486,0.006065369,0,
00:00.1,0.001647949,-0.00223732,0.00604248,0,
00:00.1,0.001642227,-0.002231598,0.006065369,0,
00:00.1,0.001647949,-0.002225876,0.006111145,0,
00:00.1,0.001653671,-0.002214432,0.006099701,0,
00:00.1,0.001653671,-0.002197266,0.006065369,0,
00:00.1,0.001653671,-0.002231598,0.006076813,0,
00:00.1,0.001647949,-0.002225876,0.006093979,0,
00:00.1,0.001653671,-0.002225876,0.006093979,0,
00:00.1,0.001653671,-0.002220154,0.006088257,0,
00:00.1,0.001665115,-0.002214432,0.006088257,0,
00:00.1,0.001653671,-0.002220154,0.006088257,0,
00:00.1,0.001653671,-0.002202988,0.006082535,0,
00:00.1,0.001653671,-0.002220154,0.006099701,0,
00:00.1,0.001659393,-0.002225876,0.006093979,0,
00:00.1,0.001659393,-0.002231598,0.006093979,0,
00:00.1,0.001647949,-0.002225876,0.006088257,0,
00:00.1,0.001653671,-0.00220871,0.006088257,0,
00:00.1,0.001676559,-0.002180099,0.006093979,0,
00:00.2,0.001642227,-0.00220871,0.006093979,0,
00:00.2,0.001630783,-0.002243042,0.006105423,0,
00:00.2,0.001636505,-0.002231598,0.006105423,0,
00:00.2,0.001647949,-0.002220154,0.006105423,0,
00:00.2,0.001642227,-0.002220154,0.006088257,0,
00:00.2,0.001642227,-0.002220154,0.006105423,0,
00:00.2,0.001653671,-0.002214432,0.006116867,0,
00:00.2,0.001647949,-0.002202988,0.006105423,0,
00:00.2,0.001642227,-0.002214432,0.006122589,0,
00:00.2,0.001647949,-0.002202988,0.006134033,0,
00:00.2,0.001642227,-0.00220871,0.006116867,0,
00:00.2,0.001647949,-0.002202988,0.006111145,0,
00:00.2,0.001653671,-0.002202988,0.006105423,0,
00:00.2,0.001653671,-0.002185822,0.006128311,0,
00:00.2,0.001636505,-0.00220871,0.006116867,0,
00:00.2,0.001636505,-0.002214432,0.006116867,0,
00:00.2,0.001636505,-0.002225876,0.006116867,0,
00:00.2,0.001630783,-0.00223732,0.006122589,0,
00:00.2,0.001642227,-0.002225876,0.006134033,0,
00:00.2,0.001647949,-0.002202988,0.006116867,0,
00:00.2,0.001647949,-0.002197266,0.006116867,0,
00:00.2,0.001636505,-0.002180099,0.006122589,0,
00:00.2,0.001630783,-0.002185822,0.006134033,0,
00:00.2,0.001630783,-0.002202988,0.006134033,0,
00:00.2,0.001630783,-0.002202988,0.006145477,0,
00:00.3,0.001625061,-0.002220154,0.006151199,0,
00:00.3,0.001630783,-0.002214432,0.006139755,0,
00:00.3,0.001636505,-0.00220871,0.006128311,0,
00:00.3,0.001625061,-0.002202988,0.006139755,0,
00:00.3,0.001625061,-0.002191544,0.006128311,0,
00:00.3,0.001642227,-0.002174377,0.006134033,0,
00:00.3,0.001647949,-0.002185822,0.006128311,0,
00:00.3,0.001619339,-0.002197266,0.006145477,0,
00:00.3,0.001607895,-0.002214432,0.006156921,0,
00:00.3,0.001607895,-0.002214432,0.006162643,0,
00:00.3,0.001619339,-0.002202988,0.006162643,0,
00:00.3,0.001619339,-0.002197266,0.006145477,0,
00:00.3,0.001619339,-0.002197266,0.006139755,0,
00:00.3,0.001625061,-0.002202988,0.006162643,0,
00:00.3,0.001630783,-0.00220871,0.006174088,0,
00:00.3,0.001630783,-0.002202988,0.006151199,0,
00:00.3,0.001625061,-0.002174377,0.006139755,0,
00:00.3,0.001630783,-0.002180099,0.006145477,0,
00:00.3,0.001619339,-0.002197266,0.006139755,0,
00:00.3,0.001596451,-0.002220154,0.006151199,0,
00:00.3,0.001613617,-0.00220871,0.006156921,0,
00:00.3,0.001630783,-0.002180099,0.006151199,0,
00:00.3,0.001636505,-0.002162933,0.006145477,0,
00:00.3,0.001636505,-0.002151489,0.006145477,0,
00:00.3,0.001625061,-0.002191544,0.006174088,0,
00:00.4,0.001625061,-0.002197266,0.006162643,0,
00:00.4,0.001619339,-0.00220871,0.006162643,0,
00:00.4,0.001607895,-0.002191544,0.006162643,0,
00:00.4,0.001613617,-0.002185822,0.00617981,0,
00:00.4,0.001613617,-0.002191544,0.006191254,0,
00:00.4,0.001613617,-0.002185822,0.006168365,0,
00:00.4,0.001619339,-0.002180099,0.006162643,0,
00:00.4,0.001619339,-0.002174377,0.006162643,0,
00:00.4,0.001619339,-0.002174377,0.006168365,0,
00:00.4,0.001619339,-0.002180099,0.006174088,0,
00:00.4,0.001625061,-0.002180099,0.006174088,0,
00:00.4,0.001619339,-0.002180099,0.006168365,0,
00:00.4,0.001619339,-0.002168655,0.006168365,0,
00:00.4,0.001625061,-0.002157211,0.00617981,0,
00:00.4,0.001613617,-0.002162933,0.006185532,0,
00:00.4,0.001619339,-0.002151489,0.006174088,0,
00:00.4,0.001619339,-0.002151489,0.006162643,0,
00:00.4,0.001619339,-0.002162933,0.006191254,0,
00:00.4,0.001619339,-0.002174377,0.006191254,0,
00:00.4,0.001630783,-0.002151489,0.006174088,0,
00:00.4,0.001613617,-0.002168655,0.006151199,0,
00:00.4,0.001613617,-0.002180099,0.006174088,0,
00:00.4,0.001607895,-0.002174377,0.006202698,0,
00:00.4,0.001613617,-0.002162933,0.006196976,0,
00:00.4,0.001613617,-0.002162933,0.006191254,0,
00:00.5,0.001613617,-0.002168655,0.00617981,0,
00:00.5,0.001613617,-0.002174377,0.006191254,0,
00:00.5,0.001596451,-0.002197266,0.006202698,0,
00:00.5,0.001596451,-0.002197266,0.006191254,0,
00:00.5,0.001607895,-0.002174377,0.006196976,0,
00:00.5,0.001619339,-0.002151489,0.006191254,0,
00:00.5,0.001630783,-0.002134323,0.006202698,0,
00:00.5,0.001630783,-0.002145767,0.006196976,0,
00:00.5,0.001607895,-0.002157211,0.006191254,0,
00:00.5,0.001602173,-0.002157211,0.006196976,0,
00:00.5,0.001613617,-0.002151489,0.00620842,0,
00:00.5,0.001625061,-0.002157211,0.006191254,0,
00:00.5,0.001630783,-0.002122879,0.006191254,0,
00:00.5,0.001630783,-0.002134323,0.006231308,0,
00:00.5,0.001602173,-0.002174377,0.006214142,0,
00:00.5,0.001607895,-0.002174377,0.006231308,0,
00:00.5,0.001613617,-0.002162933,0.006214142,0,
00:00.5,0.001602173,-0.002162933,0.006214142,0,
00:00.5,0.001607895,-0.002162933,0.006225586,0,
00:00.5,0.001613617,-0.002151489,0.006225586,0,
00:00.5,0.001619339,-0.002134323,0.006219864,0,
00:00.5,0.001607895,-0.002140045,0.006202698,0,
00:00.5,0.001607895,-0.002145767,0.006214142,0,
00:00.5,0.001613617,-0.002140045,0.006225586,0,
00:00.5,0.001613617,-0.002128601,0.006231308,0,
00:00.6,0.001613617,-0.002134323,0.006225586,0,
00:00.6,0.001607895,-0.002140045,0.006214142,0,
00:00.6,0.001602173,-0.002151489,0.006214142,0,
00:00.6,0.001607895,-0.002151489,0.006231308,0,
00:00.6,0.001596451,-0.002151489,0.006225586,0,
00:00.6,0.001602173,-0.002145767,0.006231308,0,
00:00.6,0.001607895,-0.002145767,0.006231308,0,
00:00.6,0.001619339,-0.002140045,0.006214142,0,
00:00.6,0.001625061,-0.002122879,0.006231308,0,
00:00.6,0.001613617,-0.002128601,0.00623703,0,
00:00.6,0.001607895,-0.002122879,0.006248474,0,
00:00.6,0.001602173,-0.002151489,0.006225586,0,
00:00.6,0.001596451,-0.002157211,0.006231308,0,
00:00.6,0.001596451,-0.002151489,0.006254196,0,
00:00.6,0.001596451,-0.002134323,0.006242752,0,
00:00.6,0.001607895,-0.002111435,0.006231308,0,
00:00.6,0.001613617,-0.002111435,0.006231308,0,
00:00.6,0.001613617,-0.002122879,0.006248474,0,
00:00.6,0.001596451,-0.002122879,0.006242752,0,
00:00.6,0.001585007,-0.002134323,0.006231308,0,
00:00.6,0.001585007,-0.002134323,0.006254196,0,
00:00.6,0.001596451,-0.002122879,0.006259918,0,
00:00.6,0.001607895,-0.002117157,0.00626564,0,
00:00.6,0.001602173,-0.002122879,0.006254196,0,
00:00.6,0.001602173,-0.002117157,0.00626564,0,
00:00.7,0.001596451,-0.002117157,0.006259918,0,
00:00.7,0.001590729,-0.002134323,0.006254196,0,
00:00.7,0.001596451,-0.002145767,0.00626564,0,
00:00.7,0.001596451,-0.002128601,0.006254196,0,
00:00.7,0.001596451,-0.002094269,0.006259918,0,
00:00.7,0.001613617,-0.002071381,0.006277084,0,
00:00.7,0.001607895,-0.002088547,0.006271362,0,
00:00.7,0.001602173,-0.002111435,0.006254196,0,
00:00.7,0.001590729,-0.002117157,0.00626564,0,
00:00.7,0.001602173,-0.002094269,0.006282806,0,
00:00.7,0.001596451,-0.002105713,0.006282806,0,
00:00.7,0.001590729,-0.002122879,0.006271362,0,
00:00.7,0.001585007,-0.002128601,0.006277084,0,
00:00.7,0.001596451,-0.002111435,0.006277084,0,
00:00.7,0.001590729,-0.002105713,0.006271362,0,
00:00.7,0.001590729,-0.002111435,0.006277084,0,
00:00.7,0.001596451,-0.002105713,0.006271362,0,
00:00.7,0.001596451,-0.002088547,0.006271362,0,
00:00.7,0.001590729,-0.002077103,0.006277084,0,
00:00.7,0.001590729,-0.002088547,0.006288528,0,
00:00.7,0.001596451,-0.002088547,0.00629425,0,
00:00.7,0.001596451,-0.002099991,0.006282806,0,
00:00.7,0.001585007,-0.002105713,0.006282806,0,
00:00.7,0.001585007,-0.002105713,0.006282806,0,
00:00.7,0.001596451,-0.002088547,0.006277084,0,
00:00.8,0.001596451,-0.002077103,0.006282806,0,
00:00.8,0.001596451,-0.002071381,0.006288528,0,
00:00.8,0.001585007,-0.002082825,0.006305695,0,
00:00.8,0.001602173,-0.002065659,0.006305695,0,
00:00.8,0.001596451,-0.002065659,0.00629425,0,
00:00.8,0.001596451,-0.002071381,0.006277084,0,
00:00.8,0.001590729,-0.002071381,0.006271362,0,
00:00.8,0.001590729,-0.002071381,0.006277084,0,
00:00.8,0.001573563,-0.002099991,0.00629425,0,
00:00.8,0.001573563,-0.002111435,0.006317139,0,
00:00.8,0.001579285,-0.002094269,0.006311417,0,
00:00.8,0.001585007,-0.002071381,0.006299973,0,
00:00.8,0.001579285,-0.002077103,0.00629425,0,
00:00.8,0.001579285,-0.002077103,0.006305695,0,
00:00.8,0.001596451,-0.002059937,0.006305695,0,
00:00.8,0.001585007,-0.002048492,0.006299973,0,
00:00.8,0.001596451,-0.002037048,0.00629425,0,
00:00.8,0.001596451,-0.002065659,0.006288528,0,
00:00.8,0.001573563,-0.002077103,0.00629425,0,
00:00.8,0.001567841,-0.002065659,0.006328583,0,
00:00.8,0.001573563,-0.002059937,0.006317139,0,
00:00.8,0.001562119,-0.002054214,0.006317139,0,
00:00.8,0.001562119,-0.002059937,0.006322861,0,
00:00.8,0.001562119,-0.002059937,0.006317139,0,
00:00.8,0.001585007,-0.002025604,0.006311417,0,
00:00.9,0.001585007,-0.002025604,0.006317139,0,
00:00.9,0.001562119,-0.002059937,0.00629425,0,
00:00.9,0.001544952,-0.002088547,0.006299973,0,
00:00.9,0.001556396,-0.002088547,0.006317139,0,
00:00.9,0.001567841,-0.002059937,0.006334305,0,
00:00.9,0.001562119,-0.002048492,0.006345749,0,
00:00.9,0.001562119,-0.002054214,0.006322861,0,
00:00.9,0.001562119,-0.002059937,0.006328583,0,
00:00.9,0.001567841,-0.002054214,0.006340027,0,
00:00.9,0.001562119,-0.002065659,0.006328583,0,
00:00.9,0.001562119,-0.002059937,0.006334305,0,
00:00.9,0.001573563,-0.002048492,0.006340027,0,
00:00.9,0.001567841,-0.002054214,0.006328583,0,
00:00.9,0.001550674,-0.002054214,0.006334305,0,
00:00.9,0.001567841,-0.002048492,0.006362915,0,
00:00.9,0.001562119,-0.002048492,0.006351471,0,
00:00.9,0.001556396,-0.002065659,0.006334305,0,
00:00.9,0.001567841,-0.002048492,0.006328583,0,
00:00.9,0.001567841,-0.002037048,0.006328583,0,
00:00.9,0.001562119,-0.002019882,0.006345749,0,
00:00.9,0.001556396,-0.002025604,0.006334305,0,
00:00.9,0.001562119,-0.002048492,0.006340027,0,
00:00.9,0.001573563,-0.002048492,0.006340027,0,
00:00.9,0.001562119,-0.00204277,0.006345749,0,
00:00.9,0.001556396,-0.002054214,0.006351471,0,
00:01.0,0.001550674,-0.00204277,0.006345749,0,
00:01.0,0.001556396,-0.002037048,0.006368637,0,
00:01.0,0.001562119,-0.002048492,0.006351471,0,
00:01.0,0.001562119,-0.00204277,0.006357193,0,
00:01.0,0.001567841,-0.002037048,0.006357193,0,
00:01.0,0.001556396,-0.002048492,0.006357193,0,
00:01.0,0.001556396,-0.002048492,0.006374359,0,
00:01.0,0.001556396,-0.002048492,0.006351471,0,
00:01.0,0.001567841,-0.00204277,0.006362915,0,
00:01.0,0.001567841,-0.002031326,0.006357193,0,
00:01.0,0.001556396,-0.002025604,0.006368637,0,
00:01.0,0.001544952,-0.002048492,0.006374359,0,
00:00:01,0.001550674,-0.002054214,0.006374359,0,
00:01.0,0.001556396,-0.002037048,0.006368637,0,
00:01.0,0.001562119,-0.002019882,0.006380081,0,
00:01.0,0.001567841,-0.002008438,0.006362915,0,
00:01.0,0.001573563,-0.00201416,0.006345749,0,
00:01.0,0.001550674,-0.002054214,0.006368637,0,
00:01.0,0.00153923,-0.002048492,0.006380081,0,
00:01.0,0.001550674,-0.002031326,0.006391525,0,
00:01.0,0.001550674,-0.002025604,0.006385803,0,
00:01.0,0.001556396,-0.00201416,0.006380081,0,
00:01.0,0.001550674,-0.002019882,0.006362915,0,
00:01.0,0.001556396,-0.002025604,0.006380081,0,
00:01.0,0.001556396,-0.002037048,0.006385803,0,
00:01.1,0.001567841,-0.002037048,0.006380081,0,
00:01.1,0.001544952,-0.00204277,0.006374359,0,
00:01.1,0.00153923,-0.002031326,0.006385803,0,
00:01.1,0.001544952,-0.002019882,0.006380081,0,
00:01.1,0.00153923,-0.002019882,0.006385803,0,
00:01.1,0.00153923,-0.002031326,0.006380081,0,
00:01.1,0.00153923,-0.002037048,0.006368637,0,
00:01.1,0.00153923,-0.00204277,0.006374359,0,
00:01.1,0.00153923,-0.002031326,0.006374359,0,
00:01.1,0.001556396,-0.002008438,0.006391525,0,
00:01.1,0.001544952,-0.002019882,0.006374359,0,
00:01.1,0.001550674,-0.00201416,0.006380081,0,
00:01.1,0.001556396,-0.00201416,0.006374359,0,
00:01.1,0.001544952,-0.002008438,0.006362915,0,
00:01.1,0.00153923,-0.002025604,0.006385803,0,
00:01.1,0.001533508,-0.00204277,0.006380081,0,
00:01.1,0.00153923,-0.002037048,0.006368637,0,
00:01.1,0.001544952,-0.002037048,0.006380081,0,
00:01.1,0.001533508,-0.002054214,0.006391525,0,
00:01.1,0.001533508,-0.002054214,0.006408691,0,
00:01.1,0.001533508,-0.002054214,0.006402969,0,
00:01.1,0.001527786,-0.002048492,0.006380081,0,
00:01.1,0.001533508,-0.002037048,0.006374359,0,
00:01.1,0.001533508,-0.00204277,0.006391525,0,
00:01.1,0.001544952,-0.00204277,0.006391525,0,
00:01.2,0.001550674,-0.00204277,0.006380081,0,
00:01.2,0.001544952,-0.002031326,0.006397247,0,
00:01.2,0.001522064,-0.002037048,0.006374359,0,
00:01.2,0.001533508,-0.002031326,0.006391525,0,
00:01.2,0.00153923,-0.002037048,0.006397247,0,
00:01.2,0.001527786,-0.002031326,0.006380081,0,
00:01.2,0.001527786,-0.002031326,0.006380081,0,
00:01.2,0.001544952,-0.002019882,0.006380081,0,
00:01.2,0.00153923,-0.002031326,0.006368637,0,
00:01.2,0.001522064,-0.002071381,0.006391525,0,
00:01.2,0.001516342,-0.002059937,0.006408691,0,
00:01.2,0.001533508,-0.002025604,0.006385803,0,
00:01.2,0.00153923,-0.00201416,0.006385803,0,
00:01.2,0.001522064,-0.002031326,0.006391525,0,
00:01.2,0.001527786,-0.00204277,0.006397247,0,
00:01.2,0.001527786,-0.002054214,0.006385803,0,
00:01.2,0.001516342,-0.002077103,0.006385803,0,
00:01.2,0.001516342,-0.002054214,0.006402969,0,
00:01.2,0.001522064,-0.002048492,0.006414413,0,
00:01.2,0.001522064,-0.002048492,0.006408691,0,
00:01.2,0.001527786,-0.00204277,0.006391525,0,
00:01.2,0.001527786,-0.002048492,0.006385803,0,
00:01.2,0.001527786,-0.002048492,0.006385803,0,
00:01.2,0.00153923,-0.00204277,0.006397247,0,
00:01.2,0.001527786,-0.002048492,0.006402969,0,
00:01.3,0.001516342,-0.00204277,0.006385803,0,
00:01.3,0.001516342,-0.002031326,0.006391525,0,
00:01.3,0.001527786,-0.002037048,0.006391525,0,
00:01.3,0.001527786,-0.00204277,0.006385803,0,
00:01.3,0.00151062,-0.002077103,0.006397247,0,
00:01.3,0.00151062,-0.002065659,0.006391525,0,
00:01.3,0.00151062,-0.002054214,0.006380081,0,
00:01.3,0.001516342,-0.00204277,0.006397247,0,
00:01.3,0.001522064,-0.002048492,0.006397247,0,
00:01.3,0.00151062,-0.002065659,0.006391525,0,
00:01.3,0.001504898,-0.002059937,0.006385803,0,
00:01.3,0.001493454,-0.002105713,0.006380081,0,
00:01.3,0.001499176,-0.002099991,0.006380081,0,
00:01.3,0.001504898,-0.002071381,0.006385803,0,
00:01.3,0.00151062,-0.002077103,0.006408691,0,
00:01.3,0.001499176,-0.002099991,0.006391525,0,
00:01.3,0.001499176,-0.002094269,0.006385803,0,
00:01.3,0.001516342,-0.002065659,0.006397247,0,
00:01.3,0.00151062,-0.002065659,0.006408691,0,
00:01.3,0.001504898,-0.002071381,0.006402969,0,
00:01.3,0.001516342,-0.002059937,0.006391525,0,
00:01.3,0.001522064,-0.002054214,0.006391525,0,
00:01.3,0.001516342,-0.002059937,0.006397247,0,
00:01.3,0.001504898,-0.002077103,0.006397247,0,
00:01.3,0.001499176,-0.002088547,0.006391525,0,
00:01.4,0.001504898,-0.002088547,0.006391525,0,
00:01.4,0.00151062,-0.002082825,0.006380081,0,
00:01.4,0.001516342,-0.002059937,0.006397247,0,
00:01.4,0.001493454,-0.002105713,0.006402969,0,
00:01.4,0.001487732,-0.002111435,0.006408691,0,
00:01.4,0.001493454,-0.002105713,0.006397247,0,
00:01.4,0.001499176,-0.002111435,0.006391525,0,
00:01.4,0.001499176,-0.002105713,0.006397247,0,
00:01.4,0.001499176,-0.002088547,0.006408691,0,
00:01.4,0.001499176,-0.002082825,0.006402969,0,
00:01.4,0.001493454,-0.002094269,0.006391525,0,
00:01.4,0.001493454,-0.002117157,0.006402969,0,
00:01.4,0.001499176,-0.002134323,0.006397247,0,
00:01.4,0.00151062,-0.002128601,0.006402969,0,
00:01.4,0.001504898,-0.002099991,0.006402969,0,
00:01.4,0.001493454,-0.002088547,0.006408691,0,
00:01.4,0.001493454,-0.002088547,0.006414413,0,
00:01.4,0.001499176,-0.002099991,0.006408691,0,
00:01.4,0.001493454,-0.002117157,0.006408691,0,
00:01.4,0.001487732,-0.002111435,0.006414413,0,
00:01.4,0.001476288,-0.002122879,0.006402969,0,
00:01.4,0.001493454,-0.002117157,0.006414413,0,
00:01.4,0.001487732,-0.002099991,0.006402969,0,
00:01.4,0.001493454,-0.002094269,0.006408691,0,
00:01.4,0.001487732,-0.002111435,0.006420135,0,
00:01.5,0.001487732,-0.002122879,0.006414413,0,
00:01.5,0.001487732,-0.002122879,0.006397247,0,
00:01.5,0.001476288,-0.002128601,0.006408691,0,
00:01.5,0.001464844,-0.002140045,0.006443024,0,
00:01.5,0.001487732,-0.002117157,0.006420135,0,
00:01.5,0.00148201,-0.002122879,0.006408691,0,
00:01.5,0.001476288,-0.002128601,0.006425858,0,
00:01.5,0.00148201,-0.002140045,0.006437302,0,
00:01.5,0.001487732,-0.002145767,0.006448746,0,
00:01.5,0.001470566,-0.002140045,0.006448746,0,
00:01.5,0.001470566,-0.002128601,0.00643158,0,
00:01.5,0.001470566,-0.002117157,0.006420135,0,
00:01.5,0.001487732,-0.002094269,0.006414413,0,
00:01.5,0.001476288,-0.002117157,0.006414413,0,
00:01.5,0.001459122,-0.002140045,0.006448746,0,
00:01.5,0.001476288,-0.002140045,0.006448746,0,
00:01.5,0.001470566,-0.002145767,0.00643158,0,
00:01.5,0.00148201,-0.002128601,0.006448746,0,
00:01.5,0.001476288,-0.002122879,0.006448746,0,
00:01.5,0.001476288,-0.002128601,0.006454468,0,
00:01.5,0.001464844,-0.002145767,0.00643158,0,
00:01.5,0.001464844,-0.002140045,0.006414413,0,
00:01.5,0.001459122,-0.002134323,0.00643158,0,
00:01.5,0.001464844,-0.002151489,0.00646019,0,
00:01.5,0.00148201,-0.002128601,0.006448746,0,
00:01.6,0.001470566,-0.002122879,0.006443024,0,
00:01.6,0.00148201,-0.002117157,0.006437302,0,
00:01.6,0.001441956,-0.002180099,0.00643158,0,
00:01.6,0.001447678,-0.002174377,0.00646019,0,
00:01.6,0.001459122,-0.002162933,0.006465912,0,
00:01.6,0.001459122,-0.002157211,0.006483078,0,
00:01.6,0.0014534,-0.002168655,0.006454468,0,
00:01.6,0.0014534,-0.002168655,0.006465912,0,
00:01.6,0.0014534,-0.002162933,0.006477356,0,
00:01.6,0.001459122,-0.002151489,0.006471634,0,
00:01.6,0.0014534,-0.002157211,0.006483078,0,
00:01.6,0.0014534,-0.002151489,0.006471634,0,
00:01.6,0.001447678,-0.002162933,0.006477356,0,
00:01.6,0.001447678,-0.002157211,0.006483078,0,
00:01.6,0.001447678,-0.002168655,0.006471634,0,
00:01.6,0.001459122,-0.002162933,0.006471634,0,
00:01.6,0.001470566,-0.002145767,0.006471634,0,
00:01.6,0.001459122,-0.002134323,0.006471634,0,
00:01.6,0.001447678,-0.002151489,0.006471634,0,
00:01.6,0.001441956,-0.002180099,0.006494522,0,
00:01.6,0.001464844,-0.002168655,0.006500244,0,
00:01.6,0.0014534,-0.002174377,0.006494522,0,
00:01.6,0.001459122,-0.002168655,0.006477356,0,
00:01.6,0.001441956,-0.002185822,0.006505966,0,
00:01.6,0.001459122,-0.002168655,0.006523132,0,
00:01.7,0.0014534,-0.002151489,0.006500244,0,
00:01.7,0.0014534,-0.002157211,0.006500244,0,
00:01.7,0.0014534,-0.002168655,0.00651741,0,
00:01.7,0.001441956,-0.002174377,0.006523132,0,
00:01.7,0.001436234,-0.002174377,0.006534576,0,
00:01.7,0.001441956,-0.002174377,0.006540298,0,
00:01.7,0.001436234,-0.002174377,0.006523132,0,
00:01.7,0.001447678,-0.002168655,0.006528854,0,
00:01.7,0.001436234,-0.002180099,0.006540298,0,
00:01.7,0.001436234,-0.002180099,0.006534576,0,
00:01.7,0.001436234,-0.002185822,0.006528854,0,
00:01.7,0.001430511,-0.002197266,0.006528854,0,
