Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000154495,-0.003479004,0.007833481,0,
00:00.0,0.000125885,-0.00352478,0.007844925,0,
00:00.0,0.000131607,-0.003513336,0.007873535,0,
00:00.0,0.000154495,-0.00349617,0.007884979,0,
00:00.0,0.000160217,-0.003490448,0.007873535,0,
00:00.0,0.000171661,-0.00346756,0.007850647,0,
00:00.0,0.000165939,-0.00349617,0.007850647,0,
00:00.0,0.000148773,-0.003484726,0.007867813,0,
00:00.0,0.000143051,-0.003501892,0.007867813,0,
00:00.0,0.000131607,-0.00352478,0.007856369,0,
00:00.0,0.000143051,-0.003501892,0.007856369,0,
00:00.0,0.000148773,-0.003490448,0.007862091,0,
00:00.0,0.000143051,-0.003484726,0.007879257,0,
00:00.1,0.000148773,-0.003479004,0.007884979,0,
00:00.1,0.000160217,-0.003450394,0.007856369,0,
00:00.1,0.000165939,-0.003444672,0.007839203,0,
00:00.1,0.000188828,-0.003393173,0.007827759,0,
00:00.1,0.000143051,-0.003461838,0.007827759,0,
00:00.1,0.000108719,-0.003553391,0.007873535,0,
00:00.1,0.000131607,-0.003501892,0.007884979,0,
00:00.1,0.000143051,-0.003513336,0.007873535,0,
00:00.1,0.000165939,-0.00346756,0.007867813,0,
00:00.1,0.000177383,-0.003416061,0.007850647,0,
00:00.1,0.000108719,-0.003507614,0.007839203,0,
00:00.1,0.000131607,-0.003519058,0.007862091,0,
00:00.1,0.000143051,-0.00349617,0.007856369,0,
00:00.1,0.000148773,-0.003479004,0.007862091,0,
00:00.1,0.000171661,-0.00343895,0.007827759,0,
00:00.1,0.000148773,-0.003501892,0.007850647,0,
00:00.1,0.000143051,-0.003507614,0.007856369,0,
00:00.1,0.000165939,-0.003490448,0.007844925,0,
00:00.1,0.000177383,-0.003427505,0.007844925,0,
00:00.1,0.000171661,-0.003387451,0.007822037,0,
00:00.1,0.000148773,-0.003490448,0.007839203,0,
00:00.1,9.73E-05,-0.003536224,0.007827759,0,
00:00.1,0.000114441,-0.003541946,0.007862091,0,
00:00.1,0.000148773,-0.003450394,0.007833481,0,
00:00.1,0.000148773,-0.003461838,0.007833481,0,
00:00.2,0.000125885,-0.00352478,0.007879257,0,
00:00.2,0.000143051,-0.003501892,0.007862091,0,
00:00.2,0.000165939,-0.003450394,0.007850647,0,
00:00.2,0.000177383,-0.003398895,0.007810593,0,
00:00.2,0.000160217,-0.00343895,0.007827759,0,
00:00.2,0.000120163,-0.003461838,0.007856369,0,
00:00.2,0.000114441,-0.003507614,0.007862091,0,
00:00.2,0.000131607,-0.003507614,0.007850647,0,
00:00.2,0.000154495,-0.003421783,0.007833481,0,
00:00.2,0.000154495,-0.003444672,0.007833481,0,
00:00.2,0.000137329,-0.003536224,0.007822037,0,
00:00.2,0.000125885,-0.003519058,0.007822037,0,
00:00.2,0.000154495,-0.003450394,0.007844925,0,
00:00.2,0.000183105,-0.003433228,0.007810593,0,
00:00.2,0.000137329,-0.003484726,0.007844925,0,
00:00.2,0.000108719,-0.00349617,0.007850647,0,
00:00.2,0.000177383,-0.003404617,0.007810593,0,
00:00.2,0.000177383,-0.003335953,0.007781982,0,
00:00.2,8.58E-05,-0.003547668,0.007839203,0,
00:00.2,0.000102997,-0.003570557,0.007873535,0,
00:00.2,0.000137329,-0.003490448,0.007850647,0,
00:00.2,0.000165939,-0.003433228,0.007810593,0,
00:00.2,0.000131607,-0.003461838,0.007804871,0,
00:00.2,0.000108719,-0.003490448,0.007827759,0,
00:00.2,0.000120163,-0.00346756,0.007833481,0,
00:00.3,0.000171661,-0.003393173,0.007810593,0,
00:00.3,0.000143051,-0.003427505,0.007844925,0,
00:00.3,0.000143051,-0.003461838,0.007827759,0,
00:00.3,0.000131607,-0.003473282,0.007827759,0,
00:00.3,0.000102997,-0.00349617,0.007827759,0,
00:00.3,0.000120163,-0.003490448,0.007827759,0,
00:00.3,0.000137329,-0.00349617,0.007839203,0,
00:00.3,0.000148773,-0.003416061,0.007810593,0,
00:00.3,0.000143051,-0.003421783,0.00777626,0,
00:00.3,0.000131607,-0.003513336,0.007856369,0,
00:00.3,0.000120163,-0.003473282,0.007833481,0,
00:00.3,0.000154495,-0.003427505,0.007822037,0,
00:00.3,0.000165939,-0.003398895,0.007799149,0,
00:00.3,9.73E-05,-0.00352478,0.007810593,0,
00:00.3,0.000131607,-0.003461838,0.007827759,0,
00:00.3,0.000137329,-0.003427505,0.007816315,0,
00:00.3,0.000125885,-0.00346756,0.007827759,0,
00:00.3,0.000120163,-0.003513336,0.007827759,0,
00:00.3,0.000125885,-0.003507614,0.007822037,0,
00:00.3,0.000120163,-0.003473282,0.007810593,0,
00:00.3,0.000108719,-0.00349617,0.007833481,0,
00:00.3,0.000137329,-0.003450394,0.007810593,0,
00:00.3,0.000131607,-0.003427505,0.007799149,0,
00:00.3,0.000131607,-0.003450394,0.007804871,0,
00:00.3,0.000125885,-0.003461838,0.007816315,0,
00:00.4,0.000131607,-0.003473282,0.007822037,0,
00:00.4,0.000160217,-0.003433228,0.007787704,0,
00:00.4,0.000148773,-0.003427505,0.007764816,0,
00:00.4,0.000148773,-0.003427505,0.007793427,0,
00:00.4,9.73E-05,-0.003513336,0.007833481,0,
00:00.4,0.000102997,-0.003536224,0.007827759,0,
00:00.4,0.000148773,-0.003427505,0.007804871,0,
00:00.4,0.000171661,-0.003421783,0.007799149,0,
00:00.4,0.000125885,-0.003461838,0.007793427,0,
00:00.4,0.000102997,-0.003479004,0.007793427,0,
00:00.4,0.000137329,-0.003427505,0.007799149,0,
00:00.4,0.000131607,-0.003490448,0.007816315,0,
00:00.4,0.000137329,-0.003473282,0.007799149,0,
00:00.4,0.000131607,-0.003427505,0.00777626,0,
00:00.4,0.000137329,-0.003450394,0.007804871,0,
00:00.4,0.000120163,-0.00349617,0.007810593,0,
00:00.4,0.000125885,-0.003461838,0.007804871,0,
00:00.4,0.000131607,-0.003444672,0.007787704,0,
00:00.4,0.000125885,-0.003490448,0.007804871,0,
00:00.4,0.000137329,-0.003461838,0.007810593,0,
00:00.4,0.000154495,-0.003416061,0.007793427,0,
00:00.4,0.000171661,-0.003376007,0.007781982,0,
00:00.4,0.000143051,-0.003461838,0.007793427,0,
00:00.4,0.000114441,-0.003479004,0.007787704,0,
00:00.4,0.000125885,-0.003450394,0.007781982,0,
00:00.5,0.000160217,-0.003393173,0.007787704,0,
00:00.5,0.000183105,-0.003381729,0.007799149,0,
00:00.5,0.000131607,-0.003427505,0.007793427,0,
00:00.5,0.000154495,-0.003416061,0.007753372,0,
00:00.5,0.000160217,-0.003410339,0.00777626,0,
00:00.5,0.000102997,-0.00346756,0.00777626,0,
00:00.5,0.000125885,-0.00349617,0.007799149,0,
00:00.5,0.000148773,-0.003473282,0.00777626,0,
00:00.5,0.000137329,-0.003473282,0.007770538,0,
00:00.5,0.000125885,-0.003479004,0.007810593,0,
00:00.5,0.000131607,-0.003456116,0.007787704,0,
00:00.5,0.000143051,-0.00343895,0.007787704,0,
00:00.5,0.000154495,-0.003416061,0.007781982,0,
00:00.5,0.000183105,-0.003341675,0.007770538,0,
