Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001596451,-0.004743576,0.00878334,0,
00:00.0,0.001602173,-0.00475502,0.008766174,0,
00:00.0,0.001602173,-0.004749298,0.00878334,0,
00:00.0,0.001602173,-0.00472641,0.008771896,0,
00:00.0,0.001619339,-0.004709244,0.00875473,0,
00:00.0,0.001602173,-0.004714966,0.00875473,0,
00:00.0,0.001602173,-0.004737854,0.008760452,0,
00:00.0,0.001602173,-0.00472641,0.008771896,0,
00:00.0,0.001607895,-0.004714966,0.008760452,0,
00:00.0,0.001596451,-0.004737854,0.008800507,0,
00:00.0,0.001579285,-0.004743576,0.008749008,0,
00:00.0,0.001585007,-0.00475502,0.008743286,0,
00:00.0,0.001602173,-0.004760742,0.008777618,0,
00:00.1,0.001607895,-0.004732132,0.008760452,0,
00:00.1,0.001613617,-0.004709244,0.008737564,0,
00:00.1,0.001625061,-0.004703522,0.008749008,0,
00:00.1,0.001607895,-0.004732132,0.00878334,0,
00:00.1,0.001602173,-0.004737854,0.008794785,0,
00:00.1,0.001607895,-0.004760742,0.008743286,0,
00:00.1,0.001613617,-0.004749298,0.00875473,0,
00:00.1,0.001613617,-0.004737854,0.008749008,0,
00:00.1,0.001613617,-0.004737854,0.00875473,0,
00:00.1,0.001607895,-0.004720688,0.00875473,0,
00:00.1,0.001596451,-0.004720688,0.008789063,0,
00:00.1,0.001625061,-0.004703522,0.008749008,0,
00:00.1,0.001636505,-0.004709244,0.008686066,0,
00:00.1,0.001579285,-0.004743576,0.008743286,0,
00:00.1,0.001596451,-0.004737854,0.008817673,0,
00:00.1,0.001607895,-0.004720688,0.008743286,0,
00:00.1,0.001607895,-0.004732132,0.008714676,0,
00:00.1,0.001607895,-0.004732132,0.008749008,0,
00:00.1,0.001625061,-0.00472641,0.008743286,0,
00:00.1,0.001596451,-0.004737854,0.008760452,0,
00:00.1,0.001607895,-0.004743576,0.008760452,0,
00:00.1,0.001636505,-0.00472641,0.008720398,0,
00:00.1,0.001642227,-0.004709244,0.008703232,0,
00:00.1,0.001596451,-0.004720688,0.00875473,0,
00:00.1,0.001607895,-0.004737854,0.008760452,0,
00:00.2,0.001613617,-0.004737854,0.00872612,0,
00:00.2,0.001630783,-0.004732132,0.008714676,0,
00:00.2,0.001590729,-0.004732132,0.008737564,0,
00:00.2,0.001625061,-0.004714966,0.008743286,0,
00:00.2,0.001636505,-0.0046978,0.008720398,0,
00:00.2,0.001613617,-0.004720688,0.008766174,0,
00:00.2,0.001596451,-0.00472641,0.00872612,0,
00:00.2,0.001590729,-0.00472641,0.008720398,0,
00:00.2,0.001613617,-0.00472641,0.008720398,0,
00:00.2,0.001602173,-0.004714966,0.008737564,0,
00:00.2,0.001607895,-0.004714966,0.008703232,0,
00:00.2,0.001630783,-0.004714966,0.008714676,0,
00:00.2,0.001613617,-0.004720688,0.008743286,0,
00:00.2,0.001619339,-0.004709244,0.008749008,0,
00:00.2,0.001625061,-0.004732132,0.00869751,0,
00:00.2,0.001596451,-0.00475502,0.008703232,0,
00:00.2,0.001579285,-0.004743576,0.008777618,0,
00:00.2,0.001613617,-0.00472641,0.008743286,0,
00:00.2,0.001653671,-0.004714966,0.008703232,0,
00:00.2,0.001625061,-0.004709244,0.008674622,0,
00:00.2,0.001602173,-0.00472641,0.008731842,0,
00:00.2,0.001585007,-0.004743576,0.00872612,0,
00:00.2,0.001596451,-0.004749298,0.008737564,0,
00:00.2,0.001625061,-0.004714966,0.008703232,0,
00:00.2,0.001619339,-0.004720688,0.008663177,0,
00:00.3,0.001602173,-0.00472641,0.008708954,0,
00:00.3,0.001619339,-0.004709244,0.008731842,0,
00:00.3,0.001630783,-0.004709244,0.008703232,0,
00:00.3,0.001607895,-0.004720688,0.008680344,0,
00:00.3,0.001625061,-0.00472641,0.008714676,0,
00:00.3,0.001625061,-0.004737854,0.008691788,0,
00:00.3,0.001607895,-0.00472641,0.008691788,0,
00:00.3,0.001607895,-0.004714966,0.008737564,0,
00:00.3,0.001647949,-0.004709244,0.00869751,0,
00:00.3,0.001619339,-0.00472641,0.00869751,0,
00:00.3,0.001602173,-0.004737854,0.008731842,0,
00:00.3,0.001602173,-0.004720688,0.008720398,0,
00:00.3,0.001613617,-0.004720688,0.008686066,0,
00:00.3,0.001642227,-0.004732132,0.008651733,0,
00:00.3,0.001613617,-0.004732132,0.00869751,0,
00:00.3,0.001596451,-0.004737854,0.008703232,0,
00:00.3,0.001613617,-0.004749298,0.0086689,0,
00:00.3,0.001607895,-0.004749298,0.008640289,0,
00:00.3,0.001607895,-0.004743576,0.008720398,0,
