Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000921249,-0.00349617,0.000892639,0,
00:00.0,0.000915527,-0.003501892,0.000892639,0,
00:00.0,0.000921249,-0.003513336,0.000881195,0,
00:00.0,0.000921249,-0.003507614,0.000886917,0,
00:00.0,0.000932693,-0.003473282,0.000886917,0,
00:00.0,0.000921249,-0.003479004,0.000892639,0,
00:00.0,0.000915527,-0.003507614,0.000886917,0,
00:00.0,0.000909805,-0.003541946,0.000892639,0,
00:00.0,0.000904083,-0.003530502,0.000898361,0,
00:00.0,0.000915527,-0.00349617,0.000892639,0,
00:00.0,0.000921249,-0.003473282,0.000892639,0,
00:00.0,0.000921249,-0.003479004,0.000886917,0,
00:00.0,0.000921249,-0.003490448,0.000892639,0,
00:00.1,0.000921249,-0.003490448,0.000904083,0,
00:00.1,0.000921249,-0.00349617,0.000898361,0,
00:00.1,0.000921249,-0.00349617,0.000892639,0,
00:00.1,0.000915527,-0.003507614,0.000898361,0,
00:00.1,0.000904083,-0.003519058,0.000904083,0,
00:00.1,0.000909805,-0.003530502,0.000898361,0,
00:00.1,0.000915527,-0.003519058,0.000904083,0,
00:00.1,0.000909805,-0.003501892,0.000909805,0,
00:00.1,0.000921249,-0.003490448,0.000915527,0,
00:00.1,0.000915527,-0.003507614,0.000926971,0,
00:00.1,0.000921249,-0.00349617,0.000921249,0,
00:00.1,0.000921249,-0.003484726,0.000926971,0,
00:00.1,0.000915527,-0.003490448,0.000926971,0,
00:00.1,0.000909805,-0.003507614,0.000926971,0,
00:00.1,0.000904083,-0.003530502,0.000938416,0,
00:00.1,0.000915527,-0.003513336,0.000926971,0,
00:00.1,0.000921249,-0.003490448,0.000932693,0,
00:00.1,0.000921249,-0.00349617,0.000926971,0,
00:00.1,0.000915527,-0.003513336,0.000938416,0,
00:00.1,0.000915527,-0.003507614,0.000932693,0,
00:00.1,0.000915527,-0.003501892,0.000926971,0,
00:00.1,0.000921249,-0.003507614,0.000921249,0,
00:00.1,0.000921249,-0.003507614,0.000932693,0,
00:00.1,0.000921249,-0.003507614,0.000932693,0,
00:00.1,0.000915527,-0.00352478,0.000921249,0,
00:00.2,0.000915527,-0.003519058,0.000932693,0,
00:00.2,0.000909805,-0.003507614,0.000938416,0,
00:00.2,0.000915527,-0.003507614,0.000944138,0,
00:00.2,0.000915527,-0.003513336,0.00094986,0,
00:00.2,0.000915527,-0.00352478,0.000961304,0,
00:00.2,0.000909805,-0.00352478,0.000955582,0,
00:00.2,0.000921249,-0.003507614,0.000961304,0,
00:00.2,0.000926971,-0.003513336,0.000955582,0,
00:00.2,0.000921249,-0.003530502,0.000955582,0,
00:00.2,0.000915527,-0.003530502,0.000955582,0,
00:00.2,0.000921249,-0.003501892,0.000967026,0,
00:00.2,0.000926971,-0.003501892,0.000955582,0,
00:00.2,0.000915527,-0.003519058,0.00094986,0,
00:00.2,0.000915527,-0.00352478,0.00094986,0,
00:00.2,0.000921249,-0.003519058,0.000961304,0,
00:00.2,0.000926971,-0.003513336,0.000967026,0,
00:00.2,0.000921249,-0.003507614,0.000961304,0,
00:00.2,0.000921249,-0.003507614,0.000955582,0,
00:00.2,0.000915527,-0.003513336,0.000961304,0,
00:00.2,0.000915527,-0.00352478,0.00097847,0,
00:00.2,0.000915527,-0.003530502,0.000972748,0,
00:00.2,0.000921249,-0.003513336,0.00097847,0,
00:00.2,0.000926971,-0.003513336,0.00097847,0,
00:00.2,0.000921249,-0.003507614,0.000984192,0,
00:00.2,0.000921249,-0.003501892,0.000995636,0,
00:00.3,0.000921249,-0.003513336,0.000995636,0,
