Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000749588,-0.005842209,-0.000635147,0,
00:00.0,0.00075531,-0.005830765,-0.000658035,0,
00:00.0,0.00075531,-0.005819321,-0.000703812,0,
00:00.0,0.00075531,-0.005819321,-0.000749588,0,
00:00.0,0.000743866,-0.005865097,-0.000629425,0,
00:00.0,0.000749588,-0.005865097,-0.000572205,0,
00:00.0,0.000749588,-0.005853653,-0.000606537,0,
00:00.0,0.00075531,-0.005836487,-0.000629425,0,
00:00.0,0.00075531,-0.005842209,-0.000640869,0,
00:00.0,0.000761032,-0.005836487,-0.000629425,0,
00:00.0,0.00075531,-0.005836487,-0.000629425,0,
00:00.0,0.000749588,-0.005842209,-0.000617981,0,
00:00.0,0.00075531,-0.005830765,-0.000617981,0,
00:00.1,0.00075531,-0.005825043,-0.000658035,0,
00:00.1,0.000749588,-0.005842209,-0.000629425,0,
00:00.1,0.00075531,-0.005842209,-0.000617981,0,
00:00.1,0.000749588,-0.005836487,-0.000623703,0,
00:00.1,0.000749588,-0.005836487,-0.000617981,0,
00:00.1,0.000749588,-0.005842209,-0.000600815,0,
00:00.1,0.000743866,-0.005847931,-0.000606537,0,
00:00.1,0.000749588,-0.005830765,-0.000629425,0,
00:00.1,0.000766754,-0.005802155,-0.000680923,0,
00:00.1,0.000749588,-0.005842209,-0.000612259,0,
00:00.1,0.000749588,-0.005842209,-0.000606537,0,
00:00.1,0.00075531,-0.005836487,-0.000658035,0,
00:00.1,0.000749588,-0.005859375,-0.000566483,0,
00:00.1,0.000761032,-0.005836487,-0.000606537,0,
00:00.1,0.00075531,-0.005830765,-0.000617981,0,
00:00.1,0.000761032,-0.005830765,-0.000623703,0,
00:00.1,0.00075531,-0.005842209,-0.000617981,0,
00:00.1,0.000761032,-0.005847931,-0.000600815,0,
00:00.1,0.000761032,-0.005842209,-0.000577927,0,
00:00.1,0.000772476,-0.005819321,-0.000629425,0,
00:00.1,0.000778198,-0.005825043,-0.000675201,0,
00:00.1,0.000766754,-0.005842209,-0.000600815,0,
00:00.1,0.000772476,-0.005825043,-0.000617981,0,
00:00.1,0.000766754,-0.005847931,-0.000537872,0,
00:00.1,0.000766754,-0.005842209,-0.000555038,0,
00:00.2,0.000766754,-0.005847931,-0.00056076,0,
00:00.2,0.000766754,-0.005842209,-0.000572205,0,
00:00.2,0.000761032,-0.005842209,-0.000583649,0,
00:00.2,0.00075531,-0.005842209,-0.000577927,0,
00:00.2,0.000766754,-0.005842209,-0.000572205,0,
00:00.2,0.000766754,-0.005847931,-0.000577927,0,
00:00.2,0.000766754,-0.005847931,-0.000583649,0,
00:00.2,0.000766754,-0.005847931,-0.000589371,0,
00:00.2,0.000766754,-0.005847931,-0.000595093,0,
00:00.2,0.000766754,-0.005842209,-0.000583649,0,
00:00.2,0.000766754,-0.005842209,-0.000600815,0,
00:00.2,0.000766754,-0.005836487,-0.000635147,0,
00:00.2,0.000761032,-0.005853653,-0.000583649,0,
00:00.2,0.000761032,-0.005847931,-0.000566483,0,
00:00.2,0.000766754,-0.005842209,-0.000577927,0,
00:00.2,0.000772476,-0.005830765,-0.000606537,0,
00:00.2,0.000761032,-0.005853653,-0.000572205,0,
00:00.2,0.000778198,-0.005842209,-0.000572205,0,
00:00.2,0.000761032,-0.005847931,-0.00056076,0,
00:00.2,0.000761032,-0.005836487,-0.000566483,0,
00:00.2,0.000761032,-0.005836487,-0.00056076,0,
00:00.2,0.000766754,-0.005830765,-0.000566483,0,
00:00.2,0.000772476,-0.005830765,-0.000555038,0,
00:00.2,0.000772476,-0.005830765,-0.000577927,0,
00:00.2,0.000772476,-0.005825043,-0.000555038,0,
00:00.3,0.000766754,-0.005836487,-0.000566483,0,
00:00.3,0.000766754,-0.005836487,-0.000543594,0,
00:00.3,0.000761032,-0.005842209,-0.000543594,0,
00:00.3,0.000761032,-0.005836487,-0.000549316,0,
00:00.3,0.000766754,-0.005830765,-0.000555038,0,
00:00.3,0.000761032,-0.005842209,-0.000549316,0,
00:00.3,0.000766754,-0.005836487,-0.000543594,0,
00:00.3,0.000772476,-0.005825043,-0.00056076,0,
00:00.3,0.000766754,-0.005825043,-0.000566483,0,
00:00.3,0.000761032,-0.005836487,-0.000537872,0,
00:00.3,0.000772476,-0.005836487,-0.00053215,0,
00:00.3,0.000778198,-0.005825043,-0.000555038,0,
00:00.3,0.000772476,-0.005813599,-0.000595093,0,
00:00.3,0.000772476,-0.005830765,-0.000514984,0,
00:00.3,0.000766754,-0.005836487,-0.000509262,0,
00:00.3,0.000766754,-0.005836487,-0.00053215,0,
00:00.3,0.000766754,-0.005830765,-0.000526428,0,
00:00.3,0.000772476,-0.005819321,-0.000543594,0,
00:00.3,0.000761032,-0.005825043,-0.000520706,0,
00:00.3,0.000761032,-0.005836487,-0.000526428,0,
00:00.3,0.000761032,-0.005830765,-0.00053215,0,
00:00.3,0.00075531,-0.005836487,-0.000520706,0,
00:00.3,0.000749588,-0.005830765,-0.000520706,0,
00:00.3,0.00075531,-0.005819321,-0.000514984,0,
00:00.3,0.00075531,-0.005819321,-0.000520706,0,
00:00.4,0.000761032,-0.005825043,-0.00053215,0,
00:00.4,0.000766754,-0.005819321,-0.000566483,0,
00:00.4,0.00075531,-0.005842209,-0.000480652,0,
00:00.4,0.000761032,-0.005836487,-0.000486374,0,
00:00.4,0.000761032,-0.005836487,-0.00050354,0,
00:00.4,0.00075531,-0.005836487,-0.000520706,0,
00:00.4,0.00075531,-0.005836487,-0.000520706,0,
00:00.4,0.000761032,-0.005830765,-0.00050354,0,
00:00.4,0.000761032,-0.005825043,-0.000514984,0,
00:00.4,0.000761032,-0.005825043,-0.000509262,0,
00:00.4,0.000761032,-0.005825043,-0.000520706,0,
00:00.4,0.000761032,-0.005830765,-0.000509262,0,
00:00.4,0.00075531,-0.005836487,-0.000497818,0,
00:00.4,0.00075531,-0.005825043,-0.000492096,0,
00:00.4,0.000761032,-0.005819321,-0.000509262,0,
00:00.4,0.00075531,-0.005825043,-0.00053215,0,
00:00.4,0.00075531,-0.005830765,-0.000492096,0,
00:00.4,0.000761032,-0.005825043,-0.000480652,0,
00:00.4,0.00075531,-0.005819321,-0.000497818,0,
