Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001190186,-0.005012512,8.58E-05,0,
00:00.0,0.001184464,-0.005018234,6.29E-05,0,
00:00.0,0.001184464,-0.00500679,7.44E-05,0,
00:00.0,0.001190186,-0.005012512,7.44E-05,0,
00:00.0,0.001184464,-0.005023956,6.87E-05,0,
00:00.0,0.001184464,-0.005029678,7.44E-05,0,
00:00.0,0.001178741,-0.005029678,6.87E-05,0,
00:00.0,0.001184464,-0.005018234,6.29E-05,0,
00:00.0,0.001218796,-0.00500679,5.15E-05,0,
00:00.0,0.00120163,-0.005001068,4.58E-05,0,
00:00.0,0.001178741,-0.004995346,6.87E-05,0,
00:00.0,0.001190186,-0.004995346,6.87E-05,0,
00:00.0,0.001190186,-0.005001068,5.72E-05,0,
00:00.1,0.001213074,-0.004995346,6.87E-05,0,
00:00.1,0.001190186,-0.005018234,8.58E-05,0,
00:00.1,0.001178741,-0.0050354,6.87E-05,0,
00:00.1,0.001184464,-0.005012512,7.44E-05,0,
00:00.1,0.001178741,-0.004989624,9.73E-05,0,
00:00.1,0.001195908,-0.004995346,8.01E-05,0,
00:00.1,0.001207352,-0.0050354,9.16E-05,0,
00:00.1,0.001173019,-0.005029678,9.16E-05,0,
00:00.1,0.001190186,-0.004995346,9.16E-05,0,
00:00.1,0.001207352,-0.004989624,9.16E-05,0,
00:00.1,0.001195908,-0.00500679,8.58E-05,0,
00:00.1,0.001190186,-0.005001068,9.73E-05,0,
00:00.1,0.001207352,-0.005012512,0.000108719,0,
00:00.1,0.001178741,-0.005023956,0.000102997,0,
00:00.1,0.001178741,-0.005029678,0.000102997,0,
00:00.1,0.001190186,-0.005023956,9.16E-05,0,
00:00.1,0.001178741,-0.004995346,9.73E-05,0,
00:00.1,0.001173019,-0.004989624,0.000120163,0,
00:00.1,0.001190186,-0.005001068,9.73E-05,0,
00:00.1,0.001173019,-0.00500679,0.000108719,0,
00:00.1,0.001184464,-0.004995346,0.000114441,0,
00:00.1,0.001184464,-0.005012512,0.000120163,0,
00:00.1,0.00120163,-0.005018234,9.73E-05,0,
00:00.1,0.001155853,-0.004995346,9.16E-05,0,
00:00.1,0.001161575,-0.004995346,0.000114441,0,
00:00.2,0.001195908,-0.00500679,0.000125885,0,
00:00.2,0.001190186,-0.00500679,0.000120163,0,
00:00.2,0.001184464,-0.00500679,0.000114441,0,
00:00.2,0.001184464,-0.005001068,0.000131607,0,
00:00.2,0.001178741,-0.004989624,0.000137329,0,
00:00.2,0.001178741,-0.004983902,0.000137329,0,
00:00.2,0.001178741,-0.004989624,0.000125885,0,
00:00.2,0.001190186,-0.004995346,0.000120163,0,
00:00.2,0.001195908,-0.005001068,0.000143051,0,
00:00.2,0.001195908,-0.004983902,0.000143051,0,
00:00.2,0.001184464,-0.004989624,0.000154495,0,
00:00.2,0.001190186,-0.004995346,0.000143051,0,
00:00.2,0.001178741,-0.00500679,0.000154495,0,
00:00.2,0.001184464,-0.005001068,0.000154495,0,
00:00.2,0.001184464,-0.005001068,0.000154495,0,
00:00.2,0.001184464,-0.004983902,0.000143051,0,
00:00.2,0.001178741,-0.004966736,0.000137329,0,
00:00.2,0.001190186,-0.004983902,0.000108719,0,
00:00.2,0.001207352,-0.005001068,0.000148773,0,
00:00.2,0.001178741,-0.00500679,0.000188828,0,
00:00.2,0.001167297,-0.004989624,0.000177383,0,
00:00.2,0.001173019,-0.004972458,0.000177383,0,
00:00.2,0.001173019,-0.004983902,0.000177383,0,
00:00.2,0.001173019,-0.004989624,0.000171661,0,
00:00.2,0.001184464,-0.004995346,0.000154495,0,
00:00.3,0.001190186,-0.004995346,0.000148773,0,
00:00.3,0.001224518,-0.004961014,0.000177383,0,
00:00.3,0.001127243,-0.004983902,0.000171661,0,
00:00.3,0.001155853,-0.004995346,0.000154495,0,
00:00.3,0.001190186,-0.004989624,0.000188828,0,
00:00.3,0.001178741,-0.004966736,0.00019455,0,
00:00.3,0.001178741,-0.004966736,0.00019455,0,
