Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002500534,0.000326157,0.008628845,0,
00:00.0,0.002511978,0.000326157,0.008634567,0,
00:00.0,0.002523422,0.000303268,0.008628845,0,
00:00.0,0.0025177,0.000291824,0.008617401,0,
00:00.0,0.002494812,0.000297546,0.008628845,0,
00:00.0,0.002500534,0.000354767,0.008617401,0,
00:00.0,0.002534866,0.000366211,0.008583069,0,
00:00.0,0.002552032,0.000331879,0.008646011,0,
00:00.0,0.002540588,0.00030899,0.008651733,0,
00:00.0,0.002494812,0.000314713,0.008640289,0,
00:00.0,0.002494812,0.000331879,0.008634567,0,
00:00.0,0.002511978,0.000314713,0.008634567,0,
00:00.0,0.0025177,0.000297546,0.008617401,0,
00:00.1,0.0025177,0.000274658,0.008605957,0,
00:00.1,0.002506256,0.000286102,0.008617401,0,
00:00.1,0.002500534,0.000343323,0.008651733,0,
00:00.1,0.002523422,0.000343323,0.008640289,0,
00:00.1,0.002523422,0.000320435,0.008628845,0,
00:00.1,0.002494812,0.000343323,0.008617401,0,
00:00.1,0.0025177,0.000331879,0.008628845,0,
00:00.1,0.002529144,0.000331879,0.008640289,0,
00:00.1,0.002523422,0.000326157,0.008628845,0,
00:00.1,0.0025177,0.00030899,0.008617401,0,
00:00.1,0.002506256,0.000297546,0.008617401,0,
00:00.1,0.0025177,0.000297546,0.008634567,0,
00:00.1,0.0025177,0.000314713,0.008628845,0,
00:00.1,0.002506256,0.000314713,0.008623123,0,
00:00.1,0.002511978,0.000331879,0.008583069,0,
00:00.1,0.0025177,0.000337601,0.008605957,0,
00:00.1,0.002506256,0.000331879,0.008623123,0,
00:00.1,0.002523422,0.000326157,0.008651733,0,
00:00.1,0.002534866,0.000314713,0.008623123,0,
00:00.1,0.0025177,0.000303268,0.008594513,0,
00:00.1,0.002506256,0.000326157,0.008640289,0,
00:00.1,0.002500534,0.00030899,0.008628845,0,
00:00.1,0.002523422,0.000337601,0.008623123,0,
00:00.1,0.002506256,0.000320435,0.008617401,0,
00:00.1,0.002523422,0.000297546,0.008617401,0,
00:00.2,0.002523422,0.000320435,0.008623123,0,
00:00.2,0.0025177,0.000337601,0.008628845,0,
00:00.2,0.002506256,0.000331879,0.008623123,0,
00:00.2,0.0025177,0.000326157,0.008623123,0,
00:00.2,0.002523422,0.00030899,0.008605957,0,
00:00.2,0.002523422,0.000297546,0.008600235,0,
00:00.2,0.002506256,0.000320435,0.008623123,0,
00:00.2,0.002500534,0.000337601,0.008623123,0,
00:00.2,0.002506256,0.000326157,0.008634567,0,
00:00.2,0.002511978,0.000320435,0.008623123,0,
00:00.2,0.002529144,0.000337601,0.008617401,0,
00:00.2,0.0025177,0.000331879,0.008617401,0,
00:00.2,0.0025177,0.000326157,0.008617401,0,
00:00.2,0.0025177,0.00030899,0.008605957,0,
00:00.2,0.002511978,0.000291824,0.008583069,0,
00:00.2,0.002511978,0.000320435,0.008588791,0,
00:00.2,0.002511978,0.000326157,0.008628845,0,
