Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002168655,-0.000108719,0.008628845,0,
00:00.0,0.002174377,-0.000102997,0.008623123,0,
00:00.0,0.002174377,-0.000102997,0.008617401,0,
00:00.0,0.002168655,-0.000108719,0.008617401,0,
00:00.0,0.002174377,-0.000108719,0.008617401,0,
00:00.0,0.002168655,-0.000114441,0.008623123,0,
00:00.0,0.002174377,-0.000102997,0.008623123,0,
00:00.0,0.002174377,-9.73E-05,0.008617401,0,
00:00.0,0.002168655,-0.000102997,0.008611679,0,
00:00.0,0.002174377,-9.73E-05,0.008617401,0,
00:00.0,0.002168655,-0.000102997,0.008617401,0,
00:00.0,0.002168655,-0.000114441,0.008623123,0,
00:00.0,0.002174377,-0.000108719,0.008617401,0,
00:00.1,0.002168655,-0.000125885,0.008623123,0,
00:00.1,0.002162933,-0.000143051,0.008617401,0,
00:00.1,0.002168655,-0.000125885,0.008617401,0,
00:00.1,0.002174377,-9.16E-05,0.008611679,0,
00:00.1,0.002174377,-8.58E-05,0.008617401,0,
00:00.1,0.002174377,-0.000102997,0.008623123,0,
00:00.1,0.002168655,-0.000114441,0.008611679,0,
00:00.1,0.002180099,-9.73E-05,0.008623123,0,
00:00.1,0.002180099,-9.73E-05,0.008611679,0,
00:00.1,0.002180099,-0.000114441,0.008605957,0,
00:00.1,0.002162933,-0.000108719,0.008605957,0,
00:00.1,0.002162933,-0.000102997,0.008600235,0,
00:00.1,0.002180099,-0.000102997,0.008605957,0,
00:00.1,0.002174377,-0.000114441,0.008640289,0,
00:00.1,0.002168655,-0.000108719,0.008640289,0,
00:00.1,0.002174377,-0.000108719,0.008634567,0,
00:00.1,0.002174377,-0.000108719,0.008628845,0,
00:00.1,0.002168655,-0.000120163,0.008628845,0,
00:00.1,0.002157211,-0.000125885,0.008623123,0,
00:00.1,0.002157211,-0.000131607,0.008623123,0,
00:00.1,0.002162933,-0.000131607,0.008623123,0,
00:00.1,0.002168655,-0.000120163,0.008623123,0,
00:00.1,0.002174377,-9.16E-05,0.008617401,0,
00:00.1,0.002174377,-9.16E-05,0.008623123,0,
00:00.1,0.002174377,-0.000114441,0.008623123,0,
00:00.2,0.002168655,-0.000120163,0.008623123,0,
00:00.2,0.002168655,-0.000108719,0.008611679,0,
00:00.2,0.002162933,-0.000102997,0.008600235,0,
00:00.2,0.002168655,-0.000120163,0.008600235,0,
00:00.2,0.002168655,-0.000125885,0.008623123,0,
00:00.2,0.002162933,-0.000108719,0.008634567,0,
00:00.2,0.002168655,-0.000102997,0.008628845,0,
00:00.2,0.002174377,-0.000102997,0.008628845,0,
00:00.2,0.002168655,-0.000102997,0.008628845,0,
00:00.2,0.002162933,-0.000108719,0.008628845,0,
