Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002872467,0.000526428,0.00917244,0,
00:00.0,0.002866745,0.000520706,0.00917244,0,
00:00.0,0.002866745,0.000520706,0.00917244,0,
00:00.0,0.002866745,0.000520706,0.00917244,0,
00:00.0,0.002866745,0.00050354,0.00917244,0,
00:00.0,0.002861023,0.000480652,0.00917244,0,
00:00.0,0.002861023,0.000492096,0.009166718,0,
00:00.0,0.002872467,0.000526428,0.00917244,0,
00:00.0,0.002878189,0.000537872,0.00917244,0,
00:00.0,0.002872467,0.000526428,0.00917244,0,
00:00.0,0.002872467,0.000520706,0.00917244,0,
00:00.0,0.002872467,0.000514984,0.00917244,0,
00:00.0,0.002872467,0.000509262,0.00917244,0,
00:00.1,0.002872467,0.000509262,0.00917244,0,
00:00.1,0.002872467,0.00050354,0.009166718,0,
00:00.1,0.002872467,0.000509262,0.00917244,0,
00:00.1,0.002866745,0.000509262,0.00917244,0,
00:00.1,0.002872467,0.000520706,0.00917244,0,
00:00.1,0.002872467,0.000520706,0.00917244,0,
00:00.1,0.002872467,0.000526428,0.00917244,0,
00:00.1,0.002872467,0.000526428,0.00917244,0,
00:00.1,0.002872467,0.000514984,0.00917244,0,
00:00.1,0.002866745,0.00050354,0.009178162,0,
00:00.1,0.002866745,0.000492096,0.009178162,0,
00:00.1,0.002866745,0.000497818,0.009178162,0,
00:00.1,0.002872467,0.000514984,0.009178162,0,
00:00.1,0.002878189,0.000526428,0.009178162,0,
00:00.1,0.002878189,0.000543594,0.009178162,0,
00:00.1,0.002878189,0.000537872,0.009178162,0,
00:00.1,0.002878189,0.000526428,0.009178162,0,
00:00.1,0.002878189,0.000520706,0.009178162,0,
00:00.1,0.002872467,0.000514984,0.009178162,0,
00:00.1,0.002866745,0.000497818,0.009178162,0,
00:00.1,0.002861023,0.000480652,0.00917244,0,
00:00.1,0.002872467,0.000497818,0.009178162,0,
00:00.1,0.002878189,0.00053215,0.009183884,0,
00:00.1,0.002878189,0.000549316,0.009178162,0,
00:00.1,0.002878189,0.000543594,0.009178162,0,
00:00.2,0.002878189,0.00053215,0.009178162,0,
00:00.2,0.002878189,0.000520706,0.009178162,0,
00:00.2,0.002872467,0.000514984,0.009183884,0,
00:00.2,0.002872467,0.000514984,0.009183884,0,
00:00.2,0.002872467,0.000509262,0.009183884,0,
00:00.2,0.002872467,0.000509262,0.009178162,0,
00:00.2,0.002878189,0.000520706,0.009178162,0,
00:00.2,0.002878189,0.000537872,0.009178162,0,
00:00.2,0.002878189,0.00053215,0.009183884,0,
00:00.2,0.002878189,0.000537872,0.009183884,0,
00:00.2,0.002878189,0.00053215,0.009183884,0,
00:00.2,0.002878189,0.000526428,0.009183884,0,
00:00.2,0.002883911,0.00053215,0.009183884,0,
00:00.2,0.002878189,0.000520706,0.009183884,0,
00:00.2,0.002878189,0.000509262,0.009183884,0,
00:00.2,0.002866745,0.000492096,0.009183884,0,
00:00.2,0.002872467,0.00050354,0.009183884,0,
00:00.2,0.002889633,0.000537872,0.009183884,0,
00:00.2,0.002883911,0.000543594,0.009183884,0,
00:00.2,0.002883911,0.000537872,0.009183884,0,
00:00.2,0.002883911,0.00053215,0.009189606,0,
00:00.2,0.002883911,0.000537872,0.009189606,0,
00:00.2,0.002883911,0.00053215,0.009189606,0,
00:00.2,0.002883911,0.000526428,0.009189606,0,
00:00.2,0.002878189,0.000509262,0.009189606,0,
00:00.3,0.002878189,0.000497818,0.009189606,0,
00:00.3,0.002878189,0.000509262,0.009189606,0,
00:00.3,0.002878189,0.000526428,0.009189606,0,
00:00.3,0.002878189,0.00053215,0.009189606,0,
00:00.3,0.002883911,0.000526428,0.009189606,0,
00:00.3,0.002883911,0.000537872,0.009189606,0,
00:00.3,0.002883911,0.000549316,0.009189606,0,
00:00.3,0.002883911,0.000537872,0.009195328,0,
00:00.3,0.002883911,0.00053215,0.009195328,0,
00:00.3,0.002883911,0.000526428,0.009195328,0,
00:00.3,0.002878189,0.000514984,0.009195328,0,
00:00.3,0.002872467,0.00050354,0.009195328,0,
00:00.3,0.002872467,0.000509262,0.009195328,0,
00:00.3,0.002883911,0.00053215,0.009189606,0,
00:00.3,0.002883911,0.000549316,0.009183884,0,
00:00.3,0.002883911,0.000555038,0.009189606,0,
00:00.3,0.002883911,0.000543594,0.00920105,0,
00:00.3,0.002883911,0.000537872,0.00920105,0,
00:00.3,0.002883911,0.00053215,0.00920105,0,
00:00.3,0.002883911,0.00053215,0.00920105,0,
00:00.3,0.002883911,0.000526428,0.00920105,0,
00:00.3,0.002883911,0.000520706,0.00920105,0,
00:00.3,0.002872467,0.000497818,0.00920105,0,
00:00.3,0.002872467,0.000492096,0.00920105,0,
00:00.3,0.002883911,0.000526428,0.00920105,0,
00:00.4,0.002889633,0.000549316,0.00920105,0,
00:00.4,0.002889633,0.000555038,0.00920105,0,
00:00.4,0.002889633,0.000555038,0.00920105,0,
00:00.4,0.002889633,0.000543594,0.00920105,0,
00:00.4,0.002889633,0.000537872,0.00920105,0,
00:00.4,0.002883911,0.000526428,0.00920105,0,
00:00.4,0.002883911,0.000520706,0.00920105,0,
00:00.4,0.002878189,0.000509262,0.00920105,0,
00:00.4,0.002878189,0.00050354,0.009206772,0,
00:00.4,0.002878189,0.00053215,0.009206772,0,
00:00.4,0.002883911,0.000549316,0.00920105,0,
