Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002923965,0.000904083,0.008096695,0,
00:00.0,0.002929688,0.000904083,0.008090973,0,
00:00.0,0.002929688,0.000909805,0.008085251,0,
00:00.0,0.002929688,0.000881195,0.008079529,0,
00:00.0,0.002923965,0.000886917,0.008079529,0,
00:00.0,0.00293541,0.000909805,0.008085251,0,
00:00.0,0.002929688,0.000909805,0.008085251,0,
00:00.0,0.002929688,0.000915527,0.008085251,0,
00:00.0,0.00293541,0.000898361,0.008085251,0,
00:00.0,0.00293541,0.000904083,0.008079529,0,
00:00.0,0.002929688,0.000921249,0.008079529,0,
00:00.0,0.00293541,0.000909805,0.008079529,0,
00:00.0,0.002929688,0.000898361,0.008079529,0,
00:00.1,0.002929688,0.000898361,0.008079529,0,
00:00.1,0.00293541,0.000898361,0.008073807,0,
00:00.1,0.00293541,0.000904083,0.008079529,0,
00:00.1,0.00293541,0.000904083,0.008090973,0,
00:00.1,0.002941132,0.000915527,0.008085251,0,
00:00.1,0.002941132,0.000921249,0.008085251,0,
00:00.1,0.00293541,0.000915527,0.008079529,0,
00:00.1,0.00293541,0.000909805,0.008085251,0,
00:00.1,0.002941132,0.000909805,0.008090973,0,
00:00.1,0.002929688,0.000886917,0.008085251,0,
00:00.1,0.002946854,0.000886917,0.008085251,0,
00:00.1,0.00293541,0.000904083,0.008090973,0,
00:00.1,0.002929688,0.000909805,0.008085251,0,
00:00.1,0.002946854,0.000915527,0.008090973,0,
00:00.1,0.002946854,0.000909805,0.008090973,0,
00:00.1,0.002941132,0.000915527,0.008090973,0,
00:00.1,0.002946854,0.000921249,0.008085251,0,
00:00.1,0.002941132,0.000909805,0.008085251,0,
00:00.1,0.002929688,0.000892639,0.008085251,0,
00:00.1,0.002929688,0.000892639,0.008085251,0,
00:00.1,0.002946854,0.000909805,0.008090973,0,
00:00.1,0.002941132,0.000909805,0.008090973,0,
00:00.1,0.002946854,0.000915527,0.008090973,0,
00:00.1,0.002941132,0.000921249,0.008090973,0,
00:00.1,0.002941132,0.000921249,0.008096695,0,
00:00.2,0.002946854,0.000915527,0.008090973,0,
00:00.2,0.002946854,0.000915527,0.008079529,0,
00:00.2,0.00293541,0.000898361,0.008079529,0,
00:00.2,0.002923965,0.000869751,0.008085251,0,
00:00.2,0.002929688,0.000904083,0.008085251,0,
00:00.2,0.002952576,0.000926971,0.008090973,0,
00:00.2,0.002946854,0.000921249,0.008090973,0,
00:00.2,0.002946854,0.000926971,0.008090973,0,
00:00.2,0.002946854,0.000921249,0.008090973,0,
00:00.2,0.002941132,0.000909805,0.008085251,0,
00:00.2,0.002929688,0.000892639,0.008073807,0,
00:00.2,0.002923965,0.000886917,0.008079529,0,
00:00.2,0.002929688,0.000892639,0.008090973,0,
00:00.2,0.002946854,0.000909805,0.008090973,0,
00:00.2,0.002946854,0.000915527,0.008096695,0,
00:00.2,0.002946854,0.000921249,0.008096695,0,
00:00.2,0.002952576,0.000938416,0.008096695,0,
00:00.2,0.002946854,0.000926971,0.008090973,0,
00:00.2,0.002946854,0.000921249,0.008096695,0,
00:00.2,0.002946854,0.000915527,0.008096695,0,
00:00.2,0.002946854,0.000915527,0.008090973,0,
00:00.2,0.00293541,0.000892639,0.008090973,0,
00:00.2,0.002941132,0.000898361,0.008090973,0,
00:00.2,0.002952576,0.000915527,0.008085251,0,
00:00.2,0.002941132,0.000909805,0.008090973,0,
