Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002637863,0.000646591,0.007713318,0,
00:00.0,0.002637863,0.000646591,0.007696152,0,
00:00.0,0.002637863,0.000629425,0.007673264,0,
00:00.0,0.002637863,0.000629425,0.007678986,0,
00:00.0,0.002614975,0.000617981,0.00769043,0,
00:00.0,0.002614975,0.000617981,0.007684708,0,
00:00.0,0.002614975,0.000617981,0.007684708,0,
00:00.0,0.002626419,0.000623703,0.007696152,0,
00:00.0,0.002632141,0.000629425,0.007696152,0,
00:00.0,0.002626419,0.000629425,0.00769043,0,
00:00.0,0.002626419,0.000629425,0.007696152,0,
00:00.0,0.002626419,0.000635147,0.00769043,0,
00:00.0,0.002626419,0.000635147,0.00769043,0,
00:00.1,0.002649307,0.000675201,0.007673264,0,
00:00.1,0.002655029,0.000703812,0.007638931,0,
00:00.1,0.002574921,0.000595093,0.007661819,0,
00:00.1,0.002592087,0.000606537,0.007707596,0,
00:00.1,0.002597809,0.000623703,0.007701874,0,
00:00.1,0.002643585,0.000629425,0.007701874,0,
00:00.1,0.002649307,0.000646591,0.007696152,0,
00:00.1,0.002649307,0.000658035,0.007684708,0,
00:00.1,0.002643585,0.000646591,0.007707596,0,
00:00.1,0.002609253,0.000629425,0.007696152,0,
00:00.1,0.002626419,0.000635147,0.00769043,0,
00:00.1,0.002626419,0.000640869,0.007684708,0,
00:00.1,0.002632141,0.000640869,0.007678986,0,
00:00.1,0.002620697,0.000646591,0.007696152,0,
00:00.1,0.002620697,0.000646591,0.007667542,0,
00:00.1,0.002626419,0.000646591,0.007678986,0,
00:00.1,0.002626419,0.000646591,0.007696152,0,
00:00.1,0.002626419,0.000640869,0.007678986,0,
00:00.1,0.002632141,0.000646591,0.007684708,0,
00:00.1,0.002632141,0.000646591,0.007684708,0,
00:00.1,0.002626419,0.000646591,0.007684708,0,
00:00.1,0.002643585,0.000680923,0.007701874,0,
00:00.1,0.002637863,0.000675201,0.007678986,0,
00:00.1,0.002632141,0.000646591,0.007661819,0,
00:00.1,0.002580643,0.000606537,0.007673264,0,
00:00.2,0.002580643,0.000600815,0.007673264,0,
00:00.2,0.002632141,0.000652313,0.007673264,0,
00:00.2,0.002626419,0.000652313,0.00769043,0,
00:00.2,0.002626419,0.000658035,0.007696152,0,
00:00.2,0.002620697,0.000640869,0.007701874,0,
00:00.2,0.002643585,0.000652313,0.00769043,0,
00:00.2,0.002632141,0.000658035,0.007678986,0,
00:00.2,0.002626419,0.000652313,0.007673264,0,
00:00.2,0.002614975,0.000646591,0.007696152,0,
00:00.2,0.002620697,0.000658035,0.007684708,0,
00:00.2,0.002620697,0.000640869,0.00769043,0,
00:00.2,0.002614975,0.000646591,0.007673264,0,
00:00.2,0.002614975,0.000652313,0.007678986,0,
00:00.2,0.002620697,0.000652313,0.007684708,0,
00:00.2,0.002620697,0.000646591,0.007678986,0,
00:00.2,0.002626419,0.000652313,0.007678986,0,
00:00.2,0.002626419,0.000652313,0.007678986,0,
00:00.2,0.002626419,0.000658035,0.00769043,0,
00:00.2,0.002637863,0.000680923,0.007667542,0,
00:00.2,0.002637863,0.000692368,0.007650375,0,
00:00.2,0.002609253,0.000640869,0.007650375,0,
00:00.2,0.002592087,0.000629425,0.007701874,0,
00:00.2,0.002597809,0.000635147,0.007673264,0,
00:00.2,0.002597809,0.000629425,0.00769043,0,
00:00.2,0.002632141,0.000652313,0.007684708,0,
00:00.3,0.002649307,0.000663757,0.007667542,0,
00:00.3,0.002632141,0.000652313,0.007684708,0,
00:00.3,0.002632141,0.000646591,0.00769043,0,
00:00.3,0.002626419,0.000646591,0.007673264,0,
00:00.3,0.002626419,0.000652313,0.007678986,0,
00:00.3,0.002632141,0.000652313,0.007678986,0,
00:00.3,0.002632141,0.000658035,0.007667542,0,
00:00.3,0.002632141,0.000658035,0.007673264,0,
00:00.3,0.002649307,0.000686646,0.007661819,0,
00:00.3,0.002649307,0.000680923,0.007696152,0,
00:00.3,0.002614975,0.000640869,0.007650375,0,
00:00.3,0.002620697,0.000635147,0.007667542,0,
00:00.3,0.002626419,0.000635147,0.00769043,0,
00:00.3,0.002632141,0.000646591,0.007684708,0,
00:00.3,0.002632141,0.000646591,0.007678986,0,
00:00.3,0.002632141,0.000652313,0.007673264,0,
00:00.3,0.002632141,0.000652313,0.007673264,0,
00:00.3,0.002632141,0.000658035,0.007673264,0,
00:00.3,0.002620697,0.000640869,0.007673264,0,
00:00.3,0.002614975,0.000635147,0.00769043,0,
00:00.3,0.002626419,0.000646591,0.007678986,0,
00:00.3,0.002649307,0.000663757,0.007661819,0,
00:00.3,0.002620697,0.000652313,0.007656097,0,
00:00.3,0.002637863,0.000658035,0.007667542,0,
00:00.3,0.002666473,0.000686646,0.007661819,0,
00:00.4,0.002632141,0.000635147,0.007667542,0,
00:00.4,0.002626419,0.000635147,0.007673264,0,
00:00.4,0.002632141,0.000646591,0.007667542,0,
00:00.4,0.002637863,0.000646591,0.007678986,0,
00:00.4,0.002637863,0.000646591,0.007678986,0,
00:00.4,0.002649307,0.000675201,0.007678986,0,
00:00.4,0.002660751,0.000686646,0.007684708,0,
00:00.4,0.002649307,0.000669479,0.007644653,0,
00:00.4,0.002603531,0.000629425,0.007661819,0,
00:00.4,0.002620697,0.000646591,0.007627487,0,
00:00.4,0.002626419,0.000646591,0.007678986,0,
00:00.4,0.002609253,0.000640869,0.007678986,0,
00:00.4,0.002643585,0.000652313,0.007667542,0,
00:00.4,0.002660751,0.000652313,0.007678986,0,
00:00.4,0.002643585,0.000663757,0.007667542,0,
00:00.4,0.002649307,0.000669479,0.007656097,0,
00:00.4,0.002637863,0.000646591,0.007678986,0,
00:00.4,0.002632141,0.000640869,0.007656097,0,
00:00.4,0.002637863,0.000646591,0.007667542,0,
00:00.4,0.002637863,0.000652313,0.007667542,0,
00:00.4,0.002637863,0.000658035,0.007667542,0,
00:00.4,0.002637863,0.000663757,0.007644653,0,
00:00.4,0.002632141,0.000658035,0.007644653,0,
00:00.4,0.002632141,0.000646591,0.007644653,0,
00:00.4,0.002626419,0.000646591,0.007661819,0,
00:00.5,0.002649307,0.000669479,0.007661819,0,
00:00.5,0.002637863,0.000652313,0.007667542,0,
00:00.5,0.002637863,0.000658035,0.007650375,0,
00:00.5,0.002649307,0.000663757,0.007656097,0,
00:00.5,0.002643585,0.000663757,0.007661819,0,
00:00.5,0.002632141,0.000652313,0.007650375,0,
00:00.5,0.002626419,0.000658035,0.007650375,0,
00:00.5,0.002603531,0.000652313,0.007661819,0,
00:00.5,0.002609253,0.000652313,0.007656097,0,
00:00.5,0.002666473,0.000663757,0.007638931,0,
00:00.5,0.002643585,0.000652313,0.007678986,0,
00:00.5,0.002655029,0.000658035,0.007667542,0,
00:00.5,0.002660751,0.000663757,0.007667542,0,
00:00.5,0.002649307,0.000652313,0.007667542,0,
00:00.5,0.002637863,0.000646591,0.007656097,0,
00:00.5,0.002637863,0.000652313,0.007661819,0,
00:00.5,0.002637863,0.000652313,0.007650375,0,
00:00.5,0.002643585,0.000652313,0.007638931,0,
00:00.5,0.002655029,0.000669479,0.007661819,0,
