Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.003828049,0.004182816,0.006099701,0,
00:00.0,0.003828049,0.004177094,0.006088257,0,
00:00.0,0.003828049,0.004177094,0.006093979,0,
00:00.0,0.003828049,0.004177094,0.006111145,0,
00:00.0,0.003816605,0.004171371,0.006105423,0,
00:00.0,0.003822327,0.004171371,0.006111145,0,
00:00.0,0.003822327,0.004159927,0.006111145,0,
00:00.0,0.003833771,0.004154205,0.006099701,0,
00:00.0,0.003828049,0.004171371,0.006111145,0,
00:00.0,0.003822327,0.004188538,0.006099701,0,
00:00.0,0.003810883,0.004177094,0.006105423,0,
00:00.0,0.003810883,0.004165649,0.006099701,0,
00:00.0,0.003833771,0.004154205,0.006093979,0,
00:00.1,0.003833771,0.004159927,0.006122589,0,
00:00.1,0.003828049,0.004182816,0.006116867,0,
00:00.1,0.003822327,0.00419426,0.006111145,0,
00:00.1,0.003810883,0.004165649,0.006105423,0,
00:00.1,0.003810883,0.004154205,0.006122589,0,
00:00.1,0.003828049,0.004159927,0.006128311,0,
00:00.1,0.003833771,0.004205704,0.006116867,0,
00:00.1,0.003833771,0.004199982,0.006116867,0,
00:00.1,0.003833771,0.004188538,0.006122589,0,
00:00.1,0.003828049,0.004177094,0.006116867,0,
00:00.1,0.003810883,0.004165649,0.006111145,0,
00:00.1,0.003828049,0.004182816,0.006111145,0,
00:00.1,0.003816605,0.004182816,0.006099701,0,
00:00.1,0.003822327,0.004177094,0.006105423,0,
00:00.1,0.003833771,0.004171371,0.006116867,0,
00:00.1,0.003828049,0.004177094,0.006122589,0,
00:00.1,0.003810883,0.004177094,0.006122589,0,
00:00.1,0.003822327,0.004171371,0.006116867,0,
00:00.1,0.003839493,0.004177094,0.006111145,0,
00:00.1,0.003833771,0.004177094,0.006111145,0,
00:00.1,0.003833771,0.004177094,0.006122589,0,
00:00.1,0.003828049,0.004177094,0.006111145,0,
00:00.1,0.003822327,0.004154205,0.006134033,0,
00:00.1,0.003822327,0.004165649,0.006116867,0,
00:00.1,0.003822327,0.00419426,0.006105423,0,
00:00.2,0.003805161,0.004188538,0.006122589,0,
00:00.2,0.003810883,0.004171371,0.006122589,0,
00:00.2,0.003833771,0.004165649,0.006116867,0,
00:00.2,0.003828049,0.004165649,0.006116867,0,
00:00.2,0.003833771,0.004171371,0.006116867,0,
00:00.2,0.003833771,0.004171371,0.006111145,0,
00:00.2,0.003822327,0.004159927,0.006116867,0,
00:00.2,0.003822327,0.004165649,0.006111145,0,
00:00.2,0.003822327,0.004171371,0.006122589,0,
00:00.2,0.003822327,0.004188538,0.006122589,0,
00:00.2,0.003822327,0.00419426,0.006122589,0,
00:00.2,0.003810883,0.004182816,0.006128311,0,
00:00.2,0.003793716,0.004165649,0.006116867,0,
00:00.2,0.003805161,0.004154205,0.006111145,0,
00:00.2,0.003845215,0.004159927,0.006116867,0,
00:00.2,0.003839493,0.004188538,0.006111145,0,
00:00.2,0.003833771,0.004182816,0.006122589,0,
00:00.2,0.003828049,0.004177094,0.006122589,0,
00:00.2,0.003822327,0.004165649,0.006116867,0,
00:00.2,0.003816605,0.004177094,0.006116867,0,
00:00.2,0.003816605,0.004159927,0.006116867,0,
00:00.2,0.003822327,0.004165649,0.006111145,0,
00:00.2,0.003805161,0.004188538,0.006105423,0,
