Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.004594803,0.004388809,0.004400253,0,
00:00.0,0.004594803,0.004388809,0.004417419,0,
00:00.0,0.004594803,0.004383087,0.004417419,0,
00:00.0,0.004594803,0.004377365,0.004417419,0,
00:00.0,0.004600525,0.004388809,0.004417419,0,
00:00.0,0.004594803,0.004383087,0.004411697,0,
00:00.0,0.004589081,0.004371643,0.004411697,0,
00:00.0,0.004589081,0.004365921,0.004417419,0,
00:00.0,0.004589081,0.004371643,0.004417419,0,
00:00.0,0.004589081,0.004371643,0.004428864,0,
00:00.0,0.004600525,0.004371643,0.004423141,0,
00:00.0,0.004600525,0.004377365,0.004417419,0,
00:00.0,0.004589081,0.004377365,0.004417419,0,
00:00.1,0.004589081,0.004383087,0.004417419,0,
00:00.1,0.004589081,0.004383087,0.004417419,0,
00:00.1,0.004583359,0.004365921,0.004423141,0,
00:00.1,0.004589081,0.004365921,0.004417419,0,
00:00.1,0.004589081,0.004365921,0.004411697,0,
00:00.1,0.004594803,0.004377365,0.004411697,0,
00:00.1,0.004589081,0.004388809,0.004417419,0,
00:00.1,0.004589081,0.004377365,0.004417419,0,
00:00.1,0.004594803,0.004377365,0.004417419,0,
00:00.1,0.004589081,0.004377365,0.004423141,0,
00:00.1,0.004594803,0.004377365,0.004423141,0,
00:00.1,0.004594803,0.004377365,0.004417419,0,
00:00.1,0.004589081,0.004365921,0.004417419,0,
00:00.1,0.004589081,0.004365921,0.004423141,0,
00:00.1,0.004594803,0.004377365,0.004417419,0,
00:00.1,0.004594803,0.004377365,0.004423141,0,
00:00.1,0.004589081,0.004371643,0.004428864,0,
00:00.1,0.004589081,0.004365921,0.004423141,0,
00:00.1,0.004606247,0.004383087,0.004423141,0,
00:00.1,0.004611969,0.004383087,0.004423141,0,
00:00.1,0.004589081,0.004371643,0.004417419,0,
00:00.1,0.004577637,0.004354477,0.004423141,0,
00:00.1,0.004589081,0.004365921,0.004417419,0,
00:00.1,0.004594803,0.004377365,0.004417419,0,
00:00.1,0.004589081,0.004377365,0.004417419,0,
00:00.2,0.004583359,0.004371643,0.004417419,0,
00:00.2,0.004594803,0.004371643,0.004428864,0,
00:00.2,0.004594803,0.004365921,0.004417419,0,
00:00.2,0.004589081,0.004360199,0.004417419,0,
00:00.2,0.004589081,0.004360199,0.004428864,0,
00:00.2,0.004589081,0.004365921,0.004423141,0,
00:00.2,0.004589081,0.004365921,0.004417419,0,
00:00.2,0.004589081,0.004365921,0.004428864,0,
00:00.2,0.004594803,0.004383087,0.004423141,0,
00:00.2,0.004594803,0.004377365,0.004428864,0,
00:00.2,0.004594803,0.004383087,0.004417419,0,
00:00.2,0.004589081,0.004365921,0.004400253,0,
00:00.2,0.004583359,0.004360199,0.004423141,0,
00:00.2,0.004594803,0.004365921,0.004434586,0,
