Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002672195,0.003456116,0.005292892,0,
00:00.0,0.002632141,0.00343895,0.005292892,0,
00:00.0,0.002706528,0.003450394,0.00528717,0,
00:00.0,0.00274086,0.003479004,0.00528717,0,
00:00.0,0.002603531,0.003444672,0.005304337,0,
00:00.0,0.002597809,0.003416061,0.005321503,0,
00:00.0,0.002729416,0.00343895,0.005310059,0,
00:00.0,0.002603531,0.003444672,0.005264282,0,
00:00.0,0.002534866,0.003450394,0.005281448,0,
00:00.0,0.002660751,0.003461838,0.005304337,0,
00:00.0,0.002700806,0.003473282,0.00528717,0,
00:00.0,0.002763748,0.00346756,0.005275726,0,
00:00.0,0.002815247,0.00346756,0.005281448,0,
00:00.1,0.002775192,0.003461838,0.005275726,0,
00:00.1,0.002763748,0.003461838,0.005275726,0,
00:00.1,0.002706528,0.003461838,0.005275726,0,
00:00.1,0.002677917,0.00346756,0.005281448,0,
00:00.1,0.002700806,0.003444672,0.00528717,0,
00:00.1,0.002626419,0.00343895,0.005281448,0,
00:00.1,0.002700806,0.003421783,0.005298615,0,
00:00.1,0.002758026,0.003433228,0.005281448,0,
00:00.1,0.00274086,0.003490448,0.005270004,0,
00:00.1,0.002700806,0.003490448,0.00528717,0,
00:00.1,0.002672195,0.003461838,0.005321503,0,
00:00.1,0.00271225,0.003444672,0.005304337,0,
00:00.1,0.002660751,0.003433228,0.005275726,0,
00:00.1,0.002649307,0.003444672,0.00528717,0,
00:00.1,0.002649307,0.00343895,0.005281448,0,
00:00.1,0.002717972,0.003473282,0.005275726,0,
00:00.1,0.002660751,0.003479004,0.005292892,0,
00:00.1,0.002580643,0.003450394,0.00528717,0,
00:00.1,0.002706528,0.00346756,0.005292892,0,
00:00.1,0.002626419,0.003479004,0.005292892,0,
00:00.1,0.002569199,0.003450394,0.005304337,0,
00:00.1,0.002666473,0.003416061,0.005298615,0,
00:00.1,0.002803802,0.003456116,0.005264282,0,
00:00.1,0.002849579,0.003490448,0.005264282,0,
00:00.1,0.002780914,0.00346756,0.005270004,0,
00:00.2,0.002735138,0.00343895,0.005264282,0,
00:00.2,0.002723694,0.003456116,0.005275726,0,
00:00.2,0.00271225,0.003473282,0.005310059,0,
00:00.2,0.002695084,0.003427505,0.005298615,0,
00:00.2,0.002666473,0.00343895,0.00528717,0,
