Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.004297256,0.004634857,0.00604248,0,
00:00.0,0.004314423,0.004646301,0.00604248,0,
00:00.0,0.004285812,0.004640579,0.00604248,0,
00:00.0,0.004268646,0.004646301,0.006036758,0,
00:00.0,0.004308701,0.004669189,0.006048203,0,
00:00.0,0.004325867,0.004663467,0.006053925,0,
00:00.0,0.004314423,0.004646301,0.006031036,0,
00:00.0,0.004297256,0.004646301,0.006036758,0,
00:00.0,0.004331589,0.004686356,0.00604248,0,
00:00.0,0.004325867,0.004629135,0.006036758,0,
00:00.0,0.004314423,0.004629135,0.006048203,0,
00:00.0,0.004297256,0.004640579,0.00604248,0,
00:00.0,0.004302979,0.004663467,0.006031036,0,
00:00.1,0.004325867,0.004652023,0.006019592,0,
00:00.1,0.004320145,0.004663467,0.006036758,0,
00:00.1,0.004325867,0.004674911,0.006036758,0,
00:00.1,0.004297256,0.004629135,0.00604248,0,
00:00.1,0.004285812,0.004629135,0.006048203,0,
00:00.1,0.004297256,0.004663467,0.00604248,0,
00:00.1,0.004297256,0.004674911,0.00604248,0,
00:00.1,0.004291534,0.004640579,0.006059647,0,
00:00.1,0.004314423,0.004611969,0.006048203,0,
00:00.1,0.004337311,0.004669189,0.006036758,0,
00:00.1,0.004320145,0.004657745,0.00604248,0,
00:00.1,0.00428009,0.004640579,0.00604248,0,
00:00.1,0.004257202,0.004634857,0.006053925,0,
00:00.1,0.004302979,0.004669189,0.006059647,0,
00:00.1,0.004302979,0.004634857,0.006048203,0,
00:00.1,0.004285812,0.004611969,0.00604248,0,
00:00.1,0.004331589,0.004640579,0.006025314,0,
00:00.1,0.004308701,0.004640579,0.006031036,0,
00:00.1,0.004302979,0.004652023,0.006036758,0,
00:00.1,0.004337311,0.004692078,0.006025314,0,
00:00.1,0.004314423,0.004680634,0.006025314,0,
00:00.1,0.004274368,0.004629135,0.006036758,0,
00:00.1,0.004308701,0.004600525,0.006048203,0,
00:00.1,0.004314423,0.004617691,0.006048203,0,
00:00.1,0.004320145,0.004640579,0.00604248,0,
00:00.2,0.004314423,0.004646301,0.006048203,0,
00:00.2,0.004314423,0.004646301,0.00604248,0,
00:00.2,0.004308701,0.004640579,0.00604248,0,
00:00.2,0.004314423,0.004646301,0.006053925,0,
00:00.2,0.004314423,0.004663467,0.006048203,0,
00:00.2,0.004314423,0.004669189,0.006048203,0,
00:00.2,0.004308701,0.004646301,0.006053925,0,
00:00.2,0.004285812,0.004606247,0.00604248,0,
00:00.2,0.004257202,0.004623413,0.006036758,0,
00:00.2,0.004285812,0.004640579,0.006025314,0,
00:00.2,0.004354477,0.0046978,0.006019592,0,
00:00.2,0.004354477,0.004652023,0.006059647,0,
00:00.2,0.004331589,0.004634857,0.006053925,0,
00:00.2,0.004302979,0.004640579,0.006048203,0,
00:00.2,0.004285812,0.004606247,0.006059647,0,
00:00.2,0.004308701,0.004629135,0.00604248,0,
00:00.2,0.004348755,0.004663467,0.006031036,0,
00:00.2,0.004331589,0.004634857,0.006008148,0,
00:00.2,0.004314423,0.004629135,0.00604248,0,
00:00.2,0.004291534,0.004634857,0.006053925,0,
00:00.2,0.004308701,0.004646301,0.006053925,0,
00:00.2,0.004320145,0.004640579,0.006048203,0,
00:00.2,0.004314423,0.004629135,0.006059647,0,
00:00.2,0.004308701,0.004629135,0.006025314,0,
00:00.2,0.004308701,0.004623413,0.006036758,0,
00:00.3,0.004302979,0.004623413,0.006053925,0,
00:00.3,0.004297256,0.004634857,0.006053925,0,
00:00.3,0.004308701,0.004646301,0.006053925,0,
00:00.3,0.004297256,0.004640579,0.006048203,0,
00:00.3,0.004314423,0.004640579,0.006048203,0,
00:00.3,0.004291534,0.004606247,0.006059647,0,
00:00.3,0.004302979,0.004640579,0.006053925,0,
00:00.3,0.004291534,0.004652023,0.006053925,0,
00:00.3,0.00425148,0.004652023,0.006053925,0,
00:00.3,0.00428009,0.004611969,0.006059647,0,
00:00.3,0.004337311,0.004623413,0.006053925,0,
00:00.3,0.004348755,0.004663467,0.006053925,0,
00:00.3,0.004325867,0.004634857,0.006048203,0,
00:00.3,0.004302979,0.004606247,0.006019592,0,
00:00.3,0.004314423,0.004634857,0.006036758,0,
00:00.3,0.004302979,0.004663467,0.006048203,0,
00:00.3,0.004302979,0.004640579,0.006059647,0,
00:00.3,0.004314423,0.004629135,0.006048203,0,
00:00.3,0.004302979,0.004623413,0.00604248,0,
00:00.3,0.004308701,0.004623413,0.00604248,0,
00:00.3,0.004302979,0.004617691,0.00604248,0,
00:00.3,0.004285812,0.004606247,0.00604248,0,
00:00.3,0.004302979,0.004646301,0.00604248,0,
00:00.3,0.004302979,0.004640579,0.006059647,0,
00:00.3,0.004308701,0.004669189,0.006059647,0,
00:00.4,0.00428009,0.004594803,0.006053925,0,
00:00.4,0.00428009,0.004600525,0.006071091,0,
00:00.4,0.004285812,0.004623413,0.006053925,0,
00:00.4,0.004302979,0.004611969,0.00604248,0,
00:00.4,0.004314423,0.004663467,0.006053925,0,
00:00.4,0.004291534,0.004646301,0.00604248,0,
00:00.4,0.004240036,0.004600525,0.006053925,0,
00:00.4,0.004262924,0.004589081,0.006053925,0,
00:00.4,0.004314423,0.004611969,0.006036758,0,
00:00.4,0.004365921,0.004652023,0.006048203,0,
00:00.4,0.004343033,0.004686356,0.006048203,0,
00:00.4,0.004308701,0.004629135,0.006071091,0,
00:00.4,0.004291534,0.004629135,0.00604248,0,
00:00.4,0.004285812,0.004589081,0.00604248,0,
00:00.4,0.004285812,0.004594803,0.006059647,0,
00:00.4,0.004285812,0.004646301,0.006053925,0,
00:00.4,0.004320145,0.004669189,0.006036758,0,
00:00.4,0.004291534,0.004589081,0.006053925,0,
00:00.4,0.004291534,0.004594803,0.006071091,0,
00:00.4,0.004285812,0.004606247,0.006036758,0,
00:00.4,0.004297256,0.004606247,0.006031036,0,
00:00.4,0.004325867,0.004634857,0.006065369,0,
00:00.4,0.004320145,0.004640579,0.006048203,0,
00:00.4,0.004297256,0.004623413,0.006053925,0,
00:00.4,0.004291534,0.004594803,0.006053925,0,
00:00.5,0.004274368,0.004611969,0.006036758,0,
00:00.5,0.004274368,0.004606247,0.006019592,0,
00:00.5,0.004297256,0.004611969,0.006048203,0,
00:00.5,0.004262924,0.004611969,0.006059647,0,
00:00.5,0.004302979,0.004617691,0.006065369,0,
00:00.5,0.004325867,0.004634857,0.006053925,0,
00:00.5,0.004302979,0.004606247,0.006048203,0,
00:00.5,0.004320145,0.004623413,0.006048203,0,
00:00.5,0.004285812,0.004600525,0.006048203,0,
00:00.5,0.004291534,0.004611969,0.006053925,0,
00:00.5,0.004302979,0.004617691,0.006048203,0,
00:00.5,0.004297256,0.004617691,0.006065369,0,
00:00.5,0.004302979,0.004629135,0.006065369,0,
00:00.5,0.004320145,0.004652023,0.006048203,0,
00:00.5,0.004325867,0.004674911,0.00601387,0,
00:00.5,0.004274368,0.004566193,0.00604248,0,
00:00.5,0.004274368,0.004583359,0.006053925,0,
00:00.5,0.004291534,0.004611969,0.006048203,0,
00:00.5,0.004302979,0.004611969,0.00604248,0,
00:00.5,0.004308701,0.004634857,0.00604248,0,
00:00.5,0.004240036,0.004583359,0.006059647,0,
00:00.5,0.004245758,0.004589081,0.006076813,0,
00:00.5,0.004302979,0.004594803,0.006053925,0,
00:00.5,0.004331589,0.004611969,0.006025314,0,
00:00.5,0.004297256,0.004611969,0.006031036,0,
00:00.6,0.004291534,0.004611969,0.006031036,0,
00:00.6,0.004274368,0.004600525,0.006025314,0,
00:00.6,0.004285812,0.004594803,0.006036758,0,
00:00.6,0.004325867,0.004611969,0.006048203,0,
00:00.6,0.004314423,0.004646301,0.006025314,0,
00:00.6,0.00425148,0.004617691,0.006048203,0,
00:00.6,0.004268646,0.004606247,0.006065369,0,
00:00.6,0.004302979,0.004583359,0.006065369,0,
00:00.6,0.004314423,0.004600525,0.006048203,0,
00:00.6,0.004308701,0.004589081,0.006036758,0,
