Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002174377,0.002815247,0.004022598,0,
00:00.0,0.002202988,0.002786636,0.004039764,0,
00:00.0,0.002174377,0.002775192,0.004016876,0,
00:00.0,0.002122879,0.002780914,0.004034042,0,
00:00.0,0.002122879,0.002809525,0.004074097,0,
00:00.0,0.002140045,0.002803802,0.004051208,0,
00:00.0,0.002122879,0.00276947,0.004062653,0,
00:00.0,0.002117157,0.00276947,0.004062653,0,
00:00.0,0.002128601,0.002786636,0.004039764,0,
00:00.0,0.002128601,0.002780914,0.004039764,0,
00:00.0,0.002128601,0.002758026,0.004085541,0,
00:00.0,0.002059937,0.00276947,0.004068375,0,
00:00.0,0.00204277,0.002775192,0.004051208,0,
00:00.1,0.002071381,0.00279808,0.004056931,0,
00:00.1,0.002145767,0.002792358,0.004034042,0,
00:00.1,0.002174377,0.002792358,0.003982544,0,
00:00.1,0.002151489,0.002786636,0.004062653,0,
00:00.1,0.002065659,0.00276947,0.004068375,0,
00:00.1,0.002128601,0.00276947,0.004056931,0,
00:00.1,0.002140045,0.002780914,0.004051208,0,
00:00.1,0.002180099,0.002780914,0.00402832,0,
00:00.1,0.002071381,0.002780914,0.004011154,0,
00:00.1,0.002140045,0.002786636,0.004085541,0,
00:00.1,0.002174377,0.00279808,0.004068375,0,
00:00.1,0.002162933,0.00279808,0.00402832,0,
00:00.1,0.002157211,0.002786636,0.004039764,0,
00:00.1,0.002145767,0.002809525,0.00402832,0,
00:00.1,0.002151489,0.002820969,0.004022598,0,
00:00.1,0.002140045,0.002786636,0.004062653,0,
00:00.1,0.002111435,0.002758026,0.004056931,0,
00:00.1,0.002117157,0.002752304,0.004045486,0,
00:00.1,0.002111435,0.002746582,0.004051208,0,
00:00.1,0.002105713,0.002746582,0.004085541,0,
00:00.1,0.002128601,0.002792358,0.004056931,0,
00:00.1,0.002071381,0.002803802,0.00399971,0,
00:00.1,0.002082825,0.002786636,0.004056931,0,
00:00.1,0.002077103,0.002792358,0.004068375,0,
00:00.1,0.002048492,0.002763748,0.004074097,0,
00:00.2,0.002140045,0.002775192,0.00402832,0,
00:00.2,0.002145767,0.00279808,0.00399971,0,
00:00.2,0.002180099,0.00279808,0.004016876,0,
00:00.2,0.002174377,0.002792358,0.004039764,0,
00:00.2,0.002128601,0.002803802,0.004045486,0,
00:00.2,0.002128601,0.002803802,0.004039764,0,
00:00.2,0.002117157,0.002775192,0.004085541,0,
00:00.2,0.002128601,0.002786636,0.004022598,0,
00:00.2,0.002117157,0.00279808,0.004022598,0,
00:00.2,0.002168655,0.002803802,0.004034042,0,
00:00.2,0.002128601,0.002780914,0.004045486,0,
00:00.2,0.002134323,0.00276947,0.004079819,0,
00:00.2,0.002122879,0.002763748,0.004074097,0,
00:00.2,0.002117157,0.002786636,0.004022598,0,
00:00.2,0.002128601,0.00279808,0.004039764,0,
00:00.2,0.002122879,0.002780914,0.004011154,0,
00:00.2,0.002122879,0.00276947,0.004011154,0,
00:00.2,0.002099991,0.002775192,0.004045486,0,
00:00.2,0.002048492,0.002786636,0.004091263,0,
00:00.2,0.002105713,0.002786636,0.004062653,0,
00:00.2,0.002025604,0.00276947,0.00402832,0,
00:00.2,0.002008438,0.002775192,0.004011154,0,
00:00.2,0.002271652,0.00276947,0.004034042,0,
00:00.2,0.002180099,0.002758026,0.004079819,0,
00:00.2,0.002077103,0.00276947,0.004051208,0,
00:00.3,0.002157211,0.00279808,0.004062653,0,
00:00.3,0.002180099,0.002803802,0.004034042,0,
00:00.3,0.002151489,0.002792358,0.004034042,0,
00:00.3,0.002128601,0.002775192,0.004034042,0,
00:00.3,0.002140045,0.00279808,0.004011154,0,
00:00.3,0.002145767,0.002820969,0.00399971,0,
00:00.3,0.002128601,0.002809525,0.004039764,0,
00:00.3,0.002111435,0.002775192,0.004091263,0,
00:00.3,0.002145767,0.002780914,0.004045486,0,
00:00.3,0.002128601,0.002775192,0.00402832,0,
00:00.3,0.002105713,0.00274086,0.004011154,0,
00:00.3,0.002117157,0.002752304,0.004016876,0,
00:00.3,0.002111435,0.002775192,0.004056931,0,
00:00.3,0.002105713,0.002786636,0.004056931,0,
00:00.3,0.002140045,0.00279808,0.004085541,0,
00:00.3,0.002094269,0.002786636,0.004034042,0,
00:00.3,0.002122879,0.002780914,0.004034042,0,
00:00.3,0.002122879,0.00276947,0.004045486,0,
00:00.3,0.002059937,0.002780914,0.004051208,0,
00:00.3,0.001876831,0.002775192,0.004051208,0,
00:00.3,0.002059937,0.00276947,0.004016876,0,
00:00.3,0.00220871,0.002775192,0.004039764,0,
00:00.3,0.00223732,0.00276947,0.004011154,0,
00:00.3,0.002180099,0.002792358,0.004011154,0,
00:00.3,0.002105713,0.002786636,0.004045486,0,
00:00.4,0.002082825,0.002763748,0.004051208,0,
00:00.4,0.002162933,0.002792358,0.004011154,0,
00:00.4,0.002162933,0.002792358,0.004039764,0,
00:00.4,0.002122879,0.002792358,0.004039764,0,
00:00.4,0.002094269,0.002775192,0.004045486,0,
00:00.4,0.002122879,0.00276947,0.004051208,0,
00:00.4,0.002117157,0.002763748,0.004062653,0,
00:00.4,0.002122879,0.002763748,0.004062653,0,
00:00.4,0.002117157,0.00276947,0.004051208,0,
00:00.4,0.002099991,0.002775192,0.004039764,0,
00:00.4,0.002094269,0.002775192,0.004022598,0,
00:00.4,0.002094269,0.002786636,0.004045486,0,
00:00.4,0.002122879,0.002786636,0.004045486,0,
00:00.4,0.002117157,0.002775192,0.004039764,0,
00:00.4,0.002094269,0.002775192,0.004034042,0,
00:00.4,0.002122879,0.002792358,0.004039764,0,
00:00.4,0.002128601,0.002775192,0.004045486,0,
00:00.4,0.002082825,0.00276947,0.004039764,0,
00:00.4,0.00201416,0.002763748,0.004056931,0,
00:00.4,0.002065659,0.002780914,0.004011154,0,
00:00.4,0.002031326,0.002758026,0.004016876,0,
00:00.4,0.002094269,0.00276947,0.004051208,0,
00:00.4,0.002071381,0.002775192,0.004085541,0,
00:00.4,0.002140045,0.002786636,0.004045486,0,
00:00.4,0.00223732,0.002803802,0.004045486,0,
00:00.5,0.002145767,0.00276947,0.004039764,0,
00:00.5,0.002122879,0.002775192,0.004016876,0,
00:00.5,0.002134323,0.002786636,0.004034042,0,
00:00.5,0.002117157,0.00276947,0.004051208,0,
00:00.5,0.002134323,0.002780914,0.004045486,0,
00:00.5,0.002088547,0.00276947,0.004034042,0,
00:00.5,0.002094269,0.002763748,0.004051208,0,
00:00.5,0.002111435,0.002758026,0.004045486,0,
00:00.5,0.002105713,0.00274086,0.00399971,0,
00:00.5,0.002122879,0.002786636,0.004005432,0,
00:00.5,0.002122879,0.002820969,0.004045486,0,
00:00.5,0.002111435,0.002780914,0.004056931,0,
00:00.5,0.002094269,0.002775192,0.004051208,0,
00:00.5,0.002059937,0.00276947,0.004034042,0,
00:00.5,0.002094269,0.00276947,0.004039764,0,
00:00.5,0.002117157,0.002786636,0.004039764,0,
00:00.5,0.002077103,0.00279808,0.004016876,0,
00:00.5,0.002088547,0.002792358,0.004045486,0,
00:00.5,0.002140045,0.002775192,0.004051208,0,
00:00.5,0.002094269,0.002763748,0.004074097,0,
