Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.003370285,-0.005899429,0.00472641,0,
00:00.0,0.003381729,-0.005882263,0.004720688,0,
00:00.0,0.003387451,-0.005876541,0.004714966,0,
00:00.0,0.003381729,-0.005870819,0.004720688,0,
00:00.0,0.003376007,-0.005882263,0.00472641,0,
00:00.0,0.003381729,-0.005882263,0.004720688,0,
00:00.0,0.003381729,-0.005882263,0.004720688,0,
00:00.0,0.003376007,-0.005893707,0.00472641,0,
00:00.0,0.003376007,-0.005893707,0.00472641,0,
00:00.0,0.003376007,-0.005893707,0.00472641,0,
00:00.0,0.003376007,-0.005882263,0.004720688,0,
00:00.0,0.003381729,-0.005870819,0.004720688,0,
00:00.0,0.003381729,-0.005870819,0.004720688,0,
00:00.1,0.003376007,-0.005870819,0.004732132,0,
00:00.1,0.003376007,-0.005882263,0.004732132,0,
00:00.1,0.003376007,-0.005882263,0.004732132,0,
00:00.1,0.003376007,-0.005876541,0.00472641,0,
00:00.1,0.003381729,-0.005865097,0.00472641,0,
00:00.1,0.003381729,-0.005870819,0.004720688,0,
00:00.1,0.003381729,-0.005870819,0.00472641,0,
00:00.1,0.003381729,-0.005876541,0.00472641,0,
00:00.1,0.003376007,-0.005876541,0.004714966,0,
00:00.1,0.003376007,-0.005870819,0.00472641,0,
00:00.1,0.003381729,-0.005853653,0.004720688,0,
00:00.1,0.003393173,-0.005847931,0.004720688,0,
00:00.1,0.003387451,-0.005859375,0.004732132,0,
00:00.1,0.003381729,-0.005865097,0.00472641,0,
00:00.1,0.003381729,-0.005859375,0.004720688,0,
00:00.1,0.003381729,-0.005859375,0.00472641,0,
00:00.1,0.003381729,-0.005865097,0.00472641,0,
00:00.1,0.003381729,-0.005865097,0.004720688,0,
00:00.1,0.003381729,-0.005865097,0.00472641,0,
00:00.1,0.003376007,-0.005865097,0.004732132,0,
00:00.1,0.003381729,-0.005859375,0.00472641,0,
00:00.1,0.003387451,-0.005847931,0.004720688,0,
00:00.1,0.003387451,-0.005842209,0.004732132,0,
00:00.1,0.003387451,-0.005847931,0.00472641,0,
00:00.1,0.003381729,-0.005859375,0.004714966,0,
00:00.2,0.003381729,-0.005865097,0.004720688,0,
00:00.2,0.003376007,-0.005859375,0.004720688,0,
00:00.2,0.003387451,-0.005836487,0.004732132,0,
00:00.2,0.003387451,-0.005842209,0.004732132,0,
00:00.2,0.003381729,-0.005847931,0.004732132,0,
00:00.2,0.003381729,-0.005836487,0.004720688,0,
00:00.2,0.003381729,-0.005842209,0.004720688,0,
00:00.2,0.003370285,-0.005847931,0.004737854,0,
00:00.2,0.003376007,-0.005853653,0.004737854,0,
00:00.2,0.003381729,-0.005842209,0.004732132,0,
00:00.2,0.003376007,-0.005847931,0.00472641,0,
00:00.2,0.003376007,-0.005853653,0.00472641,0,
00:00.2,0.003387451,-0.005830765,0.004732132,0,
00:00.2,0.003387451,-0.005825043,0.00472641,0,
00:00.2,0.003381729,-0.005830765,0.00472641,0,
00:00.2,0.003381729,-0.005830765,0.00472641,0,
00:00.2,0.003381729,-0.005830765,0.00472641,0,
00:00.2,0.003381729,-0.005825043,0.004720688,0,
00:00.2,0.003376007,-0.005830765,0.004714966,0,
00:00.2,0.003381729,-0.005825043,0.00472641,0,
00:00.2,0.003376007,-0.005830765,0.00472641,0,
00:00.2,0.003370285,-0.005847931,0.00472641,0,
00:00.2,0.003376007,-0.005842209,0.00472641,0,
00:00.2,0.003376007,-0.005825043,0.00472641,0,
00:00.2,0.003376007,-0.005819321,0.004732132,0,
00:00.3,0.003376007,-0.005830765,0.004720688,0,
00:00.3,0.003376007,-0.005825043,0.00472641,0,
00:00.3,0.003376007,-0.005819321,0.00472641,0,
00:00.3,0.003376007,-0.005819321,0.004732132,0,
00:00.3,0.003376007,-0.005825043,0.00472641,0,
00:00.3,0.003381729,-0.005807877,0.004720688,0,
00:00.3,0.003381729,-0.005807877,0.004720688,0,
00:00.3,0.003376007,-0.005825043,0.00472641,0,
00:00.3,0.003370285,-0.005842209,0.004732132,0,
00:00.3,0.003364563,-0.005847931,0.004720688,0,
