Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002180099,-0.006116867,0.004823685,0,
00:00.0,0.002180099,-0.006111145,0.004817963,0,
00:00.0,0.002180099,-0.006105423,0.004817963,0,
00:00.0,0.002180099,-0.006105423,0.004817963,0,
00:00.0,0.002185822,-0.006099701,0.004817963,0,
00:00.0,0.002185822,-0.006099701,0.004823685,0,
00:00.0,0.002180099,-0.006111145,0.004829407,0,
00:00.0,0.002174377,-0.006105423,0.004823685,0,
00:00.0,0.002180099,-0.006099701,0.004823685,0,
00:00.0,0.002197266,-0.006088257,0.004823685,0,
00:00.0,0.002185822,-0.006099701,0.004823685,0,
00:00.0,0.002168655,-0.006099701,0.004817963,0,
00:00.0,0.002180099,-0.006088257,0.004823685,0,
00:00.1,0.002174377,-0.006093979,0.004823685,0,
00:00.1,0.002180099,-0.006088257,0.004817963,0,
00:00.1,0.002185822,-0.006082535,0.004823685,0,
00:00.1,0.002197266,-0.006076813,0.004829407,0,
00:00.1,0.002185822,-0.006076813,0.004835129,0,
00:00.1,0.002162933,-0.006093979,0.004823685,0,
00:00.1,0.002168655,-0.006093979,0.004829407,0,
00:00.1,0.002180099,-0.006088257,0.004829407,0,
00:00.1,0.002180099,-0.006099701,0.004817963,0,
00:00.1,0.002185822,-0.006088257,0.004829407,0,
00:00.1,0.002191544,-0.006071091,0.004835129,0,
00:00.1,0.002191544,-0.006071091,0.004840851,0,
00:00.1,0.002191544,-0.006076813,0.004840851,0,
00:00.1,0.002197266,-0.006076813,0.004823685,0,
00:00.1,0.002197266,-0.006071091,0.004823685,0,
00:00.1,0.002185822,-0.006076813,0.004817963,0,
00:00.1,0.002185822,-0.006088257,0.004823685,0,
00:00.1,0.002185822,-0.006082535,0.004823685,0,
00:00.1,0.002191544,-0.006071091,0.004817963,0,
00:00.1,0.002185822,-0.006059647,0.004840851,0,
00:00.1,0.002185822,-0.006065369,0.004829407,0,
00:00.1,0.002197266,-0.006071091,0.004829407,0,
00:00.1,0.00220871,-0.006053925,0.004829407,0,
00:00.1,0.002202988,-0.006065369,0.004829407,0,
00:00.1,0.002185822,-0.006071091,0.004823685,0,
00:00.2,0.002191544,-0.006065369,0.004817963,0,
00:00.2,0.002185822,-0.006071091,0.004829407,0,
00:00.2,0.002197266,-0.006065369,0.004823685,0,
00:00.2,0.002202988,-0.006059647,0.004829407,0,
00:00.2,0.002191544,-0.006059647,0.004829407,0,
00:00.2,0.002197266,-0.006053925,0.004823685,0,
00:00.2,0.002191544,-0.006059647,0.004829407,0,
00:00.2,0.002185822,-0.006071091,0.004829407,0,
00:00.2,0.002185822,-0.006065369,0.004817963,0,
00:00.2,0.002191544,-0.006053925,0.004817963,0,
00:00.2,0.002202988,-0.006048203,0.004835129,0,
00:00.2,0.002191544,-0.00604248,0.004835129,0,
00:00.2,0.002197266,-0.00604248,0.004829407,0,
00:00.2,0.002197266,-0.006053925,0.004835129,0,
00:00.2,0.002202988,-0.006048203,0.004829407,0,
00:00.2,0.002202988,-0.00604248,0.004835129,0,
00:00.2,0.002197266,-0.00604248,0.004840851,0,
00:00.2,0.002191544,-0.006059647,0.004817963,0,
00:00.2,0.002197266,-0.006048203,0.004812241,0,
00:00.2,0.00220871,-0.006031036,0.004829407,0,
00:00.2,0.00220871,-0.006025314,0.004817963,0,
00:00.2,0.002197266,-0.006053925,0.004817963,0,
00:00.2,0.002185822,-0.006048203,0.004829407,0,
00:00.2,0.002197266,-0.006031036,0.004829407,0,
00:00.2,0.002202988,-0.006031036,0.004829407,0,
00:00.3,0.002202988,-0.006025314,0.004829407,0,
00:00.3,0.00220871,-0.006031036,0.004823685,0,
