Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.003587723,-0.00604248,0.005292892,0,
00:00.0,0.003576279,-0.006036758,0.005292892,0,
00:00.0,0.003582001,-0.006036758,0.005292892,0,
00:00.0,0.003593445,-0.006031036,0.00528717,0,
00:00.0,0.003593445,-0.006031036,0.00528717,0,
00:00.0,0.003587723,-0.006025314,0.005281448,0,
00:00.0,0.003593445,-0.006031036,0.005281448,0,
00:00.0,0.003593445,-0.006036758,0.00528717,0,
00:00.0,0.003587723,-0.00604248,0.005275726,0,
00:00.0,0.003582001,-0.006031036,0.005281448,0,
00:00.0,0.003582001,-0.006025314,0.005292892,0,
00:00.0,0.003587723,-0.006025314,0.00528717,0,
00:00.0,0.003587723,-0.006025314,0.00528717,0,
00:00.1,0.003587723,-0.006025314,0.00528717,0,
00:00.1,0.003587723,-0.006019592,0.00528717,0,
00:00.1,0.003587723,-0.006025314,0.005281448,0,
00:00.1,0.003582001,-0.006031036,0.00528717,0,
00:00.1,0.003576279,-0.006031036,0.00528717,0,
00:00.1,0.003582001,-0.006025314,0.00528717,0,
00:00.1,0.003587723,-0.006025314,0.00528717,0,
00:00.1,0.003582001,-0.006025314,0.00528717,0,
00:00.1,0.003582001,-0.006019592,0.00528717,0,
00:00.1,0.003593445,-0.006025314,0.005281448,0,
00:00.1,0.003587723,-0.006025314,0.005281448,0,
00:00.1,0.003582001,-0.00601387,0.005281448,0,
00:00.1,0.003587723,-0.00601387,0.005281448,0,
00:00.1,0.003587723,-0.006019592,0.005275726,0,
00:00.1,0.003582001,-0.00601387,0.00528717,0,
00:00.1,0.003587723,-0.00601387,0.005292892,0,
00:00.1,0.003587723,-0.006008148,0.00528717,0,
00:00.1,0.003587723,-0.006008148,0.00528717,0,
00:00.1,0.003587723,-0.00601387,0.00528717,0,
00:00.1,0.003587723,-0.00601387,0.005281448,0,
00:00.1,0.003587723,-0.006019592,0.00528717,0,
00:00.1,0.003582001,-0.006008148,0.00528717,0,
00:00.1,0.003582001,-0.006008148,0.00528717,0,
00:00.1,0.003587723,-0.006008148,0.005281448,0,
00:00.1,0.003587723,-0.006008148,0.005281448,0,
00:00.2,0.003587723,-0.005996704,0.005275726,0,
00:00.2,0.003587723,-0.006008148,0.00528717,0,
00:00.2,0.003570557,-0.006002426,0.00528717,0,
00:00.2,0.003576279,-0.005996704,0.00528717,0,
00:00.2,0.003582001,-0.005996704,0.00528717,0,
00:00.2,0.003582001,-0.005996704,0.005281448,0,
00:00.2,0.003587723,-0.006002426,0.005281448,0,
00:00.2,0.003587723,-0.006002426,0.00528717,0,
00:00.2,0.003593445,-0.005996704,0.00528717,0,
00:00.2,0.003593445,-0.006002426,0.00528717,0,
00:00.2,0.003587723,-0.005996704,0.005292892,0,
00:00.2,0.003587723,-0.005996704,0.00528717,0,
00:00.2,0.003587723,-0.005990982,0.00528717,0,
00:00.2,0.003587723,-0.005990982,0.00528717,0,
00:00.2,0.003587723,-0.005996704,0.005292892,0,
00:00.2,0.003582001,-0.006002426,0.005292892,0,
00:00.2,0.003582001,-0.005996704,0.005292892,0,
00:00.2,0.003582001,-0.005996704,0.005292892,0,
00:00.2,0.003587723,-0.005996704,0.005292892,0,
00:00.2,0.003582001,-0.00598526,0.00528717,0,
00:00.2,0.003587723,-0.005990982,0.005292892,0,
00:00.2,0.003587723,-0.005996704,0.005292892,0,
00:00.2,0.003582001,-0.005990982,0.00528717,0,
00:00.2,0.003582001,-0.005990982,0.005292892,0,
00:00.2,0.003582001,-0.00598526,0.005298615,0,
00:00.3,0.003582001,-0.00598526,0.005292892,0,
00:00.3,0.003582001,-0.005979538,0.00528717,0,
00:00.3,0.003587723,-0.005979538,0.00528717,0,
00:00.3,0.003593445,-0.005979538,0.00528717,0,
00:00.3,0.003593445,-0.00598526,0.00528717,0,
00:00.3,0.003587723,-0.00598526,0.005281448,0,
00:00.3,0.003582001,-0.005979538,0.005275726,0,
00:00.3,0.003593445,-0.005979538,0.005292892,0,
00:00.3,0.003587723,-0.00598526,0.005304337,0,
00:00.3,0.003570557,-0.005979538,0.005292892,0,
00:00.3,0.003576279,-0.005979538,0.005292892,0,
00:00.3,0.003576279,-0.005968094,0.005292892,0,
00:00.3,0.003587723,-0.005973816,0.005292892,0,
