Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002391815,-0.007387161,0.005235672,0,
00:00.0,0.002386093,-0.007387161,0.005235672,0,
00:00.0,0.002391815,-0.007375717,0.005235672,0,
00:00.0,0.002397537,-0.007375717,0.005235672,0,
00:00.0,0.002397537,-0.007369995,0.00522995,0,
00:00.0,0.002397537,-0.007375717,0.005224228,0,
00:00.0,0.002391815,-0.007387161,0.005224228,0,
00:00.0,0.002391815,-0.007375717,0.005224228,0,
00:00.0,0.002391815,-0.007369995,0.005218506,0,
00:00.0,0.002397537,-0.007375717,0.005224228,0,
00:00.0,0.002403259,-0.007375717,0.005224228,0,
00:00.0,0.002403259,-0.007369995,0.005224228,0,
00:00.0,0.002403259,-0.007375717,0.005224228,0,
00:00.1,0.002408981,-0.007375717,0.00522995,0,
00:00.1,0.002403259,-0.007375717,0.005218506,0,
00:00.1,0.002403259,-0.007381439,0.005212784,0,
00:00.1,0.002403259,-0.007381439,0.005241394,0,
00:00.1,0.002403259,-0.007381439,0.005235672,0,
00:00.1,0.002408981,-0.007369995,0.005235672,0,
00:00.1,0.002408981,-0.007358551,0.00522995,0,
00:00.1,0.002408981,-0.007364273,0.00522995,0,
00:00.1,0.002408981,-0.007369995,0.005235672,0,
00:00.1,0.002403259,-0.007364273,0.00522995,0,
00:00.1,0.002408981,-0.007358551,0.00522995,0,
00:00.1,0.002408981,-0.007364273,0.005224228,0,
00:00.1,0.002408981,-0.007364273,0.00522995,0,
00:00.1,0.002408981,-0.007364273,0.005224228,0,
00:00.1,0.002403259,-0.007375717,0.00522995,0,
00:00.1,0.002403259,-0.007369995,0.00522995,0,
00:00.1,0.002403259,-0.007358551,0.005224228,0,
00:00.1,0.002403259,-0.007358551,0.00522995,0,
00:00.1,0.002408981,-0.007358551,0.00522995,0,
00:00.1,0.002403259,-0.007364273,0.005224228,0,
00:00.1,0.002403259,-0.007358551,0.00522995,0,
00:00.1,0.002403259,-0.007364273,0.005218506,0,
00:00.1,0.002403259,-0.007364273,0.005218506,0,
00:00.1,0.002414703,-0.007341385,0.005235672,0,
00:00.1,0.002408981,-0.007347107,0.005224228,0,
00:00.2,0.002397537,-0.007358551,0.005224228,0,
00:00.2,0.002397537,-0.007369995,0.005224228,0,
