Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001396179,0.01644516,0.001916885,0,
00:00.0,0.001396179,0.01644516,0.001928329,0,
00:00.0,0.001396179,0.016450882,0.001934052,0,
00:00.0,0.001384735,0.01644516,0.001928329,0,
00:00.0,0.001390457,0.01644516,0.001911163,0,
00:00.0,0.001396179,0.016450882,0.001934052,0,
00:00.0,0.001401901,0.016450882,0.001939774,0,
00:00.0,0.001390457,0.016439438,0.001922607,0,
00:00.0,0.001384735,0.016450882,0.001939774,0,
00:00.0,0.001384735,0.016450882,0.001916885,0,
00:00.0,0.001390457,0.016450882,0.001916885,0,
00:00.0,0.001407623,0.016456604,0.001916885,0,
00:00.0,0.001396179,0.016456604,0.001916885,0,
00:00.1,0.001379013,0.016450882,0.001939774,0,
00:00.1,0.001384735,0.016450882,0.001939774,0,
00:00.1,0.001396179,0.016450882,0.001934052,0,
00:00.1,0.001396179,0.01644516,0.001928329,0,
00:00.1,0.001396179,0.016456604,0.001922607,0,
00:00.1,0.001390457,0.016456604,0.001922607,0,
00:00.1,0.001379013,0.01644516,0.001911163,0,
00:00.1,0.001390457,0.016450882,0.001922607,0,
00:00.1,0.001401901,0.016456604,0.001939774,0,
00:00.1,0.001401901,0.016462326,0.001951218,0,
00:00.1,0.001396179,0.016456604,0.001928329,0,
00:00.1,0.001396179,0.016450882,0.001905441,0,
00:00.1,0.001396179,0.016450882,0.001922607,0,
00:00.1,0.001396179,0.016450882,0.001916885,0,
00:00.1,0.001396179,0.016450882,0.001928329,0,
00:00.1,0.001396179,0.016456604,0.001934052,0,
00:00.1,0.001396179,0.016456604,0.001922607,0,
00:00.1,0.001396179,0.016456604,0.001916885,0,
00:00.1,0.001396179,0.016456604,0.001922607,0,
00:00.1,0.001390457,0.016456604,0.001922607,0,
00:00.1,0.001396179,0.016456604,0.001916885,0,
00:00.1,0.001401901,0.016462326,0.001922607,0,
00:00.1,0.001401901,0.016456604,0.001928329,0,
00:00.1,0.001396179,0.016450882,0.001905441,0,
00:00.1,0.001390457,0.016456604,0.001899719,0,
00:00.2,0.001384735,0.016456604,0.001899719,0,
00:00.2,0.001390457,0.016456604,0.001928329,0,
00:00.2,0.001390457,0.016462326,0.001934052,0,
00:00.2,0.001396179,0.016462326,0.001939774,0,
00:00.2,0.001390457,0.016456604,0.001934052,0,
00:00.2,0.001390457,0.016462326,0.001928329,0,
00:00.2,0.001396179,0.016462326,0.001928329,0,
00:00.2,0.001396179,0.016462326,0.001916885,0,
00:00.2,0.001396179,0.016456604,0.001911163,0,
00:00.2,0.001390457,0.016456604,0.001916885,0,
00:00.2,0.001390457,0.016456604,0.001922607,0,
00:00.2,0.001396179,0.016456604,0.001928329,0,
00:00.2,0.001390457,0.016462326,0.001922607,0,
00:00.2,0.001390457,0.016456604,0.001934052,0,
00:00.2,0.001390457,0.016456604,0.001928329,0,
