Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001876831,0.0234375,0.000577927,0,
00:00.0,0.001882553,0.0234375,0.000566483,0,
00:00.0,0.001882553,0.023443222,0.000543594,0,
00:00.0,0.001882553,0.023448944,0.000537872,0,
00:00.0,0.001888275,0.023454666,0.00056076,0,
00:00.0,0.001882553,0.023443222,0.00056076,0,
00:00.0,0.001876831,0.023426056,0.000583649,0,
00:00.0,0.001888275,0.023448944,0.000572205,0,
00:00.0,0.001871109,0.023448944,0.00056076,0,
00:00.0,0.001876831,0.0234375,0.000572205,0,
00:00.0,0.001882553,0.023431778,0.00056076,0,
00:00.0,0.001882553,0.0234375,0.000549316,0,
00:00.0,0.001876831,0.0234375,0.00056076,0,
00:00.1,0.001876831,0.023448944,0.000572205,0,
00:00.1,0.001865387,0.0234375,0.000543594,0,
00:00.1,0.001865387,0.023431778,0.000555038,0,
00:00.1,0.001876831,0.0234375,0.000595093,0,
00:00.1,0.001871109,0.0234375,0.000572205,0,
00:00.1,0.001865387,0.0234375,0.000583649,0,
00:00.1,0.001871109,0.0234375,0.00056076,0,
00:00.1,0.001876831,0.023443222,0.000549316,0,
00:00.1,0.001882553,0.023454666,0.00056076,0,
00:00.1,0.001893997,0.02346611,0.000549316,0,
00:00.1,0.001876831,0.023443222,0.00056076,0,
00:00.1,0.001871109,0.023426056,0.000577927,0,
00:00.1,0.001876831,0.0234375,0.000577927,0,
00:00.1,0.001882553,0.023443222,0.000583649,0,
00:00.1,0.001876831,0.023443222,0.000566483,0,
00:00.1,0.001882553,0.023454666,0.000572205,0,
00:00.1,0.001882553,0.023448944,0.000572205,0,
00:00.1,0.001882553,0.023443222,0.000566483,0,
00:00.1,0.001888275,0.023454666,0.000566483,0,
00:00.1,0.001876831,0.023448944,0.000555038,0,
00:00.1,0.001876831,0.023431778,0.000566483,0,
00:00.1,0.001871109,0.023431778,0.000589371,0,
00:00.1,0.001888275,0.0234375,0.000595093,0,
00:00.1,0.001882553,0.023443222,0.000583649,0,
00:00.1,0.001876831,0.023443222,0.000577927,0,
00:00.2,0.001876831,0.023443222,0.00056076,0,
00:00.2,0.001876831,0.023448944,0.000566483,0,
00:00.2,0.001882553,0.023443222,0.000555038,0,
00:00.2,0.001888275,0.023448944,0.00056076,0,
00:00.2,0.001871109,0.0234375,0.000572205,0,
00:00.2,0.001865387,0.023443222,0.000583649,0,
00:00.2,0.001876831,0.023454666,0.000572205,0,
00:00.2,0.001888275,0.02346611,0.000537872,0,
00:00.2,0.001888275,0.023448944,0.000572205,0,
00:00.2,0.001876831,0.0234375,0.000612259,0,
00:00.2,0.001876831,0.023443222,0.000589371,0,
00:00.2,0.001882553,0.023448944,0.000577927,0,
00:00.2,0.001882553,0.023443222,0.000577927,0,
00:00.2,0.001876831,0.0234375,0.000555038,0,
00:00.2,0.001882553,0.023448944,0.000595093,0,
00:00.2,0.001882553,0.023460388,0.000572205,0,
00:00.2,0.001882553,0.023454666,0.000549316,0,
00:00.2,0.001876831,0.0234375,0.000577927,0,
00:00.2,0.001882553,0.0234375,0.000589371,0,
00:00.2,0.001882553,0.023448944,0.000583649,0,
00:00.2,0.001882553,0.023448944,0.000589371,0,
00:00.2,0.001876831,0.023448944,0.000566483,0,
00:00.2,0.001888275,0.023460388,0.00056076,0,
00:00.2,0.001899719,0.023460388,0.000566483,0,
00:00.2,0.001888275,0.023443222,0.000595093,0,
00:00.3,0.001871109,0.023443222,0.000600815,0,
00:00.3,0.001876831,0.023448944,0.000595093,0,
00:00.3,0.001888275,0.023448944,0.000583649,0,
00:00.3,0.001882553,0.023443222,0.000595093,0,
00:00.3,0.001882553,0.023454666,0.000589371,0,
00:00.3,0.001888275,0.02346611,0.000577927,0,
00:00.3,0.001893997,0.023477554,0.000572205,0,
00:00.3,0.001888275,0.02346611,0.000566483,0,
00:00.3,0.001882553,0.0234375,0.00056076,0,
00:00.3,0.001876831,0.023431778,0.000606537,0,
00:00.3,0.001876831,0.023454666,0.000612259,0,
00:00.3,0.001888275,0.023454666,0.000606537,0,
00:00.3,0.001882553,0.023443222,0.000595093,0,
00:00.3,0.001888275,0.023454666,0.00056076,0,
00:00.3,0.001893997,0.023460388,0.000572205,0,
00:00.3,0.001882553,0.023454666,0.000606537,0,
00:00.3,0.001882553,0.023448944,0.000589371,0,
00:00.3,0.001882553,0.023443222,0.000600815,0,
00:00.3,0.001876831,0.023443222,0.000595093,0,
00:00.3,0.001876831,0.023443222,0.000583649,0,
00:00.3,0.001882553,0.023454666,0.000583649,0,
00:00.3,0.001882553,0.023454666,0.000595093,0,
00:00.3,0.001882553,0.023448944,0.000577927,0,
00:00.3,0.001882553,0.023448944,0.000589371,0,
00:00.3,0.001876831,0.023454666,0.000577927,0,
00:00.4,0.001882553,0.023460388,0.000572205,0,
00:00.4,0.001899719,0.023460388,0.000583649,0,
00:00.4,0.001882553,0.023448944,0.000600815,0,
00:00.4,0.001882553,0.023454666,0.000617981,0,
00:00.4,0.001865387,0.023454666,0.000600815,0,
00:00.4,0.001865387,0.023454666,0.000589371,0,
00:00.4,0.001876831,0.023454666,0.000583649,0,
00:00.4,0.001882553,0.023454666,0.000606537,0,
00:00.4,0.001888275,0.023460388,0.000600815,0,
00:00.4,0.001882553,0.023471832,0.000572205,0,
00:00.4,0.001876831,0.02346611,0.000589371,0,
00:00.4,0.001871109,0.023454666,0.000612259,0,
00:00.4,0.001871109,0.023448944,0.000606537,0,
00:00.4,0.001871109,0.023443222,0.000606537,0,
00:00.4,0.001871109,0.023454666,0.000572205,0,
00:00.4,0.001876831,0.023460388,0.000606537,0,
00:00.4,0.001882553,0.023454666,0.000606537,0,
00:00.4,0.001871109,0.023448944,0.000595093,0,
00:00.4,0.001876831,0.023448944,0.000600815,0,
00:00.4,0.001876831,0.023454666,0.000612259,0,
00:00.4,0.001876831,0.023454666,0.000600815,0,
00:00.4,0.001871109,0.023454666,0.000577927,0,
00:00.4,0.001865387,0.023448944,0.000600815,0,
00:00.4,0.001871109,0.023454666,0.000600815,0,
00:00.4,0.001871109,0.023460388,0.000595093,0,
00:00.5,0.001882553,0.02346611,0.000606537,0,
00:00.5,0.001876831,0.023448944,0.000606537,0,
00:00.5,0.001871109,0.023454666,0.000606537,0,
00:00.5,0.001871109,0.023460388,0.000612259,0,
00:00.5,0.001871109,0.02346611,0.000589371,0,
00:00.5,0.001876831,0.023471832,0.000600815,0,
00:00.5,0.001882553,0.023454666,0.000600815,0,
00:00.5,0.001871109,0.023443222,0.000617981,0,
00:00.5,0.001865387,0.023454666,0.000623703,0,
00:00.5,0.001865387,0.023460388,0.000617981,0,
00:00.5,0.001865387,0.023460388,0.000617981,0,
00:00.5,0.001871109,0.023454666,0.000612259,0,
00:00.5,0.001871109,0.023460388,0.000600815,0,
00:00.5,0.001871109,0.023471832,0.000589371,0,
00:00.5,0.001876831,0.02346611,0.000623703,0,
00:00.5,0.001876831,0.023460388,0.000612259,0,
00:00.5,0.001871109,0.023471832,0.000595093,0,
00:00.5,0.001882553,0.02346611,0.000612259,0,
00:00.5,0.001876831,0.02346611,0.000612259,0,
00:00.5,0.001865387,0.023460388,0.000635147,0,
00:00.5,0.001859665,0.023454666,0.000623703,0,
00:00.5,0.001865387,0.02346611,0.000617981,0,
00:00.5,0.001865387,0.023460388,0.000600815,0,
00:00.5,0.001859665,0.023460388,0.000612259,0,
00:00.5,0.001871109,0.02346611,0.000629425,0,
00:00.6,0.001876831,0.02346611,0.000623703,0,
00:00.6,0.001871109,0.023471832,0.000623703,0,
00:00.6,0.001865387,0.023460388,0.000629425,0,
00:00.6,0.001871109,0.023460388,0.000629425,0,
00:00.6,0.001882553,0.02346611,0.000629425,0,
00:00.6,0.001882553,0.02346611,0.000600815,0,
00:00.6,0.001876831,0.023471832,0.000600815,0,
00:00.6,0.001876831,0.023471832,0.000635147,0,
00:00.6,0.001871109,0.023460388,0.000629425,0,
00:00.6,0.001865387,0.02346611,0.000629425,0,
00:00.6,0.001871109,0.023477554,0.000640869,0,
00:00.6,0.001871109,0.02346611,0.000629425,0,
00:00.6,0.001876831,0.023460388,0.000640869,0,
00:00.6,0.001876831,0.023471832,0.000623703,0,
00:00.6,0.001865387,0.023471832,0.000623703,0,
00:00.6,0.001865387,0.02346611,0.000629425,0,
00:00.6,0.001865387,0.023460388,0.000612259,0,
00:00.6,0.001871109,0.02346611,0.000629425,0,
00:00.6,0.001859665,0.02346611,0.000640869,0,
00:00.6,0.001871109,0.023477554,0.000646591,0,
00:00.6,0.001865387,0.023483276,0.000617981,0,
00:00.6,0.001876831,0.023471832,0.000612259,0,
00:00.6,0.001859665,0.023460388,0.000606537,0,
00:00.6,0.001853943,0.023460388,0.000635147,0,
00:00.6,0.001859665,0.02346611,0.000669479,0,
00:00.7,0.001865387,0.023471832,0.000658035,0,
00:00.7,0.001876831,0.023477554,0.000646591,0,
00:00.7,0.001876831,0.023471832,0.000652313,0,
00:00.7,0.001865387,0.023460388,0.000640869,0,
00:00.7,0.001865387,0.023477554,0.000663757,0,
00:00.7,0.001865387,0.023483276,0.000646591,0,
00:00.7,0.001876831,0.023471832,0.000652313,0,
00:00.7,0.001865387,0.023460388,0.000658035,0,
00:00.7,0.001865387,0.02346611,0.000652313,0,
00:00.7,0.001871109,0.023477554,0.000652313,0,
00:00.7,0.001871109,0.023483276,0.000658035,0,
00:00.7,0.001865387,0.023471832,0.000652313,0,
00:00.7,0.001871109,0.023471832,0.000675201,0,
00:00.7,0.001865387,0.02346611,0.000663757,0,
00:00.7,0.001865387,0.023471832,0.000669479,0,
00:00.7,0.001876831,0.023471832,0.000663757,0,
00:00.7,0.001876831,0.02346611,0.000646591,0,
00:00.7,0.001865387,0.023460388,0.000658035,0,
00:00.7,0.001865387,0.023471832,0.000680923,0,
00:00.7,0.001871109,0.023483276,0.000663757,0,
00:00.7,0.001859665,0.023471832,0.000669479,0,
00:00.7,0.001871109,0.023477554,0.000680923,0,
00:00.7,0.001865387,0.023471832,0.000680923,0,
00:00.7,0.001859665,0.02346611,0.000658035,0,
00:00.7,0.001859665,0.023471832,0.000669479,0,
00:00.8,0.001859665,0.023471832,0.000686646,0,
00:00.8,0.001865387,0.02346611,0.00069809,0,
00:00.8,0.001871109,0.023471832,0.000675201,0,
00:00.8,0.001888275,0.023488998,0.000675201,0,
00:00.8,0.001865387,0.023483276,0.000680923,0,
00:00.8,0.001859665,0.023471832,0.000680923,0,
00:00.8,0.001865387,0.02346611,0.000703812,0,
00:00.8,0.001859665,0.023471832,0.000686646,0,
00:00.8,0.001859665,0.023471832,0.000675201,0,
00:00.8,0.001865387,0.023471832,0.000686646,0,
00:00.8,0.001859665,0.023483276,0.000686646,0,
00:00.8,0.001871109,0.023488998,0.000675201,0,
00:00.8,0.001876831,0.023488998,0.000680923,0,
00:00.8,0.001871109,0.023471832,0.00069809,0,
00:00.8,0.001871109,0.023483276,0.000692368,0,
