Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000669479,0.024049759,0.000738144,0,
00:00.0,0.000663757,0.024049759,0.000732422,0,
00:00.0,0.000663757,0.024055481,0.000738144,0,
00:00.0,0.000629425,0.024044037,0.000749588,0,
00:00.0,0.000669479,0.024061203,0.000743866,0,
00:00.0,0.000669479,0.024055481,0.000732422,0,
00:00.0,0.000675201,0.024055481,0.000738144,0,
00:00.0,0.000669479,0.024061203,0.000738144,0,
00:00.0,0.000692368,0.024066925,0.0007267,0,
00:00.0,0.000680923,0.024055481,0.0007267,0,
00:00.0,0.000680923,0.024055481,0.000732422,0,
00:00.0,0.000680923,0.024055481,0.000738144,0,
00:00.0,0.000680923,0.024055481,0.000738144,0,
00:00.1,0.000675201,0.024061203,0.000732422,0,
00:00.1,0.000663757,0.024061203,0.000738144,0,
00:00.1,0.000669479,0.024061203,0.000743866,0,
00:00.1,0.000663757,0.024066925,0.000749588,0,
00:00.1,0.000658035,0.024066925,0.000743866,0,
00:00.1,0.000680923,0.024078369,0.000738144,0,
00:00.1,0.000675201,0.024072647,0.000743866,0,
00:00.1,0.000675201,0.024066925,0.000743866,0,
00:00.1,0.000663757,0.024061203,0.0007267,0,
00:00.1,0.000663757,0.024066925,0.000732422,0,
00:00.1,0.000675201,0.024066925,0.000732422,0,
00:00.1,0.000669479,0.024061203,0.000732422,0,
00:00.1,0.000663757,0.024061203,0.000732422,0,
00:00.1,0.000675201,0.024066925,0.000732422,0,
00:00.1,0.000658035,0.024072647,0.000743866,0,
00:00.1,0.000640869,0.024072647,0.000743866,0,
00:00.1,0.000669479,0.024078369,0.000743866,0,
00:00.1,0.00069809,0.024078369,0.0007267,0,
00:00.1,0.000692368,0.024078369,0.000743866,0,
00:00.1,0.000686646,0.024084091,0.000743866,0,
00:00.1,0.000675201,0.024078369,0.000732422,0,
00:00.1,0.000675201,0.024072647,0.000732422,0,
00:00.1,0.000658035,0.024061203,0.000738144,0,
00:00.1,0.000663757,0.024066925,0.000732422,0,
00:00.1,0.000675201,0.024078369,0.000749588,0,
00:00.2,0.000669479,0.024089813,0.000743866,0,
00:00.2,0.000663757,0.024078369,0.000743866,0,
00:00.2,0.000680923,0.024072647,0.000749588,0,
00:00.2,0.000692368,0.024078369,0.00075531,0,
00:00.2,0.000669479,0.024078369,0.000749588,0,
00:00.2,0.000658035,0.024072647,0.000749588,0,
00:00.2,0.000686646,0.024072647,0.000738144,0,
00:00.2,0.000680923,0.024066925,0.000749588,0,
