Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001544952,0.019563675,9.16E-05,0,
00:00.0,0.001516342,0.019557953,0.000108719,0,
00:00.0,0.001550674,0.019563675,0.000120163,0,
00:00.0,0.001556396,0.019563675,9.16E-05,0,
00:00.0,0.001544952,0.019563675,9.73E-05,0,
00:00.0,0.00153923,0.019563675,0.000108719,0,
00:00.0,0.001522064,0.019563675,0.000108719,0,
00:00.0,0.001504898,0.019557953,0.000120163,0,
00:00.0,0.001544952,0.019569397,8.01E-05,0,
00:00.0,0.001527786,0.019580841,7.44E-05,0,
00:00.0,0.00153923,0.019569397,9.73E-05,0,
00:00.0,0.001556396,0.019563675,0.000148773,0,
00:00.0,0.001544952,0.019563675,0.000114441,0,
00:00.1,0.001533508,0.019563675,0.000114441,0,
00:00.1,0.001550674,0.019563675,9.73E-05,0,
00:00.1,0.001550674,0.019575119,9.73E-05,0,
00:00.1,0.001522064,0.019569397,9.16E-05,0,
00:00.1,0.001527786,0.019563675,9.16E-05,0,
00:00.1,0.001527786,0.019569397,0.000120163,0,
00:00.1,0.001516342,0.019557953,0.000114441,0,
00:00.1,0.001544952,0.019569397,0.000108719,0,
00:00.1,0.001544952,0.019569397,9.73E-05,0,
00:00.1,0.001556396,0.019563675,8.58E-05,0,
00:00.1,0.001544952,0.019569397,0.000108719,0,
00:00.1,0.00153923,0.019575119,0.000108719,0,
00:00.1,0.001516342,0.019563675,0.000108719,0,
00:00.1,0.001527786,0.019563675,9.16E-05,0,
00:00.1,0.001544952,0.019563675,0.000114441,0,
00:00.1,0.001544952,0.019569397,0.000102997,0,
00:00.1,0.001556396,0.019569397,9.16E-05,0,
00:00.1,0.001544952,0.019563675,0.000102997,0,
00:00.1,0.001527786,0.019563675,0.000114441,0,
00:00.1,0.001533508,0.019569397,0.000108719,0,
00:00.1,0.001550674,0.019575119,8.58E-05,0,
00:00.1,0.001556396,0.019580841,9.73E-05,0,
00:00.1,0.001522064,0.019569397,0.000120163,0,
00:00.1,0.001527786,0.019569397,0.000102997,0,
00:00.1,0.00153923,0.019569397,0.000102997,0,
00:00.2,0.001544952,0.019563675,0.000102997,0,
00:00.2,0.001544952,0.019563675,0.000102997,0,
00:00.2,0.001522064,0.019563675,0.000114441,0,
00:00.2,0.001516342,0.019557953,9.73E-05,0,
00:00.2,0.001550674,0.019575119,0.000102997,0,
00:00.2,0.001556396,0.019569397,0.000108719,0,
00:00.2,0.001533508,0.019563675,0.000108719,0,
00:00.2,0.00151062,0.019563675,0.000131607,0,
00:00.2,0.001527786,0.019569397,0.000120163,0,
00:00.2,0.001544952,0.019575119,0.000137329,0,
00:00.2,0.001533508,0.019569397,0.000114441,0,
00:00.2,0.001493454,0.019563675,8.58E-05,0,
00:00.2,0.001544952,0.019575119,0.000108719,0,
00:00.2,0.001562119,0.019580841,0.000125885,0,
00:00.2,0.001556396,0.019575119,0.000120163,0,
00:00.2,0.001556396,0.019580841,0.000108719,0,
00:00.2,0.001556396,0.019575119,0.000108719,0,
00:00.2,0.001550674,0.019569397,0.000120163,0,
00:00.2,0.00153923,0.019575119,0.000114441,0,
00:00.2,0.001533508,0.019575119,0.000125885,0,
00:00.2,0.001544952,0.019586563,0.000120163,0,
00:00.2,0.001544952,0.019575119,9.73E-05,0,
00:00.2,0.001527786,0.019552231,0.000137329,0,
00:00.2,0.001516342,0.019569397,0.000165939,0,
00:00.2,0.001533508,0.019575119,0.000114441,0,
00:00.3,0.00153923,0.019575119,9.16E-05,0,
00:00.3,0.001522064,0.019575119,0.000131607,0,
00:00.3,0.001562119,0.019586563,0.000143051,0,
00:00.3,0.001550674,0.019575119,0.000120163,0,
00:00.3,0.001550674,0.019575119,0.000143051,0,
00:00.3,0.001550674,0.019580841,0.000131607,0,
00:00.3,0.001533508,0.019580841,0.000125885,0,
00:00.3,0.001533508,0.019575119,0.000143051,0,
00:00.3,0.001550674,0.019580841,0.000125885,0,
00:00.3,0.001533508,0.019569397,0.000131607,0,
00:00.3,0.001527786,0.019563675,0.000120163,0,
00:00.3,0.001533508,0.019563675,0.000108719,0,
00:00.3,0.001544952,0.019580841,0.000120163,0,
00:00.3,0.001533508,0.019580841,0.000114441,0,
00:00.3,0.00151062,0.019575119,0.000131607,0,
00:00.3,0.001527786,0.019580841,0.000125885,0,
00:00.3,0.001527786,0.019575119,0.000108719,0,
00:00.3,0.001556396,0.019569397,0.000137329,0,
