Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001029968,0.016593933,0.001499176,0,
00:00.0,0.001012802,0.016599655,0.001504898,0,
00:00.0,0.001029968,0.016628265,0.001493454,0,
00:00.0,0.001018524,0.016622543,0.001499176,0,
00:00.0,0.001029968,0.016605377,0.001504898,0,
00:00.0,0.001047134,0.016622543,0.001516342,0,
00:00.0,0.001029968,0.016622543,0.001522064,0,
00:00.0,0.00100708,0.016588211,0.001522064,0,
00:00.0,0.001024246,0.016582489,0.001527786,0,
00:00.0,0.001041412,0.016611099,0.00151062,0,
00:00.0,0.001018524,0.016605377,0.001504898,0,
00:00.0,0.001001358,0.016593933,0.001522064,0,
00:00.0,0.001001358,0.016593933,0.001522064,0,
00:00.1,0.001012802,0.016605377,0.001522064,0,
00:00.1,0.001024246,0.016599655,0.001516342,0,
00:00.1,0.001029968,0.016599655,0.001504898,0,
00:00.1,0.001029968,0.016593933,0.001522064,0,
00:00.1,0.001029968,0.016605377,0.001516342,0,
00:00.1,0.001018524,0.016622543,0.001499176,0,
00:00.1,0.001012802,0.016645432,0.001499176,0,
00:00.1,0.001001358,0.016588211,0.00151062,0,
00:00.1,0.001018524,0.016582489,0.001516342,0,
00:00.1,0.001047134,0.016605377,0.001516342,0,
00:00.1,0.001047134,0.016651154,0.001522064,0,
00:00.1,0.001047134,0.016633987,0.001493454,0,
00:00.1,0.001012802,0.016565323,0.001522064,0,
00:00.1,0.00100708,0.016593933,0.001522064,0,
00:00.1,0.001018524,0.016599655,0.001516342,0,
00:00.1,0.00103569,0.016611099,0.001504898,0,
00:00.1,0.001018524,0.016611099,0.001516342,0,
00:00.1,0.001018524,0.016605377,0.001504898,0,
00:00.1,0.001024246,0.016605377,0.001522064,0,
00:00.1,0.001029968,0.016616821,0.001504898,0,
00:00.1,0.001024246,0.016605377,0.001504898,0,
00:00.1,0.001029968,0.016616821,0.001522064,0,
00:00.1,0.001029968,0.016622543,0.001516342,0,
00:00.1,0.001012802,0.016616821,0.00151062,0,
00:00.1,0.001001358,0.016582489,0.00151062,0,
00:00.2,0.001029968,0.016605377,0.001516342,0,
00:00.2,0.00103569,0.016616821,0.001522064,0,
00:00.2,0.001029968,0.016611099,0.001522064,0,
00:00.2,0.00103569,0.01666832,0.001493454,0,
