Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000926971,0.025337219,-0.001447678,0,
00:00.0,0.000944138,0.025337219,-0.001470566,0,
00:00.0,0.000967026,0.025354385,-0.00148201,0,
00:00.0,0.00097847,0.025342941,-0.001470566,0,
00:00.0,0.000972748,0.025337219,-0.001499176,0,
00:00.0,0.000955582,0.025342941,-0.001504898,0,
00:00.0,0.000938416,0.025331497,-0.001476288,0,
00:00.0,0.000938416,0.025354385,-0.001533508,0,
00:00.0,0.000972748,0.025360107,-0.001407623,0,
00:00.0,0.000955582,0.025342941,-0.0014534,0,
00:00.0,0.000961304,0.025342941,-0.001476288,0,
00:00.0,0.000961304,0.025348663,-0.001459122,0,
00:00.0,0.000972748,0.025348663,-0.001447678,0,
00:00.1,0.000967026,0.025331497,-0.001470566,0,
00:00.1,0.000989914,0.025354385,-0.001499176,0,
00:00.1,0.000967026,0.025348663,-0.001499176,0,
00:00.1,0.000938416,0.025337219,-0.001407623,0,
00:00.1,0.000932693,0.025331497,-0.0014534,0,
00:00.1,0.000955582,0.025331497,-0.001493454,0,
00:00.1,0.000972748,0.025348663,-0.001459122,0,
00:00.1,0.000961304,0.025342941,-0.001476288,0,
00:00.1,0.00094986,0.025354385,-0.0014534,0,
00:00.1,0.000955582,0.025348663,-0.00148201,0,
00:00.1,0.000984192,0.025337219,-0.001522064,0,
00:00.1,0.00100708,0.025342941,-0.001436234,0,
00:00.1,0.000967026,0.025331497,-0.001390457,0,
00:00.1,0.000944138,0.025337219,-0.001430511,0,
00:00.1,0.000938416,0.025337219,-0.001464844,0,
00:00.1,0.000967026,0.025348663,-0.001499176,0,
00:00.1,0.000972748,0.025348663,-0.001424789,0,
00:00.1,0.000984192,0.025365829,-0.001447678,0,
00:00.1,0.000938416,0.025342941,-0.001476288,0,
00:00.1,0.000938416,0.025325775,-0.001413345,0,
00:00.1,0.000967026,0.025337219,-0.001436234,0,
00:00.1,0.000955582,0.025337219,-0.001430511,0,
00:00.1,0.000938416,0.025331497,-0.001441956,0,
00:00.1,0.000989914,0.025354385,-0.001384735,0,
00:00.1,0.000961304,0.025342941,-0.001424789,0,
00:00.2,0.000967026,0.025348663,-0.001419067,0,
00:00.2,0.000944138,0.025337219,-0.001407623,0,
00:00.2,0.000955582,0.025337219,-0.001464844,0,
00:00.2,0.00094986,0.025337219,-0.001407623,0,
00:00.2,0.000955582,0.025342941,-0.001424789,0,
00:00.2,0.00097847,0.025342941,-0.001413345,0,
00:00.2,0.000955582,0.025337219,-0.001407623,0,
00:00.2,0.000955582,0.025337219,-0.001424789,0,
00:00.2,0.000955582,0.025342941,-0.001487732,0,
00:00.2,0.000955582,0.025337219,-0.001390457,0,
00:00.2,0.000938416,0.025331497,-0.001367569,0,
00:00.2,0.000938416,0.025325775,-0.001401901,0,
00:00.2,0.00094986,0.025331497,-0.001430511,0,
00:00.2,0.000921249,0.025337219,-0.001499176,0,
